timestamp_1,fPressureFront_1,fPressureSide_1,acceleration.x_1,acceleration.y_1,acceleration.z_1,quaternion.i_1,quaternion.j_1,quaternion.k_1,quaternion.real_1,timestamp_2,fPressureFront_2,fPressureSide_2,acceleration.x_2,acceleration.y_2,acceleration.z_2,quaternion.i_2,quaternion.j_2,quaternion.k_2,quaternion.real_2
679305,952.04834,952.26855,8.828125,0.65234375,1.859375,0.449646,-0.36395264,0.60235596,0.5500488,549280.0,952.6802,954.15405,-10.203125,2.03125,0.4453125,-0.65045166,0.20141602,0.727417,0.08483887
679310,952.06494,952.26855,6.3789062,2.8359375,5.0039062,0.44641113,0.030883789,0.75616455,0.47747803,549295.0,952.70605,954.14575,-8.027344,0.19140625,4.9648438,-0.35491943,0.28637695,0.69744873,0.5527954
679330,952.0481,952.27466,6.2226562,2.6445312,5.0039062,0.44366455,0.018188477,0.75634766,0.48034668,549310.0,952.7107,954.0908,-7.5234375,0.57421875,4.46875,-0.35461426,0.27722168,0.7055664,0.54730225
679345,952.0305,952.2837,5.6875,3.0664062,4.4257812,0.44140625,0.008666992,0.7553711,0.48431396,549330.0,952.6504,954.115,-7.484375,1.0742188,3.7421875,-0.35339355,0.26641846,0.71276855,0.5441284
679365,951.97925,952.27026,5.2695312,3.1835938,3.8515625,0.44036865,0.0040893555,0.7537842,0.48773193,549355.0,952.6279,954.12085,-6.9179688,0.8046875,1.1367188,-0.34973145,0.25891113,0.717041,0.5444946
679385,952.01465,952.29565,5.4140625,3.2578125,3.3164062,0.43780518,-0.0020751953,0.7504883,0.49505615,549370.0,952.6487,954.1665,-6.8789062,1.0351562,1.3632812,-0.34100342,0.25476074,0.7192993,0.54901123
679405,951.9995,952.3191,6.53125,2.8007812,2.4726562,0.43408203,-0.009216309,0.74627686,0.5045166,549400.0,952.718,954.1677,-7.140625,1.2265625,1.7851562,-0.32995605,0.24890137,0.72210693,0.55474854
679425,952.0215,952.3374,6.6835938,2.7226562,2.0507812,0.42962646,-0.013305664,0.74401855,0.5115967,549410.0,952.7312,954.18677,-6.8007812,0.53515625,3.4335938,-0.3187256,0.23950195,0.7264404,0.55981445
679445,952.06885,952.30615,6.6835938,2.9921875,3.046875,0.42303467,-0.013549805,0.7458496,0.51434326,549435.0,952.7251,954.1802,-5.1484375,-0.26953125,6.5742188,-0.30950928,0.2290039,0.73431396,0.55908203
679465,952.09766,952.2942,6.375,2.8359375,5.1171875,0.41687012,-0.013671875,0.7495117,0.5140991,549450.0,952.74023,954.1482,-4.84375,-0.57421875,7.609375,-0.30493164,0.22338867,0.7402954,0.55596924
679485,952.10205,952.3274,6.875,1.1914062,7.8789062,0.41204834,-0.014831543,0.7525635,0.51348877,549470.0,952.7837,954.15356,-5.4960938,-0.95703125,8.2578125,-0.29968262,0.21990967,0.74560547,0.5531006
679505,952.1267,952.30347,7.3710938,1.7265625,8.066406,0.40875244,-0.012817383,0.7536011,0.51464844,549495.0,952.7876,954.12964,-6.7578125,-0.19140625,9.292969,-0.2932129,0.21960449,0.74957275,0.55133057
679525,952.1333,952.1035,7.0273438,2.875,8.527344,0.4017334,-0.007873535,0.7548218,0.51849365,549510.0,952.78076,954.1013,-7.21875,0.765625,10.136719,-0.28619385,0.22106934,0.7525635,0.55029297
679545,952.17334,952.2656,6.6054688,4.1015625,9.0234375,0.3920288,-0.002746582,0.75738525,0.52215576,549530.0,952.82935,954.1455,-7.5273438,0.8046875,9.910156,-0.27752686,0.22125244,0.7546387,0.55181885
679565,952.2217,952.7068,5.7265625,4.2929688,10.863281,0.378479,-0.0008544922,0.7609863,0.52697754,549550.0,952.8076,954.14966,-7.3710938,0.4609375,9.984375,-0.26940918,0.22125244,0.755188,0.55511475
679585,952.2283,952.9341,5.34375,3.640625,12.0859375,0.3687744,-0.0029907227,0.7614136,0.5332031,549575.0,952.7749,954.12744,-7.4492188,0.26953125,10.515625,-0.26361084,0.2234497,0.755188,0.5570679
679605,952.18335,953.2092,5.265625,3.4140625,12.2421875,0.3642578,-0.0056152344,0.75891113,0.5397339,549590.0,952.7698,954.14453,-7.5273438,0.49609375,10.40625,-0.26293945,0.22503662,0.7564697,0.5549927
679625,952.2107,953.1062,5.4570312,3.9492188,10.441406,0.36779785,-0.006286621,0.75567627,0.5418701,549610.0,952.78906,954.1365,-7.6015625,0.49609375,10.2109375,-0.2647705,0.22747803,0.75897217,0.5496826
679645,952.1587,952.82935,5.9921875,3.8710938,9.214844,0.37524414,-0.004333496,0.7548828,0.53790283,549635.0,952.77466,954.1221,-6.9140625,0.95703125,8.761719,-0.2662964,0.23040771,0.76068115,0.5453491
679665,952.1389,952.62646,6.3007812,3.7578125,8.4453125,0.38415527,-0.00036621094,0.7553711,0.5308838,549650.0,952.7649,954.09424,-6.9882812,0.95703125,8.378906,-0.26776123,0.23284912,0.7605591,0.5437622
679685,952.1355,951.96313,6.2617188,3.6796875,8.144531,0.39154053,0.0026855469,0.7553711,0.52545166,549670.0,952.76587,954.1301,-7.1796875,0.61328125,8.183594,-0.26861572,0.23461914,0.7602539,0.54296875
679705,952.11694,952.06885,6.4140625,3.4492188,7.6015625,0.39660645,0.0010375977,0.75341797,0.5244751,549695.0,952.7622,954.1406,-7.1054688,0.34375,8.300781,-0.2680664,0.23571777,0.7609863,0.541687
679725,952.0857,952.07056,6.6445312,3.3359375,7.2617188,0.39959717,-0.0009765625,0.75183105,0.5244751,549725.0,952.78174,954.1323,-6.453125,0.4609375,8.1796875,-0.26708984,0.2364502,0.7628784,0.5391846
679745,952.104,951.9905,6.7226562,3.4140625,6.8359375,0.40185547,-0.00036621094,0.7519531,0.522583,549735.0,952.7285,954.1372,-6.109375,0.4609375,8.1796875,-0.2664795,0.23724365,0.76556396,0.5354004
