timestamp_1,fPressureFront_1,fPressureSide_1,acceleration.x_1,acceleration.y_1,acceleration.z_1,quaternion.i_1,quaternion.j_1,quaternion.k_1,quaternion.real_1,timestamp_2,fPressureFront_2,fPressureSide_2,acceleration.x_2,acceleration.y_2,acceleration.z_2,quaternion.i_2,quaternion.j_2,quaternion.k_2,quaternion.real_2
2791920,1025.294,1025.188,5.109375,4.328125,6.515625,0.3408203,-0.29779053,0.07836914,0.88830566,2791905.0,1023.8982,1026.2739,-7.1679688,3.21875,-4.7539062,0.5614624,0.6488037,-0.16589355,0.48608398
2791930,1025.3049,1025.188,5.9140625,6.7734375,3.3007812,-0.29180908,-0.510437,-0.7975464,0.13482666,2791910.0,1023.8689,1026.2815,-8.7734375,3.3320312,-5.828125,0.5750122,0.6532593,-0.17822266,0.45916748
2791950,1025.3035,1025.1797,5.9882812,6.8945312,3.3789062,-0.29309082,-0.5117798,-0.79663086,0.13269043,2791925.0,1023.86694,1026.2849,-5.5585938,8.464844,-1.6132812,0.46343994,-0.61486816,-0.6369629,0.037963867
2791970,1025.2942,1025.187,5.9140625,6.7421875,3.4960938,-0.29467773,-0.51257324,-0.7959595,0.12994385,2791940.0,1023.8904,1026.2744,-5.5585938,8.425781,-1.8046875,0.46362305,-0.6168823,-0.63446045,0.0435791
2791990,1025.2688,1025.1892,5.796875,6.7460938,3.3789062,-0.29699707,-0.5130615,-0.7953491,0.1262207,2791960.0,1023.89355,1026.2749,-5.5976562,8.3828125,-1.84375,0.4638672,-0.6185913,-0.6323242,0.048461914
2792010,1025.3271,1025.1775,5.7226562,6.703125,3.265625,-0.29992676,-0.51379395,-0.7944946,0.1217041,2791980.0,1023.9033,1026.3044,-5.4414062,8.582031,-1.5742188,0.46380615,-0.619751,-0.63079834,0.053710938
2792030,1025.2974,1025.1672,5.7617188,6.7421875,3.109375,-0.30316162,-0.51586914,-0.7925415,0.117492676,2792000.0,1023.90625,1026.2585,-5.1757812,8.582031,-1.6875,0.46350098,-0.6203003,-0.62994385,0.059753418
2792050,1025.2856,1025.1877,5.8359375,6.7734375,2.765625,-0.30639648,-0.5192871,-0.7895508,0.11431885,2792020.0,1023.89355,1026.2634,-5.0585938,8.503906,-1.7265625,0.46350098,-0.6207886,-0.6287842,0.066467285
2792070,1025.2192,1025.1736,5.9140625,7.0078125,2.6132812,-0.30981445,-0.52301025,-0.7862549,0.11102295,2792045.0,1023.8865,1026.2744,-4.8671875,8.660156,-1.7265625,0.46411133,-0.6213379,-0.62713623,0.07269287
2792090,1025.2126,1025.1748,5.953125,7.15625,2.421875,-0.31329346,-0.5258789,-0.78356934,0.10650635,2792060.0,1023.91284,1026.2661,-4.8671875,8.5,-1.8046875,0.46539307,-0.6218262,-0.625,0.07836914
