timestamp_1,fPressureFront_1,fPressureSide_1,acceleration.x_1,acceleration.y_1,acceleration.z_1,quaternion.i_1,quaternion.j_1,quaternion.k_1,quaternion.real_1,timestamp_2,fPressureFront_2,fPressureSide_2,acceleration.x_2,acceleration.y_2,acceleration.z_2,quaternion.i_2,quaternion.j_2,quaternion.k_2,quaternion.real_2
2686795,912.5874,916.5879,4.1484375,7.6953125,-3.8828125,-0.082336426,-0.79644775,-0.5602417,0.21209717,2686835.0,912.3933,914.44434,-7.171875,6.5195312,2.3320312,0.4883423,0.39257812,-0.18920898,0.7560425
2686810,912.5867,916.61475,0.28125,9.6015625,1.2382812,0.50439453,-0.42303467,-0.46362305,0.5930176,2686840.0,912.3933,914.44434,-7.25,6.0976562,1.1835938,0.48077393,0.40203857,-0.17584229,0.7591553
2686820,912.57983,916.62866,0.203125,9.683594,1.1640625,0.5039673,-0.42352295,-0.46343994,0.5932007,2686855.0,912.3899,914.4802,-7.0039062,5.09375,-4.3710938,0.36987305,0.7729492,0.099121094,0.5058594
2686840,912.5803,916.6277,0.2421875,9.71875,1.0859375,0.50390625,-0.42407227,-0.46307373,0.5930786,2686865.0,912.3899,914.4802,-7.0820312,5.1289062,-4.4882812,0.36993408,0.77319336,0.09832764,0.50567627
2686860,912.5747,916.6194,0.43359375,9.566406,1.046875,0.5039673,-0.4244995,-0.46295166,0.5928955,2686890.0,912.37695,914.5105,-6.8867188,5.015625,-4.5234375,0.36920166,0.7736206,0.097229004,0.5057373
2686885,912.583,916.5879,0.203125,9.9453125,1.203125,0.5039673,-0.42492676,-0.4630127,0.59246826,2686905.0,912.39844,914.4592,-7.1171875,5.09375,-4.6796875,0.36895752,0.7739258,0.09661865,0.50549316
2686900,912.60034,916.58105,0.28125,9.90625,1.3164062,0.5037842,-0.4248047,-0.46325684,0.5925293,2686925.0,912.4087,914.4907,-7.0429688,5.1679688,-4.7929688,0.36883545,0.774353,0.095947266,0.50512695
2686920,912.5774,916.6011,0.3203125,9.871094,1.3554688,0.50372314,-0.42443848,-0.46331787,0.5928345,2686945.0,912.41724,914.4668,-7.0390625,5.1679688,-4.6796875,0.3685913,0.7747803,0.095458984,0.50476074
2686940,912.56934,916.5996,0.51171875,9.71875,1.3164062,0.50408936,-0.4243164,-0.46258545,0.59313965,2686970.0,912.4297,914.47974,-7.1875,5.1289062,-4.6796875,0.36828613,0.7750244,0.095458984,0.50457764
2686965,912.60376,916.58936,0.28125,9.832031,1.125,0.5048218,-0.42468262,-0.46166992,0.5930176,2686985.0,912.42334,914.4629,-7.1484375,5.1289062,-4.7539062,0.36779785,0.77508545,0.095458984,0.50476074
2686980,912.57495,916.6116,0.2421875,9.828125,1.046875,0.50512695,-0.42541504,-0.46136475,0.59246826,2687005.0,912.38086,914.49023,-7.1210938,5.1679688,-4.8710938,0.36730957,0.77508545,0.09515381,0.505188
2687000,912.5984,916.63354,0.28125,9.910156,1.0859375,0.50512695,-0.42608643,-0.46136475,0.59198,2687025.0,912.4343,914.4883,-6.921875,5.2070312,-4.8710938,0.3670044,0.77508545,0.09466553,0.50549316
2687020,912.56494,916.66187,0.39453125,9.910156,1.1640625,0.5046387,-0.42608643,-0.46154785,0.5921631,2687045.0,912.4253,914.4846,-7.1484375,5.1289062,-4.6015625,0.36688232,0.77490234,0.094055176,0.5060425
2687045,912.58887,916.6477,0.546875,9.449219,1.2773438,0.5046997,-0.42596436,-0.46118164,0.5925293,2687065.0,912.3838,914.479,-7.1171875,5.015625,-4.5625,0.36676025,0.77453613,0.09375,0.50671387
2687060,912.56396,916.62744,0.35546875,9.6796875,1.1640625,0.50512695,-0.42614746,-0.46032715,0.5927124,2687085.0,912.3782,914.468,-7.0820312,5.015625,-4.640625,0.36669922,0.77423096,0.093811035,0.5072632
2687080,912.5503,916.6001,0.39453125,9.683594,1.125,0.5053711,-0.42651367,-0.45977783,0.5927124,2687110.0,912.40674,914.4795,-7.0429688,5.1289062,-4.7929688,0.36627197,0.77404785,0.09387207,0.5078125
2687100,912.54956,916.57324,0.3203125,9.761719,1.203125,0.5053711,-0.42687988,-0.45947266,0.5927124,2687125.0,912.41675,914.48267,-7.0039062,5.1289062,-4.71875,0.36584473,0.7739258,0.09375,0.5083008
2687125,912.5845,916.62744,0.3203125,9.605469,1.203125,0.50512695,-0.42730713,-0.4593506,0.5927124,2687145.0,912.4075,914.4988,-6.9609375,5.09375,-4.640625,0.36566162,0.77368164,0.093688965,0.50878906
2687140,912.5791,916.656,0.43359375,9.5234375,1.046875,0.50494385,-0.42773438,-0.45922852,0.59259033,2687165.0,912.4348,914.49316,-6.921875,5.1289062,-4.6015625,0.36553955,0.7734375,0.09350586,0.5093994
2687160,912.5796,916.61206,0.546875,9.605469,0.93359375,0.5048218,-0.42816162,-0.45916748,0.59246826,2687190.0,912.405,914.5032,-7.0429688,5.015625,-4.6796875,0.36535645,0.7732544,0.09320068,0.50982666
2687180,912.5781,916.635,0.625,9.683594,0.89453125,0.5046997,-0.42834473,-0.4590454,0.5925293,2687205.0,912.3877,914.49,-7.1171875,4.9375,-4.6796875,0.36535645,0.77319336,0.09289551,0.50994873
2687205,912.5691,916.6272,0.35546875,9.6796875,1.1640625,0.5048218,-0.42852783,-0.45843506,0.5927124,2687225.0,912.4248,914.49976,-7.2265625,4.8242188,-4.5625,0.36553955,0.77319336,0.0927124,0.50982666
2687220,912.5757,916.63696,0.35546875,9.5234375,1.203125,0.50494385,-0.42877197,-0.4578247,0.59295654,2687245.0,912.40405,914.4663,-7.2304688,4.9023438,-4.4882812,0.36553955,0.7731323,0.0925293,0.50994873
2687245,912.5554,916.62915,0.43359375,9.5234375,1.0117188,0.5048828,-0.42913818,-0.45758057,0.5928955,2687270.0,912.4404,914.46826,-6.8867188,5.0546875,-4.5234375,0.36517334,0.7730713,0.09234619,0.510376
2687265,912.59033,916.6155,0.51171875,9.640625,0.93359375,0.5048828,-0.4296875,-0.45758057,0.5925293,2687285.0,912.4072,914.4873,-6.765625,5.1289062,-4.6015625,0.3649292,0.7731323,0.09222412,0.510437
2687285,912.5686,916.6284,0.5859375,9.7578125,0.93359375,0.50476074,-0.4300537,-0.45776367,0.5922241,2687305.0,912.41724,914.4905,-6.921875,5.0546875,-4.640625,0.36486816,0.7732544,0.09197998,0.51031494
2687300,912.58984,916.6511,0.47265625,9.722656,1.1640625,0.5043335,-0.4300537,-0.45806885,0.5923462,2687325.0,912.4263,914.4961,-7.1210938,4.9765625,-4.5625,0.36499023,0.77337646,0.091552734,0.51013184
