timestamp_1,fPressureFront_1,fPressureSide_1,acceleration.x_1,acceleration.y_1,acceleration.z_1,quaternion.i_1,quaternion.j_1,quaternion.k_1,quaternion.real_1,timestamp_2,fPressureFront_2,fPressureSide_2,acceleration.x_2,acceleration.y_2,acceleration.z_2,quaternion.i_2,quaternion.j_2,quaternion.k_2,quaternion.real_2
294775,989.72925,989.63745,1.8984375,6.640625,-5.9804688,0.763916,-0.42889404,-0.14031982,0.46124268,288085.0,989.3076,989.6221,-4.71875,6.4609375,-5.7578125,0.8241577,0.33898926,-0.10821533,0.4406128
294780,989.72925,989.6487,0.98046875,5.875,-4.5234375,0.7573242,-0.4378662,-0.2121582,0.43554688,288100.0,989.27954,989.6284,-6.0976562,6.6875,3.8984375,0.49609375,0.19152832,-0.34417725,0.7738037
294795,989.71704,989.64526,3.0117188,9.7421875,-2.1132812,0.3241577,-0.7022705,-0.46972656,0.42559814,288120.0,989.27637,989.595,-6.1367188,6.8046875,4.0898438,0.49609375,0.19104004,-0.34381104,0.77404785
294815,989.7112,989.65796,2.703125,9.3203125,-2.5351562,0.32391357,-0.7017212,-0.4713745,0.42486572,288145.0,989.34863,989.6221,-6.2109375,6.5039062,4.5078125,0.49591064,0.19067383,-0.34320068,0.77459717
294835,989.6841,989.62646,2.6289062,9.203125,-2.4570312,0.32440186,-0.70111084,-0.47314453,0.4234619,288160.0,989.3367,989.6118,-6.25,6.421875,4.625,0.4960327,0.19012451,-0.3428955,0.77471924
294855,989.73193,989.6494,2.78125,9.246094,-2.0351562,0.32574463,-0.7017212,-0.47216797,0.42248535,288180.0,989.3181,989.6282,-6.1367188,6.4648438,4.6992188,0.49639893,0.18939209,-0.3430786,0.7746582
294875,989.69727,989.6753,2.6640625,9.28125,-1.765625,0.32629395,-0.7022705,-0.47131348,0.42211914,288200.0,989.33057,989.6289,-5.984375,6.609375,4.5078125,0.49676514,0.18878174,-0.34350586,0.774353
294895,989.6704,989.6841,2.78125,9.4765625,-2.6875,0.32556152,-0.70196533,-0.47247314,0.42193604,288225.0,989.333,989.6775,-6.0585938,6.3476562,4.3945312,0.49725342,0.18847656,-0.34399414,0.7739258
294915,989.6958,989.6643,2.8203125,9.285156,-2.609375,0.324646,-0.7019043,-0.47332764,0.42181396,288240.0,989.30615,989.6404,-6.1367188,6.1171875,4.28125,0.49798584,0.18792725,-0.34448242,0.7733154
294935,989.71875,989.6804,2.9726562,9.28125,-2.5703125,0.3244629,-0.7024536,-0.47302246,0.42138672,288260.0,989.3179,989.65845,-6.0585938,6.265625,4.2421875,0.49871826,0.18737793,-0.3447876,0.77282715
294955,989.69775,989.6538,2.78125,9.511719,-2.3789062,0.3251953,-0.7027588,-0.47235107,0.42108154,288280.0,989.32983,989.646,-6.0195312,6.15625,4.3164062,0.49920654,0.18725586,-0.34454346,0.7727051
294975,989.6904,989.6738,2.3203125,9.4375,-2.0742188,0.32537842,-0.7022095,-0.47314453,0.42089844,288300.0,989.3225,989.6411,-6.0585938,6.421875,4.3945312,0.49945068,0.18719482,-0.34429932,0.77264404
294995,989.6958,989.67334,2.703125,9.128906,-2.34375,0.32513428,-0.70202637,-0.47381592,0.4206543,288320.0,989.3096,989.63916,-6.1757812,6.3476562,4.28125,0.4998169,0.18701172,-0.34448242,0.7723999
295015,989.65063,989.65454,3.125,9.019531,-2.4179688,0.32489014,-0.7022705,-0.47387695,0.4202881,288340.0,989.33887,989.6321,-6.1757812,6.3046875,4.125,0.50061035,0.1864624,-0.34503174,0.7717285
295035,989.6941,989.6738,3.0117188,9.167969,-2.609375,0.32495117,-0.7026367,-0.47369385,0.41992188,288365.0,989.3013,989.64136,-6.4804688,6.3867188,4.0898438,0.5015259,0.18579102,-0.34539795,0.77111816
295055,989.6858,989.6658,2.3203125,9.203125,-2.4960938,0.3251953,-0.7023926,-0.47406006,0.41967773,288380.0,989.354,989.63916,-6.4023438,6.1953125,4.2421875,0.50177,0.1850586,-0.34509277,0.77130127
295075,989.68555,989.6721,2.4726562,9.125,-2.3789062,0.32556152,-0.7019043,-0.4746704,0.41955566,288400.0,989.33203,989.63745,-6.0976562,6.3046875,4.3554688,0.50164795,0.1843872,-0.34484863,0.7716675
295095,989.6599,989.6416,2.8203125,9.207031,-2.265625,0.32592773,-0.701355,-0.47528076,0.41955566,288420.0,989.3164,989.6587,-6.0195312,6.34375,4.3554688,0.50164795,0.18365479,-0.34503174,0.7717285
295115,989.6821,989.68726,2.859375,9.167969,-2.34375,0.32647705,-0.7010498,-0.47540283,0.41949463,288445.0,989.32715,989.64746,-6.0195312,6.5039062,4.4335938,0.50213623,0.18292236,-0.34521484,0.7714844
295135,989.6885,989.6455,2.5117188,9.824219,-2.6875,0.32684326,-0.7010498,-0.47521973,0.41937256,288460.0,989.3313,989.6472,-6.0195312,6.5429688,4.3945312,0.50219727,0.18273926,-0.3449707,0.77160645
295155,989.6902,989.66504,2.359375,9.546875,-2.3789062,0.3270874,-0.7003174,-0.47583008,0.41973877,288480.0,989.34033,989.6106,-5.90625,6.421875,4.3945312,0.50268555,0.18237305,-0.3447876,0.7714844
295175,989.7075,989.6433,2.4375,9.2421875,-2.0351562,0.3272705,-0.6994629,-0.4767456,0.41992188,288500.0,989.32153,989.6267,-5.9453125,6.5039062,4.3164062,0.5038452,0.18170166,-0.3449707,0.77075195
295195,989.6948,989.65356,2.6289062,9.1640625,-2.1132812,0.32769775,-0.699646,-0.47650146,0.4196167,288520.0,989.33057,989.64355,-5.8671875,6.609375,4.0507812,0.5048828,0.18127441,-0.34503174,0.77020264
295215,989.6909,989.6836,2.5507812,9.4765625,-2.34375,0.32806396,-0.70043945,-0.47576904,0.4187622,288540.0,989.313,989.6328,-5.90625,6.6132812,3.9726562,0.5053711,0.18127441,-0.34484863,0.7699585
295235,989.6509,989.6404,2.78125,9.546875,-2.4179688,0.32818604,-0.7006836,-0.47607422,0.4180298,288560.0,989.3115,989.646,-6.0195312,6.6914062,3.8984375,0.505249,0.18157959,-0.34448242,0.7701416
295255,989.7363,989.6858,2.859375,9.167969,-2.1875,0.3279419,-0.70025635,-0.4765625,0.4182129,288585.0,989.30444,989.6482,-6.1367188,6.4609375,3.859375,0.50408936,0.1819458,-0.3435669,0.7711792
295275,989.7156,989.66724,2.5898438,8.675781,-1.6914062,0.32800293,-0.70007324,-0.47644043,0.41870117,288600.0,989.3174,989.64014,-6.0976562,6.3046875,3.9726562,0.5026245,0.18188477,-0.34240723,0.77264404
295295,989.6846,989.6846,2.3984375,9.128906,-2.4179688,0.32855225,-0.6994629,-0.4763794,0.41937256,288620.0,989.30005,989.63135,-5.984375,6.2304688,4.203125,0.5018921,0.18133545,-0.34106445,0.77386475
