timestamp_1,fPressureFront_1,fPressureSide_1,acceleration.x_1,acceleration.y_1,acceleration.z_1,quaternion.i_1,quaternion.j_1,quaternion.k_1,quaternion.real_1,timestamp_2,fPressureFront_2,fPressureSide_2,acceleration.x_2,acceleration.y_2,acceleration.z_2,quaternion.i_2,quaternion.j_2,quaternion.k_2,quaternion.real_2
441915,1018.99097,1018.6575,3.6875,4.1484375,8.4609375,0.300354,0.08129883,0.8125,0.49298096,676240.0,1019.11304,1018.48926,-4.0117188,5.9609375,6.9179688,0.24511719,0.29248047,0.2746582,0.88256836
441925,1018.9629,1018.7212,2.5742188,3.8398438,8.769531,0.0637207,-0.2506714,-0.5734253,0.77734375,676250.0,1019.09644,1018.48926,-3.6679688,5.3085938,7.8398438,0.25146484,-0.21746826,-0.9112549,0.24316406
441940,1018.99,1018.76465,2.5742188,3.5351562,8.84375,0.057556152,-0.24359131,-0.5782471,0.77648926,676265.0,1019.09717,1018.51904,-3.4765625,5.1171875,8.0625,0.24865723,-0.21325684,-0.91204834,0.24682617
441955,1018.9907,1018.844,2.6523438,3.265625,8.734375,0.053344727,-0.23468018,-0.58288574,0.776062,676280.0,1019.125,1018.49146,-3.1328125,4.9648438,8.449219,0.24609375,-0.21038818,-0.91259766,0.24969482
441980,1018.9778,1019.0586,2.765625,3.0742188,8.3515625,0.055725098,-0.22662354,-0.5845947,0.7770386,676300.0,1019.12085,1018.4895,-3.015625,5.0390625,8.484375,0.24481201,-0.21026611,-0.9124756,0.2515869
442000,1018.9751,1019.1975,2.3476562,3.5351562,9.078125,0.060424805,-0.21875,-0.5852661,0.7784424,676320.0,1019.0935,1018.48,-2.9804688,5.2304688,8.2578125,0.2446289,-0.21289062,-0.9116211,0.25268555
442015,1019.0244,1019.4746,2.3085938,3.4570312,9.347656,0.061767578,-0.2133789,-0.58618164,0.77911377,676340.0,1019.0969,1018.47656,-3.171875,5.6132812,7.9101562,0.24475098,-0.2166748,-0.9104614,0.25335693
442035,1019.0366,1019.55396,2.3828125,3.2265625,9.464844,0.06085205,-0.20831299,-0.58795166,0.77923584,676360.0,1019.1201,1018.5022,-3.3632812,5.7304688,7.5625,0.24432373,-0.21984863,-0.90960693,0.2541504
442060,1018.999,1019.7561,2.5,3.0351562,9.574219,0.0592041,-0.20477295,-0.58984375,0.7788696,676380.0,1019.09644,1018.4531,-3.4023438,5.6914062,7.4921875,0.24273682,-0.22149658,-0.9092407,0.2555542
442080,1018.99585,1019.86206,2.6523438,2.9609375,9.6484375,0.05871582,-0.20220947,-0.5913086,0.7785034,676405.0,1019.1033,1018.4592,-3.3242188,5.578125,7.6835938,0.24005127,-0.22216797,-0.9094238,0.25689697
