timestamp_1,fPressureFront_1,fPressureSide_1,acceleration.x_1,acceleration.y_1,acceleration.z_1,quaternion.i_1,quaternion.j_1,quaternion.k_1,quaternion.real_1,timestamp_2,fPressureFront_2,fPressureSide_2,acceleration.x_2,acceleration.y_2,acceleration.z_2,quaternion.i_2,quaternion.j_2,quaternion.k_2,quaternion.real_2
325700,1001.0647,1000.3618,-4.5976562,-7.8671875,3.6015625,-0.5114136,0.30792236,0.02130127,0.80200195,325760.0,1001.4524,1000.2705,-8.433594,5.4648438,-2.3867188,0.737854,0.2972412,-0.37072754,0.47943115
325705,1001.07056,1000.3618,-5.0585938,-7.515625,2.6835938,-0.49536133,0.35998535,-0.009338379,0.79052734,325770.0,1001.46606,1000.2771,-8.503906,4.390625,-2.6171875,0.74884033,0.26763916,-0.41723633,0.4399414
325725,1001.04517,1000.3418,-4.9453125,-7.9023438,1.6484375,0.016235352,0.6442261,-0.65997314,0.3862915,325780.0,1001.43286,1000.2678,1.3789062,8.449219,-4.6445312,0.033081055,-0.85266113,-0.5119629,0.09851074
325745,1001.05176,1000.3613,-5.0195312,-7.9765625,1.5703125,0.016296387,0.6442871,-0.66015625,0.38580322,325795.0,1001.489,1000.28564,1.1875,8.761719,-4.609375,0.032836914,-0.8526001,-0.51208496,0.09863281
325765,1001.0759,1000.3574,-5.0585938,-8.171875,1.4570312,0.016235352,0.64434814,-0.6602783,0.38549805,325815.0,1001.4507,1000.2595,1.1484375,8.640625,-4.7226562,0.032287598,-0.85198975,-0.5130615,0.099121094
325785,1001.06177,1000.395,-5.0585938,-8.214844,1.3789062,0.016357422,0.6445923,-0.66015625,0.38531494,325835.0,1001.46655,1000.26465,1.3789062,8.71875,-4.5703125,0.032043457,-0.8516846,-0.5135498,0.099121094
325805,1001.03735,1000.34033,-5.0195312,-8.171875,1.4570312,0.016784668,0.6449585,-0.6600342,0.38482666,325855.0,1001.4861,1000.27954,1.4179688,8.839844,-4.4140625,0.032104492,-0.8516846,-0.51361084,0.09869385
325825,1001.0571,1000.3584,-4.9453125,-8.175781,1.5351562,0.017333984,0.6454468,-0.65997314,0.38415527,325875.0,1001.4729,1000.33154,1.53125,8.839844,-4.3789062,0.032104492,-0.8517456,-0.5137329,0.098083496
325845,1001.07495,1000.3828,-4.90625,-8.253906,1.5351562,0.017822266,0.64593506,-0.659729,0.383667,325895.0,1001.45776,1000.2925,1.265625,8.800781,-4.609375,0.032348633,-0.8518677,-0.51361084,0.09729004
325865,1001.0869,1000.3738,-4.9453125,-8.285156,1.4179688,0.01776123,0.6461792,-0.65960693,0.38354492,325915.0,1001.4563,1000.26685,1.109375,9.1015625,-4.609375,0.032470703,-0.85162354,-0.5140991,0.09686279
325885,1001.0603,1000.34814,-5.0195312,-8.171875,1.4179688,0.01751709,0.6463623,-0.6590576,0.3840332,325935.0,1001.4802,1000.26245,1.1484375,8.8359375,-4.609375,0.032836914,-0.8508301,-0.5154419,0.09686279
325905,1001.0552,1000.36475,-4.9453125,-7.9414062,1.5351562,0.017456055,0.6468506,-0.6582031,0.3847046,325955.0,1001.46875,1000.29736,1.3398438,8.5625,-4.5703125,0.033569336,-0.8499756,-0.51672363,0.09674072
325925,1001.0835,1000.38184,-4.90625,-7.9375,1.5703125,0.01763916,0.64727783,-0.6577759,0.38476562,325975.0,1001.46484,1000.28735,1.4179688,8.839844,-4.4140625,0.034240723,-0.8493042,-0.51794434,0.096191406
325945,1001.07666,1000.3474,-4.8671875,-7.9375,1.4570312,0.017700195,0.6477051,-0.6576538,0.38427734,325995.0,1001.45264,1000.29956,1.1875,8.722656,-4.4921875,0.03466797,-0.8487549,-0.51885986,0.09576416
325965,1001.072,1000.34204,-4.90625,-7.828125,1.4179688,0.017578125,0.64819336,-0.6574707,0.38378906,326010.0,1001.4436,1000.28076,0.99609375,8.566406,-4.53125,0.034973145,-0.84820557,-0.5197754,0.095458984
325985,1001.0469,1000.35376,-4.7539062,-7.9414062,1.4960938,0.01727295,0.6486206,-0.65740967,0.38311768,326035.0,1001.4353,1000.2634,1.0703125,8.6796875,-4.53125,0.03503418,-0.8479004,-0.52038574,0.09515381
326005,1001.04736,1000.3574,-4.6757812,-8.136719,1.3398438,0.016845703,0.6487427,-0.6576538,0.38256836,326050.0,1001.47974,1000.29956,1.3007812,8.839844,-4.2226562,0.03491211,-0.8475952,-0.52093506,0.09484863
326025,1001.06055,1000.3501,-4.7890625,-8.097656,1.3789062,0.016601562,0.6489868,-0.65734863,0.3826294,326070.0,1001.4724,1000.2925,1.3789062,8.683594,-4.2226562,0.035095215,-0.84729004,-0.5214844,0.09466553
326045,1001.0857,1000.35913,-4.7890625,-8.0546875,1.4179688,0.016540527,0.649353,-0.65686035,0.38293457,326090.0,1001.4741,1000.2705,1.3789062,8.71875,-4.2617188,0.03540039,-0.84710693,-0.5217285,0.09472656
326065,1001.0642,1000.3679,-4.9453125,-8.019531,1.4960938,0.016540527,0.64953613,-0.6564331,0.38323975,326115.0,1001.4375,1000.2854,1.2265625,8.90625,-4.453125,0.0357666,-0.84698486,-0.5218506,0.09484863
326085,1001.0486,1000.3767,-5.0976562,-7.8671875,1.3046875,0.016540527,0.6497803,-0.6561279,0.38342285,326130.0,1001.4895,1000.2822,0.99609375,8.722656,-4.453125,0.036193848,-0.8468628,-0.5220337,0.09484863
326105,1001.0786,1000.36255,-5.1367188,-7.7109375,1.3046875,0.016418457,0.6502075,-0.6557007,0.38342285,326150.0,1001.46826,1000.25635,0.84375,8.605469,-4.453125,0.036743164,-0.84698486,-0.5218506,0.09466553
326125,1001.04614,1000.3699,-4.9453125,-7.7929688,1.3398438,0.016418457,0.65075684,-0.6555786,0.38269043,326170.0,1001.4888,1000.2959,0.91796875,8.71875,-4.2617188,0.036865234,-0.84698486,-0.52178955,0.09466553
326145,1001.03125,1000.36865,-4.7890625,-7.9375,1.3398438,0.016662598,0.65148926,-0.6555176,0.3815918,326195.0,1001.4895,1000.26807,1.3398438,8.644531,-4.2226562,0.036621094,-0.847229,-0.5213623,0.09490967
326165,1001.0427,1000.39404,-4.6367188,-8.019531,1.3398438,0.017150879,0.65234375,-0.6550293,0.38085938,326210.0,1001.4636,1000.2981,1.4570312,8.722656,-4.1484375,0.03643799,-0.8477173,-0.52056885,0.09509277
326185,1001.0757,1000.3557,-4.5976562,-7.8984375,1.3789062,0.01763916,0.6531372,-0.65423584,0.38079834,326230.0,1001.48926,1000.2615,1.3789062,8.6015625,-4.2226562,0.036315918,-0.8484497,-0.5192871,0.09564209
326205,1001.0679,1000.3684,-4.6757812,-7.8671875,1.4570312,0.01776123,0.6538696,-0.6534424,0.3809204,326250.0,1001.49243,1000.2759,1.265625,8.488281,-4.4140625,0.036376953,-0.84936523,-0.5177002,0.096191406
326230,1001.07446,1000.3352,-4.7890625,-7.5585938,1.3789062,0.01776123,0.6546631,-0.65270996,0.38085938,326270.0,1001.4304,1000.28296,1.109375,8.4453125,-4.609375,0.036315918,-0.85040283,-0.51586914,0.09698486
326245,1001.07056,1000.3491,-4.6367188,-7.6328125,1.3046875,0.01763916,0.65527344,-0.6524048,0.38031006,326290.0,1001.4702,1000.2749,1.1875,8.6796875,-4.4140625,0.035461426,-0.8513794,-0.5140381,0.097961426
326265,1001.0598,1000.39014,-4.6367188,-7.5195312,1.0742188,0.01751709,0.6553345,-0.652771,0.37963867,326310.0,1001.4783,1000.27954,1.3007812,8.71875,-4.109375,0.03363037,-0.852417,-0.51220703,0.099243164
326285,1001.0425,1000.3474,-4.484375,-7.3671875,0.99609375,0.01776123,0.65527344,-0.65301514,0.3793335,326335.0,1001.4619,1000.31274,1.3007812,8.261719,-4.2226562,0.03161621,-0.8531494,-0.51068115,0.101989746
326310,1001.0657,1000.3677,-4.4453125,-6.984375,1.1484375,0.018615723,0.6555786,-0.65283203,0.37902832,326350.0,1001.4866,1000.3198,1.4179688,8.0625,-4.2226562,0.029663086,-0.8548584,-0.5073242,0.10461426
326325,1001.0405,1000.33716,-4.3710938,-6.8671875,0.921875,0.020019531,0.6566162,-0.6520996,0.378479,326370.0,1001.47437,1000.3191,1.5703125,8.1015625,-4.3398438,0.027648926,-0.85809326,-0.5015869,0.10638428
