timestamp_1,fPressureFront_1,fPressureSide_1,acceleration.x_1,acceleration.y_1,acceleration.z_1,quaternion.i_1,quaternion.j_1,quaternion.k_1,quaternion.real_1,timestamp_2,fPressureFront_2,fPressureSide_2,acceleration.x_2,acceleration.y_2,acceleration.z_2,quaternion.i_2,quaternion.j_2,quaternion.k_2,quaternion.real_2
678355,986.8325,987.64087,6.7734375,6.1171875,1.3398438,0.61151123,0.07354736,0.64733887,0.44903564,694790.0,986.8677,987.51685,-6.2617188,7.6757812,1.6054688,0.4654541,0.45178223,0.07397461,0.7575073
678370,986.7993,987.6675,6.734375,0.296875,-7.0898438,0.8956299,-0.25738525,0.3475952,0.10412598,694795.0,986.84863,987.50757,-8.941406,2.8828125,2.6757812,0.58013916,0.16186523,-0.6694336,0.43493652
678390,986.8054,987.62573,6.6210938,0.21875,-7.4726562,0.8956909,-0.25793457,0.347229,0.103271484,694820.0,986.8943,987.54175,-8.9375,2.8828125,2.7148438,0.58026123,0.16241455,-0.66845703,0.43603516
678410,986.8042,987.63477,6.5820312,0.06640625,-7.3945312,0.8955078,-0.25842285,0.34753418,0.10235596,694835.0,986.8699,987.51196,-8.980469,2.8046875,2.7539062,0.5807495,0.16345215,-0.666626,0.43774414
678430,986.77637,987.62427,6.5429688,-0.05078125,-7.2460938,0.89520264,-0.25909424,0.34814453,0.101257324,694855.0,986.875,987.4944,-9.058594,2.8828125,2.6015625,0.5806885,0.16375732,-0.6654663,0.43945312
678450,986.81616,987.6245,6.6601562,-0.125,-7.0117188,0.8949585,-0.25958252,0.34869385,0.10064697,694875.0,986.86475,987.50073,-9.0546875,2.9570312,2.640625,0.5802002,0.16290283,-0.66522217,0.44073486
678470,986.8435,987.6594,6.6210938,-0.125,-7.0117188,0.8947754,-0.25982666,0.348938,0.10046387,694895.0,986.85913,987.5017,-8.8984375,3.3046875,2.7148438,0.5797119,0.16156006,-0.6651001,0.44207764
678490,986.8071,987.6516,6.5429688,0.02734375,-7.046875,0.8947754,-0.25982666,0.34899902,0.10028076,694915.0,986.88086,987.4697,-8.828125,3.4570312,2.8320312,0.5795288,0.1607666,-0.6642456,0.44396973
678510,986.79126,987.64966,6.6210938,0.06640625,-7.125,0.8947754,-0.2598877,0.3491211,0.09991455,694935.0,986.90234,987.5005,-8.7890625,3.3789062,2.9453125,0.57977295,0.16070557,-0.66223145,0.44665527
678530,986.7898,987.65796,6.6953125,0.02734375,-7.046875,0.89471436,-0.2598877,0.3491211,0.100097656,694960.0,986.8977,987.4946,-8.902344,3.2265625,2.7929688,0.5803833,0.16027832,-0.6604004,0.44873047
678550,986.80615,987.666,6.6601562,-0.01171875,-6.859375,0.8948364,-0.25976562,0.34875488,0.1005249,694975.0,986.9011,987.49194,-8.941406,3.265625,2.6015625,0.58166504,0.15875244,-0.65960693,0.4487915
678570,986.8125,987.6555,6.5429688,0.06640625,-6.96875,0.8951416,-0.25958252,0.3480835,0.10070801,694995.0,986.9165,987.5022,-9.1328125,3.3046875,2.6757812,0.5836792,0.15679932,-0.6590576,0.44769287
678590,986.7815,987.66626,6.5039062,0.140625,-7.2421875,0.89538574,-0.25952148,0.34753418,0.10064697,695015.0,986.91675,987.4956,-9.136719,3.3398438,2.640625,0.5866699,0.15454102,-0.6577759,0.44641113
678615,986.8013,987.6633,6.734375,0.1796875,-7.390625,0.89538574,-0.25958252,0.34765625,0.100097656,695035.0,986.9021,987.50903,-9.25,3.5703125,2.3320312,0.5889282,0.15319824,-0.65618896,0.44622803
678630,986.78125,987.6499,6.734375,0.1015625,-7.203125,0.89508057,-0.2597046,0.3484497,0.099731445,695055.0,986.9031,987.4951,-9.28125,3.4960938,2.4492188,0.58966064,0.15209961,-0.6553345,0.4468994
678650,986.7964,987.6426,6.6210938,-0.05078125,-6.9023438,0.8948364,-0.2597046,0.3491211,0.099487305,695075.0,986.86694,987.4802,-9.175781,3.53125,2.4492188,0.58984375,0.15045166,-0.6550293,0.4475708
678670,986.83057,987.655,6.5039062,-0.08984375,-6.7421875,0.8948364,-0.25976562,0.3493042,0.09887695,695100.0,986.9204,987.49585,-9.015625,3.7226562,2.640625,0.5901489,0.14874268,-0.6549072,0.44805908
678690,986.82056,987.6675,6.5429688,-0.05078125,-7.0117188,0.89501953,-0.25982666,0.348938,0.098083496,695115.0,986.8926,987.5166,-8.9375,3.8398438,2.7539062,0.5905762,0.14709473,-0.6543579,0.44873047
