timestamp_1,fPressureFront_1,fPressureSide_1,acceleration.x_1,acceleration.y_1,acceleration.z_1,quaternion.i_1,quaternion.j_1,quaternion.k_1,quaternion.real_1,timestamp_2,fPressureFront_2,fPressureSide_2,acceleration.x_2,acceleration.y_2,acceleration.z_2,quaternion.i_2,quaternion.j_2,quaternion.k_2,quaternion.real_2
117363,801.90137,801.83716,0.33203125,-0.25,9.863281,-0.015808105,-0.03491211,0.2796631,0.9593506,117315.0,803.9734,801.8545,0.51171875,-1.5859375,10.113281,-0.051086426,-0.038208008,0.16918945,0.9835205
117371,801.90137,801.88525,-6.5625,6.2226562,-3.8476562,0.697937,0.45648193,-0.13970947,0.5338745,117323.0,803.9241,801.8545,8.019531,-2.1992188,5.0546875,-0.4805298,-0.036010742,-0.80389404,0.34857178
117381,801.92236,801.8613,-6.6015625,6.3007812,-4.078125,0.6972656,0.4584961,-0.13879395,0.53326416,117338.0,803.9573,801.8684,8.175781,-2.1210938,5.5117188,-0.4794922,-0.0345459,-0.8048706,0.3479004
117401,801.90234,801.8374,-6.6054688,6.375,-4.2304688,0.69714355,0.46002197,-0.13848877,0.5321045,117358.0,803.95337,801.8596,8.285156,-2.65625,5.78125,-0.47943115,-0.03375244,-0.8053589,0.34698486
117421,801.90576,801.8528,-6.6796875,6.3007812,-4.0039062,0.6975708,0.4609375,-0.13903809,0.5307007,117373.0,803.95435,801.9038,8.175781,-2.4257812,5.359375,-0.47979736,-0.034118652,-0.80548096,0.34613037
117441,801.9114,801.8567,-6.5234375,6.1835938,-3.6953125,0.69799805,0.46142578,-0.13934326,0.52960205,117393.0,803.9658,801.9104,8.058594,-2.4648438,5.2460938,-0.47943115,-0.034240723,-0.8060913,0.34521484
117461,801.9248,801.85205,-6.6796875,6.109375,-3.6953125,0.697937,0.46209717,-0.1381836,0.52941895,117413.0,803.96704,801.86914,7.6757812,-2.4648438,5.015625,-0.4788208,-0.033691406,-0.8069458,0.34417725
117481,801.9192,801.8633,-6.984375,5.765625,-3.8476562,0.6973877,0.46270752,-0.13696289,0.5298462,117433.0,803.9514,801.88477,7.6367188,-2.5820312,5.09375,-0.47821045,-0.032348633,-0.8076782,0.3433838
117501,801.91187,801.886,-6.8710938,5.6484375,-4.0390625,0.6968384,0.46289062,-0.13665771,0.5305176,117453.0,803.9646,801.8872,7.5976562,-2.5429688,4.9765625,-0.477417,-0.030700684,-0.80841064,0.3428955
117521,801.9304,801.8613,-6.7578125,5.9921875,-3.9257812,0.69647217,0.46295166,-0.13726807,0.53082275,117473.0,803.9568,801.89624,7.3671875,-2.8085938,4.9375,-0.4767456,-0.02911377,-0.809021,0.3425293
