timestamp_1,fPressureFront_1,fPressureSide_1,acceleration.x_1,acceleration.y_1,acceleration.z_1,quaternion.i_1,quaternion.j_1,quaternion.k_1,quaternion.real_1,timestamp_2,fPressureFront_2,fPressureSide_2,acceleration.x_2,acceleration.y_2,acceleration.z_2,quaternion.i_2,quaternion.j_2,quaternion.k_2,quaternion.real_2
916505,1014.60986,1016.3428,5.4570312,7.828125,2.8203125,0.21569824,-0.543396,-0.4442749,0.678833,930185.0,1013.51685,1017.51685,-7.4492188,4.7304688,4.5429688,0.52508545,-0.059326172,-0.8241577,0.20373535
916510,1014.65186,1016.3428,5.6132812,7.5273438,2.703125,0.20941162,-0.5482788,-0.44476318,0.6765747,930210.0,1013.5161,1017.5571,-10.207031,-2.2421875,-0.62890625,-0.7595825,-0.019592285,0.6392212,0.11859131
916525,1014.65063,1016.34106,4.6914062,8.441406,2.2421875,0.29815674,-0.5510864,-0.4411621,0.64245605,930230.0,1013.5056,1017.52515,-10.433594,-2.4726562,-0.66796875,-0.758728,-0.018676758,0.6399536,0.12023926
916535,1014.65063,1016.3755,4.6171875,8.558594,2.0507812,0.30194092,-0.5512085,-0.44158936,0.6403198,930250.0,1013.49243,1017.52905,-10.363281,-2.3164062,-1.125,-0.75598145,-0.016540527,0.6425781,0.12365723
916555,1014.62354,1016.3406,4.578125,8.5546875,1.9375,0.30517578,-0.5510864,-0.44256592,0.6381836,930270.0,1013.5303,1017.5991,-10.128906,-1.9726562,-1.125,-0.7519531,-0.014709473,0.6465454,0.12762451
916575,1014.62695,1016.3208,4.5,8.7421875,1.7460938,0.30810547,-0.5508423,-0.44335938,0.6364136,930290.0,1013.5083,1017.5564,-9.4375,-1.5898438,-1.2773438,-0.7481079,-0.013305664,0.6503296,0.13110352
916595,1014.58325,1016.31323,4.4609375,8.78125,1.7070312,0.31072998,-0.55023193,-0.44348145,0.6356201,930310.0,1013.5078,1017.5132,-9.4765625,-0.9765625,-1.625,-0.74627686,-0.01171875,0.65234375,0.13171387
916615,1014.6138,1016.33276,4.2695312,8.941406,1.59375,0.31298828,-0.5491333,-0.44317627,0.63568115,930330.0,1013.5054,1017.5608,-9.4765625,-1.2851562,-1.7773438,-0.7457886,-0.010681152,0.6530762,0.13110352
916635,1014.63354,1016.3606,4.1953125,8.9375,1.6328125,0.3145752,-0.5476074,-0.44311523,0.63623047,930350.0,1013.50757,1017.51904,-9.667969,-1.6679688,-1.3945312,-0.7453003,-0.009277344,0.6536865,0.13098145
916655,1014.62744,1016.3137,3.8867188,8.8203125,1.6679688,0.31524658,-0.5460205,-0.4437256,0.63690186,930370.0,1013.51953,1017.5237,-9.6640625,-1.5507812,-1.125,-0.7442627,-0.0072631836,0.6546631,0.13208008
916675,1014.64404,1016.3313,3.8867188,8.8203125,1.7460938,0.31549072,-0.54437256,-0.44470215,0.6374512,930390.0,1013.52515,1017.51,-9.5546875,-1.359375,-0.89453125,-0.7424927,-0.005065918,0.65625,0.13427734
916695,1014.6355,1016.35425,3.8867188,8.714844,1.8242188,0.31573486,-0.54278564,-0.44555664,0.63812256,930410.0,1013.4856,1017.5115,-9.3984375,-1.2851562,-0.66796875,-0.74090576,-0.003967285,0.6578369,0.13537598
916715,1014.6179,1016.3352,3.8515625,8.597656,1.859375,0.3161621,-0.54125977,-0.44604492,0.63879395,930430.0,1013.5232,1017.5464,-9.4375,-1.2851562,-0.703125,-0.7406006,-0.003967285,0.65856934,0.13342285
916735,1014.6321,1016.3777,3.7734375,8.558594,1.8984375,0.3166504,-0.539978,-0.4463501,0.63952637,930450.0,1013.5283,1017.5344,-9.480469,-1.359375,-0.93359375,-0.741272,-0.0037231445,0.65844727,0.13012695
916755,1014.5852,1016.354,3.8125,8.4765625,1.9375,0.3170166,-0.5385742,-0.44683838,0.6401367,930470.0,1013.49536,1017.49976,-9.5546875,-1.359375,-0.93359375,-0.74194336,-0.0031738281,0.65844727,0.12634277
916775,1014.62476,1016.35913,3.8125,8.519531,1.9765625,0.3173828,-0.53723145,-0.44744873,0.640625,930490.0,1013.4783,1017.5088,-9.7421875,-1.5507812,-0.78125,-0.74139404,-0.001953125,0.6593628,0.12487793
916795,1014.60986,1016.3484,3.8125,8.558594,2.0898438,0.31781006,-0.53601074,-0.44812012,0.64105225,930510.0,1013.5078,1017.50244,-9.746094,-1.1679688,-0.7421875,-0.7384033,0.0007324219,0.6624756,0.1260376
916815,1014.6426,1016.3689,3.6953125,8.675781,2.2070312,0.31835938,-0.53479004,-0.4487915,0.64123535,930530.0,1013.5205,1017.4905,-9.558594,-0.74609375,-0.55078125,-0.73358154,0.003967285,0.66748047,0.12780762
916835,1014.6433,1016.38696,3.7734375,8.671875,2.1679688,0.3184204,-0.5336914,-0.44989014,0.6413574,930550.0,1013.5161,1017.50415,-9.214844,-0.82421875,-0.89453125,-0.72924805,0.0068359375,0.67181396,0.12957764
916855,1014.614,1016.3418,3.8515625,8.675781,2.1289062,0.31817627,-0.5327759,-0.45129395,0.6412964,930570.0,1013.48413,1017.5115,-9.707031,-1.7070312,-0.55078125,-0.72442627,0.0095825195,0.67614746,0.13397217
916875,1014.6345,1016.3562,3.8515625,8.746094,2.1679688,0.3180542,-0.53204346,-0.45263672,0.64105225,930590.0,1013.51074,1017.5078,-9.519531,-1.4375,-0.93359375,-0.720459,0.0115356445,0.6791992,0.13946533
916895,1014.6218,1016.353,3.9257812,8.859375,2.2070312,0.3184204,-0.5314331,-0.45373535,0.64056396,930610.0,1013.50684,1017.5266,-9.4765625,-1.5507812,-0.8203125,-0.71746826,0.013183594,0.6813965,0.14404297
916915,1014.6277,1016.3518,3.8515625,8.902344,2.1679688,0.31951904,-0.5307007,-0.4545288,0.6400757,930630.0,1013.55493,1017.4888,-9.28125,-1.9335938,-0.55078125,-0.7166748,0.015625,0.68188477,0.14569092
916935,1014.6521,1016.3308,3.7734375,9.015625,2.1679688,0.32110596,-0.5299072,-0.45495605,0.6395874,930650.0,1013.4988,1017.48315,-9.4765625,-1.8984375,-0.4765625,-0.71917725,0.019470215,0.6793823,0.14440918
916955,1014.6492,1016.3313,3.6953125,9.1328125,2.2070312,0.322937,-0.52923584,-0.45532227,0.63897705,930670.0,1013.5127,1017.4573,-9.667969,-1.5507812,-0.62890625,-0.7225952,0.023071289,0.67596436,0.14282227
916975,1014.6572,1016.3159,3.5429688,9.324219,2.2421875,0.32470703,-0.5288086,-0.45550537,0.6383667,930690.0,1013.5244,1017.4282,-9.519531,-0.78515625,-0.55078125,-0.7268677,0.027160645,0.67163086,0.14086914
916995,1014.64575,1016.33813,3.4648438,9.324219,2.28125,0.3260498,-0.52856445,-0.45562744,0.63775635,930710.0,1013.53467,1017.4353,-9.441406,-0.25,-0.66796875,-0.7316284,0.030578613,0.6669922,0.13757324
917015,1014.63696,1016.34595,3.4296875,9.28125,2.2070312,0.32702637,-0.5286255,-0.4557495,0.637146,930730.0,1013.5471,1017.49536,-9.625,-0.48046875,-0.7421875,-0.73669434,0.03265381,0.6624756,0.13189697
917035,1014.6665,1016.3242,3.4296875,9.207031,2.2421875,0.32781982,-0.52893066,-0.4557495,0.6364136,930750.0,1013.5476,1017.48975,-9.6640625,-0.78515625,-0.8203125,-0.74102783,0.03338623,0.6588745,0.125
917055,1014.6477,1016.34595,3.5820312,9.019531,2.0898438,0.32836914,-0.5293579,-0.45581055,0.6357422,930770.0,1013.5405,1017.4844,-9.863281,-0.90234375,-0.859375,-0.744751,0.033813477,0.6560669,0.11743164
917075,1014.6301,1016.3423,3.5039062,9.015625,2.0507812,0.32922363,-0.52978516,-0.45550537,0.6351929,930790.0,1013.54224,1017.4802,-9.863281,-0.82421875,-1.3554688,-0.74780273,0.034240723,0.6538696,0.11010742
917095,1014.62305,1016.3469,3.4648438,8.980469,2.015625,0.33044434,-0.53027344,-0.4547119,0.6347656,930810.0,1013.5061,1017.46387,-9.8984375,-0.7109375,-1.546875,-0.7504883,0.034423828,0.65185547,0.10333252
917115,1014.6389,1016.37036,3.5039062,8.902344,1.9765625,0.3319702,-0.53082275,-0.45324707,0.6345215,930830.0,1013.5366,1017.43823,-9.785156,-0.6328125,-1.625,-0.7526245,0.034362793,0.6503296,0.09753418
917135,1014.6228,1016.3972,3.5039062,8.859375,1.8984375,0.3336792,-0.53131104,-0.4515381,0.6343994,930850.0,1013.5752,1017.4927,-9.6640625,-0.48046875,-1.625,-0.7545166,0.034118652,0.64886475,0.0925293
917155,1014.64624,1016.40967,3.4648438,8.863281,1.9375,0.33569336,-0.53149414,-0.44976807,0.63446045,930870.0,1013.5112,1017.4597,-9.667969,-0.2890625,-1.625,-0.75616455,0.03387451,0.64764404,0.08728027
917175,1014.6362,1016.4026,3.3515625,8.9375,1.9765625,0.33776855,-0.53149414,-0.44818115,0.63446045,930890.0,1013.5945,1017.47485,-9.628906,-0.25,-1.5859375,-0.75738525,0.03338623,0.64697266,0.08154297
917195,1014.6338,1016.3518,3.2734375,8.8984375,1.9765625,0.3395996,-0.5317993,-0.44665527,0.63427734,930905.0,1013.6057,1017.4802,-9.59375,-0.25,-1.5859375,-0.75842285,0.03302002,0.6465454,0.07519531
917220,1014.646,1016.37573,3.3515625,8.980469,1.859375,0.34124756,-0.53240967,-0.4453125,0.6338501,930930.0,1013.5676,1017.4597,-9.558594,-0.25,-1.5078125,-0.7592163,0.032836914,0.64642334,0.068603516
917235,1014.6655,1016.3706,3.4296875,9.015625,1.7460938,0.34173584,-0.5327759,-0.44506836,0.63342285,930945.0,1013.61597,1017.46655,-9.59375,-0.25,-1.5078125,-0.75994873,0.032836914,0.64624023,0.061767578
917255,1014.6362,1016.3843,3.5039062,9.09375,1.7460938,0.3418579,-0.53326416,-0.4454956,0.6326904,930970.0,1013.573,1017.4768,-9.558594,-0.25,-1.46875,-0.7607422,0.03289795,0.645813,0.05529785
917275,1014.6509,1016.36523,3.6210938,9.246094,1.7070312,0.34161377,-0.5336304,-0.4463501,0.631897,930990.0,1013.5874,1017.4614,-9.597656,-0.171875,-1.46875,-0.76190186,0.032714844,0.64501953,0.049072266
917300,1014.65796,1016.3865,3.8867188,9.285156,1.6679688,0.34136963,-0.5338745,-0.4472046,0.6312256,931010.0,1013.5906,1017.46704,-9.785156,0.2109375,-1.46875,-0.7632446,0.03173828,0.6439209,0.042053223
917315,1014.6472,1016.395,3.9257812,9.28125,1.6679688,0.34136963,-0.53393555,-0.44763184,0.6308594,931025.0,1013.5591,1017.4236,-9.8203125,0.32421875,-1.546875,-0.76416016,0.030578613,0.6432495,0.03692627
917335,1014.6333,1016.36035,3.8867188,9.3203125,1.6679688,0.3416748,-0.5338745,-0.44763184,0.63079834,931045.0,1013.5542,1017.4133,-9.746094,0.40234375,-1.6640625,-0.76483154,0.02911377,0.64276123,0.032104492
917355,1014.6245,1016.36646,3.8867188,9.402344,1.6679688,0.3421631,-0.53356934,-0.4473877,0.6309204,931070.0,1013.57007,1017.4507,-9.746094,0.32421875,-1.6992188,-0.7651367,0.027893066,0.6425781,0.028808594
917380,1014.6216,1016.3733,3.734375,9.3984375,1.7070312,0.3427124,-0.5331421,-0.44714355,0.63116455,931085.0,1013.5791,1017.459,-9.863281,0.36328125,-1.7382812,-0.76519775,0.02722168,0.6427002,0.026733398
917395,1014.65283,1016.3911,3.6210938,9.3203125,1.7070312,0.3433838,-0.5326538,-0.4467163,0.63153076,931105.0,1013.5906,1017.44946,-9.785156,0.36328125,-1.7773438,-0.76501465,0.026977539,0.64294434,0.024780273
917415,1014.6372,1016.3816,3.5429688,9.285156,1.7851562,0.34405518,-0.53234863,-0.44610596,0.63183594,931125.0,1013.56665,1017.42334,-9.6640625,0.40234375,-1.8554688,-0.7650757,0.026672363,0.6430664,0.022216797
917435,1014.6306,1016.4026,3.5820312,9.203125,1.8242188,0.34472656,-0.53222656,-0.44543457,0.6320801,931150.0,1013.5991,1017.4397,-9.6640625,0.36328125,-1.8554688,-0.765625,0.026306152,0.64245605,0.018493652
917460,1014.6455,1016.39624,3.6210938,9.058594,1.9375,0.34545898,-0.5322876,-0.44451904,0.63220215,931165.0,1013.563,1017.4204,-9.707031,0.32421875,-1.8554688,-0.76678467,0.026306152,0.64123535,0.012878418
917475,1014.6316,1016.4077,3.734375,9.0546875,1.9375,0.34606934,-0.5325928,-0.44360352,0.6323242,931185.0,1013.59814,1017.46533,-9.824219,0.28515625,-1.9296875,-0.7680664,0.02709961,0.6397705,0.0059814453
917495,1014.62646,1016.4009,3.7734375,9.058594,1.8984375,0.3461914,-0.53271484,-0.44317627,0.6324463,931210.0,1013.6033,1017.46436,-9.703125,0.5546875,-1.96875,0.7694702,-0.028198242,-0.6380005,0.0015258789
917515,1014.6399,1016.39233,3.8125,9.0546875,1.8984375,0.3460083,-0.5324707,-0.44335938,0.63256836,931230.0,1013.59717,1017.4314,-9.5546875,0.859375,-2.0078125,0.7713623,-0.028930664,-0.63568115,0.010131836
917540,1014.64136,1016.3955,3.6210938,8.78125,2.015625,0.34606934,-0.5321045,-0.44360352,0.63275146,931245.0,1013.5708,1017.4541,-9.441406,0.8984375,-2.0078125,0.7729492,-0.029418945,-0.6335449,0.016906738
917555,1014.657,1016.37866,3.5429688,8.7109375,2.0898438,0.34674072,-0.5319824,-0.44311523,0.63275146,931265.0,1013.6128,1017.459,-9.363281,0.9765625,-2.0078125,0.7752075,-0.030517578,-0.6304321,0.025817871
917575,1014.6218,1016.40845,3.4648438,8.785156,2.2070312,0.34796143,-0.53222656,-0.44195557,0.6326904,931290.0,1013.6282,1017.42236,-9.324219,1.1289062,-1.890625,0.77783203,-0.032104492,-0.6265869,0.03564453
917595,1014.64233,1016.4275,3.3515625,8.8203125,2.1289062,0.3491211,-0.53271484,-0.44085693,0.63238525,931305.0,1013.5906,1017.4304,-9.4765625,1.359375,-2.046875,0.78015137,-0.03314209,-0.62316895,0.043701172
917620,1014.6345,1016.3738,3.3125,8.824219,2.015625,0.35003662,-0.5336914,-0.44000244,0.63171387,931325.0,1013.62646,1017.41113,-9.628906,1.5898438,-2.0820312,0.7813721,-0.033569336,-0.6212158,0.04852295
917635,1014.6411,1016.3894,3.390625,8.859375,1.9375,0.35040283,-0.5350342,-0.4393921,0.6307373,931345.0,1013.5945,1017.42285,-9.707031,1.8554688,-2.1601562,0.7810669,-0.033935547,-0.621521,0.049743652
917655,1014.65234,1016.4153,3.5429688,8.785156,1.7851562,0.35021973,-0.536499,-0.43927002,0.6296997,931370.0,1013.62866,1017.4048,-9.667969,1.6289062,-2.3515625,0.77948,-0.034851074,-0.6237793,0.045837402
917675,1014.6367,1016.3999,3.6953125,8.785156,1.7070312,0.34973145,-0.5380249,-0.43945312,0.6286011,931385.0,1013.61035,1017.41113,-9.7421875,1.78125,-2.2382812,0.77801514,-0.03552246,-0.62597656,0.040405273
917700,1014.62866,1016.42334,4.0039062,8.714844,1.515625,0.34906006,-0.5394287,-0.4399414,0.6273804,931405.0,1013.6238,1017.43994,-9.902344,1.8554688,-2.1210938,0.77563477,-0.03540039,-0.6293335,0.03253174
917715,1014.6467,1016.42236,4.1171875,8.78125,1.4023438,0.3482666,-0.5407715,-0.44067383,0.62615967,931425.0,1013.66016,1017.4121,-9.7421875,1.78125,-2.1601562,0.7727661,-0.034118652,-0.6333618,0.023864746
917735,1014.59985,1016.41113,4.1953125,8.863281,1.3632812,0.34777832,-0.54174805,-0.44158936,0.625,931445.0,1013.647,1017.4336,-9.707031,1.703125,-1.8554688,0.7696533,-0.032226562,-0.6374512,0.015686035
