timestamp_1,fPressureFront_1,fPressureSide_1,acceleration.x_1,acceleration.y_1,acceleration.z_1,quaternion.i_1,quaternion.j_1,quaternion.k_1,quaternion.real_1,timestamp_2,fPressureFront_2,fPressureSide_2,acceleration.x_2,acceleration.y_2,acceleration.z_2,quaternion.i_2,quaternion.j_2,quaternion.k_2,quaternion.real_2
24455,749.969,750.71265,-1.2304688,9.4453125,1.4648438,0.58062744,-0.26812744,-0.4071045,0.6520996,7095.0,751.04224,749.50366,3.796875,-3.6484375,8.4375,-0.1954956,-0.19519043,-0.010192871,0.9610596
24470,749.93384,750.67114,-1.15625,9.292969,1.5,0.5809326,-0.2685547,-0.40686035,0.65179443,7105.0,751.0591,749.4988,3.8710938,-3.6484375,8.359375,-0.1953125,-0.19537354,-0.0099487305,0.96099854
24480,749.93384,750.67114,-1.1171875,9.292969,1.5,0.5812988,-0.26916504,-0.40655518,0.6514282,7120.0,751.0112,749.5166,3.9101562,-3.6484375,8.28125,-0.19506836,-0.19555664,-0.009643555,0.9610596
24495,749.94727,750.67285,-1.0039062,9.410156,1.3476562,0.5823364,-0.2701416,-0.4058838,0.65057373,7140.0,751.0271,749.50244,3.796875,-3.609375,8.402344,-0.19488525,-0.19567871,-0.0095825195,0.9610596
24510,749.9907,750.6299,-1.078125,9.5234375,1.3476562,0.58288574,-0.2705078,-0.40545654,0.6502075,7160.0,751.0393,749.5088,3.8710938,-3.609375,8.324219,-0.19470215,-0.19573975,-0.0095825195,0.9610596
24530,750.0283,750.6387,-1.0390625,9.484375,1.3476562,0.58288574,-0.27044678,-0.40533447,0.65026855,7180.0,751.011,749.4929,3.9101562,-3.5703125,8.3203125,-0.19451904,-0.19561768,-0.0095825195,0.9611206
24550,749.9856,750.6135,-1.078125,9.3671875,1.4648438,0.58258057,-0.2701416,-0.40533447,0.65063477,7200.0,751.0261,749.49243,3.8710938,-3.5703125,8.363281,-0.19433594,-0.1954956,-0.009643555,0.96118164
24570,749.97046,750.59985,-1.078125,9.183594,1.578125,0.5822754,-0.27008057,-0.40527344,0.651001,7220.0,751.00073,749.5088,3.8710938,-3.609375,8.359375,-0.19421387,-0.19543457,-0.00982666,0.9612427
24590,749.9895,750.5908,-1.0390625,9.144531,1.578125,0.5826416,-0.2699585,-0.40509033,0.6508179,7240.0,750.99927,749.5088,3.8359375,-3.609375,8.3984375,-0.1940918,-0.1953125,-0.010131836,0.9613037
24610,749.9575,750.58105,-1.1171875,9.292969,1.578125,0.5831299,-0.2697754,-0.4046631,0.6506958,7260.0,751.05005,749.52563,3.8359375,-3.609375,8.441406,-0.19390869,-0.19525146,-0.010437012,0.96136475
24630,749.97314,750.59155,-1.15625,9.332031,1.65625,0.5828247,-0.2694702,-0.40472412,0.651062,7280.0,751.03735,749.50195,3.6796875,-3.4960938,8.441406,-0.19372559,-0.19561768,-0.010620117,0.9613037
24650,750.00244,750.5725,-1.2304688,9.21875,1.7304688,0.5823364,-0.269104,-0.4052124,0.6513672,7300.0,751.01,749.4868,3.8359375,-3.5703125,8.285156,-0.19354248,-0.19628906,-0.010375977,0.96118164
24670,749.96387,750.6116,-1.2304688,9.183594,1.7304688,0.58221436,-0.2689209,-0.40545654,0.6513672,7320.0,751.03345,749.49414,3.9101562,-3.609375,8.2421875,-0.19329834,-0.19665527,-0.010253906,0.96118164
24690,749.97437,750.6074,-1.1953125,9.1015625,1.7304688,0.5831299,-0.26922607,-0.4052124,0.65063477,7340.0,751.0227,749.4978,3.9101562,-3.53125,8.359375,-0.1930542,-0.19683838,-0.010375977,0.96118164
24715,749.9463,750.60767,-1.1171875,9.410156,1.5,0.5839844,-0.26971436,-0.4048462,0.6498413,7360.0,751.0132,749.51245,3.8710938,-3.4570312,8.402344,-0.19293213,-0.19696045,-0.010437012,0.96118164
24730,749.9319,750.6301,-1.1171875,9.410156,1.5390625,0.58465576,-0.26989746,-0.40472412,0.64923096,7380.0,751.0547,749.49146,3.796875,-3.4570312,8.480469,-0.19293213,-0.19714355,-0.010498047,0.96118164
24750,749.928,750.678,-1.15625,9.5234375,1.4648438,0.5845947,-0.26971436,-0.40490723,0.649292,7400.0,750.9968,749.5227,3.8359375,-3.53125,8.3984375,-0.19299316,-0.19750977,-0.010498047,0.9610596
24770,749.94165,750.7202,-1.078125,9.4453125,1.578125,0.58410645,-0.26934814,-0.4050293,0.6497803,7420.0,750.9922,749.4751,3.9101562,-3.5703125,8.363281,-0.19299316,-0.19793701,-0.010314941,0.9609375
24795,750.0176,750.7693,-1.2304688,9.2890625,1.7695312,0.5845337,-0.26898193,-0.4046631,0.6497803,7440.0,750.9966,749.5034,3.9101562,-3.5703125,8.402344,-0.19299316,-0.19854736,-0.010253906,0.9608154
24810,749.95557,750.78394,-1.3476562,9.328125,1.7695312,0.58514404,-0.26940918,-0.4039917,0.6494751,7460.0,751.02075,749.4988,3.8710938,-3.609375,8.359375,-0.19293213,-0.19909668,-0.010253906,0.9607544
24830,749.99854,750.875,-1.1953125,9.371094,1.7304688,0.5857544,-0.2699585,-0.40350342,0.6489868,7480.0,751.0022,749.499,3.9492188,-3.7265625,8.203125,-0.19299316,-0.19946289,-0.010681152,0.9606323
24850,749.98364,750.88086,-1.3085938,9.3671875,1.6914062,0.5859375,-0.27044678,-0.40338135,0.64868164,7500.0,751.02344,749.4883,3.796875,-3.53125,8.402344,-0.1930542,-0.19976807,-0.011352539,0.9605713
24870,749.95166,750.94824,-1.078125,9.21875,1.578125,0.5861206,-0.2711792,-0.40307617,0.6484375,7520.0,751.01074,749.5049,3.8710938,-3.53125,8.359375,-0.19293213,-0.20031738,-0.011657715,0.96051025
24890,749.96655,750.96387,-1.078125,9.144531,1.5,0.5873413,-0.2720337,-0.40222168,0.647522,7540.0,751.0371,749.5217,3.8710938,-3.53125,8.441406,-0.19268799,-0.2008667,-0.01159668,0.9603882
24910,749.97,750.97314,-1.15625,9.3671875,1.3476562,0.5887451,-0.2730713,-0.401062,0.6465454,7560.0,751.00024,749.4973,3.8710938,-3.5703125,8.402344,-0.19268799,-0.20159912,-0.011413574,0.9602661
24930,749.9834,750.9812,-1.15625,9.371094,1.3085938,0.5895996,-0.2738037,-0.40039062,0.645813,7580.0,751.00073,749.51196,4.0625,-3.53125,8.2421875,-0.19250488,-0.20239258,-0.011108398,0.96014404
24950,749.95386,750.9675,-1.0390625,9.3671875,1.1953125,0.5904541,-0.27441406,-0.39996338,0.64501953,7600.0,751.00244,749.46826,4.1015625,-3.4960938,8.207031,-0.19226074,-0.20281982,-0.010925293,0.960083
24970,749.96655,750.9702,-1.0390625,9.488281,1.1171875,0.5908203,-0.27478027,-0.39978027,0.6446533,7620.0,750.99927,749.48267,4.0625,-3.4179688,8.285156,-0.19207764,-0.20306396,-0.010925293,0.960083
24990,749.9778,750.9795,-0.96484375,9.40625,1.15625,0.5910034,-0.2748413,-0.39971924,0.64453125,7640.0,751.0144,749.5127,3.9882812,-3.4960938,8.3203125,-0.19232178,-0.2029419,-0.011169434,0.960022
25015,749.97217,750.9873,-1.0390625,9.488281,1.234375,0.59143066,-0.2750244,-0.399292,0.64434814,7660.0,750.98926,749.4905,3.9101562,-3.5703125,8.402344,-0.19293213,-0.20275879,-0.011474609,0.95996094
25030,749.9763,751.00903,-1.0390625,9.410156,1.3085938,0.59155273,-0.27520752,-0.39892578,0.64434814,7680.0,750.9983,749.53955,3.8710938,-3.53125,8.3984375,-0.19329834,-0.20281982,-0.011657715,0.9598999
25050,749.9873,750.9929,-1.078125,9.3671875,1.3867188,0.59173584,-0.27508545,-0.3986206,0.6444092,7700.0,751.02,749.5054,3.9101562,-3.5703125,8.285156,-0.19360352,-0.20300293,-0.01159668,0.95977783
25070,749.96387,751.05176,-1.1171875,9.371094,1.4257812,0.59173584,-0.27496338,-0.39849854,0.6445923,7720.0,751.0332,749.50244,3.9492188,-3.6484375,8.3203125,-0.19403076,-0.20300293,-0.0115356445,0.9597168
25095,749.9436,751.0928,-1.0390625,9.144531,1.4257812,0.5921631,-0.27514648,-0.39813232,0.6442871,7740.0,751.0442,749.4812,3.9101562,-3.5703125,8.3203125,-0.19445801,-0.20300293,-0.011474609,0.9595947
25110,749.9785,751.0752,-1.078125,9.1796875,1.3867188,0.5934448,-0.2756958,-0.39733887,0.6433716,7760.0,751.02905,749.4946,3.8710938,-3.5703125,8.3203125,-0.19494629,-0.2029419,-0.011291504,0.9595337
25130,749.96606,751.0752,-1.078125,9.222656,1.3476562,0.5953369,-0.2765503,-0.39593506,0.6421509,7780.0,751.052,749.51025,3.9101562,-3.6875,8.3203125,-0.1954956,-0.20288086,-0.011047363,0.9594116
25150,749.95483,751.1057,-1.0390625,9.21875,1.3085938,0.59710693,-0.2772827,-0.3949585,0.6408081,7800.0,751.022,749.51904,3.9101562,-3.6484375,8.324219,-0.19604492,-0.20281982,-0.010986328,0.9593506
25170,749.9697,751.1145,-1.0390625,9.328125,1.0820312,0.59832764,-0.277771,-0.3945923,0.63964844,7820.0,751.0176,749.50244,3.796875,-3.6875,8.3984375,-0.19689941,-0.20281982,-0.011108398,0.9591675
25190,749.9387,751.16187,-1.1171875,9.3671875,1.0429688,0.5991211,-0.2779541,-0.3947754,0.6386719,7840.0,751.0073,749.50366,3.8710938,-3.6484375,8.3984375,-0.19787598,-0.20300293,-0.011108398,0.95892334
25210,749.97266,751.15845,-1.1171875,9.488281,0.92578125,0.59954834,-0.2779541,-0.39538574,0.63793945,7860.0,751.0139,749.4973,3.9882812,-3.7265625,8.246094,-0.19897461,-0.203125,-0.010986328,0.9586792
25230,749.9785,751.18286,-1.0039062,9.484375,0.92578125,0.5999756,-0.27807617,-0.39556885,0.6373291,7880.0,751.0298,749.5088,3.9492188,-3.8007812,8.285156,-0.19976807,-0.20318604,-0.010864258,0.9584961
25250,749.9617,751.1848,-0.92578125,9.5234375,0.8125,0.6008301,-0.2779541,-0.3955078,0.6366577,7900.0,751.0193,749.521,3.9492188,-3.8007812,8.285156,-0.20019531,-0.20343018,-0.010620117,0.958313
25270,749.9617,751.21313,-1.1171875,9.488281,0.890625,0.6019287,-0.27770996,-0.39489746,0.63604736,7920.0,751.0034,749.5051,3.9492188,-3.7617188,8.2421875,-0.20043945,-0.20379639,-0.010314941,0.95825195
25290,749.9619,751.21533,-1.1953125,9.527344,0.96484375,0.60253906,-0.2774048,-0.39440918,0.6359253,7940.0,751.05493,749.4968,3.9882812,-3.7265625,8.246094,-0.20062256,-0.2043457,-0.010131836,0.95806885
25310,749.959,751.23193,-1.2304688,9.527344,1.0429688,0.6026001,-0.27685547,-0.39453125,0.6361084,7960.0,750.98755,749.5112,4.0273438,-3.6484375,8.2421875,-0.20074463,-0.20465088,-0.009887695,0.9579468
25330,749.9968,751.3003,-1.1953125,9.328125,1.1171875,0.6026001,-0.2765503,-0.39465332,0.6361084,7980.0,750.9934,749.4873,4.21875,-3.6484375,8.015625,-0.20092773,-0.2041626,-0.00982666,0.9580078
25350,749.9675,751.271,-1.1953125,9.332031,1.0820312,0.6032715,-0.27630615,-0.3945923,0.6356201,8000.0,750.99414,749.5254,3.9101562,-3.7265625,8.402344,-0.2010498,-0.20318604,-0.010192871,0.9581909
25370,749.94775,751.32886,-1.2695312,9.484375,1.0039062,0.6040039,-0.27618408,-0.3942871,0.6351929,8020.0,750.9773,749.50366,3.8710938,-3.6484375,8.3984375,-0.20098877,-0.20288086,-0.010253906,0.958313
25395,749.96216,751.3528,-1.3476562,9.527344,0.96484375,0.60406494,-0.27593994,-0.39434814,0.6351929,8040.0,751.01904,749.53076,3.9101562,-3.7265625,8.285156,-0.20080566,-0.20269775,-0.010131836,0.958374
25410,749.9607,751.3545,-1.2304688,9.371094,1.0039062,0.60375977,-0.27563477,-0.39465332,0.635376,8060.0,751.0105,749.5376,3.9492188,-3.8007812,8.246094,-0.20043945,-0.20245361,-0.0099487305,0.9584961
25430,749.9343,751.32275,-1.2304688,9.253906,1.0429688,0.60443115,-0.27563477,-0.3942871,0.63494873,8080.0,750.9856,749.52075,3.9101562,-3.6484375,8.324219,-0.20037842,-0.20233154,-0.010192871,0.9585571
25450,749.9624,751.35547,-1.1953125,9.292969,0.96484375,0.6060791,-0.27593994,-0.39312744,0.6340332,8100.0,750.97925,749.5188,3.9101562,-3.6875,8.3203125,-0.20043945,-0.20239258,-0.010253906,0.9584961
25470,749.99976,751.34863,-1.3085938,9.5625,0.890625,0.607605,-0.27624512,-0.3920288,0.6331177,8120.0,751.0244,749.49854,3.9492188,-3.6875,8.324219,-0.20062256,-0.20263672,-0.010253906,0.95843506
25490,749.9939,751.29395,-1.3085938,9.6015625,0.890625,0.60754395,-0.2758789,-0.3922119,0.6331787,8140.0,751.0244,749.51465,3.9492188,-3.7265625,8.441406,-0.20098877,-0.2033081,-0.010131836,0.9581909
25510,749.97925,751.292,-1.3085938,9.5234375,1.0039062,0.6064453,-0.27520752,-0.3932495,0.63391113,8160.0,751.0088,749.5242,3.8710938,-4.0703125,8.3203125,-0.20111084,-0.20471191,-0.010070801,0.95788574
25530,749.95435,751.27124,-1.1953125,9.332031,1.0429688,0.605896,-0.2748413,-0.39385986,0.6342163,8180.0,751.01416,749.5239,4.2539062,-3.7617188,7.9414062,-0.2006836,-0.20568848,-0.010437012,0.9577637
25550,749.9929,751.20166,-1.1953125,9.371094,1.0820312,0.6064453,-0.2748413,-0.39343262,0.63397217,8200.0,751.0322,749.4956,4.21875,-3.5703125,7.859375,-0.20135498,-0.20483398,-0.01159668,0.9577637
25570,750.00244,751.21655,-1.3085938,9.449219,1.0820312,0.60736084,-0.27490234,-0.3927002,0.6335449,8220.0,751.0447,749.4778,3.6054688,-3.6875,8.3984375,-0.20404053,-0.20147705,-0.0138549805,0.95788574
25590,749.9595,751.1902,-1.3476562,9.488281,1.0820312,0.6077881,-0.2750244,-0.39227295,0.6333008,8240.0,751.0271,749.52466,3.9101562,-3.9179688,7.7929688,-0.20574951,-0.1984253,-0.015014648,0.9581299
25615,749.9812,751.17993,-1.2304688,9.449219,0.890625,0.607605,-0.2748413,-0.39227295,0.6335449,8260.0,751.0415,749.5034,3.9882812,-4.4140625,7.7109375,-0.20837402,-0.1932373,-0.018310547,0.9585571
25630,749.97656,751.20703,-1.5390625,9.144531,1.1171875,0.6077881,-0.27478027,-0.39215088,0.6334839,8285.0,751.02,749.53784,3.4140625,-3.6875,8.902344,-0.20959473,-0.1899414,-0.020935059,0.95892334
25650,749.9768,751.1636,-1.5390625,9.332031,0.92578125,0.60858154,-0.27526855,-0.3922119,0.6324463,8300.0,751.04736,749.53345,3.6054688,-3.8007812,8.746094,-0.20977783,-0.18847656,-0.021606445,0.9591675
25670,749.9426,751.1133,-1.5,9.828125,0.8125,0.60876465,-0.2758789,-0.3920288,0.6321411,8320.0,751.0288,749.54663,3.5664062,-3.9921875,8.667969,-0.20953369,-0.18817139,-0.021362305,0.95928955
25695,749.9658,751.1836,-0.65625,8.7578125,1.1171875,0.60827637,-0.276062,-0.39154053,0.63287354,8340.0,751.0237,749.54297,3.71875,-3.8789062,8.4375,-0.20965576,-0.18835449,-0.0211792,0.9592285
25710,749.96704,751.1216,-1.15625,9.484375,0.6953125,0.6095581,-0.27642822,-0.3902588,0.63220215,8360.0,751.0183,749.5244,3.9101562,-3.8789062,8.246094,-0.21014404,-0.18823242,-0.02130127,0.9591675
25730,749.9324,751.072,-1.2695312,9.566406,1.0820312,0.60980225,-0.27703857,-0.39038086,0.63165283,8380.0,750.99976,749.4883,3.9101562,-3.8789062,8.207031,-0.21038818,-0.18774414,-0.021606445,0.9591675
25750,749.95557,751.0823,-0.96484375,9.636719,0.50390625,0.6091919,-0.2772827,-0.3909912,0.6317749,8400.0,751.0222,749.50635,3.8359375,-3.8789062,8.207031,-0.21032715,-0.18688965,-0.021850586,0.9593506
25775,749.9702,751.1155,-0.96484375,9.253906,0.58203125,0.6090088,-0.27722168,-0.39093018,0.63201904,8425.0,751.0022,749.5112,3.6445312,-3.8789062,8.246094,-0.20996094,-0.18560791,-0.021911621,0.95965576
25790,749.99756,751.0925,-1.1171875,9.2890625,0.66015625,0.6090088,-0.27697754,-0.39086914,0.6321411,8440.0,751.04517,749.51294,3.5273438,-3.8789062,8.402344,-0.2097168,-0.18408203,-0.021972656,0.960022
25810,749.9883,751.0613,-1.1953125,9.410156,0.58203125,0.6087036,-0.27661133,-0.39123535,0.63238525,8460.0,751.0242,749.51855,3.5273438,-3.8007812,8.441406,-0.20983887,-0.1829834,-0.022277832,0.9602051
25830,749.9966,751.0657,-1.15625,9.5234375,0.54296875,0.60772705,-0.27575684,-0.39227295,0.63305664,8480.0,751.0244,749.51685,3.5273438,-3.7617188,8.363281,-0.21032715,-0.18200684,-0.022766113,0.9602661
25850,749.99365,751.06714,-1.3085938,9.6328125,0.6953125,0.6062622,-0.2746582,-0.39318848,0.6343384,8500.0,751.03735,749.5034,3.5273438,-3.6875,8.285156,-0.21087646,-0.18121338,-0.023132324,0.9602661
25870,749.98413,751.0764,-1.1953125,9.5625,0.8515625,0.60479736,-0.27355957,-0.39367676,0.6359253,8520.0,751.0239,749.4922,3.5664062,-3.6484375,8.285156,-0.21148682,-0.18041992,-0.02331543,0.96032715
25890,750.0,751.07666,-1.1953125,9.222656,1.15625,0.60479736,-0.27288818,-0.39276123,0.6367798,8540.0,751.00854,749.5156,3.6054688,-3.6484375,8.285156,-0.21240234,-0.17938232,-0.023254395,0.9602661
25910,749.9863,751.08716,-1.5,9.1796875,1.3476562,0.6063843,-0.27368164,-0.39050293,0.63635254,8560.0,751.0427,749.49756,3.6054688,-3.6875,8.28125,-0.21362305,-0.17810059,-0.023132324,0.9602661
25930,749.97095,751.0222,-1.5,9.949219,1.0429688,0.6060791,-0.27423096,-0.3897705,0.6367798,8580.0,751.0344,749.50806,3.5273438,-3.9921875,8.3984375,-0.21514893,-0.1765747,-0.02319336,0.9602051
25950,749.9956,751.0349,-1.2304688,9.7890625,1.2734375,0.60235596,-0.27337646,-0.39208984,0.6392822,8600.0,751.0061,749.51294,3.4492188,-3.9921875,8.558594,-0.21710205,-0.17523193,-0.023620605,0.960022
25970,749.9617,751.03174,-1.078125,9.5234375,1.3867188,0.597229,-0.27172852,-0.39562988,0.6425781,8620.0,751.0547,749.5515,3.5273438,-4.109375,8.480469,-0.21936035,-0.17401123,-0.024108887,0.9597168
25990,749.9946,751.0327,-1.078125,9.222656,1.4648438,0.5930176,-0.2705078,-0.39837646,0.6453247,8640.0,751.0508,749.5322,3.3359375,-4.3359375,8.324219,-0.22155762,-0.1729126,-0.024536133,0.9594116
26010,749.9973,751.0188,-1.2304688,9.3671875,1.5,0.58917236,-0.26953125,-0.40081787,0.6477661,8660.0,751.0552,749.522,3.296875,-4.4140625,8.246094,-0.22314453,-0.171875,-0.024902344,0.9591675
26030,750.01074,751.0637,-1.15625,9.371094,1.4257812,0.5845947,-0.2685547,-0.40386963,0.6503906,8680.0,751.04297,749.53174,3.2226562,-4.375,8.285156,-0.22454834,-0.17089844,-0.02545166,0.9590454
26050,749.97705,751.00146,-1.1171875,9.292969,1.5,0.57873535,-0.26745605,-0.40802002,0.6535034,8700.0,751.02515,749.52856,3.296875,-4.3359375,8.207031,-0.22570801,-0.16973877,-0.026123047,0.95892334
26075,750.0144,750.9121,-1.2304688,9.371094,1.8476562,0.57147217,-0.26574707,-0.41345215,0.6571655,8720.0,751.0625,749.54834,3.3359375,-4.2617188,8.207031,-0.22650146,-0.16815186,-0.026916504,0.9589844
26090,750.01807,750.8425,-1.2304688,9.292969,2.1914062,0.5626831,-0.26385498,-0.42053223,0.66101074,8740.0,751.02124,749.50757,3.3359375,-4.2617188,8.285156,-0.22686768,-0.16644287,-0.027770996,0.9591675
26110,749.9917,750.7258,-1.1171875,9.328125,2.1914062,0.5550537,-0.26239014,-0.42651367,0.6641846,8760.0,751.0381,749.5198,3.2226562,-4.1835938,8.558594,-0.22723389,-0.16522217,-0.028442383,0.95928955
26130,749.9905,750.71265,-1.2304688,9.183594,2.5742188,0.5491333,-0.26159668,-0.42974854,0.66729736,8785.0,751.04517,749.5227,3.3359375,-4.1445312,8.515625,-0.22796631,-0.1642456,-0.028869629,0.95928955
