timestamp_1,fPressureFront_1,fPressureSide_1,acceleration.x_1,acceleration.y_1,acceleration.z_1,quaternion.i_1,quaternion.j_1,quaternion.k_1,quaternion.real_1,timestamp_2,fPressureFront_2,fPressureSide_2,acceleration.x_2,acceleration.y_2,acceleration.z_2,quaternion.i_2,quaternion.j_2,quaternion.k_2,quaternion.real_2
533275,1014.27344,1014.16284,8.738281,2.6796875,-6.8554688,-0.69873047,-0.5291748,-0.46185303,0.13568115,563090.0,1015.66235,1015.2344,-8.511719,1.7226562,4.8359375,0.45611572,0.23864746,-0.6044922,0.60791016
533280,1014.27344,1014.1616,7.546875,4.1757812,-6.8554688,-0.7149048,-0.47277832,-0.49920654,0.12713623,563095.0,1015.6284,1015.2344,-6.9765625,2.2226562,4.6796875,0.44195557,0.24139404,-0.5840454,0.6365967
533295,1014.2854,1014.1548,6.3203125,1.8398438,-7.6992188,-0.7335205,-0.57836914,-0.32330322,0.1515503,563105.0,1015.6284,1015.2046,-7.8984375,1.4179688,5.1015625,0.472229,0.05230713,-0.8391113,0.26489258
533305,1014.2969,1014.1636,6.28125,1.3789062,-8.011719,-0.7366333,-0.5769043,-0.32055664,0.14752197,563120.0,1015.6206,1015.1692,-8.0859375,1.1484375,4.9882812,0.47381592,0.055114746,-0.8364258,0.27001953
533325,1014.24976,1014.16895,6.0507812,0.61328125,-8.316406,-0.739624,-0.57525635,-0.31744385,0.1459961,563135.0,1015.62305,1015.2234,-8.128906,1.3398438,4.71875,0.47424316,0.056030273,-0.8348999,0.27368164
533345,1014.2837,1014.1804,5.8242188,1.3007812,-8.160156,-0.7421875,-0.57403564,-0.31341553,0.14611816,563155.0,1015.6416,1015.2051,-8.128906,1.4570312,4.9101562,0.47338867,0.05596924,-0.8343506,0.27679443
533365,1014.272,1014.2036,5.9375,1.4179688,-8.0078125,-0.74346924,-0.57440186,-0.31079102,0.144104,563175.0,1015.6533,1015.22,-7.9765625,1.265625,5.2578125,0.4711914,0.054870605,-0.8345947,0.28015137
533385,1014.2566,1014.1621,6.0507812,1.53125,-8.3515625,-0.7440796,-0.57592773,-0.30841064,0.13970947,563195.0,1015.6782,1015.24805,-7.6640625,1.1484375,5.4492188,0.46905518,0.053710938,-0.8344116,0.2843628
533405,1014.2666,1014.15674,6.359375,1.1875,-8.65625,-0.744751,-0.57696533,-0.30700684,0.13476562,563215.0,1015.6555,1015.24316,-7.7070312,1.8007812,5.7539062,0.46862793,0.054138184,-0.83270264,0.28997803
533425,1014.2793,1014.1631,6.4375,0.8828125,-8.421875,-0.74591064,-0.5765381,-0.30566406,0.13330078,563235.0,1015.6753,1015.2258,-7.8242188,1.7617188,5.6015625,0.46972656,0.05444336,-0.83062744,0.29406738
533445,1014.2722,1014.13184,6.2070312,1.0742188,-8.2734375,-0.74627686,-0.57629395,-0.30438232,0.1352539,563255.0,1015.667,1015.21045,-7.859375,1.4570312,5.7929688,0.47143555,0.05328369,-0.82910156,0.29577637
533465,1014.27295,1014.1655,6.2070312,1.7226562,-7.8554688,-0.74609375,-0.57696533,-0.30340576,0.13574219,563280.0,1015.68335,1015.21655,-7.8984375,1.6484375,5.640625,0.47406006,0.049804688,-0.8280029,0.29534912
533485,1014.3086,1014.176,6.1679688,1.7617188,-7.4296875,-0.7462158,-0.578125,-0.30194092,0.13323975,563295.0,1015.6929,1015.19653,-7.8984375,2.2226562,5.2929688,0.47784424,0.04663086,-0.8260498,0.29516602
533505,1014.2822,1014.1279,6.28125,1.4921875,-8.082031,-0.74731445,-0.57806396,-0.29943848,0.13293457,563315.0,1015.7097,1015.18945,-8.0859375,2.1835938,5.21875,0.48156738,0.045715332,-0.82318115,0.29730225
533520,1014.2488,1014.1543,6.0507812,1.5703125,-8.816406,-0.7490845,-0.5765991,-0.29644775,0.13604736,563335.0,1015.6753,1015.1875,-8.246094,1.8398438,5.2929688,0.4847412,0.04437256,-0.82055664,0.29956055
533545,1014.2781,1014.17773,6.0507812,1.6484375,-8.921875,-0.7507324,-0.57421875,-0.2947998,0.14056396,563355.0,1015.6931,1015.1814,-8.125,2.2226562,5.140625,0.48846436,0.041503906,-0.8186035,0.29919434
533565,1014.2793,1014.17847,6.4726562,1.3789062,-7.890625,-0.75268555,-0.57110596,-0.29412842,0.14428711,563375.0,1015.687,1015.19434,-8.246094,2.796875,4.9101562,0.49298096,0.039123535,-0.8165283,0.29779053
533580,1014.26904,1014.1443,6.3203125,0.8828125,-7.6289062,-0.7541504,-0.5690918,-0.29315186,0.14648438,563395.0,1015.6731,1015.197,-8.402344,2.875,4.6054688,0.49713135,0.038269043,-0.814209,0.29736328
533600,1014.29565,1014.1228,6.1289062,0.7265625,-7.734375,-0.75561523,-0.5673828,-0.29138184,0.14910889,563420.0,1015.6643,1015.2224,-8.3984375,2.375,4.6445312,0.4998169,0.039611816,-0.8118286,0.2993164
533620,1014.291,1014.1577,6.0507812,0.69140625,-7.734375,-0.7571411,-0.56573486,-0.28948975,0.15118408,563435.0,1015.68604,1015.21387,-8.324219,2.03125,4.875,0.501709,0.04034424,-0.8101196,0.30059814
533645,1014.2837,1014.1682,6.4375,0.8046875,-7.8945312,-0.7588501,-0.5640869,-0.2871704,0.1531372,563455.0,1015.708,1015.20215,-8.015625,1.8398438,4.9492188,0.5041504,0.03942871,-0.80914307,0.29919434
533660,1014.3152,1014.15356,6.359375,0.765625,-7.734375,-0.76000977,-0.5630493,-0.28533936,0.15460205,563475.0,1015.6633,1015.23975,-7.8203125,2.03125,4.7578125,0.5072632,0.038757324,-0.8081665,0.2966919
533680,1014.2771,1014.1599,6.2421875,0.69140625,-7.546875,-0.76153564,-0.5621338,-0.2822876,0.15618896,563500.0,1015.6926,1015.2302,-8.019531,1.8007812,4.6054688,0.51104736,0.04046631,-0.80529785,0.29785156
533700,1014.2854,1014.1848,5.9765625,0.65234375,-7.8554688,-0.7630615,-0.5618286,-0.27789307,0.15771484,563515.0,1015.6504,1015.24194,-7.8203125,1.609375,4.6445312,0.51312256,0.041870117,-0.8027344,0.30090332
533720,1014.2539,1014.1748,6.1679688,0.99609375,-8.886719,-0.76446533,-0.56188965,-0.27374268,0.15789795,563535.0,1015.6636,1015.2246,-7.515625,1.53125,4.796875,0.5166626,0.042541504,-0.7992554,0.30395508
533740,1014.2512,1014.1355,6.6640625,0.84375,-8.925781,-0.76568604,-0.5617676,-0.2709961,0.15704346,563555.0,1015.68115,1015.21533,-7.359375,1.7226562,4.71875,0.5220337,0.04083252,-0.79626465,0.30285645
533760,1014.28687,1014.17285,6.8945312,0.61328125,-9.1171875,-0.76641846,-0.5617676,-0.26904297,0.15704346,563575.0,1015.6655,1015.24756,-7.859375,2.0703125,3.953125,0.5291748,0.03967285,-0.79211426,0.3015747
533780,1014.282,1014.1809,6.5117188,0.57421875,-9.34375,-0.7663574,-0.5616455,-0.26904297,0.15765381,563595.0,1015.59326,1015.2063,-8.125,1.8398438,3.5703125,0.53808594,0.038208008,-0.7861328,0.3015747
533800,1014.249,1014.2009,6.2070312,0.57421875,-8.199219,-0.7659302,-0.56152344,-0.27075195,0.15722656,563615.0,1015.6123,1015.2092,-8.402344,1.8789062,3.109375,0.54766846,0.03466797,-0.77996826,0.3008423
533820,1014.29224,1014.1599,6.2421875,0.61328125,-7.6953125,-0.76519775,-0.5619507,-0.27270508,0.15570068,563640.0,1015.57764,1015.2112,-8.96875,2.453125,2.3046875,0.5571289,0.028747559,-0.77459717,0.29797363
533840,1014.28564,1014.1697,5.8984375,0.69140625,-7.734375,-0.76452637,-0.5628052,-0.27368164,0.15441895,563655.0,1015.5657,1015.21216,-9.167969,2.875,2.078125,0.5662842,0.021972656,-0.7694092,0.29473877
533865,1014.3186,1014.20557,5.4765625,1.0351562,-8.0078125,-0.7640381,-0.5633545,-0.27404785,0.15429688,563675.0,1015.5989,1015.1631,-9.234375,2.875,2.1523438,0.57470703,0.015075684,-0.7642822,0.29211426
533880,1014.3113,1014.16895,5.6679688,0.8828125,-7.8554688,-0.7640991,-0.5628052,-0.27435303,0.1552124,563695.0,1015.6282,1015.18555,-9.238281,3.2578125,2.1914062,0.5822754,0.008483887,-0.75897217,0.29125977
533900,1014.29785,1014.16846,6.1289062,0.57421875,-7.5507812,-0.7647095,-0.56170654,-0.2741089,0.15673828,563720.0,1015.5842,1015.15845,-9.046875,3.9453125,1.9609375,0.5906372,-0.00036621094,-0.75305176,0.29003906
533920,1014.3196,1014.1699,6.5507812,0.26953125,-7.5859375,-0.76538086,-0.56030273,-0.2736206,0.15924072,563735.0,1015.5786,1015.1504,-8.8203125,4.1757812,1.921875,0.59576416,-0.0068359375,-0.7503052,0.286438
533945,1014.27637,1014.2156,6.703125,0.26953125,-8.4609375,-0.76568604,-0.55926514,-0.27349854,0.1616211,563755.0,1015.57715,1015.16016,-8.8203125,4.2148438,1.8085938,0.6029053,-0.016357422,-0.7476196,0.2779541
533960,1014.26855,1014.1953,6.5117188,0.19140625,-8.5,-0.7653198,-0.5595093,-0.27398682,0.16168213,563775.0,1015.5869,1015.17163,-8.855469,4.0976562,1.5390625,0.6104126,-0.026123047,-0.7453613,0.2666626
533980,1014.30225,1014.1904,6.28125,0.19140625,-8.582031,-0.7644043,-0.5609741,-0.27478027,0.159729,563795.0,1015.5574,1015.2163,-9.011719,3.3320312,1.15625,0.6184082,-0.035461426,-0.74261475,0.25457764
534000,1014.2556,1014.1887,5.9765625,0.19140625,-8.5,-0.7630615,-0.5628662,-0.276062,0.15698242,563815.0,1015.5464,1015.18823,-9.234375,2.71875,0.890625,0.62683105,-0.04663086,-0.739563,0.24078369
534025,1014.2793,1014.2119,5.9375,0.65234375,-7.8554688,-0.76116943,-0.5656738,-0.27764893,0.15356445,563835.0,1015.5488,1015.21826,-9.3125,2.3359375,0.62109375,0.6340332,-0.06048584,-0.73724365,0.22540283
534040,1014.30176,1014.1953,6.0898438,0.91796875,-7.8554688,-0.7598877,-0.5678711,-0.27789307,0.15118408,563860.0,1015.55347,1015.2158,-8.96875,1.8007812,0.5078125,0.64123535,-0.08050537,-0.73480225,0.20587158
534060,1014.2866,1014.1594,5.8984375,1.0742188,-8.121094,-0.7581177,-0.5715332,-0.27752686,0.14697266,563875.0,1015.54517,1015.2012,-8.8203125,1.5703125,0.62109375,0.6459961,-0.09490967,-0.7324829,0.19268799
534080,1014.25757,1014.1321,5.7851562,1.2265625,-8.1953125,-0.7562866,-0.5755005,-0.27685547,0.14208984,563895.0,1015.53345,1015.2583,-9.089844,1.0351562,0.5078125,0.6535034,-0.117370605,-0.727417,0.17321777
534100,1014.29126,1014.17773,5.8984375,1.7617188,-8.316406,-0.7546387,-0.57910156,-0.27600098,0.13769531,563915.0,1015.531,1015.2317,-9.3125,0.57421875,0.27734375,0.66241455,-0.14477539,-0.7189331,0.15289307
