timestamp_1,fPressureFront_1,fPressureSide_1,acceleration.x_1,acceleration.y_1,acceleration.z_1,quaternion.i_1,quaternion.j_1,quaternion.k_1,quaternion.real_1,timestamp_2,fPressureFront_2,fPressureSide_2,acceleration.x_2,acceleration.y_2,acceleration.z_2,quaternion.i_2,quaternion.j_2,quaternion.k_2,quaternion.real_2
881945,1005.2175,1006.5227,7.1132812,6.265625,1.8242188,0.033935547,-0.6062622,-0.5010376,0.6166382,881820.0,1003.99,1007.7097,-5.9804688,0.65234375,-7.4804688,0.92626953,0.15393066,-0.3232422,0.117492676
881950,1005.2175,1006.52734,6.6523438,6.34375,3.3203125,0.033203125,-0.59417725,-0.51745605,0.61486816,881835.0,1003.9697,1007.7405,-6.4375,6.7421875,2.7539062,0.32904053,0.48760986,0.16345215,0.7919922
881965,1005.2046,1006.49756,6.4570312,6.9140625,3.0507812,0.49743652,-0.31195068,0.14276123,0.7967529,881850.0,1003.9851,1007.7036,-6.3632812,6.7070312,2.7890625,0.32733154,0.48809814,0.16607666,0.7918701
881990,1005.219,1006.52026,6.34375,6.953125,3.0507812,0.49725342,-0.31207275,0.14196777,0.7969971,881865.0,1003.9863,1007.7356,-6.4023438,6.6289062,2.8671875,0.32580566,0.48858643,0.16900635,0.79156494
882005,1005.2378,1006.5132,6.3789062,6.9960938,3.0117188,0.49700928,-0.31219482,0.14111328,0.7972412,881885.0,1003.9758,1007.7539,-6.3242188,6.5898438,2.9453125,0.32440186,0.48876953,0.17224121,0.7913208
882025,1005.2092,1006.52466,6.4570312,6.9960938,2.9765625,0.4967041,-0.31201172,0.14007568,0.7977295,881910.0,1003.97266,1007.7803,-6.2109375,6.703125,3.0976562,0.32312012,0.48895264,0.17590332,0.7909546
882045,1005.19604,1006.5488,6.34375,6.9960938,3.0898438,0.4961548,-0.31188965,0.13909912,0.7982178,881925.0,1004.0034,1007.75146,-6.2109375,6.6640625,3.0976562,0.32214355,0.48950195,0.17999268,0.79003906
882070,1005.1914,1006.5554,6.3046875,7.0742188,3.1289062,0.49591064,-0.31176758,0.13787842,0.79870605,881945.0,1004.01855,1007.77075,-6.2109375,6.7421875,3.1367188,0.32177734,0.49053955,0.18450928,0.7885132
882085,1005.21045,1006.5637,6.265625,7.03125,3.1289062,0.49621582,-0.31121826,0.137146,0.7988281,881965.0,1003.97876,1007.76807,-6.2460938,6.6679688,3.2109375,0.32244873,0.49224854,0.18963623,0.7859497
882105,1005.2012,1006.5598,6.1132812,7.1523438,3.1679688,0.4968872,-0.31048584,0.13671875,0.7987671,881985.0,1003.9822,1007.7822,-6.09375,6.6640625,3.0976562,0.32434082,0.4946289,0.1953125,0.78234863
882125,1005.20386,1006.60767,6.0742188,7.21875,3.1679688,0.49719238,-0.31018066,0.13598633,0.7988281,882005.0,1003.99414,1007.80566,-5.6328125,6.46875,3.0976562,0.32678223,0.49822998,0.20159912,0.7774048
882150,1005.208,1006.54517,5.9960938,7.2226562,3.1679688,0.49725342,-0.31054688,0.13427734,0.7989502,882025.0,1003.98975,1007.7886,-5.5976562,6.546875,3.1367188,0.3293457,0.5042114,0.20874023,0.7705078
882165,1005.18994,1006.5469,6.1875,7.1132812,3.1289062,0.4973755,-0.31103516,0.13311768,0.79888916,882045.0,1004.00366,1007.80786,-5.671875,6.78125,3.0195312,0.331604,0.5109863,0.21691895,0.7628174
882185,1005.22,1006.55176,6.265625,7.1796875,3.0507812,0.49786377,-0.31115723,0.13214111,0.798645,882065.0,1003.98267,1007.8147,-5.5585938,7.3125,2.5976562,0.33276367,0.51745605,0.22583008,0.75531006
882205,1005.25977,1006.56934,6.2265625,7.1132812,3.0898438,0.49871826,-0.31103516,0.13153076,0.7982788,882085.0,1003.96826,1007.79663,-5.6328125,7.4296875,2.40625,0.3328247,0.5229492,0.23461914,0.7487793
882230,1005.2073,1006.58276,6.1523438,7.1523438,3.0898438,0.49969482,-0.31079102,0.13085938,0.79785156,882105.0,1003.9922,1007.82715,-5.7109375,7.4335938,2.2929688,0.33276367,0.527771,0.2421875,0.743042
882245,1005.23486,1006.5659,6.1132812,7.1523438,3.0117188,0.5003052,-0.3106079,0.13012695,0.79766846,882130.0,1003.9675,1007.8154,-5.7109375,7.5117188,2.140625,0.3328247,0.5326538,0.24761963,0.7376709
882265,1005.2317,1006.5664,6.0351562,7.1132812,3.0117188,0.50097656,-0.31030273,0.12939453,0.79748535,882145.0,1003.928,1007.834,-5.75,7.5859375,2.0625,0.33319092,0.5385132,0.25170898,0.73187256
882285,1005.24316,1006.57227,5.9960938,7.0351562,2.9765625,0.5019531,-0.3100586,0.12902832,0.7970581,882165.0,1004.02734,1007.83594,-5.828125,7.6601562,1.9101562,0.33355713,0.54467773,0.2546997,0.7260742
882310,1005.2422,1006.5552,5.9570312,7.1132812,2.8203125,0.50323486,-0.3098755,0.12872314,0.7963257,882185.0,1004.00684,1007.8496,-5.9804688,7.8515625,1.6796875,0.333313,0.5506592,0.2574463,0.7207031
882325,1005.2849,1006.54297,5.9960938,7.1132812,2.7460938,0.5046387,-0.3098755,0.1282959,0.7955322,882205.0,1003.95654,1007.84106,-6.1328125,7.8164062,1.296875,0.33233643,0.55578613,0.2600708,0.71624756
882345,1005.2256,1006.5752,6.0351562,7.1132812,2.6289062,0.50561523,-0.30993652,0.12750244,0.7949829,882225.0,1003.9971,1007.822,-6.2109375,7.8125,1.21875,0.3312378,0.5595703,0.26208496,0.71307373
882365,1005.25903,1006.5425,6.0351562,7.03125,2.5546875,0.50634766,-0.30999756,0.12658691,0.79467773,882245.0,1003.978,1007.88574,-6.171875,7.8164062,1.21875,0.3297119,0.56256104,0.26416016,0.7106323
882390,1005.26025,1006.56665,6.1132812,6.9921875,2.5546875,0.5071411,-0.30975342,0.1260376,0.79437256,882265.0,1003.9536,1007.8738,-6.09375,7.7773438,1.2578125,0.32739258,0.5652466,0.26739502,0.70843506
882405,1005.24805,1006.5596,6.0351562,7.0703125,2.59375,0.5076904,-0.30926514,0.12573242,0.79418945,882285.0,1003.9463,1007.85767,-5.9023438,7.6289062,1.4492188,0.3242798,0.56762695,0.27233887,0.70599365
882425,1005.2346,1006.58374,6.0742188,7.03125,2.6289062,0.50775146,-0.30871582,0.1251831,0.7944946,882305.0,1003.9778,1007.8911,-5.7109375,7.6992188,1.640625,0.32043457,0.5697632,0.27868652,0.70355225
882445,1005.219,1006.6316,5.9960938,6.9960938,2.7460938,0.5074463,-0.30792236,0.12451172,0.795105,882325.0,1003.9795,1007.9009,-5.5195312,7.5859375,1.8320312,0.31585693,0.57263184,0.28668213,0.70007324
882470,1005.2488,1006.5591,5.9570312,6.9179688,3.0898438,0.5070801,-0.3067627,0.1237793,0.79589844,882350.0,1004.0029,1007.8711,-5.25,7.203125,2.4453125,0.31201172,0.5773926,0.29400635,0.6948242
882485,1005.29004,1006.60205,5.8046875,7.03125,3.5117188,0.5067749,-0.30462646,0.123291016,0.7969971,882370.0,1003.9595,1007.93994,-4.90625,7.5078125,2.4453125,0.30944824,0.5845947,0.3001709,0.68725586
882505,1005.2925,1006.6096,5.6523438,7.1484375,4.0859375,0.50671387,-0.3008423,0.123535156,0.7984619,882385.0,1003.9802,1007.88184,-4.6757812,7.6289062,2.5234375,0.30706787,0.5942383,0.30718994,0.6769409
