timestamp_1,fPressureFront_1,fPressureSide_1,acceleration.x_1,acceleration.y_1,acceleration.z_1,quaternion.i_1,quaternion.j_1,quaternion.k_1,quaternion.real_1,timestamp_2,fPressureFront_2,fPressureSide_2,acceleration.x_2,acceleration.y_2,acceleration.z_2,quaternion.i_2,quaternion.j_2,quaternion.k_2,quaternion.real_2
769315.0,1007.9209,1007.91113,0.44140625,7.8085938,-3.4414062,0.80596924,-0.19769287,-0.04309082,0.5562744,752015,1007.3928,1008.2666,-0.5390625,-0.921875,8.7265625,0.015380859,0.03857422,-0.94140625,0.33465576
769320.0,1007.9209,1007.9048,-3.1914062,2.625,8.8046875,0.20025635,-0.12799072,-0.96069336,0.14337158,752020,1007.33813,1008.2666,-1.421875,-0.69140625,10.2578125,0.015197754,0.051574707,-0.9309082,0.36132812
769335.0,1007.92065,1007.91675,-3.2304688,2.703125,8.765625,0.19995117,-0.12780762,-0.9608154,0.14318848,752035,1007.3269,1008.2803,1.7148438,2.6367188,9.1484375,-0.05480957,-0.15942383,-0.94317627,0.28625488
769355.0,1007.9214,1007.9348,-3.2695312,2.703125,8.769531,0.19995117,-0.12774658,-0.96087646,0.14294434,752045,1007.3269,1008.2556,1.7539062,2.7148438,9.1484375,-0.0546875,-0.16003418,-0.94317627,0.28601074
769375.0,1007.9214,1007.94653,-3.3085938,2.7421875,8.769531,0.19989014,-0.12738037,-0.9609375,0.1427002,752065,1007.33057,1008.21216,1.828125,2.828125,9.1484375,-0.054504395,-0.16052246,-0.94317627,0.2857666
769400.0,1007.9551,1007.9026,-3.421875,2.7773438,8.8046875,0.19958496,-0.12695312,-0.9611206,0.14245605,752085,1007.32153,1008.24316,1.828125,2.7539062,9.1875,-0.054260254,-0.1605835,-0.94317627,0.2857666
769415.0,1007.93115,1007.8955,-3.4609375,2.7773438,8.734375,0.19921875,-0.12677002,-0.9612427,0.14221191,752110,1007.3457,1008.41064,1.7929688,2.6367188,9.230469,-0.053955078,-0.16021729,-0.94329834,0.28570557
769435.0,1007.97144,1007.8933,-3.3476562,2.7773438,8.660156,0.19885254,-0.12658691,-0.9614258,0.14190674,752125,1007.3318,1008.37915,1.828125,2.4453125,9.1875,-0.053588867,-0.15960693,-0.9433594,0.28588867
769455.0,1007.9429,1007.8711,-3.3085938,2.8164062,8.621094,0.19873047,-0.12652588,-0.9614258,0.1418457,752145,1007.31616,1008.3833,1.6757812,2.2539062,9.269531,-0.053344727,-0.15966797,-0.9433594,0.28582764
769475.0,1007.97,1007.90063,-3.3085938,2.8164062,8.621094,0.19891357,-0.12634277,-0.9614258,0.1418457,752165,1007.30176,1008.3662,1.6757812,2.3320312,9.2265625,-0.053344727,-0.16070557,-0.9432373,0.28570557
