timestamp_1,fPressureFront_1,fPressureSide_1,acceleration.x_1,acceleration.y_1,acceleration.z_1,quaternion.i_1,quaternion.j_1,quaternion.k_1,quaternion.real_1,timestamp_2,fPressureFront_2,fPressureSide_2,acceleration.x_2,acceleration.y_2,acceleration.z_2,quaternion.i_2,quaternion.j_2,quaternion.k_2,quaternion.real_2
851035,1004.562,1005.12964,3.6953125,0.859375,9.875,0.15649414,-0.13903809,0.8399658,0.5006714,850075.0,1003.7388,1004.9375,0.85546875,10.4765625,-1.0625,0.07159424,-0.70599365,-0.69659424,0.105895996
851045,1004.5867,1005.15137,-3.3085938,0.8828125,9.160156,-0.02758789,0.15545654,0.43060303,0.88861084,850085.0,1003.7388,1004.8865,2.578125,2.4257812,9.347656,-0.0038452148,-0.18084717,-0.6654663,0.7241821
851060,1004.56274,1005.12573,-3.4609375,0.99609375,8.933594,-0.027160645,0.15637207,0.4295044,0.88897705,850110.0,1003.74,1004.9348,2.5039062,2.2734375,9.34375,-0.0041503906,-0.18054199,-0.6654053,0.7243042
851075,1004.55615,1005.1223,-3.4609375,0.99609375,8.8515625,-0.027282715,0.15631104,0.42926025,0.88916016,850125.0,1003.697,1004.90894,2.5039062,2.1992188,9.3828125,-0.004760742,-0.18048096,-0.6654663,0.72424316
851095,1004.5808,1005.0808,-3.3085938,0.8046875,9.1171875,-0.027893066,0.15625,0.42962646,0.88897705,850145.0,1003.7163,1004.9392,2.5390625,2.1992188,9.3046875,-0.0052490234,-0.1809082,-0.66522217,0.72436523
851115,1004.58496,1005.0901,-3.1171875,0.765625,9.199219,-0.028259277,0.15631104,0.4300537,0.8887329,850165.0,1003.72314,1004.9038,2.578125,2.1992188,9.160156,-0.005554199,-0.18115234,-0.6651001,0.72442627
851140,1004.5322,1005.0923,-2.8085938,0.69140625,9.425781,-0.028381348,0.15588379,0.43017578,0.8887329,850185.0,1003.73193,1004.8926,2.65625,2.1992188,9.121094,-0.0056762695,-0.18121338,-0.66516113,0.72436523
851155,1004.59106,1005.11914,-2.734375,0.69140625,9.578125,-0.028625488,0.15576172,0.43023682,0.8887329,850205.0,1003.70874,1004.89453,2.6953125,2.2734375,9.0390625,-0.0061035156,-0.18139648,-0.6652832,0.7241821
851175,1004.55566,1005.09033,-2.7734375,0.7265625,9.464844,-0.029296875,0.15631104,0.43041992,0.88848877,850225.0,1003.7239,1004.906,2.7695312,2.2734375,8.921875,-0.0064697266,-0.18151855,-0.66534424,0.7241211
851195,1004.57837,1005.1023,-2.8476562,0.7265625,9.316406,-0.029418945,0.1572876,0.43048096,0.88830566,850245.0,1003.73,1004.9177,2.7695312,2.3125,8.8828125,-0.0063476562,-0.18109131,-0.6654053,0.7241821
