timestamp_1,fPressureFront_1,fPressureSide_1,acceleration.x_1,acceleration.y_1,acceleration.z_1,quaternion.i_1,quaternion.j_1,quaternion.k_1,quaternion.real_1,timestamp_2,fPressureFront_2,fPressureSide_2,acceleration.x_2,acceleration.y_2,acceleration.z_2,quaternion.i_2,quaternion.j_2,quaternion.k_2,quaternion.real_2
711698,1013.3469,1011.72,4.0585938,8.832031,-0.0390625,0.33422852,0.62164307,0.7073364,0.03918457,717524.0,1011.73804,1013.28784,-5.0273438,-0.29296875,8.550781,0.10626221,0.23553467,-0.43347168,0.8633423
711711,1013.3386,1011.70483,4.7890625,7.3320312,3.6015625,-0.21234131,-0.51763916,-0.8179321,0.1340332,717538.0,1011.7634,1013.29785,-7.5585938,1.0117188,6.0585938,0.28894043,0.3484497,-0.4638672,0.76153564
711721,1013.36475,1011.7046,4.75,7.2578125,3.4453125,-0.2130127,-0.5186157,-0.81695557,0.1352539,717548.0,1011.75073,1013.29785,-7.7148438,1.1640625,5.9023438,0.28918457,0.3484497,-0.46417236,0.76123047
711741,1013.3406,1011.6763,4.8242188,7.2226562,3.3710938,-0.21350098,-0.5194702,-0.8161621,0.1359253,717568.0,1011.7322,1013.2903,-7.671875,1.0507812,5.9023438,0.2894287,0.34857178,-0.4645996,0.76086426
711761,1013.3379,1011.7258,4.8632812,7.3007812,3.2929688,-0.21331787,-0.52020264,-0.8156738,0.13635254,717587.0,1011.7903,1013.2866,-7.5546875,1.125,5.8671875,0.28997803,0.34899902,-0.46453857,0.76049805
711785,1013.3457,1011.70044,4.8632812,7.7539062,3.6015625,-0.21252441,-0.5206299,-0.8156128,0.13647461,717607.0,1011.7427,1013.2805,-7.5976562,1.2421875,5.7109375,0.29058838,0.3499756,-0.46380615,0.7601929
711800,1013.3535,1011.66016,4.7890625,7.9453125,3.6367188,-0.21191406,-0.5210571,-0.8154907,0.13635254,717627.0,1011.75244,1013.2842,-7.7148438,1.0859375,5.828125,0.2906494,0.35113525,-0.4630127,0.7601929
711820,1013.3159,1011.6963,4.7109375,7.9492188,3.484375,-0.2119751,-0.5215454,-0.81518555,0.13635254,717647.0,1011.7439,1013.28687,-7.7421875,0.93359375,5.8671875,0.29040527,0.3522339,-0.4623413,0.76013184
711840,1013.37744,1011.6797,4.75,7.7929688,3.3710938,-0.21209717,-0.52178955,-0.8149414,0.13647461,717667.0,1011.75195,1013.312,-7.7851562,0.7421875,5.9804688,0.29034424,0.3529663,-0.46221924,0.7598877
711860,1013.3567,1011.7258,4.75,7.6835938,3.4453125,-0.21203613,-0.52142334,-0.8151245,0.13665771,717687.0,1011.7783,1013.29663,-7.6757812,0.89453125,5.9414062,0.29052734,0.35339355,-0.4625244,0.75946045
711880,1013.36255,1011.6763,4.8632812,7.5625,3.6367188,-0.21191406,-0.5211792,-0.8153076,0.13684082,717702.0,1011.78467,1013.2744,-7.671875,0.93359375,5.9023438,0.2911377,0.35388184,-0.46264648,0.75897217
711900,1013.36914,1011.72095,4.8242188,7.5664062,3.6367188,-0.2119751,-0.52111816,-0.81536865,0.13671875,717727.0,1011.74927,1013.28467,-7.78125,0.89453125,5.9023438,0.29174805,0.3544922,-0.46276855,0.7583008
711920,1013.36743,1011.7178,4.7109375,7.6015625,3.5625,-0.21228027,-0.5206909,-0.81573486,0.13562012,717746.0,1011.7693,1013.2827,-7.7421875,0.93359375,5.75,0.29248047,0.3552246,-0.46295166,0.75756836
711939,1013.3567,1011.7185,4.7109375,7.6445312,3.4101562,-0.21289062,-0.5197754,-0.81640625,0.1340332,717761.0,1011.77026,1013.28394,-7.8984375,1.1640625,5.6757812,0.29296875,0.35559082,-0.46313477,0.7571411
711959,1013.33936,1011.7029,4.6328125,7.6445312,3.3710938,-0.2133789,-0.5192871,-0.8168335,0.1328125,717781.0,1011.78345,1013.2959,-7.9023438,1.0507812,5.5976562,0.29333496,0.3555298,-0.46343994,0.75683594
711979,1013.3513,1011.69946,4.7890625,7.6015625,3.4101562,-0.21343994,-0.5195923,-0.8167114,0.13226318,717806.0,1011.77783,1013.2842,-7.8632812,0.93359375,5.6367188,0.29345703,0.35565186,-0.463562,0.75665283
711999,1013.3696,1011.7012,4.8242188,7.6015625,3.5234375,-0.2131958,-0.5201416,-0.8164673,0.13208008,717821.0,1011.7722,1013.2639,-8.019531,0.93359375,5.75,0.29333496,0.355896,-0.46362305,0.75653076
712019,1013.3406,1011.718,4.671875,7.7109375,3.4453125,-0.21350098,-0.5194702,-0.8170166,0.13085938,717841.0,1011.76416,1013.28394,-7.9804688,1.0859375,5.7109375,0.29260254,0.35577393,-0.46380615,0.7567749
712039,1013.374,1011.7185,4.6328125,7.5273438,3.3320312,-0.21398926,-0.5177002,-0.81829834,0.12884521,717861.0,1011.76196,1013.28735,-7.78125,0.93359375,5.6757812,0.29193115,0.35559082,-0.46392822,0.7570801
712059,1013.3635,1011.7053,4.8632812,7.4453125,3.4453125,-0.21398926,-0.5166626,-0.81915283,0.12738037,717886.0,1011.76514,1013.26855,-7.8984375,1.125,5.75,0.29180908,0.35546875,-0.46398926,0.7570801
712079,1013.3655,1011.67847,5.0546875,7.640625,3.5625,-0.21331787,-0.5171509,-0.81903076,0.12762451,717901.0,1011.7759,1013.23926,-7.8242188,1.2421875,5.6757812,0.29162598,0.3552246,-0.46417236,0.7571411
712099,1013.3572,1011.67334,4.671875,7.640625,3.7539062,-0.21282959,-0.51812744,-0.8183594,0.12854004,717920.0,1011.75903,1013.2986,-7.8984375,1.2421875,5.7109375,0.2909546,0.35479736,-0.4644165,0.7575073
712118,1013.3611,1011.70703,4.6328125,7.4453125,3.7539062,-0.21313477,-0.51885986,-0.817749,0.12896729,717945.0,1011.80444,1013.291,-7.7460938,0.97265625,5.7109375,0.2904663,0.3544922,-0.46429443,0.7579346
712138,1013.3418,1011.7178,4.75,7.3007812,3.6015625,-0.21380615,-0.5199585,-0.81689453,0.12884521,717960.0,1011.7529,1013.28516,-7.671875,1.0859375,5.6757812,0.29071045,0.3546753,-0.46392822,0.7579346
712163,1013.3345,1011.6858,4.8632812,7.4882812,3.4101562,-0.21411133,-0.5211792,-0.8161011,0.12841797,717980.0,1011.76196,1013.26416,-7.7851562,1.203125,5.6367188,0.2909546,0.35516357,-0.46350098,0.75787354
712178,1013.3401,1011.70337,4.9804688,7.9101562,3.5234375,-0.21356201,-0.52264404,-0.8154297,0.1274414,718000.0,1011.79004,1013.2781,-7.8632812,1.1640625,5.6367188,0.2909546,0.3557129,-0.4631958,0.7578125
712198,1013.3447,1011.6997,4.75,8.328125,3.4453125,-0.21331787,-0.5238037,-0.8149414,0.12640381,718020.0,1011.7722,1013.29663,-7.9804688,1.125,5.8671875,0.29089355,0.35595703,-0.46307373,0.7578125
712218,1013.29834,1011.6775,4.6328125,8.2890625,3.21875,-0.21368408,-0.5248413,-0.81427,0.12579346,718040.0,1011.751,1013.2976,-7.9765625,1.0507812,5.9414062,0.29071045,0.35583496,-0.4631958,0.7578125
712238,1013.3423,1011.7412,4.5585938,7.9882812,3.0625,-0.21411133,-0.5256958,-0.81359863,0.1260376,718060.0,1011.7627,1013.29175,-7.9414062,0.97265625,5.9414062,0.29083252,0.35516357,-0.46398926,0.7576294
712258,1013.333,1011.7407,4.5195312,7.75,3.140625,-0.2142334,-0.52685547,-0.8126831,0.12695312,718084.0,1011.7488,1013.30005,-7.78125,1.125,5.75,0.29101562,0.35430908,-0.4650879,0.7572632
712277,1013.34155,1011.698,4.59375,7.7539062,3.21875,-0.21398926,-0.5281372,-0.8117676,0.12774658,718099.0,1011.7715,1013.29956,-7.78125,1.0859375,5.7890625,0.2911377,0.35351562,-0.46588135,0.7570801
712297,1013.32935,1011.6892,4.7109375,8.0234375,3.2929688,-0.21398926,-0.52874756,-0.81134033,0.12780762,718119.0,1011.74536,1013.2959,-7.78125,1.0117188,5.9414062,0.29119873,0.35266113,-0.4666748,0.75701904
712317,1013.354,1011.69434,4.8632812,7.6835938,3.4101562,-0.21447754,-0.5285034,-0.8114624,0.12750244,718139.0,1011.7639,1013.2827,-7.5976562,0.93359375,5.8671875,0.291687,0.35180664,-0.4675293,0.75665283
712337,1013.3506,1011.6904,4.671875,7.7109375,3.3710938,-0.21459961,-0.5288696,-0.8111572,0.12731934,718159.0,1011.7527,1013.27856,-7.4023438,1.0507812,5.6367188,0.29315186,0.35168457,-0.46795654,0.7559204
712362,1013.35767,1011.67993,4.4414062,7.8671875,3.2539062,-0.21472168,-0.52996826,-0.81036377,0.12762451,718179.0,1011.75635,1013.25195,-7.515625,1.203125,5.5195312,0.29534912,0.35272217,-0.4675293,0.7548218
712377,1013.365,1011.6775,4.4023438,7.8320312,3.2539062,-0.21496582,-0.5317383,-0.809021,0.12860107,718199.0,1011.7561,1013.2698,-7.7421875,1.2773438,5.5195312,0.2975464,0.35443115,-0.46636963,0.75390625
712397,1013.35254,1011.70605,5.015625,8.027344,3.3710938,-0.2154541,-0.5336304,-0.8074341,0.12994385,718224.0,1011.77344,1013.29224,-7.8632812,1.0507812,5.5976562,0.30023193,0.35638428,-0.4647827,0.75286865
712417,1013.3584,1011.72925,5.171875,7.9101562,3.5234375,-0.21600342,-0.53430176,-0.80682373,0.13018799,718238.0,1011.75,1013.2793,-7.8984375,0.93359375,5.75,0.3024292,0.35705566,-0.46435547,0.7519531
712436,1013.3572,1011.70874,5.09375,7.9453125,3.3710938,-0.21673584,-0.53515625,-0.8060303,0.12988281,718258.0,1011.7588,1013.26904,-7.7421875,1.0859375,5.6757812,0.30578613,0.35668945,-0.46466064,0.7505493
712456,1013.3423,1011.68286,4.7109375,7.9882812,3.0273438,-0.21765137,-0.536499,-0.80493164,0.13018799,718278.0,1011.7715,1013.26514,-7.6328125,1.2773438,5.6367188,0.3093872,0.35430908,-0.46691895,0.74884033
712476,1013.35693,1011.7036,4.7109375,7.6796875,2.9492188,-0.21826172,-0.53863525,-0.80303955,0.13201904,718298.0,1011.76953,1013.28174,-7.671875,1.4335938,5.3671875,0.3145752,0.34991455,-0.47149658,0.7458496
712491,1013.35156,1011.70264,4.9804688,7.7109375,3.21875,-0.21844482,-0.54022217,-0.8015137,0.1340332,718318.0,1011.7385,1013.2688,-8.128906,1.7773438,5.40625,0.3203125,0.34088135,-0.47790527,0.7435303
712511,1013.345,1011.69336,4.7109375,7.6445312,3.2539062,-0.21911621,-0.5415039,-0.80029297,0.1352539,718338.0,1011.75146,1013.2722,-7.6328125,1.46875,5.0625,0.32574463,0.32781982,-0.4854126,0.7421875
712531,1013.343,1011.6848,4.6328125,7.5234375,3.1796875,-0.21984863,-0.5430908,-0.7989502,0.13580322,718363.0,1011.70825,1013.23804,-6.5234375,2.1601562,5.2539062,0.33007812,0.31256104,-0.49291992,0.7418823
712551,1013.3303,1011.6521,4.59375,7.828125,2.9492188,-0.22033691,-0.54571533,-0.79681396,0.13708496,718378.0,1011.7251,1013.21313,-6.828125,1.625,5.2148438,0.3345337,0.30126953,-0.49749756,0.7415161
712571,1013.34375,1011.69995,4.4804688,8.136719,2.9882812,-0.22070312,-0.5493164,-0.79364014,0.14025879,718398.0,1011.7615,1013.25244,-6.2929688,1.3945312,4.6796875,0.3441162,0.2849121,-0.50494385,0.7385254
712591,1013.34375,1011.6836,4.7109375,8.328125,3.2539062,-0.22106934,-0.553833,-0.78948975,0.14520264,718417.0,1011.7761,1013.2388,-6.25,1.3554688,5.5195312,0.3567505,0.2662964,-0.5149536,0.73254395
712615,1013.3496,1011.67676,4.2890625,8.6328125,3.2929688,-0.22180176,-0.5593872,-0.78411865,0.1517334,718437.0,1011.7886,1013.19604,-4.953125,3.3476562,6.2851562,0.37316895,0.24664307,-0.52801514,0.7218628
712630,1013.3435,1011.6594,4.2890625,8.753906,3.140625,-0.2234497,-0.56518555,-0.77789307,0.15966797,718457.0,1011.7722,1013.2107,-4.7578125,3.5,6.28125,0.3890381,0.2310791,-0.5407715,0.70910645
712650,1013.3147,1011.6575,4.328125,9.09375,2.9882812,-0.22558594,-0.5720825,-0.7697754,0.17102051,718477.0,1011.75195,1013.20215,-4.6445312,3.2695312,6.5976562,0.40673828,0.21350098,-0.5526123,0.6954346
712670,1013.302,1011.68164,4.4414062,9.2109375,2.9492188,-0.22784424,-0.58081055,-0.7585449,0.18792725,718502.0,1011.77,1013.18066,-4.8359375,4.4960938,6.9804688,0.42663574,0.19354248,-0.5625,0.6812744
712695,1013.3237,1011.6448,4.7109375,9.703125,2.640625,-0.23095703,-0.58721924,-0.7474365,0.20794678,718517.0,1011.76465,1013.1477,-5.21875,5.109375,7.1289062,0.4475708,0.17504883,-0.57006836,0.66638184
712710,1013.3574,1011.65283,4.7890625,9.324219,2.9492188,-0.23614502,-0.5895386,-0.7385864,0.22619629,718537.0,1011.7793,1013.1697,-5.2578125,5.953125,6.7070312,0.46679688,0.16375732,-0.5753174,0.6514282
712730,1013.3335,1011.6477,4.8632812,9.058594,3.0273438,-0.24279785,-0.5916748,-0.7295532,0.24230957,718562.0,1011.75977,1013.1472,-6.4453125,6.1445312,4.90625,0.48339844,0.16113281,-0.5782471,0.637146
712750,1013.323,1011.6323,4.6328125,9.558594,2.7578125,-0.25073242,-0.59661865,-0.71551514,0.2630005,718581.0,1011.7351,1013.1467,-6.9765625,6.1054688,4.4492188,0.4977417,0.16271973,-0.5808716,0.62316895
712774,1013.28394,1011.65405,4.25,10.441406,2.0664062,-0.26287842,-0.60443115,-0.6911011,0.2965088,718596.0,1011.7278,1013.1565,-7.0976562,5.5703125,4.4101562,0.51153564,0.16485596,-0.58587646,0.6065674
712799,1013.3203,1011.64526,4.2109375,10.363281,2.1445312,-0.27319336,-0.6087036,-0.6713257,0.3227539,718616.0,1011.7197,1013.14526,-7.0195312,5.2226562,4.4492188,0.5250244,0.16546631,-0.5947876,0.5858154
712809,1013.3186,1011.65015,4.4804688,9.9765625,2.2226562,-0.28857422,-0.61279297,-0.64312744,0.35717773,718636.0,1011.72705,1013.1448,-7.2890625,5.8007812,4.5625,0.5371094,0.16589355,-0.60754395,0.5611572
712829,1013.3015,1011.6455,4.25,10.019531,1.4921875,-0.30682373,-0.61328125,-0.6156006,0.38830566,718661.0,1011.7073,1013.15967,-7.0976562,6.1054688,4.5625,0.54730225,0.16815186,-0.6224365,0.5336304
712854,1013.28735,1011.698,5.2851562,8.753906,0.91796875,-0.33392334,-0.6092529,-0.5831299,0.4210205,718676.0,1011.7092,1013.1575,-7.2148438,6.1445312,4.6796875,0.5560303,0.17230225,-0.63720703,0.50512695
712869,1013.271,1011.709,5.2851562,8.410156,0.11328125,-0.35327148,-0.6040039,-0.56622314,0.43566895,718701.0,1011.71387,1013.11255,-7.59375,5.53125,4.2578125,0.56427,0.17700195,-0.6516113,0.47503662
712894,1013.2715,1011.72314,5.015625,8.175781,-0.26953125,-0.3821411,-0.5941162,-0.5501709,0.4453125,718716.0,1011.6887,1013.1931,-8.167969,5.453125,4.296875,0.57147217,0.18389893,-0.6664429,0.44207764
712909,1013.2788,1011.7407,4.9023438,6.90625,-0.5,-0.41418457,-0.5822754,-0.5375366,0.4477539,718740.0,1011.7075,1013.1763,-8.058594,5.453125,4.4492188,0.576355,0.19555664,-0.68170166,0.4060669
712928,1013.27295,1011.7615,4.4414062,4.4609375,-1.53125,-0.4473877,-0.57006836,-0.5253906,0.44592285,718755.0,1011.6946,1013.20215,-7.9765625,4.765625,4.2578125,0.58044434,0.21252441,-0.69573975,0.36590576
712948,1013.26904,1011.75854,4.59375,3.1953125,-1.53125,-0.4810791,-0.55755615,-0.51123047,0.44311523,718775.0,1011.72314,1013.21216,-7.9375,2.734375,3.6054688,0.58410645,0.23071289,-0.7077637,0.32348633
712973,1013.2693,1011.7866,4.859375,1.6640625,-1.4179688,-0.51293945,-0.54571533,-0.4928589,0.4428711,718795.0,1011.7427,1013.2739,-8.019531,1.8164062,3.03125,0.58514404,0.25024414,-0.7189331,0.27947998
712988,1013.28,1011.7749,4.7890625,0.74609375,-2.0703125,-0.5458374,-0.53289795,-0.47045898,0.44354248,718815.0,1011.7539,1013.29663,-7.7460938,1.2421875,2.609375,0.5814209,0.27313232,-0.7279053,0.2397461
713008,1013.2693,1011.77856,4.4804688,-1.6289062,-4.2929688,-0.5769043,-0.51934814,-0.45117188,0.44030762,718840.0,1011.7212,1013.3596,-7.1757812,-1.25,1.1171875,0.5740967,0.30108643,-0.73236084,0.20843506
713028,1013.24976,1011.79736,4.59375,-2.8164062,-4.6328125,-0.6069946,-0.5036621,-0.4375,0.4317627,718860.0,1011.7261,1013.3989,-6.7890625,-3.28125,0.38671875,0.5656128,0.33764648,-0.729187,0.1854248
713048,1013.24243,1011.81885,4.3671875,-3.5859375,-5.28125,-0.633728,-0.4874878,-0.42944336,0.41986084,718875.0,1011.7217,1013.43604,-6.8671875,-5.5,-0.26171875,0.5559082,0.37628174,-0.72125244,0.17095947
713073,1013.25903,1011.84937,4.3671875,-4.8476562,-5.5976562,-0.6598511,-0.47027588,-0.4257202,0.40270996,718894.0,1011.7007,1013.5115,-6.9804688,-6.8046875,-0.83984375,0.545105,0.40924072,-0.71307373,0.16394043
713087,1013.2666,1011.8318,4.6328125,-4.3125,-5.8242188,-0.68151855,-0.4562378,-0.4241333,0.38397217,718914.0,1011.7173,1013.5371,-6.6757812,-7.7578125,-0.9921875,0.53497314,0.43414307,-0.70635986,0.16229248
713107,1013.22876,1011.8428,5.1328125,-3.9296875,-6.2851562,-0.70147705,-0.44293213,-0.42242432,0.36505127,718934.0,1011.71484,1013.531,-6.90625,-7.6835938,-0.875,0.52667236,0.45214844,-0.7012329,0.16247559
713127,1013.2366,1011.8867,5.7460938,-4.8476562,-6.5859375,-0.7183838,-0.4300537,-0.42095947,0.34899902,718954.0,1011.72144,1013.52734,-6.9804688,-7.6796875,-0.875,0.5198364,0.46575928,-0.6968994,0.16473389
713152,1013.23535,1011.9302,6.3945312,-6.3046875,-6.8632812,-0.73205566,-0.41912842,-0.42059326,0.33398438,718979.0,1011.70386,1013.5408,-7.1328125,-8.8359375,-1.296875,0.5142212,0.4761963,-0.6932373,0.16802979
713167,1013.1914,1011.9878,6.8164062,-6.1875,-8.121094,-0.7424927,-0.4116211,-0.41986084,0.32086182,718994.0,1011.7136,1013.54443,-7.5195312,-9.0625,-0.83984375,0.5083618,0.48059082,-0.69366455,0.17132568
713187,1013.1919,1012.0029,8.3515625,-6.0742188,-8.5,-0.7468262,-0.40673828,-0.42156982,0.3147583,719014.0,1011.739,1013.5078,-7.6328125,-8.683594,-0.26171875,0.501709,0.47827148,-0.6995239,0.17382812
713207,1013.2283,1011.9636,9.0,-6.2265625,-8.4296875,-0.74432373,-0.4046631,-0.42578125,0.31774902,719034.0,1011.7573,1013.5178,-7.7109375,-8.3359375,0.2734375,0.49536133,0.47283936,-0.7072754,0.17541504
713227,1013.2073,1012.0383,12.0234375,-8.2578125,-9.1171875,-0.73760986,-0.40545654,-0.4315796,0.32452393,719054.0,1011.72534,1013.5779,-8.972656,-9.2890625,0.234375,0.49145508,0.46466064,-0.7137451,0.18206787
713247,1013.19116,1012.05786,12.605469,-11.78125,-9.425781,-0.7220459,-0.4147339,-0.4473877,0.32635498,719073.0,1011.74927,1013.54004,-8.550781,-8.90625,-0.109375,0.48901367,0.45959473,-0.7145386,0.19763184
713271,1013.2803,1011.92896,10.2265625,-9.980469,-6.9335938,-0.7003174,-0.42871094,-0.46600342,0.3295288,719093.0,1011.7644,1013.50757,-9.46875,-8.910156,0.42578125,0.48876953,0.45635986,-0.7105713,0.21881104
713286,1013.3042,1011.79834,10.574219,-4.7734375,-3.6796875,-0.6758423,-0.44384766,-0.4817505,0.33789062,719113.0,1011.7532,1013.501,-9.433594,-6.9570312,1.5351562,0.4887085,0.45526123,-0.70428467,0.24066162
713306,1013.25024,1011.78345,9.464844,4.3828125,-1.4960938,-0.661499,-0.44812012,-0.4934082,0.34375,719138.0,1011.75684,1013.44336,-9.628906,-6.1914062,1.5351562,0.4901123,0.45410156,-0.6968994,0.2607422
