timestamp_1,fPressureFront_1,fPressureSide_1,acceleration.x_1,acceleration.y_1,acceleration.z_1,quaternion.i_1,quaternion.j_1,quaternion.k_1,quaternion.real_1,timestamp_2,fPressureFront_2,fPressureSide_2,acceleration.x_2,acceleration.y_2,acceleration.z_2,quaternion.i_2,quaternion.j_2,quaternion.k_2,quaternion.real_2
709580,1016.89844,1016.1306,4.1835938,5.9414062,5.796875,-0.09857178,-0.5137329,-0.82958984,0.19525146,703440.0,1013.4148,1014.7737,1.2265625,8.4609375,3.9101562,-0.03253174,-0.5475464,-0.8312378,0.09082031
709585,1016.89844,1016.1306,3.8789062,6.0546875,5.3359375,-0.11834717,-0.50390625,-0.8363037,0.1807251,703455.0,1013.397,1014.7573,-1.7304688,8.097656,5.1484375,0.36486816,0.30200195,0.39642334,0.786438
709600,1016.92236,1016.1001,-2.5,8.21875,4.8398438,0.40997314,0.29144287,0.28289795,0.8166504,703475.0,1013.41113,1014.7844,-1.7695312,7.984375,5.3398438,0.3642578,0.3015747,0.39630127,0.7869873
709620,1016.9104,1016.1553,-2.4609375,8.144531,4.8398438,0.40905762,0.2919922,0.2836914,0.8166504,703495.0,1013.42456,1014.76074,-1.7304688,8.027344,5.375,0.3642578,0.3005371,0.39587402,0.78759766
709640,1016.91724,1016.1924,-2.8046875,8.222656,4.8789062,0.40740967,0.2925415,0.28424072,0.81707764,703515.0,1013.4053,1014.7859,-1.6132812,8.0625,5.3398438,0.36383057,0.29943848,0.395813,0.788208
709660,1016.93823,1016.2097,-2.9179688,8.300781,4.8398438,0.40667725,0.29309082,0.28485107,0.81707764,703535.0,1013.4524,1014.7893,-1.5390625,7.9882812,5.375,0.36309814,0.29888916,0.39611816,0.78863525
709680,1016.9109,1016.2649,-2.8828125,8.2578125,4.8789062,0.40679932,0.29351807,0.28546143,0.81658936,703555.0,1013.45605,1014.75586,-1.578125,8.09375,5.3007812,0.3624878,0.29864502,0.3963623,0.7888794
709700,1016.92114,1016.34863,-2.6132812,8.109375,5.0703125,0.40698242,0.29388428,0.28588867,0.8162842,703575.0,1013.4326,1014.7937,-1.6132812,8.136719,5.2617188,0.3624878,0.29858398,0.39648438,0.78881836
709720,1016.9485,1016.3425,-2.5742188,8.183594,5.03125,0.4064331,0.29412842,0.28582764,0.8164673,703595.0,1013.3899,1014.7854,-1.6523438,8.171875,5.2617188,0.36254883,0.2984619,0.39666748,0.7887573
709740,1016.959,1016.3906,-2.6132812,8.339844,4.953125,0.40618896,0.2944336,0.28570557,0.8165283,703615.0,1013.426,1014.78076,-1.6914062,8.1328125,5.2617188,0.3623047,0.29852295,0.39678955,0.7887573
709760,1016.93774,1016.4385,-2.6132812,8.375,4.8789062,0.40655518,0.29467773,0.28564453,0.8162842,703635.0,1013.4358,1014.7578,-1.7304688,8.097656,5.375,0.36187744,0.29870605,0.39678955,0.7888794
709780,1016.9265,1016.5012,-2.421875,8.300781,4.953125,0.40722656,0.2947998,0.2855835,0.81591797,703655.0,1013.4116,1014.7571,-1.6914062,8.175781,5.2617188,0.3619995,0.29888916,0.39642334,0.7889404
709800,1016.9487,1016.52734,-2.421875,8.183594,4.953125,0.4074707,0.29473877,0.28552246,0.81585693,703675.0,1013.41943,1014.7549,-1.7304688,8.292969,5.1484375,0.36218262,0.2987671,0.39605713,0.78912354
709820,1016.94434,1016.54736,-2.5,8.296875,4.9921875,0.4074707,0.29473877,0.28552246,0.81585693,703695.0,1013.4214,1014.73755,-1.7304688,8.1328125,5.2617188,0.36212158,0.29821777,0.39569092,0.7895508
