timestamp_1,fPressureFront_1,fPressureSide_1,acceleration.x_1,acceleration.y_1,acceleration.z_1,quaternion.i_1,quaternion.j_1,quaternion.k_1,quaternion.real_1,timestamp_2,fPressureFront_2,fPressureSide_2,acceleration.x_2,acceleration.y_2,acceleration.z_2,quaternion.i_2,quaternion.j_2,quaternion.k_2,quaternion.real_2
283075,753.90674,753.8696,-10.464844,-0.796875,-3.2226562,0.24017334,0.7574463,-0.26409912,0.54663086,282970.0,754.9883,753.3501,-10.417969,3.4375,-2.8242188,0.6660156,0.3449707,-0.4921875,0.44177246
283080,753.90674,753.8696,-9.660156,-0.64453125,-4.6015625,0.25079346,0.7785034,-0.24603271,0.52008057,282975.0,754.9536,753.3843,-8.5,2.328125,-2.4414062,0.70092773,0.3380127,-0.46759033,0.41931152
283095,753.89355,754.00073,-7.8632812,-1.71875,-2.9140625,0.14422607,0.7871704,-0.2506714,0.54467773,282990.0,754.9773,753.3579,-8.234375,2.1367188,-2.25,0.6976929,0.33502197,-0.47558594,0.4180298
283110,753.8884,754.115,-7.7070312,-1.8320312,-2.9921875,0.14202881,0.7887573,-0.24639893,0.5449219,283010.0,754.9678,753.36597,-8.042969,2.0195312,-2.2109375,0.6948242,0.33392334,-0.4807129,0.4179077
283125,753.895,754.25073,-7.9296875,-1.7578125,-2.953125,0.13977051,0.7904663,-0.24182129,0.545166,283030.0,754.97046,753.36597,-8.347656,2.0195312,-2.0195312,0.69244385,0.33374023,-0.4841919,0.41796875
283145,753.90454,754.4158,-8.0078125,-1.7929688,-2.953125,0.13842773,0.791626,-0.23803711,0.54541016,283055.0,754.9524,753.41284,-8.578125,1.7929688,-1.6757812,0.6904297,0.33312988,-0.48809814,0.41729736
283165,753.8684,754.4778,-7.9335938,-1.9492188,-2.9921875,0.13763428,0.7922363,-0.23547363,0.5458374,283070.0,754.96924,753.3701,-8.578125,1.7539062,-1.40625,0.6880493,0.33221436,-0.4925537,0.416687
283185,753.88965,754.57495,-7.7460938,-1.7929688,-2.953125,0.13690186,0.79248047,-0.23376465,0.54644775,283090.0,754.9978,753.33813,-8.6484375,1.7539062,-1.2539062,0.6859741,0.33093262,-0.496521,0.41644287
283205,753.88525,754.61304,-7.9023438,-1.6796875,-2.8789062,0.1359253,0.79278564,-0.23199463,0.5469971,283110.0,755.04346,753.36597,-8.7265625,1.828125,-1.1015625,0.6848755,0.32995605,-0.49890137,0.41607666
283225,753.90356,754.67163,-8.1640625,-1.71875,-2.8007812,0.13513184,0.7932739,-0.23052979,0.5470581,283130.0,755.062,753.3428,-9.9140625,1.7539062,-0.87109375,0.6849365,0.32946777,-0.50024414,0.4147339
