timestamp_1,fPressureFront_1,fPressureSide_1,acceleration.x_1,acceleration.y_1,acceleration.z_1,quaternion.i_1,quaternion.j_1,quaternion.k_1,quaternion.real_1,timestamp_2,fPressureFront_2,fPressureSide_2,acceleration.x_2,acceleration.y_2,acceleration.z_2,quaternion.i_2,quaternion.j_2,quaternion.k_2,quaternion.real_2
1670140,1019.74634,1019.7405,8.003906,4.7304688,-3.265625,0.7040405,-0.40283203,0.30847168,0.4968872,1708190.0,1020.22485,1018.874,0.234375,8.683594,-5.078125,0.47528076,-0.7247925,-0.40875244,0.28588867
1670155,1019.76636,1019.75757,1.09375,9.2109375,2.625,0.5924072,0.11853027,0.2515869,0.7561035,1708200.0,1020.25464,1018.81714,-5.203125,8.035156,2.7734375,0.5917969,0.004760742,-0.4274292,0.68341064
1670175,1019.77344,1019.7717,1.171875,9.1015625,2.5078125,0.592041,0.11645508,0.24993896,0.7572632,1708210.0,1020.2522,1018.81714,-5.1640625,8.0703125,2.734375,0.5925293,0.0044555664,-0.42687988,0.68310547
1670190,1019.7571,1019.73804,1.09375,9.2890625,2.5859375,0.59191895,0.11517334,0.24884033,0.7579346,1708230.0,1020.22876,1018.8003,-5.1640625,8.144531,2.6953125,0.5928955,0.004333496,-0.42669678,0.68292236
1670210,1019.78174,1019.7368,1.1328125,9.25,2.5078125,0.59173584,0.11376953,0.24749756,0.758728,1708255.0,1020.21313,1018.8452,-5.125,8.105469,2.734375,0.5932007,0.0044555664,-0.42663574,0.68273926
1670235,1019.7744,1019.7324,1.09375,9.328125,2.46875,0.5916748,0.11224365,0.24603271,0.75946045,1708270.0,1020.21704,1018.8091,-5.125,8.105469,2.734375,0.5935669,0.004699707,-0.4263916,0.68255615
1670250,1019.7776,1019.7727,1.171875,9.332031,2.46875,0.5917969,0.11053467,0.2444458,0.76013184,1708290.0,1020.1941,1018.8357,-5.1640625,8.105469,2.734375,0.5939331,0.0051879883,-0.42608643,0.6824341
1670270,1019.7788,1019.7683,1.1328125,9.2109375,2.4335938,0.59191895,0.10900879,0.24279785,0.7608032,1708310.0,1020.2234,1018.81226,-5.2421875,8.074219,2.6953125,0.5942993,0.00579834,-0.4257202,0.682312
1670290,1019.8003,1019.7544,1.171875,9.292969,2.4335938,0.59210205,0.107543945,0.24121094,0.76135254,1708335.0,1020.25024,1018.82056,-5.2421875,7.9570312,2.6953125,0.5947876,0.006286621,-0.42529297,0.6821289
1670315,1019.7593,1019.7461,1.2851562,9.140625,2.46875,0.59155273,0.105407715,0.23944092,0.7626343,1708350.0,1020.2627,1018.8386,-5.3203125,8.035156,2.6210938,0.59539795,0.0067749023,-0.4248047,0.6819458
1670330,1019.772,1019.75977,1.25,9.1796875,2.5078125,0.59106445,0.10418701,0.23803711,0.76361084,1708370.0,1020.2517,1018.81104,-5.3554688,7.9921875,2.5820312,0.5958252,0.0071411133,-0.4243164,0.68182373
1670350,1019.8157,1019.77344,1.2851562,9.2109375,2.5078125,0.59051514,0.10290527,0.23638916,0.7647095,1708390.0,1020.2041,1018.7898,-5.3554688,7.9140625,2.5429688,0.5961914,0.007080078,-0.42401123,0.68170166
1670370,1019.7915,1019.7529,1.25,9.105469,2.46875,0.59020996,0.101989746,0.23498535,0.7655029,1708415.0,1020.21387,1018.8469,-5.3203125,7.9140625,2.5039062,0.59661865,0.0067749023,-0.42382812,0.6814575
1670390,1019.7661,1019.76733,1.25,9.1796875,2.5078125,0.5899658,0.101257324,0.23382568,0.7661743,1708430.0,1020.2068,1018.84863,-5.3203125,7.875,2.5039062,0.59680176,0.0065307617,-0.4237671,0.68133545
1670410,1019.7512,1019.7356,1.171875,9.2109375,2.546875,0.5897827,0.10064697,0.23284912,0.76672363,1708450.0,1020.15015,1018.84644,-5.3203125,7.875,2.46875,0.59710693,0.006286621,-0.42364502,0.68115234
1670430,1019.77954,1019.70996,1.2109375,9.253906,2.546875,0.5892334,0.10003662,0.23181152,0.76745605,1708470.0,1020.2219,1018.8484,-5.3203125,7.953125,2.5039062,0.59729004,0.0061035156,-0.42352295,0.6810303
1670455,1019.76416,1019.7837,1.2109375,9.2109375,2.5078125,0.58862305,0.099487305,0.23071289,0.7683716,1708495.0,1020.2158,1018.86914,-5.28125,8.03125,2.5820312,0.59716797,0.0057373047,-0.42364502,0.6810913
1670470,1019.81274,1019.7449,1.2109375,9.25,2.46875,0.5878906,0.09893799,0.22955322,0.76934814,1708510.0,1020.2302,1018.8462,-5.28125,8.03125,2.6210938,0.59710693,0.005493164,-0.42370605,0.6810913
1670490,1019.7915,1019.7439,1.203125,9.144531,2.5859375,0.5899048,0.09857178,0.22827148,0.7682495,1708530.0,1020.2053,1018.813,-5.28125,8.03125,2.5820312,0.5970459,0.005126953,-0.4237671,0.6810913
1670510,1019.80273,1019.75073,1.1640625,9.214844,2.703125,0.5905762,0.09814453,0.22705078,0.76812744,1708550.0,1020.17676,1018.8374,-5.28125,7.9960938,2.5820312,0.5975952,0.005065918,-0.42388916,0.680603
1670535,1019.7671,1019.7949,1.203125,9.253906,2.625,0.59039307,0.09790039,0.22576904,0.76867676,1708575.0,1020.1853,1018.8423,-5.2421875,7.9570312,2.5429688,0.5977173,0.0048217773,-0.42388916,0.68048096
1670550,1019.78687,1019.7798,1.203125,9.253906,2.625,0.5904541,0.09802246,0.22497559,0.76885986,1708590.0,1020.2256,1018.84033,-5.2421875,7.9179688,2.5820312,0.5975952,0.004333496,-0.42388916,0.680603
1670570,1019.78613,1019.75024,1.1640625,9.253906,2.6640625,0.59020996,0.09820557,0.22399902,0.7692871,1708610.0,1020.17847,1018.8074,-5.2421875,7.9960938,2.6601562,0.5979004,0.0037841797,-0.42388916,0.68029785
1670590,1019.78784,1019.74805,1.0859375,9.292969,2.703125,0.5899658,0.09832764,0.22296143,0.7697754,1708630.0,1020.20215,1018.8418,-5.203125,8.074219,2.6953125,0.59783936,0.0029296875,-0.42388916,0.6804199
1670610,1019.75684,1019.77856,1.0117188,9.2890625,2.7421875,0.5897827,0.09832764,0.2220459,0.77020264,1708650.0,1020.1814,1018.80884,-5.125,8.1015625,2.6601562,0.5980835,0.0022583008,-0.42388916,0.6801758
1670630,1019.7776,1019.77686,0.97265625,9.292969,2.8554688,0.5894165,0.09820557,0.2211914,0.77075195,1708670.0,1020.2241,1018.7925,-5.125,8.144531,2.6601562,0.59814453,0.0015258789,-0.42382812,0.6801758
1670650,1019.76514,1019.73267,1.0507812,9.214844,2.7773438,0.5888672,0.09802246,0.22039795,0.77142334,1708690.0,1020.19995,1018.834,-5.125,8.183594,2.6210938,0.5980835,0.0008544922,-0.4237671,0.6802368
1670675,1019.7783,1019.7927,1.0859375,9.1796875,2.8554688,0.58843994,0.09790039,0.21972656,0.7719116,1708710.0,1020.1819,1018.8323,-5.125,8.1015625,2.6210938,0.59802246,0.00018310547,-0.42364502,0.6803589
1670690,1019.75903,1019.77124,1.125,9.0234375,2.8164062,0.5878906,0.097961426,0.21917725,0.772522,1708730.0,1020.1931,1018.83105,-5.0898438,8.0703125,2.5820312,0.5977783,-0.00048828125,-0.42364502,0.680542
1670710,1019.7539,1019.7893,1.0117188,9.144531,2.8554688,0.5872803,0.098083496,0.21868896,0.7730713,1708750.0,1020.2073,1018.8198,-5.0898438,8.035156,2.5820312,0.5975342,-0.001159668,-0.42364502,0.68078613
1670730,1019.78613,1019.77,1.0117188,9.144531,2.8164062,0.586792,0.0982666,0.21826172,0.7735596,1708770.0,1020.1821,1018.8462,-5.0507812,8.074219,2.5429688,0.597229,-0.0017700195,-0.42358398,0.6810913
1670750,1019.75684,1019.74585,1.125,9.1015625,2.7773438,0.58636475,0.09857178,0.21783447,0.7739258,1708795.0,1020.21436,1018.853,-5.0117188,7.953125,2.5429688,0.5968628,-0.0022583008,-0.4234619,0.6814575
