timestamp_1,fPressureFront_1,fPressureSide_1,acceleration.x_1,acceleration.y_1,acceleration.z_1,quaternion.i_1,quaternion.j_1,quaternion.k_1,quaternion.real_1,timestamp_2,fPressureFront_2,fPressureSide_2,acceleration.x_2,acceleration.y_2,acceleration.z_2,quaternion.i_2,quaternion.j_2,quaternion.k_2,quaternion.real_2
2293235,1015.57764,1016.69214,7.234375,6.6171875,1.5585938,0.61828613,-0.11743164,0.4984131,0.59625244,2285720.0,1014.2212,1018.1948,-8.4765625,1.0625,-4.2890625,-0.6600952,0.5197754,0.47314453,0.26507568
2293245,1015.60815,1016.71655,7.7265625,5.0859375,2.0976562,0.6090088,-0.12475586,0.505188,0.5985718,2285735.0,1014.23267,1018.2202,-8.324219,1.6757812,-4.75,-0.80914307,0.30493164,0.49780273,0.06695557
2293250,1015.60815,1016.71655,6.4296875,7.1523438,2.3632812,0.6072998,0.060302734,0.58984375,0.5288086,2285755.0,1014.21387,1018.23145,-8.246094,1.6757812,-4.671875,-0.8123169,0.29681396,0.49499512,0.0836792
2293270,1015.61084,1016.6804,6.4296875,6.9257812,2.3632812,0.6072998,0.060424805,0.5895996,0.52911377,2285775.0,1014.23706,1018.2471,-8.1328125,1.6015625,-4.5585938,-0.81518555,0.28863525,0.4918213,0.10131836
2293285,1015.64087,1016.69336,6.390625,6.84375,2.4023438,0.607605,0.061462402,0.5894165,0.52874756,2285795.0,1014.2644,1018.28394,-8.28125,1.6015625,-4.671875,-0.81726074,0.28173828,0.48962402,0.11419678
2293305,1015.593,1016.6846,6.3125,7.0429688,2.4023438,0.6083374,0.06317139,0.58929443,0.52789307,2285815.0,1014.2307,1018.31885,-8.3203125,1.4101562,-4.7851562,-0.8192749,0.27478027,0.487854,0.12335205
2293325,1015.6113,1016.6741,6.3125,7.265625,2.2890625,0.6088867,0.064819336,0.5891113,0.5272827,2285835.0,1014.2219,1018.2656,-8.4375,0.56640625,-4.671875,-0.82128906,0.26940918,0.4868164,0.12628174
2293350,1015.6272,1016.7007,6.1210938,7.265625,2.3632812,0.6091919,0.066223145,0.5887451,0.5272217,2285855.0,1014.24243,1018.2532,-8.5546875,0.22265625,-4.75,-0.82318115,0.26489258,0.48571777,0.12762451
2293365,1015.59985,1016.697,6.1601562,7.2304688,2.25,0.6097412,0.06756592,0.5881958,0.52697754,2285875.0,1014.24365,1018.2661,-8.5859375,0.06640625,-4.9023438,-0.82525635,0.26031494,0.48345947,0.13201904
2293385,1015.6394,1016.7073,6.2773438,7.2695312,2.0976562,0.6102295,0.06896973,0.5878906,0.5266113,2285895.0,1014.23975,1018.2798,-8.558594,0.06640625,-5.0546875,-0.8276367,0.25494385,0.48016357,0.13964844
2293405,1015.6013,1016.69556,6.2773438,7.1523438,2.1367188,0.6107178,0.07098389,0.5878906,0.52563477,2285925.0,1014.2344,1018.3362,-8.589844,-0.19921875,-5.0546875,-0.8300171,0.24835205,0.47662354,0.14910889
2293425,1015.61426,1016.70435,6.1992188,7.2304688,2.1367188,0.6113281,0.07336426,0.58807373,0.52441406,2285935.0,1014.2344,1018.334,-8.628906,-0.31640625,-5.0546875,-0.8317261,0.24108887,0.4743042,0.15844727
2293445,1015.62866,1016.6814,6.1601562,7.3085938,2.0976562,0.61157227,0.075805664,0.58813477,0.5237427,2285955.0,1014.26025,1018.3364,-8.625,-0.390625,-4.9765625,-0.8330078,0.23486328,0.47338867,0.1638794
2293465,1015.57837,1016.6892,6.1210938,7.265625,2.2109375,0.61151123,0.07739258,0.58813477,0.5235596,2285975.0,1014.2363,1018.3174,-8.703125,-0.58203125,-4.9414062,-0.83392334,0.23095703,0.47332764,0.16479492
2293485,1015.6255,1016.70654,6.0859375,7.265625,2.25,0.61157227,0.07879639,0.58807373,0.5233154,2285995.0,1014.2532,1018.2803,-8.5859375,-0.7734375,-4.8632812,-0.83477783,0.22839355,0.4736328,0.16326904
2293505,1015.58716,1016.7014,6.0078125,7.0820312,2.25,0.61206055,0.080444336,0.58807373,0.522583,2286015.0,1014.23486,1018.2644,-8.480469,-0.69921875,-4.75,-0.83551025,0.2265625,0.4732666,0.16308594
2293525,1015.6189,1016.7217,6.0078125,7.1210938,2.328125,0.6129761,0.0826416,0.5878906,0.5213623,2286035.0,1014.23535,1018.2234,-8.402344,-0.62109375,-4.8632812,-0.8364868,0.22357178,0.4718628,0.16644287
2293545,1015.6128,1016.73584,6.0078125,7.1484375,2.2890625,0.6137085,0.08428955,0.5874634,0.5206909,2286055.0,1014.26514,1018.2185,-8.171875,-0.890625,-4.9023438,-0.8373413,0.21783447,0.46984863,0.17510986
2293565,1015.63135,1016.70654,6.0078125,7.1875,2.171875,0.614624,0.085876465,0.58673096,0.52020264,2286075.0,1014.24194,1018.2661,-8.519531,-1.0820312,-4.5195312,-0.83721924,0.20941162,0.46862793,0.1887207
2293585,1015.59204,1016.6946,6.1210938,7.1875,2.1367188,0.61553955,0.08770752,0.58599854,0.5196533,2286095.0,1014.2871,1018.2803,-8.2421875,-0.7734375,-4.5195312,-0.8366089,0.20202637,0.46832275,0.1998291
2293605,1015.5852,1016.70215,6.046875,7.3476562,2.1367188,0.61639404,0.09008789,0.5856323,0.51867676,2286115.0,1014.2722,1018.2969,-8.28125,-0.9296875,-4.2890625,-0.8369751,0.19726562,0.46777344,0.20446777
2293625,1015.5913,1016.7246,5.9296875,7.5039062,2.0976562,0.6168213,0.091674805,0.5856323,0.51782227,2286135.0,1014.2793,1018.26196,-8.324219,-1.8085938,-4.5585938,-0.83862305,0.19464111,0.46643066,0.203125
2293645,1015.603,1016.66724,5.8085938,7.5234375,2.1757812,0.6170044,0.0925293,0.58587646,0.5172119,2286150.0,1014.2468,1018.20337,-8.203125,-2.0390625,-4.59375,-0.8404541,0.19329834,0.46466064,0.2010498
