timestamp_1,fPressureFront_1,fPressureSide_1,acceleration.x_1,acceleration.y_1,acceleration.z_1,quaternion.i_1,quaternion.j_1,quaternion.k_1,quaternion.real_1,timestamp_2,fPressureFront_2,fPressureSide_2,acceleration.x_2,acceleration.y_2,acceleration.z_2,quaternion.i_2,quaternion.j_2,quaternion.k_2,quaternion.real_2
1263530,997.94727,997.772,6.0117188,5.3398438,4.6328125,0.38494873,-0.2880249,0.1560669,0.862854,1259145.0,997.04614,996.6904,-7.640625,3.703125,-4.8945312,0.864624,0.10241699,-0.39898682,0.28771973
1263540,997.94727,997.7268,6.0859375,5.4921875,5.5898438,0.375,-0.27667236,0.1539917,0.87127686,1259150.0,997.052,996.7219,-6.8359375,4.3554688,-4.8945312,0.87023926,0.103149414,-0.38427734,0.29052734
1263555,997.9419,997.72974,-0.4375,3.421875,9.308594,0.08355713,0.14135742,0.7351074,0.6577759,1259165.0,997.0508,996.70703,1.3632812,1.0898438,9.433594,0.08508301,0.012084961,0.8093262,0.5810547
1263570,997.93555,997.74194,-0.4765625,3.1523438,9.421875,0.08190918,0.14019775,0.7352295,0.65808105,1259180.0,997.01807,996.71045,1.3984375,1.0898438,9.472656,0.08453369,0.011413574,0.8097534,0.5805054
1263590,997.98584,997.80225,-0.4765625,3.0390625,9.464844,0.08135986,0.1395874,0.73535156,0.6581421,1259200.0,997.04736,996.7117,1.4375,1.0898438,9.5078125,0.08416748,0.010925293,0.81030273,0.579895
1263610,997.94336,997.75586,-0.5546875,3.078125,9.4609375,0.08166504,0.13989258,0.73553467,0.6577759,1259225.0,997.0515,996.71387,1.3984375,1.1679688,9.546875,0.083740234,0.010253906,0.81073,0.57928467
1263630,997.9585,997.7605,-0.4375,3.0,9.503906,0.08203125,0.14013672,0.7357178,0.65753174,1259240.0,997.0901,996.6953,1.3984375,1.0507812,9.6640625,0.08343506,0.00970459,0.81103516,0.5789795
1263650,997.95605,997.8015,-0.4765625,3.0390625,9.386719,0.08239746,0.140625,0.73583984,0.6572876,1259260.0,997.0574,996.7075,1.4765625,1.015625,9.7734375,0.08355713,0.009765625,0.8111572,0.57873535
1263670,997.9502,997.7964,-0.4765625,2.9609375,9.347656,0.08306885,0.14074707,0.7359619,0.6569824,1259280.0,997.0437,996.70483,1.3632812,0.9765625,9.738281,0.08392334,0.010314941,0.81134033,0.5784302
1263695,997.93823,997.77686,-0.4375,3.0,9.191406,0.083862305,0.14056396,0.736145,0.6567383,1259300.0,997.0215,996.67896,1.3984375,1.0507812,9.550781,0.08404541,0.010375977,0.8115845,0.57806396
