timestamp_1,fPressureFront_1,fPressureSide_1,acceleration.x_1,acceleration.y_1,acceleration.z_1,quaternion.i_1,quaternion.j_1,quaternion.k_1,quaternion.real_1,timestamp_2,fPressureFront_2,fPressureSide_2,acceleration.x_2,acceleration.y_2,acceleration.z_2,quaternion.i_2,quaternion.j_2,quaternion.k_2,quaternion.real_2
243265,996.2427,996.29224,7.6992188,5.828125,0.4375,0.586853,-0.3619995,0.25830078,0.67663574,243250.0,997.7031,997.39355,-4.5703125,8.1640625,-1.8671875,0.6546631,0.42108154,0.045837402,0.62609863
243275,996.25366,996.29224,9.347656,-2.3671875,-1.9375,-0.46209717,-0.6326904,-0.26593018,0.5616455,243265.0,997.7295,997.34155,-0.73828125,6.1015625,-7.4257812,0.15142822,-0.9211426,-0.3577881,0.022705078
243290,996.2361,996.3059,9.457031,-2.2929688,-2.0898438,-0.4621582,-0.6331177,-0.26556396,0.56134033,243280.0,997.719,997.3723,-0.77734375,6.2539062,-7.4257812,0.15228271,-0.9211426,-0.3574829,0.023498535
243310,996.2363,996.3093,9.457031,-2.40625,-1.8984375,-0.4623413,-0.6335449,-0.26556396,0.56066895,243295.0,997.7505,997.3357,-0.73828125,6.3671875,-7.4921875,0.15301514,-0.92108154,-0.35723877,0.024719238
243325,996.2698,996.29004,9.574219,-2.40625,-1.9726562,-0.4625244,-0.6341553,-0.26611328,0.5595703,243315.0,997.7107,997.3557,-0.73828125,6.484375,-7.5742188,0.15374756,-0.92071533,-0.35766602,0.026184082
243345,996.2407,996.2698,9.574219,-2.1757812,-1.9375,-0.4625244,-0.6350708,-0.2677002,0.5578003,243330.0,997.72,997.35156,-0.81640625,6.484375,-7.6132812,0.15447998,-0.92004395,-0.3590088,0.027648926
243365,996.2544,996.2888,9.453125,-2.0234375,-1.9375,-0.46270752,-0.6359863,-0.2695923,0.555603,243350.0,997.7422,997.345,-0.8515625,6.3671875,-7.5742188,0.15509033,-0.9193115,-0.3605957,0.028503418
243385,996.2405,996.2854,9.457031,-2.1015625,-2.0898438,-0.4628296,-0.63708496,-0.27087402,0.55371094,243370.0,997.73364,997.3523,-0.890625,6.2539062,-7.4921875,0.15509033,-0.9187012,-0.36206055,0.028503418
243405,996.2356,996.2632,9.4921875,-2.0625,-2.28125,-0.46246338,-0.63842773,-0.27111816,0.5523071,243390.0,997.70605,997.3428,-0.81640625,6.2148438,-7.421875,0.15454102,-0.91845703,-0.36309814,0.027893066
243425,996.2322,996.2822,9.5703125,-2.0234375,-2.4335938,-0.46154785,-0.6399536,-0.2713623,0.5512085,243410.0,997.7446,997.35596,-0.39453125,6.6367188,-7.4609375,0.15423584,-0.91796875,-0.36431885,0.027893066
243445,996.24316,996.27,9.6484375,-1.6015625,-2.5859375,-0.45983887,-0.6413574,-0.27270508,0.55029297,243430.0,997.71826,997.32495,-0.5859375,6.5976562,-7.34375,0.15435791,-0.91693115,-0.36676025,0.0289917
243465,996.2639,996.28394,9.34375,-1.5234375,-2.2421875,-0.45837402,-0.64263916,-0.27349854,0.5496216,243450.0,997.7197,997.3308,-0.66015625,6.3671875,-7.1914062,0.15423584,-0.9160156,-0.36914062,0.02923584
243485,996.28125,996.2666,9.347656,-1.6015625,-2.2421875,-0.45733643,-0.64416504,-0.27313232,0.5488281,243475.0,997.7195,997.3308,-0.5078125,6.6757812,-6.8476562,0.15362549,-0.91534424,-0.37109375,0.028320312
243505,996.2258,996.2825,9.269531,-1.640625,-2.2421875,-0.4567871,-0.64611816,-0.2722168,0.54748535,243490.0,997.7676,997.3447,-0.46875,6.75,-6.7304688,0.1531372,-0.9147339,-0.3729248,0.027404785
243525,996.23486,996.3186,9.265625,-1.5234375,-2.546875,-0.45690918,-0.64819336,-0.27130127,0.54541016,243510.0,997.77954,997.3093,-0.5859375,6.8710938,-6.6171875,0.15289307,-0.91400146,-0.3748169,0.026550293
243545,996.22876,996.2932,9.230469,-1.6015625,-2.7382812,-0.45812988,-0.6500244,-0.2705078,0.54260254,243530.0,997.7529,997.33813,-0.77734375,6.8710938,-6.578125,0.15246582,-0.91326904,-0.37701416,0.024841309
243565,996.2263,996.2761,9.3046875,-1.6796875,-2.8554688,-0.45996094,-0.6512451,-0.27111816,0.5391846,243550.0,997.7388,997.3452,-0.73828125,6.671875,-6.6171875,0.15161133,-0.91278076,-0.3786621,0.022094727
243585,996.27026,996.27246,9.308594,-1.640625,-2.7773438,-0.46307373,-0.65179443,-0.27648926,0.5331421,243570.0,997.74,997.3384,-1.0429688,6.4453125,-6.4609375,0.14984131,-0.91296387,-0.3791504,0.01763916
243605,996.1792,996.2969,9.53125,-1.5234375,-4.234375,-0.47045898,-0.651001,-0.29083252,0.51989746,243590.0,997.7207,997.3884,-0.77734375,6.1015625,-7.9179688,0.14752197,-0.91326904,-0.3795166,0.011169434
243625,996.1687,996.3013,9.453125,-1.5234375,-5.1523438,-0.48223877,-0.6478882,-0.31793213,0.496521,243610.0,997.70605,997.3484,-1.5039062,6.1015625,-8.453125,0.14575195,-0.91259766,-0.381958,0.0041503906
243645,996.177,996.272,9.421875,-1.4101562,-6.0742188,-0.49365234,-0.64312744,-0.34875488,0.4701538,243630.0,997.7312,997.37646,-1.3515625,6.5976562,-8.453125,-0.14385986,0.90997314,0.38891602,0.0030517578
243670,996.19727,996.31396,10.152344,-0.9140625,-5.1523438,-0.50146484,-0.6352539,-0.38043213,0.44750977,243650.0,997.7229,997.324,-1.5039062,6.90625,-8.113281,-0.14257812,0.90460205,0.40167236,0.008911133
243685,996.1975,996.2539,9.652344,-0.109375,-5.0390625,-0.50561523,-0.6244507,-0.4138794,0.42797852,243670.0,997.7351,997.34204,-1.1992188,6.5234375,-7.3828125,-0.14178467,0.8984375,0.41540527,0.014099121
243705,996.22925,996.24756,8.8046875,0.50390625,-4.0039062,-0.5081177,-0.611145,-0.44866943,0.40863037,243695.0,997.76587,997.34033,-1.3125,6.5585938,-6.4648438,-0.14056396,0.8930664,0.42700195,0.01928711
243725,996.24976,996.19434,8.730469,1.0039062,-2.703125,-0.510376,-0.59710693,-0.4819336,0.38824463,243710.0,997.781,997.3386,-1.5039062,6.7148438,-5.9257812,-0.13964844,0.8880005,0.43743896,0.023925781
243745,996.25024,996.1892,8.503906,1.9609375,-0.90234375,-0.5128784,-0.5807495,-0.51568604,0.36566162,243730.0,997.75024,997.3657,-1.7734375,7.171875,-5.5820312,-0.13934326,0.8831787,0.44702148,0.02746582
243765,996.3113,996.1904,8.582031,1.9609375,-0.328125,-0.5147095,-0.565979,-0.5418091,0.34814453,243750.0,997.77905,997.31104,-1.65625,7.3984375,-5.2773438,-0.13928223,0.8777466,0.4574585,0.02947998
