timestamp_1,fPressureFront_1,fPressureSide_1,acceleration.x_1,acceleration.y_1,acceleration.z_1,quaternion.i_1,quaternion.j_1,quaternion.k_1,quaternion.real_1,timestamp_2,fPressureFront_2,fPressureSide_2,acceleration.x_2,acceleration.y_2,acceleration.z_2,quaternion.i_2,quaternion.j_2,quaternion.k_2,quaternion.real_2
77050,1010.4751,1010.2251,6.2929688,-5.1953125,5.9257812,-0.4282837,0.14672852,-0.84765625,0.27661133,70125.0,1009.8093,1009.6809,-5.640625,-4.671875,6.7773438,-0.199646,0.3550415,-0.12072754,0.90527344
77065,1010.4624,1010.2041,6.2109375,-5.421875,6.0039062,-0.42712402,0.14538574,-0.8487549,0.27581787,70145.0,1009.8179,1009.6631,-6.1015625,-4.4804688,6.5390625,-0.20062256,0.3571167,-0.12408447,0.9038086
77080,1010.4707,1010.19995,6.359375,-5.2695312,5.8125,-0.42401123,0.13623047,-0.850708,0.27929688,70160.0,1009.8347,1009.7202,-6.2109375,-4.4414062,6.1210938,-0.20098877,0.35784912,-0.12835693,0.90283203
77095,1010.4558,1010.2029,6.25,-5.1171875,5.6992188,-0.42163086,0.12652588,-0.852417,0.28222656,70180.0,1009.8052,1009.7014,-5.984375,-4.25,5.9296875,-0.20385742,0.35754395,-0.13140869,0.90185547
77110,1010.4475,1010.2119,6.1367188,-5.2695312,5.8515625,-0.4204712,0.11932373,-0.8543091,0.28125,70200.0,1009.83325,1009.6885,-5.9101562,-4.4804688,5.9726562,-0.21173096,0.3555298,-0.13287354,0.90063477
77130,1010.4783,1010.2234,6.2109375,-4.8867188,6.0039062,-0.41912842,0.11254883,-0.85717773,0.2772827,70220.0,1009.822,1009.6714,-5.2578125,-4.9375,6.4648438,-0.21887207,0.35339355,-0.13372803,0.89959717
77145,1010.5156,1010.2156,6.25,-4.5820312,6.421875,-0.41674805,0.10626221,-0.86065674,0.272583,70240.0,1009.7971,1009.7158,-5.296875,-5.1289062,6.6171875,-0.22290039,0.35211182,-0.13562012,0.89886475
77165,1010.4829,1010.1907,6.0195312,-4.1210938,6.6210938,-0.41497803,0.10028076,-0.8641968,0.26623535,70260.0,1009.8291,1009.7031,-5.1445312,-5.5898438,6.6601562,-0.22253418,0.3517456,-0.13861084,0.8986206
77185,1010.48413,1010.20825,5.90625,-3.5859375,6.5820312,-0.4152832,0.09429932,-0.8666992,0.25976562,70285.0,1009.82715,1009.7307,-5.6054688,-5.3242188,6.1210938,-0.22180176,0.35162354,-0.14141846,0.8984375
77205,1010.4861,1010.1963,5.90625,-3.1640625,6.2773438,-0.4175415,0.09088135,-0.8678589,0.25335693,70300.0,1009.8086,1009.68164,-5.7578125,-5.2070312,5.96875,-0.22296143,0.35058594,-0.14294434,0.8983154
77225,1010.4624,1010.21436,6.171875,-3.5859375,6.15625,-0.42077637,0.08886719,-0.86816406,0.24761963,70320.0,1009.8269,1009.67236,-5.6796875,-5.4765625,6.1171875,-0.22418213,0.34924316,-0.14300537,0.89849854
77245,1010.4646,1010.22314,6.4375,-3.203125,5.8125,-0.42419434,0.08648682,-0.8676758,0.2444458,70340.0,1009.81104,1009.6953,-5.3359375,-5.7070312,6.4648438,-0.22332764,0.34851074,-0.14361572,0.8989258
77265,1010.45825,1010.20435,6.8242188,-2.8554688,5.3515625,-0.42803955,0.085876465,-0.86621094,0.24316406,70360.0,1009.81055,1009.69604,-5.4140625,-5.5898438,6.5039062,-0.21960449,0.34777832,-0.14605713,0.89971924
77285,1010.46704,1010.18604,6.9765625,-2.6289062,5.1992188,-0.43243408,0.08880615,-0.8640747,0.24188232,70380.0,1009.84106,1009.7134,-5.6054688,-5.09375,6.234375,-0.21496582,0.34674072,-0.14916992,0.90075684
77305,1010.47144,1010.2302,7.1679688,-3.6601562,5.3125,-0.4385376,0.09442139,-0.8613281,0.23846436,70395.0,1009.7766,1009.6675,-5.640625,-4.9023438,6.046875,-0.21185303,0.34558105,-0.15136719,0.9015503
77325,1010.48926,1010.22217,7.4765625,-3.96875,5.0859375,-0.44317627,0.10003662,-0.8598633,0.23284912,70420.0,1009.8103,1009.69214,-5.4882812,-4.7851562,6.1601562,-0.21057129,0.3446045,-0.15246582,0.9020386
77350,1010.5049,1010.19824,7.515625,-3.546875,5.5078125,-0.44677734,0.109436035,-0.8590698,0.2244873,70440.0,1009.82056,1009.67554,-5.5273438,-5.09375,6.5039062,-0.21044922,0.34362793,-0.15246582,0.9024658
77365,1010.4834,1010.23193,6.6757812,-4.7734375,6.6171875,-0.44818115,0.115600586,-0.8586426,0.22039795,70460.0,1009.79346,1009.6892,-5.296875,-5.4375,6.6992188,-0.20855713,0.34228516,-0.15301514,0.9033203
77385,1010.51733,1010.2278,7.2070312,-4.4257812,5.734375,-0.44812012,0.1159668,-0.8579712,0.22271729,70480.0,1009.7964,1009.6763,-5.3359375,-5.2460938,6.6210938,-0.2052002,0.34118652,-0.15441895,0.90423584
77405,1010.4529,1010.1931,7.2070312,-4.4648438,5.5078125,-0.4477539,0.1159668,-0.85723877,0.22631836,70500.0,1009.7886,1009.6892,-5.4140625,-4.7109375,6.3125,-0.20251465,0.34002686,-0.15576172,0.9050293
77425,1010.48706,1010.2285,7.2070312,-4.5039062,5.46875,-0.447937,0.116760254,-0.8563843,0.22869873,70520.0,1009.78394,1009.69653,-5.4882812,-4.7460938,6.4335938,-0.20214844,0.33917236,-0.15539551,0.9055176
