timestamp_1,fPressureFront_1,fPressureSide_1,acceleration.x_1,acceleration.y_1,acceleration.z_1,quaternion.i_1,quaternion.j_1,quaternion.k_1,quaternion.real_1,timestamp_2,fPressureFront_2,fPressureSide_2,acceleration.x_2,acceleration.y_2,acceleration.z_2,quaternion.i_2,quaternion.j_2,quaternion.k_2,quaternion.real_2
26170,990.69653,991.46094,-8.6328125,3.828125,2.3320312,-0.37786865,0.50531006,0.6708374,0.38964844,21240.0,991.4226,988.8513,5.8320312,3.2851562,-0.265625,0.4091797,-0.64404297,0.2366333,0.60150146
26185,990.72217,991.5117,-8.792969,3.5976562,2.2148438,-0.37927246,0.5042114,0.6713867,0.38879395,21265.0,991.489,988.8064,8.285156,2.328125,-1.9140625,0.42858887,-0.65948486,0.21728516,0.57806396
26190,990.7073,991.4783,-8.792969,3.1015625,2.0625,-0.38201904,0.50213623,0.6727295,0.3864746,21285.0,991.4949,988.82666,7.3203125,1.1015625,-2.0273438,0.43615723,-0.67163086,0.20703125,0.5620117
26210,990.7261,991.4846,-8.984375,2.9101562,2.140625,-0.38391113,0.5010376,0.67315674,0.38519287,21305.0,991.4585,988.7849,6.8320312,2.7109375,-4.0976562,0.44299316,-0.68273926,0.19952393,0.54571533
26230,990.68115,991.4795,-8.871094,2.7578125,2.2539062,-0.38494873,0.5012207,0.6725464,0.3850708,21325.0,991.44556,988.8469,9.472656,2.40625,-7.9648438,0.4484253,-0.68725586,0.19885254,0.5357666
26255,990.70386,991.4724,-8.792969,3.2539062,2.1015625,-0.3861084,0.5019531,0.6713867,0.38500977,21345.0,991.4238,988.8313,8.933594,2.5976562,-4.9414062,0.4494629,-0.68743896,0.20721436,0.53149414
26270,990.69653,991.4846,-8.671875,3.3671875,2.140625,-0.38775635,0.5025635,0.67089844,0.38330078,21365.0,991.48413,988.83276,7.7421875,3.5546875,-3.6757812,0.44921875,-0.68621826,0.21466064,0.5303345
26290,990.69116,991.4719,-8.90625,3.2148438,2.0234375,-0.38952637,0.5028076,0.6713257,0.38043213,21390.0,991.45337,988.8235,7.9765625,0.52734375,-2.7929688,0.4529419,-0.6809082,0.22229004,0.5308838
26310,990.7063,991.5017,-9.1328125,3.2148438,1.640625,-0.390625,0.5024414,0.67193604,0.37878418,21405.0,991.4546,988.79346,5.5664062,2.9023438,-2.296875,0.46002197,-0.6757202,0.23162842,0.52734375
26335,990.7178,991.47,-9.2109375,2.9492188,1.8710938,-0.39056396,0.5025635,0.6716919,0.37908936,21425.0,991.4414,988.843,6.2148438,6.2382812,-5.1328125,0.46166992,-0.6786499,0.23034668,0.5227051
26350,990.698,991.4944,-8.9453125,3.1757812,1.9492188,-0.38946533,0.5037842,0.6709595,0.37994385,21445.0,991.4634,988.8225,8.824219,3.2460938,-5.1679688,0.460083,-0.6832886,0.2211914,0.5220337
26370,990.71094,991.49194,-8.6015625,3.40625,2.0234375,-0.38916016,0.5050659,0.6702881,0.37976074,21465.0,991.42114,988.7595,10.1953125,2.1757812,-5.9726562,0.45611572,-0.6864624,0.2111206,0.5255127
26390,990.7114,991.469,-8.6015625,3.484375,2.140625,-0.3904419,0.50561523,0.6702881,0.3776245,21485.0,991.4263,988.83545,10.464844,0.71875,-6.1640625,0.45013428,-0.68481445,0.21069336,0.532959
26415,990.7053,991.46436,-9.09375,3.5585938,1.8710938,-0.3918457,0.5053711,0.6713867,0.3746338,21505.0,991.4668,988.82495,7.59375,2.3671875,-3.140625,0.4446411,-0.6812134,0.21130371,0.5418701
26430,990.6897,991.47217,-8.984375,3.3671875,1.7578125,-0.39172363,0.5048828,0.67266846,0.37304688,21525.0,991.46436,988.79395,6.328125,4.28125,-1.875,0.44073486,-0.68078613,0.19873047,0.55029297
26450,990.69775,991.459,-8.671875,3.5976562,1.71875,-0.39093018,0.5048828,0.6727295,0.3737793,21545.0,991.4336,988.8428,8.207031,1.6367188,-4.59375,0.43914795,-0.68078613,0.18267822,0.5570679
26470,990.7263,991.4929,-8.792969,3.6367188,1.8710938,-0.3897705,0.505188,0.6723633,0.37524414,21565.0,991.4087,988.8401,9.8125,1.6757812,-5.09375,0.4397583,-0.68182373,0.17687988,0.55718994
26495,990.6714,991.4785,-8.449219,3.7890625,1.9882812,-0.38928223,0.5046387,0.6727295,0.3758545,21585.0,991.4678,988.8345,10.964844,1.7539062,-5.515625,0.4407959,-0.6816406,0.17773438,0.5562744
26515,990.70386,991.4773,-8.5234375,3.4453125,2.0234375,-0.39001465,0.50305176,0.67388916,0.37512207,21605.0,991.4812,988.8237,7.59375,1.484375,-2.6796875,0.4416504,-0.6803589,0.17675781,0.5574951
26530,990.71484,991.49927,-8.6015625,3.2929688,1.9882812,-0.39031982,0.50219727,0.6746216,0.3746338,21625.0,991.48584,988.83496,7.0546875,2.0585938,-2.8710938,0.4432373,-0.6782837,0.175354,0.5592041
26550,990.70044,991.49927,-8.792969,3.0625,1.9882812,-0.38879395,0.5025635,0.67456055,0.37579346,21645.0,991.43335,988.82446,7.2539062,3.1328125,-2.7929688,0.444458,-0.6776123,0.17199707,0.5601196
26575,990.72046,991.5115,-8.5625,3.5585938,2.0234375,-0.38635254,0.5031128,0.6744385,0.37786865,21665.0,991.41675,988.86646,8.8515625,1.7929688,-3.5976562,0.44622803,-0.6779785,0.16705322,0.5597534
26590,990.6948,991.5051,-8.566406,3.5585938,2.0625,-0.3850708,0.5027466,0.6748047,0.3789673,21685.0,991.48,988.82056,9.6953125,2.5195312,-4.9023438,0.44903564,-0.67755127,0.16687012,0.55804443
26610,990.6985,991.50684,-8.671875,3.5976562,2.0625,-0.38494873,0.50201416,0.67578125,0.3782959,21705.0,991.44116,988.8054,8.4375,3.2851562,-3.3320312,0.45031738,-0.67718506,0.1697998,0.5565796
26630,990.72217,991.49585,-8.671875,3.2929688,1.9882812,-0.38446045,0.50201416,0.6766968,0.37719727,21725.0,991.4592,988.8208,8.589844,3.09375,-2.9101562,0.45056152,-0.677124,0.171875,0.55584717
26650,990.7041,991.45337,-8.90625,3.5234375,1.9882812,-0.38323975,0.50268555,0.6769409,0.37701416,21750.0,991.46436,988.8091,7.9375,1.7929688,-3.1015625,0.45111084,-0.6762085,0.17315674,0.5560913
