timestamp_1,fPressureFront_1,fPressureSide_1,acceleration.x_1,acceleration.y_1,acceleration.z_1,quaternion.i_1,quaternion.j_1,quaternion.k_1,quaternion.real_1,timestamp_2,fPressureFront_2,fPressureSide_2,acceleration.x_2,acceleration.y_2,acceleration.z_2,quaternion.i_2,quaternion.j_2,quaternion.k_2,quaternion.real_2
798295,987.4707,988.2495,1.3476562,1.1328125,9.589844,0.07824707,0.032409668,0.9350586,0.34429932,798265.0,988.7925,987.35913,-2.5585938,2.7929688,8.8828125,-0.066101074,0.18762207,0.9020996,0.38293457
798300,987.4463,988.2849,1.3085938,1.171875,9.589844,0.08087158,0.033813477,0.9349365,0.34375,798280.0,988.7544,987.35767,-0.83984375,2.2109375,9.800781,0.12420654,-0.051818848,-0.41864014,0.8981323
798310,987.4463,988.31836,1.0273438,2.7851562,-9.578125,0.9119873,-0.38098145,0.038513184,0.14715576,798290.0,988.75854,987.35767,-0.609375,2.671875,9.191406,0.13391113,-0.0513916,-0.4177246,0.8972168
798325,987.4751,988.35254,2.1367188,1.2148438,-9.886719,0.91223145,-0.37945557,0.059631348,0.14227295,798305.0,988.78076,987.3623,-0.33984375,3.2851562,8.574219,0.13977051,-0.05230713,-0.41784668,0.8961792
798345,987.5054,988.3191,3.9023438,1.0585938,-9.347656,0.9113159,-0.38104248,0.0826416,0.13195801,798325.0,988.76587,987.3611,-0.5703125,3.171875,8.808594,0.14215088,-0.054992676,-0.4197998,0.89471436
798365,987.52563,988.3594,5.0507812,1.2890625,-8.816406,0.9099121,-0.38275146,0.10357666,0.12207031,798345.0,988.76025,987.36914,0.38671875,2.8242188,9.191406,0.14221191,-0.0592041,-0.42315674,0.8928833
798380,987.5325,988.3384,5.0507812,0.37109375,-7.2851562,0.9067993,-0.38513184,0.12902832,0.11260986,798365.0,988.7666,987.34937,0.5,2.6328125,9.375,0.14349365,-0.06085205,-0.42559814,0.89141846
798400,987.5205,988.3877,5.4335938,0.41015625,-6.7460938,0.90270996,-0.38653564,0.15673828,0.10559082,798385.0,988.7556,987.3579,0.69140625,2.9023438,9.152344,0.1473999,-0.059265137,-0.427063,0.8901367
798420,987.4612,988.44824,1.71875,1.5195312,-12.6796875,0.8951416,-0.3881836,0.18847656,0.11175537,798405.0,988.7771,987.35913,1.34375,3.09375,8.609375,0.15319824,-0.051879883,-0.42791748,0.8892212
798440,987.4844,988.39404,7.15625,-2.0429688,-8.199219,0.8865967,-0.39031982,0.2154541,0.123168945,798425.0,988.7949,987.38525,1.4960938,2.6328125,9.109375,0.1616211,-0.03741455,-0.4303589,0.88726807
