timestamp_1,fPressureFront_1,fPressureSide_1,acceleration.x_1,acceleration.y_1,acceleration.z_1,quaternion.i_1,quaternion.j_1,quaternion.k_1,quaternion.real_1,timestamp_2,fPressureFront_2,fPressureSide_2,acceleration.x_2,acceleration.y_2,acceleration.z_2,quaternion.i_2,quaternion.j_2,quaternion.k_2,quaternion.real_2
374237,991.8572,993.7246,-4.4492188,8.871094,2.2890625,0.58929443,0.23040771,-0.10119629,0.76776123,373714.0,990.9326,991.47314,5.9492188,8.128906,-0.14453125,0.53466797,0.46087646,0.69195557,0.15142822
374250,991.83984,993.71045,-5.1015625,6.8828125,4.6640625,0.3270874,0.3980713,0.23571777,0.82403564,373721.0,990.926,991.47314,6.21875,7.46875,0.01171875,0.5336304,0.46221924,0.69317627,0.14520264
374265,991.86475,993.72705,-4.9101562,6.84375,4.7382812,0.32513428,0.39801025,0.23669434,0.8245239,373734.0,990.9331,991.4834,7.7109375,-1.03125,-5.8125,-0.45495605,-0.7709961,-0.17956543,0.40777588
374285,991.8469,993.72656,-4.8710938,6.9140625,4.8164062,0.3232422,0.39813232,0.2376709,0.8249512,373749.0,990.9485,991.47095,7.7890625,-1.03125,-5.8515625,-0.4545288,-0.7716675,-0.17700195,0.4081421
374305,991.87427,993.7488,-4.9453125,6.9140625,4.890625,0.32141113,0.3982544,0.23876953,0.82525635,373769.0,990.9553,991.4719,7.8320312,-0.953125,-5.9296875,-0.4537964,-0.7727661,-0.17480469,0.4078369
374330,991.8467,993.75903,-4.9453125,6.84375,5.0078125,0.31939697,0.3984375,0.23999023,0.82562256,373789.0,990.9346,991.46924,7.828125,-0.9140625,-6.0429688,-0.45263672,-0.77453613,-0.17352295,0.40637207
374345,991.8408,993.73706,-4.9453125,6.8085938,5.0078125,0.31713867,0.39904785,0.24121094,0.8258667,373808.0,990.9497,991.47,7.59375,-0.72265625,-6.234375,-0.45135498,-0.7764282,-0.17230225,0.4046631
374365,991.8406,993.71484,-5.0625,6.8867188,4.890625,0.3151245,0.39990234,0.2421875,0.82592773,373828.0,990.90894,991.4524,7.515625,-0.875,-5.9296875,-0.45080566,-0.7772827,-0.17010498,0.40454102
374385,991.8247,993.7302,-5.140625,6.9179688,4.8164062,0.3133545,0.40020752,0.24279785,0.8262329,373853.0,990.9309,991.4602,7.5585938,-1.1054688,-5.7734375,-0.45098877,-0.77716064,-0.16748047,0.40576172
374404,991.8357,993.7019,-5.0234375,6.8046875,4.96875,0.31152344,0.40008545,0.24316406,0.8269043,373873.0,990.91284,991.49097,7.7890625,-1.3359375,-6.0820312,-0.45111084,-0.7770996,-0.16522217,0.40667725
374424,991.83765,993.72046,-5.0234375,6.8085938,5.046875,0.30944824,0.4000244,0.24383545,0.82751465,373888.0,990.93823,991.47656,7.7890625,-1.1054688,-6.234375,-0.45056152,-0.7780762,-0.16412354,0.40576172
