timestamp_1,fPressureFront_1,fPressureSide_1,acceleration.x_1,acceleration.y_1,acceleration.z_1,quaternion.i_1,quaternion.j_1,quaternion.k_1,quaternion.real_1,timestamp_2,fPressureFront_2,fPressureSide_2,acceleration.x_2,acceleration.y_2,acceleration.z_2,quaternion.i_2,quaternion.j_2,quaternion.k_2,quaternion.real_2
827055,1005.5586,1007.4409,9.082031,3.046875,0.140625,0.6846924,-0.044067383,0.67089844,0.28125,827030.0,1008.7468,1005.6428,-9.113281,3.0703125,1.453125,0.19476318,0.6397705,0.10772705,0.73565674
827065,1005.5586,1007.4409,9.2734375,4.390625,-0.05078125,0.68811035,-0.046020508,0.6592407,0.29968262,827040.0,1008.71655,1005.6658,-9.230469,2.609375,1.53125,0.18609619,0.644104,0.09643555,0.7357178
827075,1005.57886,1007.4109,9.078125,2.4726562,-3.1914062,0.36328125,-0.72869873,0.1105957,0.56988525,827045.0,1008.71875,1005.6853,-8.019531,3.8945312,3.7734375,0.54577637,-0.09680176,-0.7984009,0.23516846
827090,1005.54175,1007.3921,9.0390625,2.4726562,-3.1914062,0.36315918,-0.72857666,0.11065674,0.5701294,827065.0,1008.7268,1005.69385,-8.019531,3.8554688,3.8125,0.54571533,-0.09643555,-0.79852295,0.23498535
827105,1005.56616,1007.39014,9.078125,2.5507812,-3.2265625,0.36309814,-0.7284546,0.11077881,0.5703125,827080.0,1008.74023,1005.6633,-8.0546875,3.8164062,3.734375,0.5454712,-0.096191406,-0.7989502,0.23425293
827125,1005.56885,1007.39355,9.078125,2.5117188,-3.265625,0.36297607,-0.7283325,0.110839844,0.5704956,827100.0,1008.7073,1005.67456,-8.015625,3.8945312,3.8125,0.545105,-0.096191406,-0.7993164,0.23388672
827145,1005.55444,1007.4038,9.082031,2.4726562,-3.2265625,0.362854,-0.7283325,0.110839844,0.5706177,827120.0,1008.7644,1005.69336,-7.9765625,3.8945312,3.8515625,0.5449829,-0.0960083,-0.7994385,0.23400879
827165,1005.56006,1007.40283,9.042969,2.4726562,-3.1523438,0.3626709,-0.7282715,0.11071777,0.5708008,827140.0,1008.7041,1005.677,-7.9804688,3.8554688,3.8125,0.545105,-0.095703125,-0.7992554,0.23425293
827185,1005.572,1007.397,9.078125,2.4726562,-3.1914062,0.3624878,-0.72821045,0.11077881,0.5709839,827160.0,1008.74,1005.6763,-8.0546875,3.8164062,3.734375,0.545166,-0.09552002,-0.7992554,0.2341919
827205,1005.5918,1007.405,9.078125,2.5117188,-3.1914062,0.3623047,-0.7281494,0.11077881,0.571228,827180.0,1008.7334,1005.6675,-8.0546875,3.8554688,3.6992188,0.545105,-0.09552002,-0.7994385,0.23388672
827225,1005.57935,1007.3623,9.082031,2.5507812,-3.1914062,0.36212158,-0.7280884,0.11071777,0.57141113,827200.0,1008.7388,1005.70825,-8.058594,3.8945312,3.7734375,0.5449829,-0.09564209,-0.79956055,0.23364258
827245,1005.60376,1007.39087,9.078125,2.5117188,-3.1914062,0.36193848,-0.7279663,0.11065674,0.5716553,827225.0,1008.7705,1005.65674,-8.058594,3.9335938,3.734375,0.54486084,-0.095581055,-0.79956055,0.23376465
827265,1005.5737,1007.4104,9.0390625,2.5117188,-3.1914062,0.3618164,-0.72784424,0.1105957,0.5718994,827240.0,1008.7339,1005.66675,-8.058594,3.9335938,3.734375,0.5447998,-0.09539795,-0.79956055,0.23406982
827285,1005.5823,1007.43384,9.078125,2.5117188,-3.1914062,0.3616333,-0.7277832,0.11047363,0.57214355,827260.0,1008.75024,1005.66675,-8.097656,3.8554688,3.734375,0.54467773,-0.09527588,-0.7996216,0.23406982
827310,1005.5564,1007.39136,9.042969,2.5507812,-3.1914062,0.36151123,-0.72772217,0.11035156,0.57232666,827280.0,1008.7461,1005.6907,-8.058594,3.8945312,3.7734375,0.54455566,-0.095458984,-0.7998047,0.23370361
827325,1005.573,1007.3557,9.042969,2.5507812,-3.1914062,0.36138916,-0.72772217,0.11010742,0.57244873,827300.0,1008.76025,1005.66626,-7.9804688,4.0078125,3.7734375,0.5444946,-0.09552002,-0.79992676,0.23345947
827345,1005.5786,1007.4148,9.042969,2.5507812,-3.1914062,0.3612671,-0.72772217,0.109802246,0.5725708,827320.0,1008.73706,1005.65015,-7.9804688,4.0078125,3.7734375,0.54437256,-0.09539795,-0.8000488,0.23345947
827365,1005.615,1007.3811,9.082031,2.5507812,-3.1914062,0.3609619,-0.7277832,0.109313965,0.5727539,827340.0,1008.761,1005.68164,-8.015625,3.96875,3.8125,0.5442505,-0.09527588,-0.8001709,0.23339844
827385,1005.5862,1007.4053,9.078125,2.3984375,-3.1523438,0.3605957,-0.7279053,0.10888672,0.57299805,827360.0,1008.729,1005.68945,-8.0546875,3.8945312,3.8515625,0.5441284,-0.095214844,-0.800354,0.23297119
827405,1005.584,1007.41504,9.078125,2.4726562,-3.0742188,0.36029053,-0.7279053,0.10858154,0.57318115,827380.0,1008.7612,1005.67896,-7.9765625,3.9335938,3.8515625,0.54400635,-0.095214844,-0.80059814,0.23236084
827425,1005.59155,1007.37744,9.042969,2.5117188,-3.1132812,0.35998535,-0.72784424,0.10845947,0.5734863,827400.0,1008.7041,1005.6858,-8.015625,3.96875,3.8125,0.5439453,-0.0949707,-0.8006592,0.23236084
827445,1005.59155,1007.3804,9.042969,2.5117188,-3.1132812,0.35961914,-0.72784424,0.10839844,0.57373047,827420.0,1008.739,1005.6875,-7.9765625,3.8945312,3.8515625,0.5438843,-0.09466553,-0.80078125,0.23248291
827465,1005.59326,1007.3911,9.082031,2.5117188,-3.1523438,0.35931396,-0.7277832,0.10827637,0.57403564,827440.0,1008.7666,1005.69824,-8.019531,3.8164062,3.8515625,0.5437622,-0.09454346,-0.8009033,0.23223877
827485,1005.595,1007.39185,9.0390625,2.5507812,-3.1523438,0.35894775,-0.72772217,0.10821533,0.5743408,827460.0,1008.7388,1005.6643,-8.019531,3.8164062,3.8515625,0.5437622,-0.09460449,-0.8010864,0.23162842
827505,1005.5918,1007.3967,9.042969,2.5898438,-3.1132812,0.35876465,-0.7276001,0.10827637,0.57458496,827480.0,1008.74023,1005.6599,-8.0546875,3.7773438,3.8515625,0.5437012,-0.09460449,-0.8012085,0.2312622
827525,1005.5676,1007.40234,9.082031,2.5117188,-3.1523438,0.35858154,-0.72753906,0.10821533,0.57476807,827500.0,1008.74854,1005.6697,-8.019531,3.8164062,3.8515625,0.54364014,-0.09460449,-0.80126953,0.23120117
827545,1005.5969,1007.4197,9.078125,2.5117188,-3.1914062,0.35839844,-0.72753906,0.10809326,0.5749512,827525.0,1008.7595,1005.65454,-8.019531,3.8554688,3.8515625,0.54345703,-0.09448242,-0.8013916,0.23132324
827565,1005.57983,1007.39966,9.1171875,2.5117188,-3.1914062,0.35821533,-0.7276001,0.10797119,0.5750122,827540.0,1008.73047,1005.68774,-7.9765625,3.8554688,3.890625,0.5432739,-0.09436035,-0.8015747,0.23120117
827585,1005.5669,1007.4346,9.078125,2.5507812,-3.1132812,0.3579712,-0.72766113,0.10772705,0.57507324,827560.0,1008.7578,1005.67773,-8.015625,3.8164062,3.890625,0.54315186,-0.09429932,-0.8017578,0.23083496
827605,1005.5503,1007.37524,9.121094,2.5117188,-3.0351562,0.3577881,-0.72772217,0.107666016,0.5751953,827580.0,1008.7385,1005.7095,-8.015625,3.8164062,3.890625,0.5430298,-0.09423828,-0.8019409,0.23046875
827625,1005.56885,1007.39404,9.078125,2.4335938,-3.1132812,0.35766602,-0.72766113,0.10784912,0.5753174,827600.0,1008.7405,1005.65015,-8.0546875,3.7773438,3.8515625,0.54315186,-0.09399414,-0.8018799,0.23059082
827645,1005.60474,1007.4043,9.1171875,2.4726562,-3.1914062,0.3574829,-0.72766113,0.10797119,0.5753784,827620.0,1008.75195,1005.6858,-8.0546875,3.7773438,3.8125,0.5430908,-0.093933105,-0.8018799,0.23065186
827670,1005.5757,1007.38403,9.042969,2.5117188,-3.1132812,0.3572998,-0.7277832,0.10797119,0.5753784,827640.0,1008.7522,1005.6846,-8.019531,3.8164062,3.8515625,0.5429077,-0.093811035,-0.802063,0.23059082
