timestamp_1,fPressureFront_1,fPressureSide_1,acceleration.x_1,acceleration.y_1,acceleration.z_1,quaternion.i_1,quaternion.j_1,quaternion.k_1,quaternion.real_1,timestamp_2,fPressureFront_2,fPressureSide_2,acceleration.x_2,acceleration.y_2,acceleration.z_2,quaternion.i_2,quaternion.j_2,quaternion.k_2,quaternion.real_2
295515.0,1027.3708,1025.5071,1.3945312,8.25,6.7226562,0.3619995,0.037963867,0.46148682,0.809021,297860,1024.9116,1027.3894,-4.0390625,5.8554688,7.7734375,0.32922363,0.10986328,-0.11584473,0.93066406
295520.0,1027.4224,1025.5161,5.2265625,7.328125,1.2460938,0.37561035,-0.46868896,-0.1328125,0.78845215,297865,1024.8984,1027.3894,-3.8085938,5.5117188,7.6679688,0.32659912,0.10021973,-0.17163086,0.92401123
295530.0,1027.4634,1025.5562,5.609375,5.9570312,1.359375,0.35064697,-0.46228027,-0.15600586,0.79937744,297875,1024.8984,1027.4128,-5.7617188,5.0117188,5.5195312,0.4130249,-0.16015625,-0.86639404,0.23046875
295555.0,1027.5481,1025.5647,5.1875,5.0703125,2.5117188,0.33270264,-0.45361328,-0.17236328,0.80859375,297895,1024.8953,1027.394,-5.6484375,4.3632812,5.8984375,0.41229248,-0.15325928,-0.86499023,0.24145508
295570.0,1027.5647,1025.5322,4.3476562,5.1132812,3.5820312,0.32373047,-0.4465332,-0.17993164,0.81451416,297905,1024.8938,1027.3857,-5.3398438,4.3632812,6.0195312,0.40966797,-0.1472168,-0.86486816,0.25006104
295595.0,1027.6055,1025.5298,3.8476562,6.3359375,4.6171875,0.31817627,-0.44262695,-0.18359375,0.81799316,297925,1024.9316,1027.4028,-5.2265625,4.4375,6.2460938,0.4069214,-0.144104,-0.86535645,0.25457764
295610.0,1027.6255,1025.5022,3.9648438,6.9882812,4.578125,0.31011963,-0.44024658,-0.19067383,0.82073975,297940,1024.9155,1027.3936,-4.9960938,4.4375,6.4765625,0.40509033,-0.14324951,-0.86553955,0.2574463
295630.0,1027.6721,1025.5293,4.3828125,6.6445312,4.3125,0.29858398,-0.43798828,-0.20178223,0.8236084,297960,1024.8826,1027.404,-4.7265625,4.7851562,6.5195312,0.40515137,-0.14300537,-0.8644409,0.26104736
295650.0,1027.6843,1025.5312,4.6132812,5.796875,4.4257812,0.28918457,-0.43566895,-0.21051025,0.82598877,297980,1024.9087,1027.3997,-4.9179688,4.9765625,6.2460938,0.40618896,-0.14056396,-0.86279297,0.26611328
295670.0,1027.6741,1025.5337,4.4609375,5.640625,5.4609375,0.2836914,-0.43463135,-0.21447754,0.8273926,298005,1024.9043,1027.4104,-5.4570312,4.515625,6.4414062,0.40576172,-0.13806152,-0.8623657,0.2694702
