timestamp_1,fPressureFront_1,fPressureSide_1,acceleration.x_1,acceleration.y_1,acceleration.z_1,quaternion.i_1,quaternion.j_1,quaternion.k_1,quaternion.real_1,timestamp_2,fPressureFront_2,fPressureSide_2,acceleration.x_2,acceleration.y_2,acceleration.z_2,quaternion.i_2,quaternion.j_2,quaternion.k_2,quaternion.real_2
783055,1014.51245,1012.85913,7.375,6.8515625,0.75,0.66522217,-0.11010742,0.41815186,0.6086426,782975.0,1014.4541,1014.77075,-6.7890625,7.3007812,-2.0429688,0.7314453,0.26965332,-0.2607422,0.569458
783060,1014.51245,1012.85913,6.5703125,7.3476562,1.0976562,0.6520996,-0.11767578,0.42279053,0.61816406,782980.0,1014.4541,1014.8142,-6.8671875,7.2578125,-2.1210938,0.72436523,0.27301025,-0.24884033,0.5820923
783075,1014.4878,1012.87305,7.9101562,6.1601562,0.3671875,0.4046631,-0.569458,-0.003112793,0.71551514,782995.0,1014.5918,1014.78467,-4.4140625,6.6875,-14.152344,0.14422607,0.8189087,0.09698486,0.54693604
783085,1014.50586,1012.8506,8.066406,5.8945312,0.67578125,0.40478516,-0.5689087,-0.003479004,0.71588135,783005.0,1014.60596,1014.78467,-1.8085938,9.2109375,-7.5976562,0.15679932,0.80926514,0.055480957,0.5634155
783105,1014.5193,1012.86255,8.0234375,5.7421875,0.8671875,0.4064331,-0.5678711,-0.0017089844,0.7157593,783025.0,1014.6079,1014.88745,-3.8789062,6.9140625,-6.8710938,0.16290283,0.80096436,0.037109375,0.57489014
783125,1014.47705,1012.8706,7.8398438,5.96875,0.9453125,0.4081421,-0.5667114,0.0006713867,0.71569824,783045.0,1014.72705,1014.96704,-7.8984375,4.0039062,-7.9375,0.16278076,0.7960205,0.03466797,0.5819702
783145,1014.48535,1012.8589,7.5625,6.1601562,0.828125,0.4078369,-0.5662842,0.0005493164,0.71624756,783065.0,1014.73486,1014.89404,-12.34375,-2.6210938,-2.5390625,0.16064453,0.79364014,0.038269043,0.5855713
783165,1014.4746,1012.8257,7.796875,5.8554688,0.75,0.40612793,-0.5663452,-0.0017700195,0.7171631,783085.0,1014.7178,1014.84985,-9.277344,1.8984375,-2.6953125,0.15649414,0.7919922,0.045959473,0.5883179
783185,1014.4763,1012.8479,7.9101562,5.703125,0.40625,0.4041748,-0.5661011,-0.004760742,0.7184448,783105.0,1014.71387,1014.82935,-7.859375,3.390625,-2.0429688,0.15338135,0.7897949,0.04840088,0.59191895
783205,1014.50073,1012.9065,7.8359375,5.5859375,0.40625,0.4041748,-0.5653076,-0.005554199,0.7190552,783125.0,1014.7241,1014.81226,-6.8671875,3.890625,-2.578125,0.15393066,0.7877197,0.043823242,0.59484863
