timestamp_1,fPressureFront_1,fPressureSide_1,acceleration.x_1,acceleration.y_1,acceleration.z_1,quaternion.i_1,quaternion.j_1,quaternion.k_1,quaternion.real_1,timestamp_2,fPressureFront_2,fPressureSide_2,acceleration.x_2,acceleration.y_2,acceleration.z_2,quaternion.i_2,quaternion.j_2,quaternion.k_2,quaternion.real_2
2232025,870.5923,869.44165,5.8554688,2.0585938,7.2070312,-0.18902588,-0.2738037,-0.7697754,0.54473877,2236580.0,874.1504,870.1741,-5.0039062,9.457031,6.9492188,0.03753662,0.4343872,0.6560669,0.6159668
2232030,870.6133,869.44165,5.625,1.9804688,7.7070312,-0.18865967,-0.27667236,-0.7665405,0.5479126,2236595.0,874.1636,870.1819,3.6875,-0.99609375,8.824219,0.00030517578,-0.20483398,0.23291016,0.9506836
2232045,870.6284,869.4353,-3.5664062,1.7890625,8.964844,0.19451904,-0.059020996,-0.96447754,0.16870117,2236615.0,874.1665,870.18896,3.609375,-0.8828125,8.8203125,0.0004272461,-0.20489502,0.23278809,0.9506836
2232055,870.59595,869.4458,-3.453125,1.8671875,8.890625,0.19415283,-0.0592041,-0.9645996,0.16833496,2236640.0,874.1675,870.16504,3.8007812,-1.0351562,9.019531,0.0004272461,-0.20513916,0.23254395,0.9506836
2232075,870.635,869.45386,-3.453125,1.828125,8.890625,0.19403076,-0.059265137,-0.96466064,0.16815186,2236655.0,874.1533,870.17065,3.953125,-1.1484375,9.050781,0.00048828125,-0.20507812,0.23236084,0.9507446
2232095,870.6089,869.4414,-3.4492188,1.6757812,8.921875,0.19415283,-0.059326172,-0.9645996,0.16827393,2236675.0,874.17017,870.1675,3.9179688,-1.1875,9.015625,0.00048828125,-0.20483398,0.23223877,0.9508667
2232115,870.5864,869.45703,-3.5664062,1.828125,8.921875,0.1942749,-0.059326172,-0.9645386,0.16845703,2236695.0,874.1675,870.1858,3.8398438,-1.265625,8.9765625,0.00036621094,-0.20483398,0.2322998,0.95080566
2232135,870.58276,869.4429,-3.640625,1.828125,8.886719,0.19403076,-0.059387207,-0.9645996,0.1685791,2236715.0,874.18286,870.17676,3.8007812,-1.1132812,8.9375,0.00024414062,-0.20483398,0.23248291,0.95080566
2232155,870.574,869.46826,-3.5664062,1.7890625,8.8125,0.19360352,-0.059509277,-0.96466064,0.16864014,2236735.0,874.1704,870.167,3.7617188,-1.0742188,8.9375,0.00018310547,-0.20489502,0.23278809,0.9506836
2232175,870.6089,869.46606,-3.4140625,1.6757812,8.816406,0.19329834,-0.059509277,-0.9647217,0.16870117,2236755.0,874.17065,870.1572,3.8398438,-1.0351562,8.941406,0.00012207031,-0.20507812,0.23309326,0.9505615
2232195,870.5884,869.4519,-3.4140625,1.75,8.8828125,0.1930542,-0.059387207,-0.9647217,0.16888428,2236780.0,874.15894,870.1738,3.8789062,-0.921875,8.9765625,0.0,-0.20507812,0.23358154,0.95043945
2232215,870.5759,869.47046,-3.4882812,1.75,8.925781,0.1930542,-0.059265137,-0.96466064,0.16912842,2236795.0,874.1924,870.18115,3.9179688,-0.84375,9.015625,0.0,-0.20507812,0.23400879,0.9503784
2232235,870.6123,869.4424,-3.5273438,1.75,8.8828125,0.1928711,-0.059265137,-0.96466064,0.16925049,2236815.0,874.15967,870.188,3.8789062,-0.8046875,9.019531,0.00018310547,-0.20507812,0.23431396,0.95025635
2232255,870.58716,869.44434,-3.4492188,1.7890625,8.886719,0.19262695,-0.0592041,-0.9647217,0.16925049,2236835.0,874.1819,870.178,3.8789062,-0.765625,9.019531,0.00018310547,-0.20501709,0.2345581,0.95025635
2232275,870.6282,869.4536,-3.4140625,1.7890625,8.84375,0.19244385,-0.059020996,-0.96484375,0.16906738,2236860.0,874.1653,870.18164,3.8789062,-0.921875,9.046875,0.0005493164,-0.20495605,0.23492432,0.9501343
2232295,870.6111,869.4343,-3.4492188,1.7109375,8.964844,0.19232178,-0.058898926,-0.9649048,0.1687622,2236875.0,874.16284,870.1311,3.8789062,-0.73046875,8.9375,0.00079345703,-0.20477295,0.23516846,0.9501343
