timestamp_1,fPressureFront_1,fPressureSide_1,acceleration.x_1,acceleration.y_1,acceleration.z_1,quaternion.i_1,quaternion.j_1,quaternion.k_1,quaternion.real_1,timestamp_2,fPressureFront_2,fPressureSide_2,acceleration.x_2,acceleration.y_2,acceleration.z_2,quaternion.i_2,quaternion.j_2,quaternion.k_2,quaternion.real_2
1012090,980.7505,981.2666,1.3125,8.933594,-2.9140625,0.5493164,-0.60321045,-0.37438965,0.44067383,1003495.0,981.6157,983.16455,0.4921875,0.2734375,-9.316406,-0.04748535,-0.9985962,-0.01550293,0.016540527
1012105,980.76953,981.29224,0.27734375,9.046875,-3.6796875,0.38354492,-0.7338257,-0.49420166,0.2647705,1003510.0,981.66406,983.1387,-5.4414062,1.0195312,-7.7148438,0.018493652,0.95617676,0.045776367,0.28857422
1012120,980.7461,981.25415,0.1640625,9.046875,-3.6796875,0.38378906,-0.73358154,-0.49438477,0.26489258,1003530.0,981.6821,983.1521,-5.2890625,0.98046875,-7.671875,0.01940918,0.9562378,0.04498291,0.28851318
1012135,980.74536,981.2676,0.01171875,9.125,-3.6796875,0.3842163,-0.73339844,-0.49450684,0.26446533,1003550.0,981.6145,983.1658,-5.2109375,0.94140625,-7.9882812,0.020263672,0.9564209,0.04486084,0.28778076
1012155,980.77344,981.2942,0.125,9.089844,-3.796875,0.38446045,-0.73339844,-0.49450684,0.26409912,1003570.0,981.64624,983.1677,-5.1328125,1.0195312,-8.253906,0.021362305,0.9567871,0.04486084,0.286438
1012175,980.77466,981.2993,0.01171875,9.0859375,-3.6796875,0.38464355,-0.7334595,-0.4944458,0.26397705,1003590.0,981.6106,983.17944,-5.171875,1.0195312,-8.40625,0.022338867,0.9571533,0.044433594,0.2852173
1012195,980.7593,981.2832,0.0859375,9.125,-3.875,0.38464355,-0.73339844,-0.4944458,0.26391602,1003620.0,981.66846,983.177,-5.3632812,1.0976562,-7.9882812,0.023071289,0.9574585,0.04345703,0.28430176
1012215,980.76514,981.32983,0.125,9.0859375,-3.71875,0.38464355,-0.7333374,-0.4946289,0.26397705,1003630.0,981.66846,983.17505,-5.4414062,1.0976562,-7.75,0.023803711,0.9578247,0.042114258,0.28326416
1012235,980.77,981.30054,0.125,9.089844,-3.6796875,0.38464355,-0.7333374,-0.4946289,0.26391602,1003650.0,981.6433,983.1609,-5.3632812,1.0195312,-7.75,0.024536133,0.95806885,0.040771484,0.28259277
1012255,980.74854,981.2942,0.125,9.0859375,-3.6445312,0.38464355,-0.7334595,-0.4946289,0.26361084,1003670.0,981.64307,983.1548,-5.25,1.0195312,-7.828125,0.025390625,0.958374,0.03881836,0.28167725
1012275,980.7776,981.2754,0.0859375,9.125,-3.875,0.38464355,-0.73358154,-0.49450684,0.2633667,1003690.0,981.63086,983.1748,-5.2890625,0.98046875,-8.058594,0.026123047,0.9588623,0.037109375,0.28027344
1012295,980.74536,981.31323,0.203125,9.125,-3.9882812,0.38452148,-0.7334595,-0.494812,0.2633667,1003710.0,981.6255,983.1653,-5.2890625,0.7890625,-8.0546875,0.026611328,0.9592285,0.036010742,0.2789917
1012315,980.7334,981.2842,0.125,9.0859375,-3.71875,0.38446045,-0.7330322,-0.4953003,0.26361084,1003730.0,981.6255,983.1765,-5.3632812,0.71484375,-8.058594,0.027160645,0.95965576,0.034362793,0.27783203
1012335,980.749,981.2844,0.125,9.0859375,-3.71875,0.3843994,-0.732666,-0.49578857,0.26379395,1003750.0,981.6472,983.1709,-5.1328125,0.67578125,-8.027344,0.02758789,0.960022,0.03277588,0.27667236
1012355,980.7727,981.3064,0.1171875,9.0625,-3.6679688,0.38433838,-0.7324829,-0.4960327,0.26391602,1003770.0,981.6355,983.19165,-4.9804688,0.67578125,-7.9882812,0.028015137,0.9604492,0.03161621,0.27520752
1012375,980.76733,981.3147,0.15234375,9.1015625,-3.7460938,0.38433838,-0.73236084,-0.4961548,0.2640381,1003790.0,981.62354,983.2075,-4.9414062,0.63671875,-7.90625,0.028198242,0.9608154,0.030944824,0.27404785
1012395,980.7737,981.28784,0.15234375,9.0625,-3.6679688,0.38452148,-0.7321167,-0.4963379,0.2642212,1003805.0,981.6338,983.19727,-4.90625,0.63671875,-8.058594,0.028564453,0.96118164,0.030517578,0.27264404
1012415,980.75415,981.2866,0.0,9.144531,-3.6289062,0.38458252,-0.7319336,-0.49645996,0.2644043,1003830.0,981.69507,983.15137,-4.9414062,0.94140625,-8.136719,0.028808594,0.96154785,0.030212402,0.27148438
1012430,980.7666,981.29395,0.078125,9.1015625,-3.6289062,0.38452148,-0.7318115,-0.496521,0.26464844,1003845.0,981.6709,983.1465,-4.90625,1.0195312,-8.097656,0.028869629,0.961792,0.029724121,0.27056885
1012450,980.7422,981.3008,0.1171875,9.1015625,-3.6289062,0.3843994,-0.7317505,-0.49664307,0.26483154,1003865.0,981.64526,983.1929,-4.828125,0.94140625,-8.0234375,0.0289917,0.96203613,0.0289917,0.2697754
1012475,980.7893,981.2727,0.1171875,9.0625,-3.5898438,0.3843994,-0.7317505,-0.49664307,0.26489258,1003885.0,981.6301,983.17944,-4.7148438,0.8671875,-8.058594,0.029296875,0.9622803,0.027893066,0.26904297
1012495,980.77246,981.27563,0.078125,9.1015625,-3.5898438,0.3843994,-0.7317505,-0.49658203,0.26489258,1003910.0,981.6135,983.17773,-4.6757812,0.67578125,-8.136719,0.02960205,0.9625244,0.026672363,0.2682495
1012510,980.772,981.2969,0.1171875,9.1015625,-3.6679688,0.38452148,-0.7318115,-0.49639893,0.26489258,1003925.0,981.6272,983.1865,-4.75,0.51953125,-8.027344,0.029907227,0.9627075,0.025512695,0.2677002
1012530,980.7224,981.26953,0.1171875,9.0625,-3.5898438,0.38476562,-0.7318115,-0.4961548,0.26501465,1003945.0,981.6365,983.1704,-4.7148438,0.51953125,-7.8710938,0.030212402,0.9628296,0.024902344,0.2672119
1012550,980.76685,981.29175,0.0390625,9.1015625,-3.5898438,0.3850708,-0.7318115,-0.4958496,0.26519775,1003965.0,981.67334,983.1758,-4.5195312,0.4453125,-7.8320312,0.030578613,0.9630127,0.024658203,0.26654053
1012570,980.78784,981.3147,0.19140625,8.984375,-3.4375,0.38616943,-0.73168945,-0.49487305,0.26568604,1003990.0,981.61816,983.1826,-4.1015625,0.75,-8.175781,0.031066895,0.96325684,0.02520752,0.26568604
1012590,980.7705,981.29614,-0.15234375,8.984375,-3.3242188,0.38793945,-0.7321167,-0.49273682,0.26593018,1004005.0,981.63696,983.19165,-3.640625,0.67578125,-8.332031,0.031677246,0.9631958,0.025939941,0.26568604
1012610,980.75635,981.2915,-0.19140625,8.949219,-3.6679688,0.38964844,-0.73327637,-0.48986816,0.26556396,1004025.0,981.6526,983.1775,-3.4492188,0.8671875,-8.292969,0.03314209,0.9628296,0.024963379,0.26678467
1012635,980.75366,981.2805,0.0,9.0234375,-3.515625,0.39123535,-0.7352295,-0.48632812,0.26434326,1004045.0,981.63086,983.18726,-3.4101562,0.828125,-8.449219,0.035949707,0.9621582,0.02154541,0.26922607
1012650,980.72754,981.29443,0.0,9.0234375,-3.8984375,0.39178467,-0.73706055,-0.48376465,0.26306152,1004070.0,981.6404,983.1748,-3.296875,0.75,-8.832031,0.0390625,0.9612427,0.015686035,0.27246094
1012670,980.7991,981.3281,0.23046875,8.984375,-3.9375,0.39208984,-0.7394409,-0.48083496,0.26135254,1004085.0,981.6294,983.18823,-3.3710938,0.71484375,-8.597656,0.042175293,0.960022,0.008056641,0.27648926
1012690,980.7427,981.29126,0.1171875,8.9140625,-3.4765625,0.39239502,-0.7424927,-0.47711182,0.25897217,1004105.0,981.6594,983.18555,-3.296875,0.63671875,-8.2890625,0.045715332,0.9588623,0.0,0.2802124
1012710,980.73804,981.2832,-0.0390625,8.839844,-3.5546875,0.39263916,-0.74676514,-0.47198486,0.25567627,1004125.0,981.6443,983.16504,-3.4492188,0.55859375,-7.90625,0.05029297,0.95770264,-0.010314941,0.28320312
1012730,980.73975,981.3159,0.23046875,9.105469,-5.1992188,0.39208984,-0.7512207,-0.46728516,0.25219727,1004150.0,981.6013,983.19727,-3.1796875,0.71484375,-8.863281,0.055847168,0.95562744,-0.025939941,0.28808594
1012750,980.7632,981.31934,0.19140625,8.761719,-5.046875,0.3916626,-0.7538452,-0.4642334,0.25054932,1004165.0,981.5996,983.1753,-3.3320312,0.828125,-9.402344,0.0592041,0.95318604,-0.039367676,0.29382324
1012775,980.7344,981.3237,0.65234375,8.4921875,-5.546875,0.3925171,-0.75512695,-0.46185303,0.24987793,1004190.0,981.6267,983.2285,-3.296875,-0.12890625,-9.7421875,0.061767578,0.9490967,-0.054626465,0.30407715
1012790,980.7114,981.30273,0.421875,9.0625,-4.5507812,0.39416504,-0.75445557,-0.46099854,0.2506714,1004205.0,981.6692,983.1926,-2.9492188,-0.55078125,-9.363281,0.06237793,0.94451904,-0.06817627,0.31524658
1012810,980.74243,981.3103,0.1171875,8.6015625,-3.6679688,0.39660645,-0.75390625,-0.45910645,0.25213623,1004230.0,981.6919,983.20264,-3.2578125,-0.51171875,-7.2578125,0.0602417,0.9411011,-0.07733154,0.32354736
1012830,980.7649,981.3318,-0.19140625,8.761719,-3.2851562,0.39819336,-0.75567627,-0.4552002,0.2514038,1004245.0,981.6885,983.22485,-3.1054688,-0.55078125,-6.8710938,0.057128906,0.9402466,-0.07751465,0.32659912
1012850,980.7405,981.35864,0.23046875,8.644531,-4.359375,0.39831543,-0.7593384,-0.45025635,0.24914551,1004265.0,981.6621,983.2112,-3.7929688,-1.203125,-6.7617188,0.05255127,0.94000244,-0.07421875,0.32885742
1012870,980.7705,981.34424,0.4609375,8.4921875,-5.046875,0.39874268,-0.76293945,-0.4449463,0.2468872,1004285.0,981.68945,983.26,-4.40625,-1.5078125,-7.1445312,0.048217773,0.9394531,-0.07244873,0.33154297
1012890,980.7261,981.3694,0.65234375,8.113281,-5.2382812,0.4006958,-0.7659912,-0.43896484,0.24499512,1004305.0,981.68335,983.26025,-4.828125,-2.1601562,-6.8710938,0.044677734,0.93811035,-0.074035645,0.33538818
1012915,980.719,981.3833,0.34375,8.640625,-5.5078125,0.40405273,-0.76831055,-0.43249512,0.24383545,1004325.0,981.7046,983.2278,-4.484375,-2.3125,-6.6445312,0.04309082,0.9367676,-0.07727051,0.33862305
1012930,980.7788,981.3479,0.3828125,8.3359375,-4.8554688,0.40771484,-0.7697754,-0.4263916,0.24389648,1004345.0,981.6946,983.2312,-4.90625,-1.96875,-6.375,0.043701172,0.9360962,-0.08026123,0.33966064
1012950,980.7832,981.323,-0.0390625,8.6015625,-3.9726562,0.41107178,-0.7722168,-0.4194336,0.24243164,1004365.0,981.6848,983.2727,-5.0585938,-1.5859375,-6.9101562,0.04522705,0.9361572,-0.0826416,0.33874512
1012970,980.77026,981.3638,-0.57421875,8.5234375,-3.9726562,0.41210938,-0.77716064,-0.41156006,0.23840332,1004385.0,981.6609,983.251,-5.9765625,-1.46875,-7.8320312,0.04650879,0.93640137,-0.08416748,0.33746338
1012990,980.77075,981.3325,0.57421875,8.109375,-6.0039062,0.41253662,-0.7821045,-0.4038086,0.2345581,1004405.0,981.6592,983.2783,-6.015625,-1.2421875,-7.8671875,0.04827881,0.93670654,-0.08337402,0.3366089
1013010,980.7324,981.3435,0.8828125,7.8398438,-5.9296875,0.4144287,-0.7858887,-0.39605713,0.23181152,1004425.0,981.6582,983.2207,-6.0546875,-1.2421875,-8.097656,0.051696777,0.9365845,-0.08111572,0.3369751
1013030,980.7471,981.3345,1.265625,7.4570312,-5.6210938,0.4196167,-0.7885132,-0.3866577,0.22949219,1004445.0,981.6846,983.2219,-6.0546875,-1.125,-8.292969,0.05621338,0.9359131,-0.07989502,0.33843994
1013055,980.7715,981.345,0.30859375,7.7578125,-4.7421875,0.42797852,-0.7910156,-0.37371826,0.22692871,1004465.0,982.4817,983.2085,-6.0546875,-0.66796875,-7.9882812,0.061767578,0.93499756,-0.08013916,0.33996582
1013070,980.7556,981.3396,0.1171875,7.6484375,-5.1601562,0.43737793,-0.7947998,-0.35699463,0.22265625,1004485.0,982.59644,983.20264,-6.3984375,-0.3984375,-7.75,0.068359375,0.93377686,-0.08190918,0.34161377
1013090,980.79224,981.3662,0.8046875,7.109375,-5.390625,0.44763184,-0.79937744,-0.3369751,0.21691895,1004505.0,983.0161,983.188,-6.6679688,-0.4375,-7.6757812,0.07531738,0.93218994,-0.08496094,0.34368896
1013110,980.7163,981.3843,0.53515625,6.9921875,-5.7382812,0.45898438,-0.8043823,-0.31378174,0.20935059,1004525.0,983.5996,983.32495,-6.78125,-0.51171875,-7.5273438,0.08325195,0.93029785,-0.088378906,0.34606934
1013130,980.7178,981.39014,0.23046875,6.6523438,-8.308594,0.46875,-0.80908203,-0.2915039,0.20184326,1004550.0,984.3374,983.23267,-6.78125,-0.359375,-7.90625,0.09185791,0.9282837,-0.09069824,0.34875488
1013150,980.6714,981.37305,0.23046875,6.5,-8.878906,0.4758911,-0.8128662,-0.27246094,0.19641113,1004565.0,984.6904,983.0305,-7.1640625,-0.24609375,-7.7148438,0.10046387,0.92614746,-0.092041016,0.35162354
1013170,980.71924,981.3843,0.8828125,5.9609375,-8.609375,0.48236084,-0.8148804,-0.25665283,0.19354248,1004585.0,985.1367,983.9658,-7.125,0.0234375,-6.8359375,0.1081543,0.9248047,-0.09082031,0.35321045
1013195,980.7334,981.4075,0.57421875,5.8085938,-6.8867188,0.49090576,-0.8156738,-0.23986816,0.19018555,1004610.0,984.89624,984.43994,-7.2421875,-0.16796875,-6.4140625,0.11553955,0.92437744,-0.085632324,0.35333252
