timestamp_1,fPressureFront_1,fPressureSide_1,acceleration.x_1,acceleration.y_1,acceleration.z_1,quaternion.i_1,quaternion.j_1,quaternion.k_1,quaternion.real_1,timestamp_2,fPressureFront_2,fPressureSide_2,acceleration.x_2,acceleration.y_2,acceleration.z_2,quaternion.i_2,quaternion.j_2,quaternion.k_2,quaternion.real_2
408735,1006.6821,1008.35864,5.3945312,7.4765625,2.96875,0.32940674,-0.48693848,-0.28582764,0.7567749,405650.0,1008.5847,1007.54834,-4.5273438,7.1523438,4.4101562,-0.12915039,0.51678467,0.8116455,0.23980713
408750,1006.64844,1008.34375,4.8554688,8.207031,2.359375,0.5984497,-0.14819336,0.24035645,0.74975586,405655.0,1008.5847,1007.54834,-4.296875,7.3398438,4.1796875,-0.12310791,0.5234375,0.80615234,0.2468872
408760,1006.6592,1008.35693,4.9335938,8.175781,2.3203125,0.5953369,-0.14855957,0.24139404,0.75183105,405670.0,1008.5808,1007.56177,-6.7539062,4.5820312,5.328125,0.501709,-0.13531494,-0.8104248,0.27044678
408780,1006.68164,1008.3142,4.78125,8.324219,2.359375,0.5914917,-0.14837646,0.24310303,0.7543335,405680.0,1008.5442,1007.5491,-6.8984375,4.4296875,5.5976562,0.5012207,-0.13220215,-0.80999756,0.274292
408800,1006.676,1008.3152,4.8554688,8.246094,2.4335938,0.5878296,-0.14813232,0.24505615,0.7565918,405700.0,1008.5891,1007.5383,-6.9375,4.3125,5.4453125,0.50115967,-0.13018799,-0.80859375,0.2793579
408820,1006.68555,1008.33496,4.8945312,7.9804688,2.5117188,0.5845947,-0.14715576,0.24798584,0.7583618,405720.0,1008.5945,1007.5635,-7.09375,4.1601562,5.4453125,0.49957275,-0.12945557,-0.8078613,0.28466797
408840,1006.67114,1008.3164,4.6289062,7.8984375,2.6640625,0.58270264,-0.14605713,0.25201416,0.758667,405740.0,1008.6001,1007.55786,-6.6757812,4.390625,5.328125,0.4961548,-0.12884521,-0.80877686,0.28826904
408860,1006.6719,1008.3008,4.359375,7.9375,2.9335938,0.58166504,-0.14624023,0.25561523,0.75823975,405760.0,1008.5608,1007.56274,-6.4414062,4.5429688,5.5195312,0.49267578,-0.12774658,-0.81030273,0.2904663
408880,1006.6797,1008.3457,4.5507812,7.9023438,2.7421875,0.57928467,-0.14855957,0.25598145,0.75946045,405780.0,1008.58716,1007.55005,-6.4375,4.4296875,5.828125,0.4906006,-0.12634277,-0.8109131,0.29278564
408900,1006.6858,1008.35474,4.8554688,7.6367188,2.6640625,0.57489014,-0.1519165,0.25500488,0.7625122,405805.0,1008.5947,1007.54736,-6.5585938,4.1992188,5.75,0.48950195,-0.12591553,-0.81066895,0.29553223
408920,1006.6643,1008.3301,5.0859375,7.3671875,2.5507812,0.57006836,-0.15356445,0.25604248,0.7654419,405820.0,1008.5803,1007.5564,-6.7539062,4.0820312,5.7890625,0.48883057,-0.12750244,-0.8102417,0.2972412
408940,1006.70996,1008.3208,4.9726562,7.1757812,3.046875,0.5654907,-0.1529541,0.25982666,0.7677002,405840.0,1008.5774,1007.55615,-6.7851562,4.2382812,5.4804688,0.48706055,-0.13165283,-0.8104248,0.29766846
