timestamp_1,fPressureFront_1,fPressureSide_1,acceleration.x_1,acceleration.y_1,acceleration.z_1,quaternion.i_1,quaternion.j_1,quaternion.k_1,quaternion.real_1,timestamp_2,fPressureFront_2,fPressureSide_2,acceleration.x_2,acceleration.y_2,acceleration.z_2,quaternion.i_2,quaternion.j_2,quaternion.k_2,quaternion.real_2
804495.0,1009.06226,1009.2285,-7.4960938,-2.9492188,5.3828125,-0.33380127,0.25439453,0.5048218,0.7543335,762945,1008.5696,1008.6843,1.8125,-9.433594,1.1835938,-0.48065186,-0.48693848,0.425354,0.5924072
804510.0,1009.0503,1009.23315,-2.5546875,-8.8046875,-1.703125,-0.56359863,0.51361084,-0.26361084,0.59088135,762955,1008.57495,1008.72705,7.7421875,-2.7148438,4.7851562,-0.32928467,-0.38555908,-0.29510498,0.80981445
804520.0,1009.02466,1009.23315,-2.859375,-8.65625,-1.4726562,-0.5638428,0.5135498,-0.25549316,0.5942383,762965,1008.57495,1008.72705,7.8554688,-2.8671875,4.4023438,-0.33233643,-0.38970947,-0.28894043,0.8088379
804540.0,1009.0647,1009.2273,-3.1679688,-8.578125,-1.4335938,-0.5651245,0.51239014,-0.25006104,0.59625244,762980,1008.5635,1008.6836,7.8515625,-2.90625,3.9804688,-0.33374023,-0.39422607,-0.28240967,0.8083496
804560.0,1009.0674,1009.18726,-3.015625,-8.6953125,-1.2421875,-0.5667114,0.510376,-0.24499512,0.5986328,763005,1008.53296,1008.6919,7.8242188,-3.0625,3.8671875,-0.33447266,-0.3980713,-0.2772827,0.8079834
804580.0,1009.0569,1009.1726,-3.1679688,-8.3125,-1.1679688,-0.5679321,0.5074463,-0.24169922,0.6012573,763020,1008.5386,1008.729,7.890625,-3.1757812,3.8671875,-0.33459473,-0.401062,-0.2734375,0.80773926
804600.0,1009.0261,1009.1846,-3.5898438,-8.3828125,-1.0507812,-0.56921387,0.50341797,-0.23883057,0.6045532,763040,1008.52856,1008.70996,8.167969,-3.2539062,3.828125,-0.3340454,-0.40252686,-0.27056885,0.8081665
804620.0,1009.06006,1009.2002,-3.6640625,-8.2734375,-1.0898438,-0.57025146,0.49951172,-0.23583984,0.6080322,763060,1008.532,1008.7095,8.167969,-3.2890625,3.9804688,-0.33312988,-0.40307617,-0.26757812,0.80926514
804640.0,1009.0469,1009.23096,-3.5117188,-8.582031,-1.0898438,-0.57177734,0.49456787,-0.23181152,0.6121216,763080,1008.5366,1008.7283,8.1640625,-3.328125,4.09375,-0.3322754,-0.40289307,-0.2640381,0.8109131
804660.0,1009.06714,1009.20264,-3.2070312,-9.0390625,-1.0507812,-0.5734253,0.48950195,-0.22930908,0.6156616,763105,1008.5508,1008.6953,8.0078125,-3.3671875,4.2109375,-0.3312378,-0.40161133,-0.25982666,0.8133545
