timestamp_1,fPressureFront_1,fPressureSide_1,acceleration.x_1,acceleration.y_1,acceleration.z_1,quaternion.i_1,quaternion.j_1,quaternion.k_1,quaternion.real_1,timestamp_2,fPressureFront_2,fPressureSide_2,acceleration.x_2,acceleration.y_2,acceleration.z_2,quaternion.i_2,quaternion.j_2,quaternion.k_2,quaternion.real_2
328100,1019.0818,1019.7339,5.9296875,4.9726562,5.828125,0.35614014,-0.27954102,0.21069336,0.86639404,306205.0,1019.6897,1019.49023,-7.8359375,2.84375,-4.8945312,0.756958,0.41571045,-0.31311035,0.39520264
328115,1019.05884,1019.7195,7.0820312,6.890625,3.375,-0.40063477,-0.4631958,-0.78167725,0.11810303,306210.0,1019.6897,1019.49023,-7.796875,3.34375,-4.8203125,0.75408936,0.40960693,-0.3112793,0.40826416
328130,1019.0415,1019.7407,7.5039062,6.7382812,2.4960938,-0.3998413,-0.4595337,-0.78448486,0.11608887,306230.0,1019.6821,1019.49146,-6.4570312,8.441406,1.3085938,0.6407471,-0.26049805,-0.65478516,0.3046875
328150,1019.0845,1019.74805,7.3125,6.46875,2.5351562,-0.39849854,-0.456604,-0.78674316,0.11730957,306250.0,1019.7014,1019.4885,-6.4960938,8.2421875,1.3085938,0.63739014,-0.26141357,-0.6541748,0.31219482
328170,1019.1189,1019.77,6.7734375,6.1992188,3.5664062,-0.39770508,-0.45568848,-0.78741455,0.11920166,306265.0,1019.6638,1019.4817,-6.4570312,7.9414062,1.3867188,0.63391113,-0.26245117,-0.6538696,0.31896973
328190,1019.0654,1019.78125,6.8945312,6.7382812,3.3398438,-0.39941406,-0.4552002,-0.78692627,0.11828613,306285.0,1019.7217,1019.4761,-6.265625,7.8632812,1.3867188,0.63153076,-0.2635498,-0.65423584,0.32196045
328210,1019.0713,1019.7554,7.2773438,6.546875,2.3046875,-0.40130615,-0.4527588,-0.7877197,0.11621094,306305.0,1019.69995,1019.51196,-6.0742188,8.285156,1.578125,0.62976074,-0.26367188,-0.65478516,0.32421875
328230,1019.05347,1019.73,7.3515625,5.9335938,2.5351562,-0.40203857,-0.45111084,-0.78826904,0.11633301,306325.0,1019.72705,1019.52124,-6.34375,7.859375,1.3867188,0.6274414,-0.26220703,-0.6560669,0.32733154
328250,1019.1008,1019.76074,6.8945312,5.8554688,2.8007812,-0.40179443,-0.45220947,-0.7873535,0.119140625,306345.0,1019.69995,1019.53613,-6.1523438,7.328125,1.4257812,0.62493896,-0.26104736,-0.65789795,0.32940674
328270,1019.0869,1019.7278,6.7734375,6.125,3.03125,-0.40246582,-0.45318604,-0.7863159,0.11968994,306365.0,1019.71924,1019.5488,-6.1523438,6.8710938,1.7304688,0.6237793,-0.26153564,-0.6592407,0.3284912
328290,1019.0962,1019.7483,6.8515625,6.5078125,2.34375,-0.4039917,-0.45147705,-0.78674316,0.1182251,306385.0,1019.73145,1019.5049,-5.921875,7.8203125,1.6914062,0.62335205,-0.262146,-0.6602783,0.32678223
328310,1019.0891,1019.75903,7.1953125,5.7773438,2.1523438,-0.4046631,-0.44903564,-0.78790283,0.11755371,306405.0,1019.6929,1019.51196,-6.0351562,7.78125,1.3867188,0.6221924,-0.26068115,-0.66119385,0.328125
328330,1019.1184,1019.76807,7.1601562,5.359375,2.8789062,-0.4041748,-0.4501953,-0.78723145,0.119384766,306425.0,1019.7095,1019.53174,-6.265625,7.2148438,1.5,0.6208496,-0.25860596,-0.6622925,0.33032227
328350,1019.07764,1019.72363,6.6210938,6.2382812,2.9179688,-0.40490723,-0.45281982,-0.78515625,0.12036133,306450.0,1019.7307,1019.5337,-6.3828125,6.8671875,1.5,0.62005615,-0.2579956,-0.6633301,0.33013916
328370,1019.0869,1019.7578,6.9335938,6.6601562,2.7265625,-0.40759277,-0.4539795,-0.7833252,0.119140625,306465.0,1019.7278,1019.5464,-6.1914062,7.3320312,1.5,0.6199341,-0.25811768,-0.6642456,0.32836914
328390,1019.0679,1019.73047,7.6210938,6.5078125,1.6132812,-0.40808105,-0.45343018,-0.7833252,0.1194458,306485.0,1019.6846,1019.5254,-6.1523438,7.9023438,1.6171875,0.61938477,-0.25634766,-0.66467285,0.32995605
328410,1019.0891,1019.73364,7.0429688,5.8554688,2.6484375,-0.40704346,-0.453125,-0.78375244,0.12158203,306505.0,1019.7239,1019.52515,-6.4570312,7.7148438,1.1953125,0.6173706,-0.2524414,-0.6654053,0.3352661
