timestamp_1,fPressureFront_1,fPressureSide_1,acceleration.x_1,acceleration.y_1,acceleration.z_1,quaternion.i_1,quaternion.j_1,quaternion.k_1,quaternion.real_1,timestamp_2,fPressureFront_2,fPressureSide_2,acceleration.x_2,acceleration.y_2,acceleration.z_2,quaternion.i_2,quaternion.j_2,quaternion.k_2,quaternion.real_2
102770,937.59985,936.14844,4.0898438,4.046875,-7.90625,-0.26916504,-0.91101074,-0.27197266,0.1538086,105290.0,938.9326,938.2727,0.85546875,9.9375,0.14453125,0.16699219,-0.67523193,-0.6838379,0.22033691
102775,937.5867,936.16187,4.125,4.0859375,-8.015625,-0.270813,-0.91064453,-0.2722168,0.15246582,105295.0,938.9326,938.272,-2.7460938,7.9101562,5.0078125,-0.14465332,0.47003174,0.8689575,0.055786133
102790,937.594,936.1333,4.4335938,7.9921875,3.8554688,-0.15246582,-0.5391846,-0.80700684,0.1864624,105305.0,938.9392,938.28125,-2.8984375,7.7890625,5.0078125,-0.14526367,0.47021484,0.8687134,0.05621338
102800,937.594,936.12744,4.4335938,8.035156,3.8164062,-0.1529541,-0.53863525,-0.80737305,0.18591309,105325.0,938.9341,938.2981,-3.0898438,7.6054688,4.8554688,-0.14581299,0.46948242,0.86901855,0.055908203
102820,937.61743,936.1416,4.4335938,8.0703125,3.8164062,-0.15325928,-0.53826904,-0.8076782,0.18554688,105345.0,938.95215,938.26245,-3.1289062,7.6054688,4.8164062,-0.14508057,0.4694214,0.8690796,0.057006836
102845,937.594,936.1467,4.3554688,8.1015625,3.8164062,-0.1538086,-0.53778076,-0.80804443,0.1850586,105365.0,938.9531,938.2705,-2.859375,7.5664062,5.1601562,-0.1439209,0.46966553,0.8690796,0.05834961
102860,937.58594,936.1616,4.3945312,8.105469,3.8164062,-0.15435791,-0.5374756,-0.8081665,0.18475342,105385.0,938.95776,938.2656,-2.7851562,7.6054688,5.3164062,-0.14343262,0.47003174,0.8688965,0.059020996
102880,937.60864,936.1814,4.4335938,8.074219,3.7382812,-0.1552124,-0.53723145,-0.8082886,0.18444824,105405.0,938.9475,938.2949,-2.859375,7.6445312,5.4296875,-0.14398193,0.47021484,0.8687134,0.058776855
102900,937.6033,936.1758,4.5117188,8.035156,3.6640625,-0.1560669,-0.53674316,-0.8084717,0.184021,105430.0,938.9624,938.2876,-2.9765625,7.6796875,5.1992188,-0.14483643,0.47027588,0.8685913,0.058532715
102925,937.60864,936.1433,4.546875,7.9570312,3.5117188,-0.15686035,-0.53601074,-0.8088989,0.18359375,105445.0,938.9612,938.3096,-2.9765625,7.6445312,5.0078125,-0.14501953,0.4699707,0.8687134,0.05895996
102940,937.6035,936.177,4.546875,7.9179688,3.546875,-0.15722656,-0.5354614,-0.80926514,0.18334961,105465.0,939.01074,938.30493,-2.8984375,7.640625,5.125,-0.14465332,0.46954346,0.8689575,0.059631348
102960,937.60864,936.2041,4.546875,7.9570312,3.546875,-0.15765381,-0.53479004,-0.8096924,0.18310547,105485.0,938.9885,938.31885,-2.8203125,7.6835938,5.2382812,-0.14489746,0.4696045,0.86883545,0.05999756
102980,937.6167,936.17065,4.5117188,7.9921875,3.5859375,-0.15795898,-0.5340576,-0.81018066,0.18286133,105505.0,938.96387,938.3181,-2.8203125,7.7617188,5.1992188,-0.14587402,0.46990967,0.86846924,0.059936523
103000,937.62573,936.1775,4.4335938,8.074219,3.703125,-0.15826416,-0.5335083,-0.81048584,0.1828003,105525.0,938.96387,938.2947,-2.859375,7.6796875,5.125,-0.14715576,0.4701538,0.86816406,0.059692383
103020,937.61597,936.155,4.4335938,8.074219,3.703125,-0.15875244,-0.53308105,-0.81066895,0.1828003,105545.0,938.93726,938.272,-2.9765625,7.7890625,4.8164062,-0.14764404,0.47009277,0.868103,0.06011963
103040,937.61475,936.1592,4.4335938,8.074219,3.6640625,-0.1593628,-0.5325928,-0.8109131,0.18273926,105570.0,938.9619,938.29785,-2.9375,7.71875,4.8945312,-0.1473999,0.4697876,0.86828613,0.060913086
103060,937.6062,936.17896,4.4335938,8.074219,3.6640625,-0.15979004,-0.5319824,-0.81121826,0.18267822,105585.0,938.96436,938.28687,-2.859375,7.7617188,4.9335938,-0.14770508,0.4697876,0.8682251,0.061035156
103080,937.63477,936.1218,4.3945312,7.9960938,3.7773438,-0.16021729,-0.5313721,-0.8115845,0.18261719,105605.0,938.937,938.2722,-2.8984375,7.7890625,4.9335938,-0.14855957,0.46972656,0.868103,0.060791016
103100,937.6172,936.1677,4.4335938,7.9140625,3.8164062,-0.16070557,-0.5311279,-0.8116455,0.18267822,105625.0,938.9822,938.29297,-2.9765625,7.7617188,4.8554688,-0.14953613,0.46917725,0.86828613,0.0602417
103120,937.60693,936.1814,4.3945312,7.953125,3.8164062,-0.16107178,-0.5310669,-0.8115845,0.18273926,105645.0,938.9863,938.3213,-3.0507812,7.640625,4.7421875,-0.15008545,0.4691162,0.8682251,0.060058594
103145,937.62646,936.1736,4.4335938,7.875,3.9296875,-0.16149902,-0.5307617,-0.81170654,0.18261719,105665.0,939.0156,938.3342,-3.0507812,7.5664062,4.7773438,-0.15008545,0.46929932,0.868103,0.059936523
103160,937.6289,936.1665,4.4335938,7.8789062,3.96875,-0.16204834,-0.5303345,-0.8120117,0.1821289,105685.0,938.9878,938.29004,-2.9765625,7.640625,4.8164062,-0.1496582,0.46948242,0.868103,0.059936523
103180,937.60205,936.1499,4.3945312,7.8398438,3.8945312,-0.16253662,-0.5302124,-0.8120117,0.1817627,105705.0,938.9756,938.3015,-2.8984375,7.640625,4.9335938,-0.1494751,0.4696045,0.868103,0.059814453
103200,937.61694,936.167,4.3945312,7.7578125,3.9296875,-0.16296387,-0.5305786,-0.8117676,0.18145752,105725.0,938.9617,938.3003,-2.859375,7.71875,4.8164062,-0.14953613,0.4699707,0.8679199,0.059387207
103225,937.6084,936.1477,4.3164062,7.8789062,3.9296875,-0.16339111,-0.5308838,-0.8116455,0.18084717,105745.0,938.95386,938.3154,-2.9375,7.6835938,4.8945312,-0.14953613,0.4706421,0.8675537,0.05895996
103240,937.646,936.15234,4.3554688,7.9140625,3.8945312,-0.16400146,-0.53125,-0.8114624,0.17999268,105770.0,938.9592,938.28735,-3.1289062,7.7578125,4.7421875,-0.14904785,0.47113037,0.8673706,0.05883789
103260,937.61743,936.16187,4.4726562,7.9140625,3.7382812,-0.16461182,-0.5319214,-0.81103516,0.17938232,105785.0,938.94653,938.3042,-3.1289062,7.7617188,4.8554688,-0.14758301,0.4713745,0.8674927,0.05908203
103280,937.60547,936.16943,4.5859375,7.9179688,3.625,-0.16503906,-0.53271484,-0.8105469,0.17901611,105805.0,938.947,938.27246,-3.015625,7.8671875,5.0078125,-0.1459961,0.47180176,0.8674927,0.059692383
103305,937.63086,936.177,4.703125,7.9140625,3.4726562,-0.16546631,-0.53344727,-0.8101196,0.17834473,105825.0,938.9336,938.2722,-2.8203125,7.9453125,5.0859375,-0.1453247,0.47247314,0.86724854,0.059631348
103320,937.6228,936.1824,4.7773438,7.875,3.3554688,-0.16571045,-0.53375244,-0.8099365,0.17797852,105845.0,938.97754,938.3279,-2.8984375,7.984375,5.1601562,-0.14520264,0.4732666,0.8668213,0.059387207
103340,937.604,936.1763,4.8945312,7.8007812,3.3554688,-0.16589355,-0.53411865,-0.8097534,0.1776123,105865.0,938.97217,938.3013,-2.8984375,8.1015625,5.125,-0.14465332,0.47424316,0.86639404,0.05999756
103360,937.6282,936.20337,4.96875,7.6796875,3.3945312,-0.16589355,-0.53460693,-0.80944824,0.17749023,105885.0,938.9946,938.2954,-2.8984375,7.9882812,5.1992188,-0.14398193,0.47491455,0.86602783,0.061035156
103380,937.61694,936.14746,4.96875,7.6523438,3.3945312,-0.16552734,-0.5354004,-0.8088989,0.17773438,105910.0,938.9883,938.26733,-2.8984375,7.9882812,5.3164062,-0.14349365,0.47595215,0.8654175,0.062438965
103400,937.6365,936.2068,4.96875,7.6796875,3.4335938,-0.16479492,-0.53686523,-0.80792236,0.17840576,105925.0,938.9756,938.2866,-2.9375,7.8710938,5.2773438,-0.14276123,0.47808838,0.8641968,0.064941406
103420,937.62256,936.19556,5.0078125,7.609375,3.5117188,-0.16357422,-0.5393677,-0.8060913,0.18029785,105950.0,938.9358,938.29346,-2.9375,7.7226562,5.3164062,-0.14038086,0.48425293,0.8607178,0.070739746
103440,937.61426,936.1992,5.0859375,7.609375,3.4726562,-0.16125488,-0.54486084,-0.80181885,0.18499756,105965.0,938.9553,938.2622,-2.9375,7.7890625,5.1992188,-0.13568115,0.49621582,0.85369873,0.08111572
103460,937.5801,936.1948,5.3125,7.296875,3.28125,-0.15667725,-0.5562744,-0.79248047,0.19494629,105985.0,938.9717,938.28076,-2.859375,7.1054688,5.2773438,-0.12756348,0.5178833,0.84002686,0.09918213
103480,937.6135,936.17896,5.4296875,6.8476562,3.2421875,-0.14880371,-0.5767822,-0.7752075,0.21026611,106005.0,938.95654,938.2925,-2.9375,6.7578125,4.625,-0.11517334,0.55322266,0.8154907,0.1251831
103505,937.58057,936.1687,5.9648438,6.6523438,2.7421875,-0.13757324,-0.6062012,-0.74938965,0.22790527,106025.0,938.92896,938.2705,-3.625,5.9921875,3.9726562,-0.097595215,0.60235596,0.7763672,0.15777588
