timestamp_1,fPressureFront_1,fPressureSide_1,acceleration.x_1,acceleration.y_1,acceleration.z_1,quaternion.i_1,quaternion.j_1,quaternion.k_1,quaternion.real_1,timestamp_2,fPressureFront_2,fPressureSide_2,acceleration.x_2,acceleration.y_2,acceleration.z_2,quaternion.i_2,quaternion.j_2,quaternion.k_2,quaternion.real_2
729845,969.8838,971.6228,-1.3632812,9.859375,2.1796875,-0.15991211,0.616333,0.76934814,0.051818848,729925.0,969.5388,970.6052,6.34375,4.9101562,5.2148438,-0.109375,-0.5020752,-0.71484375,0.4743042
729850,969.8838,971.6228,-5.078125,8.558594,0.453125,-0.18121338,0.6503906,0.7223511,0.14941406,729930.0,969.5398,970.6052,6.3476562,5.6757812,4.2578125,-0.109436035,-0.50445557,-0.7124634,0.4753418
729870,969.906,971.6118,7.1835938,4.9179688,4.015625,0.32025146,-0.45635986,-0.03942871,0.82922363,729945.0,969.5427,970.61523,0.3203125,5.3789062,8.003906,0.31976318,-0.091552734,-0.30737305,0.8915405
729885,969.9241,971.5879,7.1835938,5.1835938,3.7109375,0.319458,-0.45715332,-0.042053223,0.8289795,729960.0,969.5574,970.5835,-0.29296875,5.4960938,8.3828125,0.321167,-0.091430664,-0.3102417,0.8900757
729905,969.87744,971.5857,6.9882812,5.1835938,3.328125,0.31793213,-0.45788574,-0.044311523,0.8290405,729980.0,969.54297,970.5989,-0.71484375,5.609375,8.609375,0.3215332,-0.09283447,-0.31280518,0.888855
729930,969.8821,971.6228,7.4101562,5.3007812,3.59375,0.31652832,-0.45825195,-0.04736328,0.8291626,730000.0,969.50806,970.61694,-0.0625,5.5351562,7.8046875,0.32092285,-0.09552002,-0.3157959,0.88775635
729945,969.88086,971.6067,7.3320312,4.953125,3.5195312,0.3156128,-0.45861816,-0.050476074,0.8291626,730020.0,969.5298,970.60474,0.20703125,5.4179688,7.578125,0.32061768,-0.09716797,-0.3189087,0.8865967
729965,969.9309,971.6162,7.1054688,5.2226562,3.7109375,0.3147583,-0.4593506,-0.052734375,0.82891846,730040.0,969.5322,970.58325,0.12890625,5.5351562,7.7695312,0.3209839,-0.0970459,-0.32165527,0.88549805
729985,969.89404,971.5908,6.9492188,5.1445312,3.671875,0.31311035,-0.45996094,-0.05444336,0.82910156,730060.0,969.5488,970.6201,-0.13671875,5.8007812,7.8085938,0.32025146,-0.09643555,-0.32421875,0.8848877
730005,969.9009,971.64355,6.796875,5.1445312,3.4414062,0.31176758,-0.46063232,-0.05682373,0.82910156,730080.0,969.5725,970.60034,-0.29296875,5.1875,8.0390625,0.31866455,-0.09710693,-0.32720947,0.88427734
730025,969.9226,971.5928,6.9882812,5.3007812,3.59375,0.31048584,-0.4616089,-0.059570312,0.8288574,730100.0,969.56885,970.60913,-0.328125,5.3046875,8.269531,0.3178711,-0.09857178,-0.3300171,0.8833618
730045,969.89844,971.6179,7.140625,5.3007812,3.671875,0.309021,-0.46240234,-0.062072754,0.82873535,730120.0,969.5593,970.57324,-0.17578125,5.5351562,8.191406,0.317688,-0.10046387,-0.333313,0.881958
