timestamp_1,fPressureFront_1,fPressureSide_1,acceleration.x_1,acceleration.y_1,acceleration.z_1,quaternion.i_1,quaternion.j_1,quaternion.k_1,quaternion.real_1,timestamp_2,fPressureFront_2,fPressureSide_2,acceleration.x_2,acceleration.y_2,acceleration.z_2,quaternion.i_2,quaternion.j_2,quaternion.k_2,quaternion.real_2
290385,1007.78687,1008.23267,7.75,3.7734375,4.5664062,-0.19445801,-0.49438477,-0.6343994,0.56152344,240670.0,1007.50073,1009.1897,-5.1132812,6.6210938,4.3984375,0.5459595,0.0914917,-0.4329834,0.71136475
290400,1007.8135,1008.2698,7.0234375,5.8007812,2.8046875,0.06964111,-0.6251221,-0.40325928,0.6646118,240690.0,1007.4551,1009.1824,-5.8085938,5.4296875,5.546875,0.3562622,0.30981445,-0.050109863,0.88012695
290420,1007.76416,1008.2434,7.2617188,5.4570312,2.6132812,0.072143555,-0.6282959,-0.40014648,0.66326904,240710.0,1007.4634,1009.15405,-5.6875,5.7773438,5.6601562,0.35803223,0.30969238,-0.052246094,0.87927246
290440,1007.7883,1008.23755,7.21875,5.5703125,2.265625,0.076049805,-0.63305664,-0.3951416,0.6613159,240730.0,1007.49023,1009.18335,-5.5742188,5.5039062,5.65625,0.35931396,0.3104248,-0.053588867,0.87841797
290460,1007.7644,1008.2334,7.3007812,5.8007812,2.0390625,0.083984375,-0.6403198,-0.38476562,0.65948486,240750.0,1007.4912,1009.2012,-5.5742188,5.6171875,5.3945312,0.3591919,0.3114624,-0.053833008,0.8781128
290480,1007.7822,1008.2329,7.3007812,6.03125,1.7695312,0.09313965,-0.6468506,-0.37286377,0.6586914,240770.0,1007.49097,1009.1914,-5.8085938,5.2382812,5.3945312,0.35876465,0.31170654,-0.053894043,0.87823486
290500,1007.7805,1008.291,7.21875,6.2617188,1.7304688,0.1038208,-0.6538086,-0.35906982,0.65789795,240790.0,1007.47974,1009.18115,-5.6875,5.3125,5.5078125,0.35882568,0.3112793,-0.053710938,0.87835693
290515,1007.7908,1008.2622,7.21875,6.375,1.6171875,0.11352539,-0.66015625,-0.34655762,0.65667725,240810.0,1007.4968,1009.1438,-5.5351562,5.4648438,5.6601562,0.36010742,0.31097412,-0.053588867,0.8779297
290535,1007.7549,1008.27905,7.5273438,6.3398438,0.6953125,0.12005615,-0.66516113,-0.3381958,0.6548462,240830.0,1007.5088,1009.1802,-5.421875,5.5429688,5.4296875,0.36120605,0.31176758,-0.053955078,0.87713623
290555,1007.7615,1008.2688,7.7539062,6.109375,0.390625,0.1239624,-0.66882324,-0.33355713,0.65270996,240850.0,1007.48047,1009.1863,-5.6875,5.6992188,5.3164062,0.36175537,0.31292725,-0.05480957,0.87646484
290575,1007.7661,1008.2964,7.7890625,6.109375,0.23828125,0.12640381,-0.6709595,-0.3324585,0.65063477,240870.0,1007.48315,1009.1531,-5.765625,5.6210938,5.3554688,0.3624878,0.31341553,-0.055725098,0.8759155
290600,1007.7417,1008.2781,7.6445312,6.109375,0.046875,0.12762451,-0.6719971,-0.3343506,0.64837646,240890.0,1007.4968,1009.15234,-5.6875,5.8125,5.2773438,0.3632202,0.31359863,-0.05645752,0.8754883
290615,1007.7661,1008.33105,7.5273438,6.1484375,0.046875,0.128479,-0.6721802,-0.33538818,0.6473999,240910.0,1007.5093,1009.1765,-5.6132812,5.7773438,5.5078125,0.3623047,0.31469727,-0.055480957,0.8755493
290635,1007.76416,1008.32056,7.3710938,6.0703125,0.16015625,0.12976074,-0.6722412,-0.3357544,0.64697266,240930.0,1007.4929,1009.13745,-5.7265625,5.4648438,5.5859375,0.36138916,0.315979,-0.054382324,0.8755493
290655,1007.73047,1008.3386,7.1835938,5.9179688,0.50390625,0.13122559,-0.6723633,-0.33532715,0.6467285,240950.0,1007.52466,1009.1482,-5.8046875,5.2382812,5.546875,0.3616333,0.31652832,-0.054382324,0.87524414
290675,1007.7605,1008.3137,7.3007812,5.6875,0.8125,0.13189697,-0.6723633,-0.33581543,0.64630127,240970.0,1007.51685,1009.1643,-5.875,5.1992188,5.3945312,0.36273193,0.31695557,-0.054870605,0.8746338
290695,1007.79224,1008.3074,7.2578125,5.6484375,0.92578125,0.1326294,-0.67266846,-0.33618164,0.6456909,240990.0,1007.50586,1009.1743,-5.7304688,5.1992188,5.2773438,0.36395264,0.31756592,-0.05480957,0.87390137
290715,1007.75635,1008.2903,7.3359375,5.7265625,0.96484375,0.13397217,-0.6734619,-0.3359375,0.6446533,241010.0,1007.50977,1009.1824,-5.9179688,5.2734375,5.3164062,0.3651123,0.31811523,-0.053833008,0.873291
290740,1007.7449,1008.3235,7.4101562,5.9179688,0.46484375,0.1361084,-0.6744995,-0.33551025,0.6433716,241030.0,1007.4951,1009.1787,-5.9921875,5.3125,4.9726562,0.36663818,0.3180542,-0.05291748,0.8727417
