timestamp_1,fPressureFront_1,fPressureSide_1,acceleration.x_1,acceleration.y_1,acceleration.z_1,quaternion.i_1,quaternion.j_1,quaternion.k_1,quaternion.real_1,timestamp_2,fPressureFront_2,fPressureSide_2,acceleration.x_2,acceleration.y_2,acceleration.z_2,quaternion.i_2,quaternion.j_2,quaternion.k_2,quaternion.real_2
212974,1008.18066,1007.7092,0.01953125,0.3671875,10.621094,0.00579834,-0.014038086,0.7838745,0.62072754,212985.0,1006.709,1008.1968,-2.2734375,3.265625,7.609375,0.032226562,0.16223145,0.27954102,0.9458008
212983,1008.18066,1007.71436,-1.2109375,-9.339844,3.46875,-0.23272705,0.5371704,-0.6888428,0.42749023,212993.0,1006.74,1008.22437,-3.3046875,3.3046875,-8.6640625,0.9598999,-0.14593506,-0.1821289,0.15545654
212992,1008.1658,1007.71387,-1.2890625,-8.9921875,3.546875,-0.23181152,0.53704834,-0.6890259,0.42791748,213003.0,1006.74,1008.22437,-3.34375,3.3398438,-8.5078125,0.9595337,-0.14630127,-0.18530273,0.15332031
213012,1008.1738,1007.70166,-1.3632812,-8.7265625,3.2382812,-0.2310791,0.536438,-0.68896484,0.42913818,213023.0,1006.7505,1008.2322,-3.2695312,3.1875,-8.359375,0.9591675,-0.14697266,-0.18884277,0.1508789
213037,1008.167,1007.68945,-1.171875,-9.1796875,2.8203125,-0.23205566,0.53686523,-0.6876831,0.43011475,213043.0,1006.7366,1008.24316,-3.0390625,3.1484375,-8.402344,0.9588623,-0.14788818,-0.19067383,0.14941406
213052,1008.1719,1007.72656,-1.0976562,-9.5625,2.78125,-0.23370361,0.538208,-0.68621826,0.4298706,213063.0,1006.72876,1008.20605,-3.0390625,3.2265625,-8.480469,0.95874023,-0.14880371,-0.19146729,0.14849854
213072,1008.1682,1007.69507,-1.1367188,-9.839844,2.9726562,-0.23413086,0.5392456,-0.68566895,0.4293213,213083.0,1006.71045,1008.2258,-3.2304688,3.3046875,-8.625,0.9585571,-0.14941406,-0.19213867,0.14813232
213092,1008.1963,1007.7197,-1.2890625,-9.566406,3.0859375,-0.23339844,0.5391846,-0.6859741,0.42926025,213102.0,1006.72,1008.22485,-3.6132812,3.1484375,-8.589844,0.958374,-0.14971924,-0.19335938,0.14733887
213117,1008.1941,1007.69385,-1.4023438,-9.152344,3.2382812,-0.23291016,0.53881836,-0.68573,0.43029785,213117.0,1006.7295,1008.1987,-3.5742188,3.0742188,-8.5078125,0.95806885,-0.15008545,-0.19543457,0.14630127
213132,1008.1892,1007.7009,-1.328125,-9.035156,3.125,-0.23297119,0.5388794,-0.6851196,0.43115234,213142.0,1006.71875,1008.1714,-3.421875,3.1132812,-8.402344,0.95758057,-0.1506958,-0.19793701,0.14526367
213151,1008.18945,1007.70215,-1.328125,-8.9921875,2.9726562,-0.2333374,0.5395508,-0.684021,0.4319458,213162.0,1006.71606,1008.23706,-3.4609375,3.1132812,-8.3984375,0.9570923,-0.1515503,-0.20074463,0.14379883
213171,1008.1677,1007.69653,-1.25,-9.1484375,3.0117188,-0.23327637,0.53967285,-0.6835327,0.43255615,213177.0,1006.7417,1008.23706,-3.4960938,3.1132812,-8.324219,0.9567261,-0.15234375,-0.20281982,0.14276123
213196,1008.146,1007.6887,-1.4023438,-9.261719,3.0859375,-0.23309326,0.5385132,-0.68377686,0.43377686,213197.0,1006.7278,1008.2002,-3.421875,2.9570312,-8.3203125,0.95635986,-0.15307617,-0.20507812,0.14093018
213211,1008.178,1007.6963,-1.328125,-9.21875,3.0117188,-0.23327637,0.5380249,-0.6834717,0.43475342,213217.0,1006.7036,1008.2146,-3.34375,3.0742188,-8.4375,0.95617676,-0.15356445,-0.20697021,0.13885498
213231,1008.19604,1007.6997,-1.2109375,-9.296875,3.125,-0.23327637,0.53796387,-0.68292236,0.43566895,213237.0,1006.7241,1008.2246,-3.3828125,3.2265625,-8.824219,0.9560547,-0.15393066,-0.20812988,0.13739014
213251,1008.19653,1007.7014,-1.2890625,-9.417969,3.203125,-0.23321533,0.53778076,-0.68304443,0.43572998,213257.0,1006.7363,1008.1775,-3.4960938,3.1484375,-8.707031,0.9560547,-0.15441895,-0.20843506,0.13684082
213271,1008.17554,1007.77686,-1.3632812,-9.300781,3.046875,-0.23339844,0.53778076,-0.68292236,0.43585205,213276.0,1006.70044,1008.2036,-3.765625,3.0351562,-8.589844,0.9559326,-0.15478516,-0.2084961,0.13690186
213291,1008.16797,1007.7195,-1.3632812,-9.496094,3.0859375,-0.23431396,0.53796387,-0.6821289,0.43640137,213301.0,1006.7241,1008.2112,-3.8046875,2.84375,-8.207031,0.95581055,-0.15478516,-0.20898438,0.13708496
213311,1008.1699,1007.6968,-1.2890625,-9.378906,3.0859375,-0.23498535,0.5377197,-0.68115234,0.43774414,213316.0,1006.72656,1008.2373,-3.84375,3.0351562,-8.28125,0.9556885,-0.15429688,-0.21008301,0.13659668
