timestamp_1,fPressureFront_1,fPressureSide_1,acceleration.x_1,acceleration.y_1,acceleration.z_1,quaternion.i_1,quaternion.j_1,quaternion.k_1,quaternion.real_1,timestamp_2,fPressureFront_2,fPressureSide_2,acceleration.x_2,acceleration.y_2,acceleration.z_2,quaternion.i_2,quaternion.j_2,quaternion.k_2,quaternion.real_2
647665,1016.6421,1016.927,2.0898438,9.0234375,1.4804688,0.60876465,0.22515869,0.35705566,0.6716919,640175.0,1015.1987,1015.35645,-4.0546875,7.328125,4.8046875,-0.028686523,0.47821045,0.7970581,0.36767578
647670,1016.61914,1016.92065,1.3984375,9.5625,1.4804688,0.6159668,0.255188,0.3678589,0.64819336,640180.0,1015.1987,1015.33325,-3.8984375,7.9453125,5.0351562,-0.051757812,0.46124268,0.8166504,0.34295654
647685,1016.666,1016.9363,-2.6210938,7.71875,5.5390625,0.17993164,-0.42248535,-0.88220215,0.104003906,640200.0,1015.2051,1015.32886,-0.58203125,7.2304688,7.0195312,0.402771,-0.055725098,-0.17333984,0.89697266
647695,1016.666,1016.9363,-2.6210938,7.6523438,5.4648438,0.18145752,-0.42138672,-0.88220215,0.10595703,640220.0,1015.2163,1015.3369,-0.54296875,7.3398438,6.9453125,0.40216064,-0.055236816,-0.17095947,0.8977661
647720,1016.63306,1016.9275,-2.6992188,7.8398438,5.5390625,0.18286133,-0.4206543,-0.88201904,0.10809326,640240.0,1015.1963,1015.3203,-0.46484375,7.3359375,6.90625,0.4015503,-0.054504395,-0.168396,0.8985596
647735,1016.65454,1016.91943,-2.6210938,7.6796875,5.4648438,0.18389893,-0.41992188,-0.88183594,0.11047363,640260.0,1015.2241,1015.33765,-0.46484375,7.4140625,6.7890625,0.4008789,-0.053527832,-0.16558838,0.8994751
647755,1016.6614,1016.9011,-2.546875,7.71875,5.3867188,0.18475342,-0.41900635,-0.88183594,0.11242676,640280.0,1015.2041,1015.33887,-0.6171875,7.375,6.7148438,0.40020752,-0.052612305,-0.16320801,0.9002075
647775,1016.65063,1016.93555,-2.4296875,7.8007812,5.3125,0.18548584,-0.4179077,-0.88201904,0.11419678,640300.0,1015.2263,1015.35205,-0.65625,7.2265625,6.828125,0.39978027,-0.051818848,-0.16088867,0.9008789
647800,1016.63696,1016.92114,-2.5820312,7.875,5.5390625,0.18640137,-0.41693115,-0.88201904,0.11584473,640325.0,1015.2207,1015.35815,-0.50390625,7.2578125,6.90625,0.3998413,-0.051208496,-0.15863037,0.90130615
647815,1016.6472,1016.8955,-2.6601562,7.8359375,5.578125,0.18725586,-0.4163208,-0.881897,0.11773682,640340.0,1015.208,1015.3425,-0.42578125,7.3398438,6.828125,0.39990234,-0.050476074,-0.15631104,0.9017334
647835,1016.64185,1016.9302,-2.7382812,7.8398438,5.5039062,0.18774414,-0.41577148,-0.88183594,0.11956787,640360.0,1015.2114,1015.32007,-0.390625,7.296875,6.8671875,0.40045166,-0.04949951,-0.1539917,0.9019165
647855,1016.65356,1016.9175,-2.7382812,7.7226562,5.3867188,0.1875,-0.41455078,-0.8822632,0.120910645,640380.0,1015.2117,1015.3147,-0.46484375,7.3007812,6.7890625,0.4015503,-0.048217773,-0.15167236,0.9019165
647880,1016.64233,1016.9265,-2.5820312,7.6796875,5.5039062,0.18688965,-0.41278076,-0.8831787,0.121276855,640400.0,1015.2449,1015.35034,-0.6953125,7.2265625,6.5976562,0.40319824,-0.04711914,-0.14910889,0.9016113
647895,1016.64233,1016.9419,-2.5820312,7.9921875,5.5390625,0.18591309,-0.41064453,-0.8843994,0.120910645,640420.0,1015.218,1015.3706,-0.6953125,7.2265625,6.3710938,0.4052124,-0.04650879,-0.14672852,0.9011841
647915,1016.66284,1016.9321,-2.7773438,7.9921875,5.6171875,0.18463135,-0.40802002,-0.8859863,0.12036133,640440.0,1015.1987,1015.33154,-0.50390625,7.3789062,6.3320312,0.40808105,-0.045776367,-0.14447021,0.90026855
647935,1016.66064,1016.93823,-2.6601562,7.6796875,5.6953125,0.1828003,-0.40570068,-0.8875122,0.11993408,640465.0,1015.25464,1015.33594,-0.54296875,7.4960938,6.3320312,0.411438,-0.044799805,-0.14294434,0.89904785
647960,1016.66626,1016.9453,-2.3554688,7.1914062,5.7304688,0.18066406,-0.4029541,-0.8892212,0.11920166,640480.0,1015.2356,1015.3362,-0.65625,7.3007812,6.2539062,0.41497803,-0.04437256,-0.14221191,0.897522
647975,1016.656,1016.9475,-2.3164062,7.4140625,5.8867188,0.17834473,-0.39855957,-0.8918457,0.11791992,640500.0,1015.199,1015.35547,-0.7734375,7.2304688,6.1015625,0.42095947,-0.048217773,-0.14312744,0.8944092
647995,1016.63477,1016.94824,-2.546875,7.8007812,5.5039062,0.17663574,-0.39196777,-0.89508057,0.11804199,640520.0,1015.2224,1015.3096,-0.65625,7.53125,5.9101562,0.42822266,-0.059265137,-0.14752197,0.8895874
648015,1016.6824,1016.8977,-2.5078125,8.722656,4.9296875,0.1749878,-0.38226318,-0.899292,0.120666504,640540.0,1015.2073,1015.35034,-0.3125,7.7226562,5.8320312,0.4385376,-0.074157715,-0.15307617,0.8824463
648040,1016.6748,1016.9441,-2.6601562,7.2304688,5.7695312,0.17248535,-0.37493896,-0.9024048,0.12390137,640560.0,1015.2175,1015.322,-0.12109375,7.5351562,5.9101562,0.45007324,-0.08856201,-0.15771484,0.8744507
648055,1016.6753,1016.9348,-2.5078125,7.796875,5.7304688,0.17016602,-0.37054443,-0.90411377,0.12780762,640580.0,1015.2483,1015.3074,0.98828125,7.7617188,6.3320312,0.46514893,-0.10333252,-0.16326904,0.8638916
648075,1016.6721,1016.9187,-2.125,6.9570312,5.8476562,0.16809082,-0.36450195,-0.9064331,0.13146973,640600.0,1015.2075,1015.3015,1.0664062,8.988281,5.9492188,0.47625732,-0.109375,-0.16607666,0.85650635
648095,1016.71704,1016.9863,-2.0078125,6.3476562,6.1171875,0.16644287,-0.35784912,-0.9090576,0.13342285,640620.0,1015.17847,1015.29614,0.375,9.910156,4.53125,0.47540283,-0.10601807,-0.16137695,0.8583374
648115,1016.69214,1016.94946,-1.78125,5.8085938,7.3359375,0.1642456,-0.35284424,-0.911438,0.13348389,640640.0,1015.19995,1015.322,-0.42578125,9.605469,4.4921875,0.46704102,-0.099121094,-0.15423584,0.86499023
648135,1016.70996,1016.94946,-1.5898438,5.6171875,7.3085938,0.16137695,-0.34954834,-0.91326904,0.13293457,640660.0,1015.2095,1015.34033,-0.3125,8.527344,5.6015625,0.46002197,-0.09429932,-0.14996338,0.87005615
648155,1016.70483,1016.9175,-1.6640625,5.8085938,7.4921875,0.15808105,-0.34735107,-0.9147339,0.1326294,640680.0,1015.1902,1015.3081,0.22265625,8.527344,5.640625,0.456604,-0.09210205,-0.14764404,0.87249756
648175,1016.69946,1016.9617,-1.5507812,5.7695312,7.609375,0.15539551,-0.3453369,-0.91607666,0.13195801,640700.0,1015.19946,1015.32983,0.22265625,8.378906,5.6015625,0.45562744,-0.0914917,-0.1463623,0.873291
648195,1016.68774,1016.91797,-1.5898438,6.5742188,7.03125,0.15478516,-0.3435669,-0.9168701,0.1317749,640720.0,1015.21094,1015.333,0.22265625,8.300781,5.4492188,0.45587158,-0.09112549,-0.14465332,0.8734741
648215,1016.70386,1016.91235,-1.9335938,6.6132812,6.9140625,0.15570068,-0.34301758,-0.91674805,0.13293457,640740.0,1015.18604,1015.3235,0.30078125,8.5625,4.953125,0.45513916,-0.09063721,-0.14276123,0.87420654
648235,1016.7117,1016.9187,-2.125,6.84375,7.1484375,0.15600586,-0.34368896,-0.91619873,0.13482666,640760.0,1015.2158,1015.33374,0.375,8.375,5.1835938,0.4534912,-0.09051514,-0.14111328,0.8753662
648255,1016.6721,1016.94434,-2.125,6.84375,6.8867188,0.15496826,-0.34436035,-0.9158325,0.13647461,640780.0,1015.1936,1015.32153,0.60546875,8.183594,5.0664062,0.4524536,-0.091430664,-0.14038086,0.8759155
648275,1016.66113,1016.9424,-2.046875,6.9921875,6.2304688,0.15374756,-0.34429932,-0.91589355,0.13787842,640800.0,1015.2322,1015.3513,0.953125,8.21875,4.875,0.45251465,-0.09326172,-0.1404419,0.8756714
648295,1016.666,1016.9414,-2.046875,6.7304688,5.8867188,0.15350342,-0.34381104,-0.9158325,0.13952637,640820.0,1015.2068,1015.364,1.5664062,7.796875,4.796875,0.4543457,-0.09625244,-0.14117432,0.8742676
648315,1016.66504,1016.97095,-2.2382812,6.53125,5.6171875,0.1552124,-0.34552002,-0.9145508,0.14196777,640840.0,1015.1648,1015.3457,1.71875,7.5703125,4.4140625,0.4578247,-0.10064697,-0.14221191,0.8718262
648335,1016.62305,1016.9822,-2.5078125,6.5742188,5.234375,0.15820312,-0.34985352,-0.91186523,0.14538574,640860.0,1015.1643,1015.3706,1.984375,7.4179688,3.7265625,0.46258545,-0.10668945,-0.14324951,0.8684082
648355,1016.624,1017.0288,-2.46875,5.578125,4.0078125,0.16253662,-0.35760498,-0.90753174,0.14868164,640880.0,1015.18677,1015.3967,2.0234375,6.5703125,2.84375,0.46905518,-0.11395264,-0.14447021,0.86376953
648375,1016.57935,1017.05396,-2.3554688,4.8945312,3.7421875,0.16906738,-0.37097168,-0.90057373,0.1508789,640900.0,1015.14233,1015.41406,2.0234375,6.0390625,2.6523438,0.47961426,-0.12408447,-0.14660645,0.8562012
648400,1016.6189,1017.03906,-1.6640625,4.8554688,3.28125,0.1774292,-0.38757324,-0.8918457,0.15112305,640925.0,1015.1321,1015.376,1.9492188,6.0039062,2.421875,0.49395752,-0.13726807,-0.14910889,0.84552
648415,1016.63257,1016.96704,-1.2421875,5.2773438,2.9375,0.19018555,-0.40515137,-0.8814087,0.15118408,640940.0,1015.1316,1015.3628,2.0234375,6.421875,2.2304688,0.5091553,-0.15344238,-0.15112305,0.833313
648435,1016.6582,1016.958,-2.1992188,6.109375,4.2382812,0.20758057,-0.42401123,-0.8679199,0.15429688,640960.0,1015.1467,1015.39014,2.2929688,7.453125,2.6171875,0.51989746,-0.16998291,-0.1519165,0.8232422
648455,1016.677,1016.96313,-2.890625,6.3867188,4.5078125,0.23022461,-0.44854736,-0.8485718,0.16033936,640980.0,1015.1692,1015.35156,1.7929688,7.8359375,2.7695312,0.52453613,-0.18444824,-0.1517334,0.8171997
