timestamp_1,fPressureFront_1,fPressureSide_1,acceleration.x_1,acceleration.y_1,acceleration.z_1,quaternion.i_1,quaternion.j_1,quaternion.k_1,quaternion.real_1,timestamp_2,fPressureFront_2,fPressureSide_2,acceleration.x_2,acceleration.y_2,acceleration.z_2,quaternion.i_2,quaternion.j_2,quaternion.k_2,quaternion.real_2
554185.0,1007.32446,1009.6614,6.4453125,5.171875,4.84375,-0.35412598,-0.31048584,-0.8796387,0.06652832,547020,1009.4033,1010.27515,-6.8867188,4.9882812,3.8632812,0.28186035,0.4557495,0.07006836,0.84143066
554195.0,1007.34326,1009.5867,6.0273438,5.3984375,5.2265625,-0.18951416,-0.46954346,-0.7714844,0.3852539,547030,1009.4121,1010.27515,-7.4609375,5.140625,3.7109375,0.2850952,0.46520996,0.07086182,0.835022
554210.0,1007.3076,1009.59595,6.1015625,5.3984375,5.0703125,-0.19036865,-0.47039795,-0.7722168,0.38232422,547040,1009.39575,1010.2351,-7.0039062,4.8320312,4.9726562,-0.040405273,0.5031128,0.55688477,0.65966797
554230.0,1007.2937,1009.55786,6.3320312,5.3242188,4.7265625,-0.19158936,-0.47149658,-0.7722168,0.3803711,547055,1009.37256,1010.2422,-6.9609375,4.6796875,5.0898438,-0.042053223,0.50146484,0.55700684,0.66070557
554245.0,1007.3069,1009.4917,6.3671875,5.5898438,4.6132812,-0.19250488,-0.47253418,-0.7720947,0.3788452,547075,1009.37524,1010.27246,-6.921875,4.6054688,5.203125,-0.043762207,0.4998169,0.55755615,0.6613159
554265.0,1007.3071,1009.53,6.4882812,5.6289062,4.5742188,-0.19329834,-0.47265625,-0.77264404,0.3772583,547095,1009.38794,1010.24536,-6.9257812,4.4492188,5.3203125,-0.045715332,0.49804688,0.5585327,0.6616821
554285.0,1007.301,1009.6116,6.4492188,5.4765625,4.6875,-0.19415283,-0.47235107,-0.7736206,0.3751831,547115,1009.41724,1010.2478,-7.0703125,4.375,5.4335938,-0.047790527,0.4970703,0.5595093,0.66156006
554305.0,1007.29663,1009.6848,6.3671875,5.6679688,4.7265625,-0.19586182,-0.4716797,-0.7749634,0.37231445,547135,1009.39966,1010.26074,-7.3085938,4.4492188,5.4726562,-0.05029297,0.49682617,0.56048584,0.66070557
554325.0,1007.2881,1009.89014,6.4492188,5.78125,4.5742188,-0.19714355,-0.47125244,-0.77575684,0.37042236,547155,1009.3865,1010.24805,-7.4921875,4.4492188,5.4335938,-0.052734375,0.49676514,0.5617676,0.6594238
554345.0,1007.3181,1010.0066,6.4882812,5.8984375,4.5351562,-0.19781494,-0.47094727,-0.7758789,0.37017822,547175,1009.3718,1010.25073,-7.4921875,4.3359375,5.3554688,-0.054504395,0.49682617,0.56311035,0.65808105
554365.0,1007.32495,1010.3235,6.484375,5.9375,4.6132812,-0.19793701,-0.4703369,-0.7758789,0.3710327,547195,1009.39624,1010.22656,-7.34375,4.4882812,5.28125,-0.055664062,0.49694824,0.56451416,0.65667725
554385.0,1007.3281,1010.5227,6.2890625,6.0117188,4.8789062,-0.19787598,-0.46923828,-0.77593994,0.37219238,547215,1009.3955,1010.26,-7.109375,4.6054688,5.2421875,-0.05621338,0.4977417,0.5653076,0.6553955
554405.0,1007.313,1010.82056,6.1835938,6.0898438,5.109375,-0.1984253,-0.46813965,-0.77612305,0.3729248,547235,1009.3662,1010.37964,-6.9609375,4.8320312,5.1640625,-0.057434082,0.49938965,0.5661621,0.6533203
554425.0,1007.30176,1010.92993,6.140625,6.203125,5.1484375,-0.20013428,-0.46697998,-0.7763672,0.37304688,547255,1009.37695,1010.29175,-6.9648438,4.9492188,5.0507812,-0.059265137,0.5013428,0.5671387,0.65075684
554445.0,1007.31616,1011.1384,6.2929688,6.0507812,4.84375,-0.20214844,-0.4658203,-0.7764282,0.37322998,547275,1009.354,1010.3645,-7.1523438,5.0234375,4.6679688,-0.061035156,0.50341797,0.56817627,0.6480713
554465.0,1007.32495,1011.2092,6.4101562,5.9375,4.8046875,-0.2043457,-0.46453857,-0.7762451,0.37402344,547290,1009.3638,1010.3369,-7.1484375,5.1015625,4.5898438,-0.061523438,0.5050049,0.5682373,0.6467285
554485.0,1007.31665,1011.30273,6.4882812,5.7460938,4.8046875,-0.20648193,-0.46343994,-0.77575684,0.37524414,547310,1009.3733,1010.33203,-7.0039062,5.21875,4.4375,-0.061828613,0.506897,0.56781006,0.6456299
554505.0,1007.3074,1011.3623,6.484375,5.6289062,4.6875,-0.2084961,-0.46203613,-0.7753296,0.37664795,547335,1009.39795,1010.43066,-6.9609375,5.21875,4.3984375,-0.062805176,0.50897217,0.5671387,0.6444702
554525.0,1007.32275,1011.4148,6.5234375,5.2851562,4.8789062,-0.2107544,-0.46087646,-0.77471924,0.3781128,547355,1009.3718,1010.48413,-7.0742188,5.1015625,4.1328125,-0.064697266,0.5112915,0.5662842,0.6431885
554545.0,1007.312,1011.41406,6.6054688,5.2070312,4.84375,-0.21295166,-0.46051025,-0.7735596,0.37976074,547370,1009.3745,1010.54346,-7.1914062,5.0234375,4.0546875,-0.06616211,0.5130005,0.5654907,0.64245605
554565.0,1007.32324,1011.4248,6.6015625,5.09375,4.765625,-0.21484375,-0.46044922,-0.7719116,0.38201904,547390,1009.37476,1010.6282,-7.2265625,4.9492188,4.09375,-0.06756592,0.51483154,0.56433105,0.64178467
554590.0,1007.29224,1011.3899,6.7148438,4.8242188,4.5351562,-0.21710205,-0.45983887,-0.77075195,0.3838501,547410,1009.3711,1010.84717,-7.34375,5.0625,4.015625,-0.0690918,0.5162964,0.56378174,0.6409302
554605.0,1007.2803,1011.40576,6.7539062,4.7109375,4.421875,-0.21929932,-0.4584961,-0.7702637,0.38513184,547430,1009.4038,1010.95435,-7.4648438,4.9882812,4.09375,-0.07128906,0.51727295,0.56427,0.63946533
554625.0,1007.3252,1011.4138,6.7109375,4.6328125,4.4609375,-0.22131348,-0.45648193,-0.7705078,0.3859253,547450,1009.3616,1011.00757,-7.4609375,4.796875,4.1679688,-0.07324219,0.5180664,0.5650635,0.63793945
554645.0,1007.2888,1011.43115,6.6757812,4.3671875,4.6875,-0.22271729,-0.4550171,-0.7704468,0.38702393,547470,1009.38403,1011.15796,-7.4921875,4.8320312,4.2460938,-0.07446289,0.5187988,0.5654297,0.6368408
554665.0,1007.33276,1011.4773,6.6054688,4.4804688,4.8046875,-0.22332764,-0.45507812,-0.7694702,0.3885498,547490,1009.34985,1011.20215,-7.4960938,4.9492188,4.2460938,-0.0748291,0.5194702,0.5654297,0.63623047
554685.0,1007.32275,1011.4885,6.6328125,4.7109375,4.6523438,-0.22393799,-0.45526123,-0.7685547,0.3897705,547510,1009.36035,1011.2593,-7.3828125,5.0234375,4.2851562,-0.07470703,0.5196533,0.5656128,0.6359253
554705.0,1007.2937,1011.5149,6.8671875,4.5195312,4.5351562,-0.2244873,-0.45458984,-0.7685547,0.39019775,547530,1009.3843,1011.2471,-7.2304688,5.1015625,4.4375,-0.07489014,0.5196533,0.56591797,0.6357422
