timestamp_1,fPressureFront_1,fPressureSide_1,acceleration.x_1,acceleration.y_1,acceleration.z_1,quaternion.i_1,quaternion.j_1,quaternion.k_1,quaternion.real_1,timestamp_2,fPressureFront_2,fPressureSide_2,acceleration.x_2,acceleration.y_2,acceleration.z_2,quaternion.i_2,quaternion.j_2,quaternion.k_2,quaternion.real_2
122720,1006.68384,1005.97217,4.5898438,0.3046875,8.7734375,0.09515381,-0.22705078,0.31829834,0.9154663,116365.0,1005.3069,1005.4968,-5.7929688,3.8945312,-6.8671875,0.8718262,-0.30059814,-0.37365723,0.09942627
122735,1006.6426,1005.97437,4.703125,0.265625,8.6953125,0.09448242,-0.22705078,0.31793213,0.9156494,116385.0,1005.3025,1005.5117,-5.7578125,3.8945312,-6.9492188,0.87194824,-0.30065918,-0.3734131,0.099365234
122750,1006.6721,1005.97314,4.6640625,0.2265625,8.6171875,0.094055176,-0.22711182,0.31774902,0.9157715,116400.0,1005.2998,1005.5134,-5.7929688,3.8554688,-6.8710938,0.8720093,-0.3007202,-0.37322998,0.099365234
122770,1006.666,1005.98706,4.78125,0.1875,8.5390625,0.09411621,-0.22723389,0.3178711,0.91571045,116420.0,1005.2991,1005.49194,-5.7929688,3.9335938,-6.8671875,0.8720703,-0.30078125,-0.3731079,0.0993042
122790,1006.6411,1005.98584,4.703125,0.3046875,8.660156,0.09454346,-0.22729492,0.31848145,0.9154053,116440.0,1005.27905,1005.5112,-5.7929688,3.9726562,-6.8710938,0.8720703,-0.30090332,-0.37298584,0.099243164
122810,1006.64087,1005.9785,4.5898438,0.37890625,8.621094,0.09466553,-0.22723389,0.3189087,0.9152832,116460.0,1005.31104,1005.48975,-5.7578125,3.8945312,-6.90625,0.8720093,-0.30108643,-0.37298584,0.09918213
122830,1006.6504,1006.03125,4.625,0.33984375,8.6171875,0.09429932,-0.22723389,0.31878662,0.91534424,116485.0,1005.3113,1005.51416,-5.7929688,3.8554688,-6.9101562,0.8720093,-0.30114746,-0.37286377,0.09918213
122850,1006.6582,1005.98804,4.78125,0.1875,8.5390625,0.09387207,-0.22729492,0.31860352,0.9154053,116500.0,1005.2949,1005.5051,-5.7929688,3.8945312,-6.7890625,0.8720703,-0.3012085,-0.3727417,0.0993042
122870,1006.6863,1005.9895,4.7421875,0.265625,8.503906,0.09375,-0.22723389,0.3187256,0.9154053,116520.0,1005.30786,1005.5117,-5.7929688,3.9726562,-6.7929688,0.87194824,-0.30126953,-0.37286377,0.0993042
122890,1006.6626,1006.00586,4.703125,0.1484375,8.433594,0.09423828,-0.22705078,0.31915283,0.9152832,116540.0,1005.25903,1005.5249,-5.7578125,3.9335938,-6.90625,0.8718262,-0.3013916,-0.37304688,0.0993042
122910,1006.67725,1006.0071,4.6640625,0.33984375,8.5,0.09429932,-0.22711182,0.31933594,0.91516113,116565.0,1005.2988,1005.4905,-5.7929688,3.8945312,-6.9492188,0.8718872,-0.30145264,-0.3729248,0.099365234
122930,1006.67725,1006.0039,4.6640625,0.11328125,8.6171875,0.093811035,-0.22729492,0.31903076,0.9152832,116580.0,1005.3252,1005.53345,-5.7929688,3.8554688,-6.8320312,0.87194824,-0.30151367,-0.37268066,0.099487305
122950,1006.6543,1005.9719,4.625,0.1875,8.578125,0.09362793,-0.22747803,0.3187256,0.9154053,116600.0,1005.31226,1005.52783,-5.7929688,3.8554688,-6.8320312,0.87194824,-0.3015747,-0.37261963,0.099487305
122970,1006.64453,1005.9934,4.78125,0.265625,8.542969,0.093688965,-0.22747803,0.31866455,0.9154053,116620.0,1005.2903,1005.5149,-5.7929688,3.8945312,-6.828125,0.8718872,-0.30163574,-0.3727417,0.09942627
122990,1006.6372,1005.98706,4.703125,0.2265625,8.699219,0.09362793,-0.22753906,0.3187256,0.91534424,116640.0,1005.29175,1005.5049,-5.7929688,3.9335938,-6.984375,0.87176514,-0.3017578,-0.3729248,0.09942627
123010,1006.6648,1005.99414,4.7421875,0.45703125,8.4609375,0.09326172,-0.22766113,0.31866455,0.9154053,116660.0,1005.291,1005.5464,-5.7578125,3.9335938,-6.9492188,0.87176514,-0.30187988,-0.3729248,0.099487305
123030,1006.70264,1005.99927,4.6640625,0.2265625,8.578125,0.09277344,-0.2276001,0.31860352,0.9154663,116680.0,1005.3064,1005.5552,-5.7578125,3.8554688,-6.8710938,0.8717041,-0.30200195,-0.37280273,0.09954834
123050,1006.67944,1005.9922,4.6640625,-0.04296875,8.6953125,0.09259033,-0.22741699,0.31878662,0.9154663,116705.0,1005.3147,1005.5266,-5.7929688,3.9726562,-6.9101562,0.8717041,-0.30200195,-0.3729248,0.09954834
123070,1006.6887,1005.99146,4.625,0.1875,8.816406,0.09234619,-0.22729492,0.31903076,0.9154663,116720.0,1005.2937,1005.5388,-5.7578125,3.9335938,-6.90625,0.87164307,-0.30212402,-0.37298584,0.09954834
123090,1006.66406,1005.9778,4.625,0.3046875,8.582031,0.09210205,-0.2276001,0.3187256,0.9154663,116740.0,1005.2605,1005.5066,-5.7578125,3.8945312,-6.8671875,0.871521,-0.3022461,-0.37304688,0.099609375
