timestamp_1,fPressureFront_1,fPressureSide_1,acceleration.x_1,acceleration.y_1,acceleration.z_1,quaternion.i_1,quaternion.j_1,quaternion.k_1,quaternion.real_1,timestamp_2,fPressureFront_2,fPressureSide_2,acceleration.x_2,acceleration.y_2,acceleration.z_2,quaternion.i_2,quaternion.j_2,quaternion.k_2,quaternion.real_2
2880235,1023.7185,1019.82837,-5.1796875,7.1484375,4.1445312,0.55340576,-0.05908203,-0.5230713,0.6455078,2880445.0,1020.459,1020.46533,8.222656,4.4882812,3.4296875,0.23498535,-0.51989746,-0.08166504,0.8171997
2880240,1023.7185,1019.8572,-5.6015625,6.4960938,4.3359375,0.5430908,-0.020324707,-0.5253296,0.65478516,2880450.0,1020.459,1020.46533,8.105469,4.6796875,2.3984375,0.2321167,-0.53167725,-0.11053467,0.80700684
2880250,1023.74243,1019.8032,4.6484375,3.9375,7.2929688,0.017211914,-0.34503174,-0.5977783,0.7233887,2880465.0,1020.47925,1020.46265,-6.2226562,3.28125,6.421875,0.11981201,0.3765869,0.15142822,0.90600586
2880265,1023.7129,1019.8032,4.609375,3.9765625,7.2539062,0.016723633,-0.34576416,-0.59851074,0.7224121,2880480.0,1020.45874,1020.48975,-6.2578125,3.1679688,6.5429688,0.11907959,0.37591553,0.15197754,0.90631104
2880285,1023.667,1019.8098,4.609375,4.0898438,7.2539062,0.01586914,-0.3463745,-0.5993042,0.7215576,2880500.0,1020.50806,1020.4319,-6.1445312,3.0117188,6.6601562,0.117492676,0.3753662,0.15319824,0.9065552
2880305,1023.6885,1019.8281,4.6875,4.0507812,7.2148438,0.014770508,-0.34674072,-0.6002197,0.7206421,2880520.0,1020.5259,1020.46533,-6.2226562,2.9375,6.8828125,0.11651611,0.3751831,0.15393066,0.9066162
2880325,1023.67334,1019.82495,4.6484375,4.0898438,7.2539062,0.013916016,-0.34692383,-0.6011963,0.71972656,2880540.0,1020.5034,1020.4558,-6.2226562,2.9375,6.9257812,0.116760254,0.3753662,0.15405273,0.90649414
2880340,1023.6836,1019.80444,4.6484375,4.0117188,7.2148438,0.013427734,-0.34692383,-0.6018677,0.7191162,2880560.0,1020.459,1020.48193,-6.296875,3.0117188,6.8085938,0.1171875,0.3753662,0.1539917,0.9064331
2880365,1023.6858,1019.8179,4.609375,4.0507812,7.25,0.013244629,-0.3468628,-0.602417,0.71875,2880580.0,1020.4878,1020.46387,-6.3359375,3.0898438,6.6953125,0.11651611,0.37591553,0.15460205,0.90618896
2880385,1023.6919,1019.84937,4.609375,4.0507812,7.25,0.013122559,-0.34674072,-0.6029663,0.71832275,2880600.0,1020.47437,1020.4563,-6.296875,2.9765625,6.6171875,0.11553955,0.37695312,0.15582275,0.9057007
2880410,1023.697,1019.8218,4.6875,4.203125,7.2929688,0.012817383,-0.3463745,-0.6035156,0.7180786,2880620.0,1020.4658,1020.4846,-6.4492188,3.0117188,6.6171875,0.115112305,0.37731934,0.1560669,0.9055786
2880425,1023.70166,1019.81006,4.6484375,4.1679688,7.3984375,0.011962891,-0.34570312,-0.604187,0.7178345,2880640.0,1020.44653,1020.42285,-6.4882812,2.9375,6.5820312,0.115600586,0.3770752,0.15582275,0.90563965
2880440,1023.69946,1019.80835,4.7265625,4.0507812,7.4414062,0.010925293,-0.34503174,-0.6048584,0.71765137,2880660.0,1020.4614,1020.4668,-6.1835938,3.0898438,6.6953125,0.115478516,0.37695312,0.15570068,0.9057007
2880465,1023.6555,1019.8071,4.6484375,4.0507812,7.4765625,0.010009766,-0.3444214,-0.60528564,0.71759033,2880675.0,1020.478,1020.4619,-6.375,3.0117188,6.6601562,0.114746094,0.37701416,0.15588379,0.9057617
2880485,1023.68164,1019.9226,4.7265625,4.0117188,7.5195312,0.009338379,-0.3441162,-0.60528564,0.7177124,2880695.0,1020.4829,1020.4634,-6.375,2.9375,6.6601562,0.11413574,0.37713623,0.15625,0.9057007
2880505,1023.64746,1019.8623,4.6875,4.0507812,7.515625,0.008605957,-0.34399414,-0.6051636,0.7178955,2880720.0,1020.45605,1020.4761,-6.296875,2.8984375,6.6953125,0.11395264,0.37738037,0.15661621,0.9055786
2880525,1023.6714,1019.91675,4.765625,4.0117188,7.515625,0.007873535,-0.34387207,-0.6051636,0.71795654,2880735.0,1020.44775,1020.4761,-6.3359375,2.9375,6.6953125,0.113708496,0.37750244,0.15679932,0.9055176
2880545,1023.67896,1019.91797,4.6875,3.9765625,7.5195312,0.0072021484,-0.34387207,-0.6052246,0.7178955,2880755.0,1020.47363,1020.49756,-6.3359375,3.0117188,6.7304688,0.113586426,0.3774414,0.15661621,0.9055786
2880565,1023.67773,1019.9524,4.7265625,3.9765625,7.5585938,0.0064697266,-0.3439331,-0.60528564,0.7178345,2880780.0,1020.45264,1020.4812,-6.296875,3.0507812,6.765625,0.113220215,0.37774658,0.15667725,0.9055176
2880585,1023.66626,1019.96313,4.765625,4.0117188,7.515625,0.005493164,-0.34417725,-0.6052246,0.71777344,2880800.0,1020.4282,1020.4314,-6.375,3.0898438,6.765625,0.11206055,0.37841797,0.15753174,0.9052124
2880605,1023.6553,1019.94995,4.8007812,3.9765625,7.4804688,0.0045776367,-0.34466553,-0.6050415,0.7177124,2880815.0,1020.4475,1020.47144,-6.4140625,3.0117188,6.8046875,0.111328125,0.37890625,0.15802002,0.9050293
2880625,1023.6399,1019.9253,4.8398438,3.9375,7.4375,0.0036010742,-0.34527588,-0.60498047,0.71746826,2880835.0,1020.44946,1020.43384,-6.4492188,3.0117188,6.65625,0.111450195,0.37890625,0.15771484,0.9050293
2880645,1023.63477,1019.93066,5.03125,3.859375,7.3632812,0.002746582,-0.34594727,-0.60491943,0.7172241,2880860.0,1020.4453,1020.4446,-6.375,3.1289062,6.6601562,0.11206055,0.3788452,0.15686035,0.90515137
2880665,1023.6223,1019.9182,4.9960938,3.8984375,7.359375,0.0024414062,-0.3466797,-0.6048584,0.71691895,2880875.0,1020.4651,1020.4509,-6.4140625,3.1289062,6.5820312,0.11254883,0.37921143,0.15625,0.9050293
