timestamp_1,fPressureFront_1,fPressureSide_1,acceleration.x_1,acceleration.y_1,acceleration.z_1,quaternion.i_1,quaternion.j_1,quaternion.k_1,quaternion.real_1,timestamp_2,fPressureFront_2,fPressureSide_2,acceleration.x_2,acceleration.y_2,acceleration.z_2,quaternion.i_2,quaternion.j_2,quaternion.k_2,quaternion.real_2
17655,1004.5034,1006.12964,3.6953125,4.0742188,8.03125,0.06842041,-0.2894287,-0.5588989,0.77404785,17615.0,1003.2363,1005.4392,-8.453125,2.6992188,-3.7890625,-0.58361816,0.59606934,0.48950195,0.2539673
17670,1004.50366,1006.1321,3.6171875,4.1132812,8.230469,0.06878662,-0.28930664,-0.5584717,0.77441406,17630.0,1003.209,1005.4177,-8.496094,2.7773438,-3.9023438,-0.5834961,0.5963745,0.48919678,0.25408936
17680,1004.51514,1006.1216,3.734375,4.1914062,8.113281,0.06866455,-0.28930664,-0.5583496,0.7744751,17645.0,1003.2234,1005.42065,-8.496094,2.7773438,-3.7890625,-0.5835571,0.59661865,0.48883057,0.25408936
17695,1004.50684,1006.1387,3.65625,4.1914062,8.113281,0.06842041,-0.28918457,-0.5582886,0.77459717,17660.0,1003.2217,1005.4353,-8.417969,2.625,-3.75,-0.5835571,0.5968628,0.48846436,0.25427246
17715,1004.5161,1006.13696,3.6171875,4.1914062,8.152344,0.068359375,-0.2890625,-0.55810547,0.7747803,17675.0,1003.23315,1005.4314,-8.4921875,2.546875,-3.7109375,-0.58374023,0.5967407,0.48815918,0.25457764
17735,1004.49585,1006.0923,3.6171875,4.2304688,8.035156,0.06829834,-0.2890625,-0.5579834,0.77490234,17695.0,1003.2075,1005.4121,-8.453125,2.6640625,-3.671875,-0.58380127,0.5964966,0.48809814,0.25524902
17755,1004.5083,1006.12744,3.578125,4.1132812,8.191406,0.06781006,-0.28875732,-0.5581665,0.77490234,17715.0,1003.23096,1005.4021,-8.5625,2.9296875,-3.9023438,-0.58361816,0.5963745,0.48815918,0.25585938
17775,1004.4961,1006.13525,3.65625,4.0,8.191406,0.06756592,-0.28863525,-0.55841064,0.7747803,17735.0,1003.2339,1005.4319,-8.496094,2.7773438,-3.8632812,-0.583374,0.5963745,0.4882202,0.2562256
17795,1004.48926,1006.145,3.6953125,3.9609375,7.9921875,0.06750488,-0.28857422,-0.55859375,0.7746582,17755.0,1003.1909,1005.44165,-8.339844,2.6992188,-3.9414062,-0.5831909,0.5967407,0.48791504,0.2564087
17815,1004.4702,1006.1387,3.734375,4.0742188,8.035156,0.06744385,-0.28851318,-0.5586548,0.77471924,17775.0,1003.2136,1005.4158,-8.566406,2.6992188,-3.9804688,-0.5831909,0.59710693,0.4874878,0.2564087
17835,1004.5232,1006.1157,3.8476562,4.0390625,7.953125,0.06774902,-0.2886963,-0.5583496,0.7747803,17800.0,1003.1863,1005.44385,-8.535156,2.7773438,-3.5585938,-0.5828247,0.5973511,0.48754883,0.2565918
17855,1004.4971,1006.1482,3.734375,4.0390625,7.9960938,0.068359375,-0.28863525,-0.55804443,0.7749634,17815.0,1003.20483,1005.42505,-8.535156,2.8164062,-3.671875,-0.58221436,0.59747314,0.48779297,0.25708008
17875,1004.51025,1006.1184,3.65625,4.1523438,8.074219,0.06866455,-0.28826904,-0.5579834,0.7751465,17835.0,1003.14526,1005.4778,-8.417969,2.625,-3.75,-0.5814209,0.5975952,0.48828125,0.25775146
17895,1004.4907,1006.11694,3.5429688,4.1914062,8.109375,0.06854248,-0.2876587,-0.55822754,0.7752075,17855.0,1003.17017,1005.4475,-8.566406,2.5078125,-4.2070312,-0.5810547,0.5977783,0.4883423,0.25793457
17915,1004.5078,1006.1196,3.5429688,4.2304688,8.074219,0.068481445,-0.28729248,-0.5585327,0.7751465,17875.0,1003.2014,1005.4282,-8.496094,2.6992188,-3.671875,-0.5810547,0.5979004,0.48846436,0.25750732
17935,1004.52905,1006.0957,3.65625,4.1132812,8.03125,0.06866455,-0.28710938,-0.5586548,0.77508545,17895.0,1003.2075,1005.4446,-8.4921875,2.8164062,-3.59375,-0.5808716,0.5979004,0.48876953,0.25738525
17955,1004.48413,1006.1196,3.65625,4.0742188,8.0703125,0.06890869,-0.28692627,-0.5587158,0.77508545,17915.0,1003.2263,1005.4341,-8.5625,2.6992188,-3.59375,-0.5803833,0.5977173,0.48937988,0.2576294
17975,1004.51196,1006.104,3.6171875,4.1523438,8.1484375,0.0690918,-0.28668213,-0.55877686,0.7751465,17940.0,1003.1743,1005.4446,-8.4921875,2.6640625,-3.9804688,-0.579895,0.59783936,0.48968506,0.2579956
17995,1004.5029,1006.0901,3.5429688,4.1523438,8.1875,0.06903076,-0.28656006,-0.55877686,0.7751465,17955.0,1003.1924,1005.4253,-8.53125,2.8554688,-3.8632812,-0.5797119,0.5979614,0.48962402,0.25811768
18015,1004.5139,1006.10034,3.578125,4.0390625,8.230469,0.068847656,-0.286438,-0.5588989,0.7751465,17975.0,1003.18555,1005.4324,-8.4921875,2.8164062,-3.7109375,-0.5795288,0.59802246,0.48980713,0.25811768
18035,1004.5127,1006.1384,3.5429688,4.1132812,8.152344,0.068603516,-0.28649902,-0.55908203,0.7750244,18000.0,1003.2009,1005.44214,-8.53125,2.7382812,-3.671875,-0.5791626,0.59802246,0.49017334,0.25811768
18055,1004.5217,1006.1377,3.65625,4.0390625,8.109375,0.068359375,-0.28656006,-0.55908203,0.7750244,18015.0,1003.1887,1005.4353,-8.417969,2.6640625,-3.75,-0.5787964,0.59802246,0.4906006,0.25823975
18075,1004.5156,1006.1189,3.6953125,4.0390625,8.0703125,0.068603516,-0.28674316,-0.5587158,0.7751465,18035.0,1003.1731,1005.44727,-8.453125,2.6640625,-3.9804688,-0.5786133,0.5980835,0.49072266,0.25836182
18095,1004.51587,1006.1643,3.6171875,4.0742188,8.035156,0.068847656,-0.28686523,-0.5583496,0.7753296,18055.0,1003.1726,1005.4363,-8.496094,2.6992188,-3.9414062,-0.57873535,0.59820557,0.49047852,0.25830078
18115,1004.5471,1006.1206,3.578125,4.1523438,8.074219,0.06921387,-0.2869873,-0.55804443,0.7755127,18075.0,1003.20825,1005.44727,-8.453125,2.8554688,-3.5195312,-0.5787964,0.5980835,0.49053955,0.2581787
18135,1004.4707,1006.1023,3.5429688,4.1914062,8.191406,0.06945801,-0.28704834,-0.55792236,0.77557373,18095.0,1003.2168,1005.448,-8.566406,2.6640625,-3.5585938,-0.5786743,0.59783936,0.49102783,0.25823975
18155,1004.4756,1006.12476,3.578125,4.1523438,8.1484375,0.06945801,-0.28704834,-0.5578003,0.77563477,18115.0,1003.1763,1005.4404,-8.4921875,2.8554688,-3.7890625,-0.57836914,0.5975952,0.4915161,0.2584839
18175,1004.5222,1006.09546,3.65625,4.1132812,7.9570312,0.06976318,-0.28729248,-0.5574951,0.77575684,18140.0,1003.22144,1005.4529,-8.53125,2.890625,-3.9023438,-0.578125,0.5977173,0.49163818,0.25854492
18195,1004.5276,1006.1343,3.578125,4.1914062,7.9921875,0.07019043,-0.28735352,-0.5571289,0.77593994,18155.0,1003.22217,1005.43286,-8.496094,2.7382812,-3.5585938,-0.57788086,0.5979614,0.49157715,0.25854492
18215,1004.5049,1006.1079,3.4648438,4.2304688,8.191406,0.070129395,-0.28729248,-0.55700684,0.776062,18175.0,1003.2134,1005.4426,-8.4921875,2.7382812,-3.4804688,-0.57751465,0.5979004,0.49194336,0.25878906
18235,1004.4905,1006.1062,3.6171875,4.1523438,8.109375,0.069885254,-0.28735352,-0.5569458,0.77612305,18195.0,1003.1594,1005.43164,-8.535156,2.625,-3.7890625,-0.5772705,0.5977173,0.49243164,0.25897217
18255,1004.4988,1006.09717,3.65625,4.0742188,8.035156,0.07006836,-0.2876587,-0.5563965,0.7763672,18215.0,1003.19556,1005.41943,-8.53125,2.890625,-3.7109375,-0.5770874,0.5975952,0.49279785,0.25891113
18275,1004.50806,1006.1128,3.6171875,4.1914062,8.035156,0.07067871,-0.28759766,-0.555603,0.7769165,18235.0,1003.17773,1005.40454,-8.4921875,2.8554688,-3.75,-0.5767822,0.5977173,0.49298096,0.2588501
18295,1004.52856,1006.10596,3.4257812,4.3046875,8.2265625,0.07080078,-0.2869873,-0.55511475,0.7774658,18255.0,1003.2151,1005.4429,-8.5625,2.8554688,-3.75,-0.5765991,0.59783936,0.49316406,0.258667
18315,1004.5137,1006.1111,3.7695312,4.1132812,8.230469,0.07110596,-0.28674316,-0.5545044,0.7779541,18280.0,1003.1931,1005.41235,-8.53125,2.6992188,-3.6328125,-0.5765381,0.5979004,0.49328613,0.2584839
18335,1004.5188,1006.1223,3.7695312,4.0742188,8.0703125,0.072631836,-0.2871704,-0.55322266,0.77856445,18295.0,1003.1875,1005.4116,-8.53125,2.890625,-3.5585938,-0.576355,0.59783936,0.4935913,0.25842285
18355,1004.51245,1006.09717,3.7695312,4.1523438,7.9570312,0.07470703,-0.28771973,-0.5515747,0.7793579,18315.0,1003.21533,1005.4304,-8.4921875,2.9296875,-3.7890625,-0.57611084,0.5975952,0.49420166,0.2581787
18375,1004.4929,1006.08276,3.5039062,4.2304688,8.2578125,0.07720947,-0.28826904,-0.5499878,0.7800293,18335.0,1003.2158,1005.4497,-8.566406,2.7382812,-3.8632812,-0.5760498,0.5975342,0.49468994,0.25769043
18395,1004.5305,1006.0928,3.3515625,4.4609375,8.2265625,0.07977295,-0.2890625,-0.54833984,0.78063965,18355.0,1003.1726,1005.42847,-8.417969,2.7773438,-3.6328125,-0.57611084,0.5975952,0.49475098,0.25738525
18415,1004.48975,1006.1138,3.578125,4.421875,8.152344,0.08203125,-0.29058838,-0.54644775,0.78118896,18375.0,1003.1958,1005.4199,-8.6015625,2.8164062,-3.7109375,-0.5760498,0.5977783,0.4946289,0.25726318
18435,1004.4917,1006.1045,3.6171875,4.4960938,8.03125,0.08428955,-0.29248047,-0.5444946,0.7816162,18395.0,1003.2258,1005.47437,-8.4921875,2.890625,-3.6328125,-0.5760498,0.5977783,0.494812,0.25701904
18455,1004.5161,1006.10986,3.8476562,4.265625,8.03125,0.08630371,-0.29473877,-0.54248047,0.7819214,18420.0,1003.21484,1005.4219,-8.5625,2.9296875,-3.6328125,-0.5756836,0.5977783,0.4951172,0.25708008
18475,1004.5244,1006.11743,3.578125,4.34375,7.9960938,0.08911133,-0.2977295,-0.5397949,0.7822876,18435.0,1003.21533,1005.4209,-8.453125,2.890625,-3.8632812,-0.57525635,0.5979614,0.4953003,0.25720215
18495,1004.49634,1006.1282,3.4648438,4.5351562,8.261719,0.092285156,-0.30249023,-0.5355835,0.78302,18455.0,1003.2207,1005.4319,-8.453125,2.9296875,-3.75,-0.5751953,0.59820557,0.49536133,0.25671387
18515,1004.4961,1006.0979,3.5039062,4.5742188,8.109375,0.09490967,-0.3079834,-0.53082275,0.7838135,18475.0,1003.209,1005.4297,-8.4921875,2.8164062,-3.75,-0.5753174,0.5984497,0.49523926,0.25610352
18535,1004.4878,1006.084,3.5039062,4.765625,7.8085938,0.09649658,-0.31256104,-0.5263672,0.7848511,18495.0,1003.19556,1005.4309,-8.4140625,2.8554688,-3.5585938,-0.5755005,0.59851074,0.4951172,0.2557373
18555,1004.48804,1006.11523,3.6953125,4.5742188,7.7695312,0.09649658,-0.31622314,-0.522522,0.7858887,18515.0,1003.21533,1005.4363,-8.53125,2.9296875,-3.75,-0.5757446,0.59851074,0.49505615,0.25543213
18575,1004.48535,1006.10645,4.1914062,4.265625,7.6875,0.09637451,-0.3203125,-0.51953125,0.7862549,18535.0,1003.20386,1005.4226,-8.496094,2.9296875,-3.9414062,-0.57598877,0.5985718,0.49493408,0.2548828
18595,1004.4839,1006.09937,4.2695312,4.265625,7.4921875,0.09777832,-0.3250122,-0.51660156,0.7860718,18560.0,1003.1875,1005.4126,-8.5625,2.9296875,-3.75,-0.57647705,0.5986328,0.49499512,0.2536621
18625,1004.501,1006.12036,3.9609375,4.84375,7.3085938,0.09967041,-0.3283081,-0.5142212,0.7860718,18575.0,1003.21045,1005.4387,-8.496094,2.890625,-3.671875,-0.57666016,0.5985718,0.49517822,0.25286865
18635,1004.4829,1006.0847,3.734375,4.9179688,7.5703125,0.10211182,-0.3303833,-0.5118408,0.786438,18595.0,1003.1582,1005.43066,-8.4921875,2.8554688,-3.6328125,-0.5767822,0.59869385,0.49517822,0.25238037
18655,1004.48096,1006.09863,3.9257812,4.6523438,7.7695312,0.10559082,-0.33288574,-0.5093384,0.786499,18615.0,1003.16895,1005.42554,-8.3359375,2.890625,-3.9023438,-0.5772095,0.5986328,0.4951172,0.25152588
18675,1004.47925,1006.10913,4.0390625,4.9960938,7.5351562,0.10925293,-0.3366089,-0.50665283,0.78619385,18635.0,1003.16235,1005.4226,-8.222656,3.046875,-4.015625,-0.5778198,0.59869385,0.4951172,0.25
18695,1004.4724,1006.1118,3.578125,5.1484375,7.6484375,0.111206055,-0.340271,-0.50427246,0.78582764,18655.0,1003.20874,1005.4021,-8.640625,3.2382812,-3.75,-0.57818604,0.5991211,0.49523926,0.24798584
18715,1004.4951,1006.0823,3.1601562,5.2265625,8.035156,0.11444092,-0.34472656,-0.49993896,0.78619385,18675.0,1003.2031,1005.4241,-8.644531,3.1992188,-3.1757812,-0.57769775,0.59954834,0.49591064,0.24676514
18735,1004.4712,1006.07837,3.1601562,5.1875,8.5703125,0.121276855,-0.35198975,-0.49035645,0.78796387,18700.0,1003.2102,1005.4226,-8.453125,2.7382812,-3.9414062,-0.5767822,0.59973145,0.49700928,0.24621582
18755,1004.4612,1006.10425,3.3515625,5.0703125,8.261719,0.13000488,-0.362854,-0.47644043,0.79022217,18715.0,1003.21094,1005.4055,-8.113281,2.6992188,-4.015625,-0.5767822,0.59973145,0.4973755,0.24554443
18775,1004.4651,1006.11206,3.8085938,4.765625,7.421875,0.13793945,-0.37408447,-0.4621582,0.79211426,18735.0,1003.2163,1005.3992,-8.417969,2.7773438,-3.75,-0.57733154,0.5996094,0.4970703,0.24511719
18795,1004.4717,1006.0835,3.0820312,4.5351562,7.1484375,0.14385986,-0.38531494,-0.45056152,0.7923584,18760.0,1003.19507,1005.4243,-8.296875,2.890625,-3.4414062,-0.5780029,0.5991821,0.49682617,0.24505615
18820,1004.4529,1006.07104,2.46875,4.8789062,6.3867188,0.1508789,-0.397583,-0.44189453,0.789917,18775.0,1003.16626,1005.39355,-8.7578125,3.4296875,-3.7109375,-0.57818604,0.5985718,0.4973755,0.24493408
18835,1004.4768,1006.0503,3.234375,5.609375,5.921875,0.16204834,-0.41101074,-0.4328003,0.78582764,18795.0,1003.17676,1005.42725,-8.496094,3.4648438,-4.1328125,-0.5784302,0.59747314,0.49938965,0.24310303
18855,1004.4048,1006.073,1.8554688,6.7226562,4.4726562,0.1776123,-0.4255371,-0.4189453,0.78222656,18815.0,1003.2124,1005.40576,-8.566406,3.1210938,-3.7890625,-0.5784302,0.5963135,0.5018921,0.24078369
18875,1004.3967,1005.9851,1.7421875,9.980469,3.703125,0.19451904,-0.44482422,-0.3876953,0.78356934,18835.0,1003.198,1005.4204,-7.8359375,3.046875,-3.8242188,-0.578125,0.5952759,0.5040283,0.23944092
18900,1004.3865,1006.00073,0.515625,12.199219,3.2460938,0.21087646,-0.46148682,-0.34197998,0.7909546,18855.0,1003.21606,1005.47046,-8.339844,2.96875,-3.9023438,-0.5786743,0.59368896,0.5061035,0.23760986
18915,1004.4133,1006.0144,0.8203125,10.011719,2.4804688,0.21936035,-0.47961426,-0.28295898,0.8010864,18875.0,1003.2119,1005.4197,-8.683594,2.7382812,-3.1367188,-0.57910156,0.5913086,0.5093994,0.2355957
18945,1004.3696,1006.0742,1.7421875,7.5664062,1.6367188,0.21496582,-0.49804688,-0.22912598,0.80822754,18900.0,1003.2092,1005.42017,-8.9140625,4.2695312,-3.25,-0.5780029,0.5892334,0.5137329,0.23406982
