timestamp_1,fPressureFront_1,fPressureSide_1,acceleration.x_1,acceleration.y_1,acceleration.z_1,quaternion.i_1,quaternion.j_1,quaternion.k_1,quaternion.real_1,timestamp_2,fPressureFront_2,fPressureSide_2,acceleration.x_2,acceleration.y_2,acceleration.z_2,quaternion.i_2,quaternion.j_2,quaternion.k_2,quaternion.real_2
24865,987.3203,988.67285,3.4335938,1.0117188,9.296875,0.079833984,-0.20037842,0.054992676,0.97491455,24910.0,987.2197,987.7766,-2.5273438,1.4296875,9.4609375,0.06854248,0.16577148,0.076416016,0.98083496
24875,987.3496,988.6892,3.4726562,1.203125,8.796875,0.08093262,-0.20135498,0.05432129,0.9746704,24930.0,987.2451,987.70386,-2.8320312,1.6210938,9.238281,0.07171631,0.1642456,0.07733154,0.9807739
24885,987.3296,988.6892,3.4726562,1.359375,8.5234375,0.08337402,-0.203125,0.052978516,0.9741821,24940.0,987.21826,987.6904,-2.71875,1.5039062,9.1953125,0.07232666,0.16455078,0.07757568,0.98065186
24910,987.3391,988.6487,3.28125,1.5507812,8.4140625,0.08569336,-0.20495605,0.052124023,0.9736328,24960.0,987.2893,987.71606,-2.640625,1.7734375,9.347656,0.07330322,0.16485596,0.077819824,0.9805298
24925,987.34155,988.6614,3.28125,1.6640625,8.4140625,0.08850098,-0.20727539,0.051757812,0.9729004,24975.0,987.3025,987.7549,-2.6015625,1.734375,9.578125,0.07421875,0.1663208,0.07867432,0.98010254
24945,987.34033,988.67847,3.3945312,1.7421875,8.21875,0.09106445,-0.20953369,0.05206299,0.97216797,24995.0,987.2444,987.6846,-2.6796875,1.9257812,9.3046875,0.07537842,0.16851807,0.07928467,0.97961426
24965,987.34985,988.6682,3.5078125,1.8164062,8.222656,0.09301758,-0.21154785,0.05303955,0.9714966,25015.0,987.2859,987.67993,-2.6796875,2.1171875,8.964844,0.076660156,0.17053223,0.07904053,0.979187
24990,987.3423,988.69946,3.6992188,1.625,8.378906,0.09472656,-0.21398926,0.054504395,0.9707031,25040.0,987.27515,987.6885,-2.4882812,2.4609375,8.65625,0.07763672,0.171875,0.07836914,0.9789429
25005,987.32764,988.6826,3.9296875,1.625,8.378906,0.095947266,-0.21594238,0.055603027,0.9700928,25055.0,987.3103,987.6255,-2.3320312,2.1953125,8.777344,0.07702637,0.17315674,0.07867432,0.97869873
25025,987.3242,988.7136,4.1601562,1.4335938,8.183594,0.09741211,-0.21765137,0.056762695,0.9694824,25075.0,987.2981,987.6809,-2.21875,2.0039062,8.8515625,0.076293945,0.17425537,0.07952881,0.9785156
25050,987.334,988.67676,4.1992188,1.4726562,8.375,0.097839355,-0.21899414,0.05718994,0.9691162,25095.0,987.32666,987.69995,-2.140625,1.8125,8.9609375,0.076538086,0.17565918,0.079589844,0.97821045
25065,987.3533,988.66187,4.1992188,1.4726562,8.453125,0.09729004,-0.22052002,0.056762695,0.9688721,25115.0,987.3401,987.67065,-2.3320312,1.6210938,8.8515625,0.07745361,0.17755127,0.07836914,0.9779053
25085,987.3259,988.6616,4.3125,1.28125,8.4921875,0.09661865,-0.22210693,0.056152344,0.9686279,25135.0,987.2622,987.6958,-2.4492188,1.734375,8.777344,0.07757568,0.17913818,0.07751465,0.97772217
25110,987.3462,988.68677,4.3515625,1.3203125,8.496094,0.09637451,-0.22351074,0.055725098,0.96832275,25155.0,987.2905,987.7388,-2.640625,1.4296875,8.964844,0.07659912,0.18066406,0.07800293,0.977478
25130,987.3225,988.68945,4.6210938,1.4726562,8.140625,0.09613037,-0.22454834,0.055603027,0.96813965,25175.0,987.3052,987.72314,-2.7929688,1.234375,9.15625,0.075805664,0.18255615,0.07946777,0.9770508
25145,987.34814,988.69116,4.6210938,1.4335938,8.21875,0.09564209,-0.22460938,0.055664062,0.96813965,25195.0,987.3096,987.67163,-3.2929688,1.5039062,8.8125,0.07519531,0.1850586,0.08099365,0.97650146
25165,987.32324,988.6997,4.5039062,1.5117188,8.457031,0.09448242,-0.22479248,0.055114746,0.9682617,25215.0,987.30347,987.69604,-3.484375,1.4648438,8.7734375,0.07507324,0.1873169,0.0814209,0.9760132
25190,987.3545,988.67236,4.5820312,1.359375,8.527344,0.09338379,-0.22515869,0.054748535,0.9682617,25235.0,987.2578,987.72656,-3.6757812,1.65625,8.6953125,0.07507324,0.18927002,0.08123779,0.975647
25205,987.34326,988.72,4.5429688,1.4335938,8.6015625,0.09307861,-0.22515869,0.05493164,0.96832275,25260.0,987.323,987.72925,-3.7148438,1.5820312,8.964844,0.074279785,0.19024658,0.08148193,0.9755249
25225,987.33105,988.6599,4.46875,1.5117188,8.6796875,0.09283447,-0.22467041,0.05529785,0.9684448,25275.0,987.3042,987.7466,-3.5976562,1.5820312,9.160156,0.07299805,0.19055176,0.08258057,0.97546387
25250,987.32837,988.6758,4.3515625,1.5117188,9.105469,0.092285156,-0.22375488,0.055114746,0.96868896,25295.0,987.3362,987.7605,-3.40625,1.4648438,9.4609375,0.071899414,0.1907959,0.08441162,0.9753418
25270,987.3506,988.71533,4.1992188,1.5859375,9.296875,0.091796875,-0.22271729,0.054260254,0.9690552,25315.0,987.32983,987.76855,-3.2929688,1.4296875,9.5390625,0.07147217,0.19134521,0.08618164,0.97509766
25285,987.3838,988.7119,4.046875,1.625,9.449219,0.09173584,-0.22235107,0.053588867,0.96917725,25335.0,987.3616,987.7698,-3.2539062,1.6953125,9.660156,0.07183838,0.19250488,0.087524414,0.97473145
25305,987.3772,988.72095,3.96875,1.625,9.5625,0.092041016,-0.22265625,0.05279541,0.9691162,25355.0,987.3213,987.7456,-3.328125,1.65625,9.691406,0.07293701,0.19415283,0.088256836,0.97424316
25325,987.3408,988.7095,3.9296875,1.7421875,9.484375,0.09265137,-0.22381592,0.052246094,0.96881104,25375.0,987.3186,987.73,-3.4453125,2.078125,9.199219,0.074157715,0.1954956,0.08886719,0.97387695
25345,987.3496,988.6599,4.046875,1.8554688,9.027344,0.09350586,-0.22546387,0.052368164,0.96832275,25395.0,987.3347,987.74146,-3.4453125,2.1171875,9.15625,0.07421875,0.1965332,0.090270996,0.97351074
25365,987.35254,988.68506,4.1601562,1.8164062,8.878906,0.09472656,-0.22747803,0.05303955,0.9677124,25415.0,987.33936,987.75903,-3.2539062,2.0039062,9.347656,0.07434082,0.1975708,0.09240723,0.9730835
25385,987.35205,988.68506,4.2382812,1.8164062,8.796875,0.095825195,-0.22955322,0.053588867,0.96710205,25435.0,987.3489,987.7471,-3.1757812,2.0390625,9.3046875,0.07470703,0.19909668,0.094177246,0.9725952
25410,987.3572,988.6555,4.5039062,1.703125,8.683594,0.09692383,-0.23162842,0.053894043,0.96643066,25455.0,987.3037,987.7014,-3.3671875,1.9648438,9.2734375,0.07562256,0.20129395,0.095336914,0.9719238
25425,987.3369,988.6892,4.6210938,1.625,8.644531,0.09777832,-0.23327637,0.05407715,0.9659424,25475.0,987.3032,987.7571,-3.5585938,2.078125,9.160156,0.07727051,0.20336914,0.095703125,0.9713135
25445,987.3323,988.699,4.734375,1.703125,8.496094,0.09851074,-0.2354126,0.054016113,0.96539307,25495.0,987.32153,987.75635,-3.90625,2.3476562,8.855469,0.078186035,0.20526123,0.096191406,0.9708252
25465,987.3445,988.7092,4.8867188,1.703125,8.2578125,0.09881592,-0.23773193,0.053894043,0.9647827,25520.0,987.2964,987.75464,-3.828125,2.15625,8.621094,0.07867432,0.2062378,0.09643555,0.97058105
25485,987.34204,988.7075,5.1171875,1.625,8.035156,0.0993042,-0.23962402,0.053955078,0.96429443,25540.0,987.2866,987.76904,-3.5585938,2.1953125,8.65625,0.07965088,0.20635986,0.09613037,0.970459
25505,987.3076,988.67773,5.15625,1.5859375,7.8007812,0.1003418,-0.24047852,0.054138184,0.9639282,25560.0,987.2732,987.72754,-3.5585938,2.3085938,8.621094,0.08074951,0.20672607,0.0960083,0.9703369
25525,987.2942,988.7036,5.15625,1.7773438,7.6914062,0.101257324,-0.24005127,0.053955078,0.9639282,25575.0,987.30225,987.7471,-3.7890625,2.5,8.394531,0.08154297,0.20758057,0.09661865,0.97003174
