timestamp_1,fPressureFront_1,fPressureSide_1,acceleration.x_1,acceleration.y_1,acceleration.z_1,quaternion.i_1,quaternion.j_1,quaternion.k_1,quaternion.real_1,timestamp_2,fPressureFront_2,fPressureSide_2,acceleration.x_2,acceleration.y_2,acceleration.z_2,quaternion.i_2,quaternion.j_2,quaternion.k_2,quaternion.real_2
1043540,986.1843,989.51953,4.140625,-4.7265625,-7.6289062,-0.5274048,-0.79467773,0.080078125,0.2897339,1047755.0,986.1504,985.7151,-5.9179688,1.7460938,7.6523438,0.32757568,0.049743652,-0.8621216,0.38330078
1043545,986.1946,989.4839,3.6445312,-4.1875,-8.011719,-0.5305176,-0.79541016,0.07165527,0.28411865,1047760.0,986.1504,985.69727,-6.2265625,1.671875,7.1210938,0.34246826,0.043823242,-0.8571167,0.38226318
1043565,986.18555,989.4824,5.9804688,-5.9023438,-4.6835938,0.37493896,-0.77142334,0.47747803,0.1907959,1047775.0,986.15283,985.67896,-7.375,6.078125,2.6367188,0.29559326,0.5197754,0.12988281,0.7909546
1043580,986.1553,989.4817,5.9414062,-5.8632812,-4.6835938,0.37475586,-0.7715454,0.47729492,0.19091797,1047795.0,986.14087,985.6904,-7.3789062,6.0390625,2.7109375,0.29571533,0.51989746,0.12957764,0.79089355
1043600,986.1411,989.4973,5.9375,-5.8242188,-4.6835938,0.37451172,-0.7717285,0.47717285,0.190979,1047815.0,986.1526,985.73535,-7.296875,6.0390625,2.75,0.2958374,0.52008057,0.12890625,0.7907715
1043620,986.1555,989.47754,5.9414062,-5.8242188,-4.7226562,0.3743286,-0.7718506,0.47705078,0.19104004,1047840.0,986.1328,985.71216,-7.296875,5.9609375,2.7109375,0.29589844,0.5204468,0.1281128,0.79071045
1043635,986.20264,989.4492,5.9804688,-5.8632812,-4.6835938,0.37408447,-0.7720337,0.47705078,0.19104004,1047855.0,986.11646,985.7302,-7.2578125,6.0390625,2.6367188,0.2954712,0.520813,0.12750244,0.79071045
1043660,986.17334,989.47754,5.9804688,-5.8242188,-4.7226562,0.37371826,-0.7720947,0.4772339,0.190979,1047875.0,986.1199,985.6992,-7.3007812,5.9609375,2.671875,0.29455566,0.52124023,0.12738037,0.7907715
1043675,986.1753,989.4888,6.015625,-5.9023438,-4.6835938,0.3734131,-0.7722168,0.47735596,0.19091797,1047895.0,986.17236,985.7119,-7.3359375,5.9609375,2.671875,0.29370117,0.5217285,0.12689209,0.7908325
1043695,986.18945,989.4844,5.9765625,-5.8242188,-4.6445312,0.37304688,-0.77233887,0.477417,0.1907959,1047915.0,986.145,985.6936,-7.3789062,5.8476562,2.5976562,0.29296875,0.5223999,0.1262207,0.7907715
1043715,986.16016,989.4785,5.9375,-5.8632812,-4.7226562,0.3727417,-0.77246094,0.47753906,0.19055176,1047935.0,986.13477,985.688,-7.4140625,5.8085938,2.6367188,0.29223633,0.52301025,0.12561035,0.7907715
1043740,986.20337,989.5022,5.9804688,-5.8632812,-4.6835938,0.37243652,-0.772583,0.4777832,0.19006348,1047955.0,986.1355,985.6797,-7.4140625,5.7695312,2.6367188,0.29138184,0.52349854,0.12487793,0.79089355
1043760,986.1931,989.4971,5.9414062,-5.9023438,-4.6445312,0.37213135,-0.7727051,0.47802734,0.18969727,1047980.0,986.1587,985.6997,-7.4140625,5.7304688,2.7109375,0.2901001,0.52386475,0.12420654,0.79119873
