timestamp_1,fPressureFront_1,fPressureSide_1,acceleration.x_1,acceleration.y_1,acceleration.z_1,quaternion.i_1,quaternion.j_1,quaternion.k_1,quaternion.real_1,timestamp_2,fPressureFront_2,fPressureSide_2,acceleration.x_2,acceleration.y_2,acceleration.z_2,quaternion.i_2,quaternion.j_2,quaternion.k_2,quaternion.real_2
1387935,1002.8533,1000.9656,0.31640625,6.5195312,6.7226562,0.35388184,0.13220215,0.31982422,0.8688965,1398525.0,1000.5886,1000.9072,-2.0742188,8.558594,3.9765625,0.62786865,0.1274414,-0.0078125,0.76776123
1387940,1002.8533,1000.9656,-0.56640625,6.2890625,7.9492188,0.34649658,0.11956787,0.3154297,0.8753052,1398530.0,1000.5886,1000.9072,-5.328125,6.9453125,0.109375,0.49560547,0.28967285,0.075927734,0.8153076
1387955,1002.864,1000.96655,0.45703125,5.109375,-8.175781,0.5667114,-0.7774048,-0.19525146,0.1906128,1398545.0,1000.5791,1000.89453,0.33984375,8.4375,5.0507812,0.23968506,-0.44073486,-0.7524414,0.4267578
1387970,1002.8699,1000.9424,0.57421875,5.109375,-8.214844,0.56707764,-0.7770996,-0.19567871,0.19055176,1398560.0,1000.64136,1000.9219,0.265625,8.28125,5.0507812,0.23962402,-0.4414673,-0.75183105,0.42712402
1387990,1002.8616,1000.96484,0.6875,5.1484375,-8.285156,0.5671997,-0.77697754,-0.19598389,0.19036865,1398580.0,1000.6238,1000.9021,0.30078125,8.171875,5.0507812,0.23913574,-0.44171143,-0.75146484,0.4277954
1388005,1002.88965,1000.9346,0.6484375,5.2617188,-8.3203125,0.5673218,-0.7769165,-0.19647217,0.18945312,1398605.0,1000.6089,1000.9121,0.41796875,8.203125,4.9726562,0.23858643,-0.4414673,-0.75109863,0.42895508
1388025,1002.8618,1000.9595,0.49609375,5.3007812,-8.402344,0.5673218,-0.77716064,-0.19689941,0.18804932,1398620.0,1000.5842,1000.8845,0.45703125,8.441406,5.0117188,0.23828125,-0.4416504,-0.7504883,0.42999268
1388045,1002.87524,1000.9414,0.53515625,5.2226562,-8.324219,0.56707764,-0.7775879,-0.19763184,0.18640137,1398640.0,1000.5847,1000.86816,0.53125,8.746094,4.9375,0.23815918,-0.4423828,-0.7498169,0.43060303
1388070,1002.84863,1000.947,0.6875,5.2617188,-8.214844,0.56677246,-0.77783203,-0.1986084,0.18530273,1398660.0,1000.60986,1000.9009,0.5703125,8.9375,4.8984375,0.23791504,-0.4428711,-0.7492676,0.4310913
1388085,1002.8745,1000.9414,0.53515625,5.3398438,-8.214844,0.56622314,-0.77789307,-0.20013428,0.18499756,1398680.0,1000.59644,1000.9021,0.33984375,8.515625,4.8203125,0.23760986,-0.44366455,-0.7486572,0.43151855
