timestamp_1,fPressureFront_1,fPressureSide_1,acceleration.x_1,acceleration.y_1,acceleration.z_1,quaternion.i_1,quaternion.j_1,quaternion.k_1,quaternion.real_1,timestamp_2,fPressureFront_2,fPressureSide_2,acceleration.x_2,acceleration.y_2,acceleration.z_2,quaternion.i_2,quaternion.j_2,quaternion.k_2,quaternion.real_2
1958175,1018.0481,1019.2102,5.9414062,6.1445312,4.2851562,0.043884277,-0.53131104,-0.53204346,0.6578369,1964505.0,1017.32935,1020.2224,-7.71875,3.8515625,-4.8671875,0.8424072,0.03253174,-0.44952393,0.29541016
1958190,1018.0149,1019.2324,2.875,9.363281,-1.34375,0.5812378,0.47283936,0.54888916,0.37060547,1964510.0,1017.32935,1020.2258,-7.9960938,4.3867188,-4.5625,0.8479614,0.036132812,-0.43933105,0.2944336
1958200,1018.0149,1019.1875,2.953125,9.363281,-1.2695312,0.58117676,0.47320557,0.54815674,0.37127686,1964525.0,1017.3208,1020.2195,-8.527344,4.5039062,2.3320312,-0.1694336,0.592041,0.53204346,0.5811157
1958220,1018.0493,1019.18994,2.875,9.3203125,-1.2695312,0.5809326,0.47351074,0.5475464,0.37213135,1964540.0,1017.30884,1020.21655,-8.5234375,4.6171875,2.3320312,-0.16925049,0.59198,0.53204346,0.58117676
1958240,1018.0459,1019.2283,2.875,9.1640625,-1.1914062,0.58117676,0.4743042,0.5465698,0.37219238,1964560.0,1017.33984,1020.18506,-8.488281,4.578125,2.296875,-0.16894531,0.5916748,0.5321655,0.58154297
1958260,1018.07227,1019.2029,2.8007812,9.285156,-1.2695312,0.5819092,0.47546387,0.5453491,0.37127686,1964575.0,1017.3274,1020.1975,-8.488281,4.5039062,2.3320312,-0.16882324,0.5906372,0.53253174,0.5822754
1958280,1018.05176,1019.25024,2.6445312,9.402344,-1.3828125,0.58258057,0.4765625,0.5442505,0.37054443,1964595.0,1017.2888,1020.2195,-8.5625,4.3867188,2.3320312,-0.16851807,0.5895386,0.5328369,0.5831909
1958300,1018.0454,1019.228,2.609375,9.363281,-1.3828125,0.58270264,0.47753906,0.54333496,0.37042236,1964615.0,1017.3301,1020.23193,-8.484375,4.1953125,2.296875,-0.1675415,0.5883789,0.53271484,0.5847168
1958320,1018.08154,1019.21484,2.5703125,9.324219,-1.3828125,0.58288574,0.47839355,0.5423584,0.37042236,1964635.0,1017.3176,1020.2256,-8.5625,4.0429688,2.2578125,-0.16540527,0.5871582,0.53186035,0.5873413
1958340,1018.0574,1019.2031,2.5703125,9.441406,-1.4609375,0.583313,0.479187,0.54125977,0.3703003,1964655.0,1017.32764,1020.25757,-8.484375,4.0820312,2.296875,-0.16210938,0.58569336,0.53015137,0.5913086
1958360,1018.05444,1019.23584,2.5703125,9.4375,-1.5742188,0.58374023,0.47991943,0.54022217,0.37023926,1964675.0,1017.2805,1020.1836,-8.5234375,4.0039062,2.4492188,-0.15917969,0.5848999,0.52856445,0.5942993
1958380,1018.05493,1019.20776,2.6835938,9.402344,-1.5351562,0.58380127,0.4805298,0.53948975,0.37042236,1964695.0,1017.3137,1020.1587,-8.484375,4.1953125,2.5234375,-0.15667725,0.5844116,0.5276489,0.59625244
1958400,1018.0703,1019.2324,2.6445312,9.3203125,-1.5351562,0.58374023,0.4810791,0.5389404,0.37060547,1964715.0,1017.3093,1020.209,-8.527344,4.0429688,2.5625,-0.15515137,0.58410645,0.52789307,0.5966797
1958420,1018.07764,1019.27075,2.6835938,9.1640625,-1.421875,0.58374023,0.48156738,0.5383301,0.3708496,1964735.0,1017.3408,1020.18115,-8.4453125,4.0039062,2.6015625,-0.15368652,0.5844116,0.5286865,0.5961304
1958440,1018.0513,1019.2456,2.7226562,9.1640625,-1.5351562,0.58343506,0.4822998,0.53759766,0.37139893,1964755.0,1017.3296,1020.15356,-8.417969,4.0429688,2.6796875,-0.15234375,0.585022,0.5292969,0.5953369
1958455,1018.0708,1019.2385,2.609375,9.2421875,-1.5742188,0.58325195,0.4831543,0.53674316,0.37182617,1964775.0,1017.3115,1020.18604,-8.417969,4.1953125,2.640625,-0.15118408,0.5857544,0.52960205,0.5946045
1958485,1018.03784,1019.24194,2.609375,9.402344,-1.5351562,0.58325195,0.4840088,0.53582764,0.37213135,1964795.0,1017.35205,1020.1609,-8.3359375,4.3867188,2.6015625,-0.14996338,0.58618164,0.52996826,0.59417725
1958500,1018.0786,1019.2468,2.5703125,9.441406,-1.6132812,0.5831909,0.48468018,0.53497314,0.37261963,1964815.0,1017.3447,1020.1492,-8.339844,4.4648438,2.640625,-0.14892578,0.58636475,0.5303345,0.5938721
1958525,1018.0166,1019.2334,2.53125,9.550781,-1.6914062,0.5831909,0.48535156,0.53411865,0.3729248,1964835.0,1017.3325,1020.1858,-8.339844,4.5039062,2.6796875,-0.14764404,0.58673096,0.5309448,0.59332275
1958535,1018.0095,1019.2461,2.4921875,9.546875,-1.7265625,0.58306885,0.48583984,0.53344727,0.3734131,1964855.0,1017.32764,1020.17896,-8.339844,4.5429688,2.6796875,-0.14642334,0.5871582,0.5317383,0.59246826
1958555,1018.0454,1019.2656,2.453125,9.480469,-1.6914062,0.58270264,0.48620605,0.53289795,0.37426758,1964875.0,1017.3281,1020.17065,-8.21875,4.6171875,2.640625,-0.14556885,0.5875244,0.53302,0.59124756
1958575,1018.05176,1019.2285,2.453125,9.546875,-1.6523438,0.58258057,0.4866333,0.5322876,0.37475586,1964895.0,1017.3096,1020.11816,-8.2578125,4.578125,2.640625,-0.14538574,0.5877075,0.5342407,0.5899658
1958600,1018.03613,1019.2307,2.5703125,9.6640625,-1.6132812,0.5826416,0.48693848,0.53186035,0.37487793,1964915.0,1017.3042,1020.1499,-8.375,4.65625,2.5234375,-0.14508057,0.5876465,0.53552246,0.5888672
1958620,1018.06177,1019.2095,2.3789062,9.894531,-1.6523438,0.5824585,0.48669434,0.5319214,0.3753662,1964935.0,1017.31006,1020.1543,-8.378906,4.578125,2.6015625,-0.14440918,0.58758545,0.5363159,0.5883789
1958635,1018.0591,1019.2234,2.3789062,9.785156,-1.6914062,0.5823364,0.48638916,0.53222656,0.37561035,1964955.0,1017.33374,1020.14233,-8.378906,4.65625,2.6015625,-0.14349365,0.5878906,0.53656006,0.58813477
1958655,1018.0676,1019.26953,2.3398438,9.703125,-1.6523438,0.58258057,0.48614502,0.5324707,0.37524414,1964975.0,1017.3047,1020.12085,-8.378906,4.6953125,2.5234375,-0.1427002,0.5883789,0.5366211,0.5878296
1958675,1018.06006,1019.2451,2.4179688,9.703125,-1.6523438,0.58288574,0.48583984,0.5326538,0.37475586,1964995.0,1017.3169,1020.1494,-8.449219,4.7695312,2.6015625,-0.14178467,0.5891113,0.5366821,0.5872803
1958700,1018.03125,1019.2373,2.4921875,9.4765625,-1.5351562,0.5831299,0.48547363,0.53308105,0.37426758,1965015.0,1017.3342,1020.1897,-8.261719,4.7695312,2.4882812,-0.140625,0.59020996,0.5366211,0.5864258
1958715,1018.05444,1019.2407,2.4921875,9.359375,-1.421875,0.5835571,0.4854126,0.5333252,0.37335205,1965035.0,1017.34326,1020.1719,-8.21875,4.7695312,2.5234375,-0.14001465,0.59124756,0.53674316,0.5854492
1958735,1018.06836,1019.2854,2.5703125,9.203125,-1.34375,0.5844116,0.48590088,0.53344727,0.37121582,1965050.0,1017.324,1020.15576,-8.21875,4.6953125,2.5625,-0.1394043,0.59246826,0.5371094,0.5839844
1958755,1018.0554,1019.27344,2.7226562,9.0546875,-1.2695312,0.5858154,0.4876709,0.53302,0.36730957,1965075.0,1017.32715,1020.15796,-8.222656,4.65625,2.5625,-0.13861084,0.59399414,0.5371704,0.5826416
1958780,1018.0781,1019.25757,3.1835938,8.78125,-1.1914062,0.5883179,0.49273682,0.5317383,0.35827637,1965090.0,1017.32935,1020.1543,-8.140625,4.5039062,2.640625,-0.13739014,0.59606934,0.536499,0.58135986
1958795,1018.07153,1019.2322,3.375,8.402344,-1.2695312,0.59088135,0.4998169,0.53015137,0.34631348,1965110.0,1017.33813,1020.1367,-8.1015625,4.5039062,2.6015625,-0.1359253,0.598938,0.5352783,0.579895
1958815,1018.0874,1019.2654,3.4882812,8.175781,-1.3828125,0.5946655,0.51312256,0.52697754,0.32452393,1965130.0,1017.31836,1020.14624,-8.140625,4.4648438,2.5234375,-0.13409424,0.60266113,0.53375244,0.5778198
1958835,1018.0613,1019.29346,3.3359375,8.292969,-1.5742188,0.59783936,0.5302124,0.5222168,0.2979126,1965155.0,1017.3313,1020.1467,-8.1015625,4.3867188,2.4101562,-0.13165283,0.60723877,0.5324707,0.5748291
1958860,1018.04663,1019.30054,2.953125,8.441406,-2.1484375,0.6008301,0.55145264,0.51434326,0.2652588,1965170.0,1017.30273,1020.1572,-8.03125,4.4257812,2.296875,-0.12841797,0.6126709,0.5314331,0.57073975
1958880,1018.04614,1019.25635,2.9921875,8.2109375,-2.4179688,0.6040039,0.565979,0.50634766,0.24176025,1965190.0,1017.30493,1020.1587,-7.7617188,4.4257812,2.140625,-0.12506104,0.6184082,0.5303955,0.56622314
1958895,1018.00977,1019.2566,2.953125,7.9375,-2.9140625,0.6112671,0.5831909,0.4920044,0.21020508,1965215.0,1017.32666,1020.12744,-7.6796875,4.5039062,2.0273438,-0.12207031,0.6246338,0.5288696,0.5614624
1958915,1018.04834,1019.27783,2.9921875,7.5195312,-3.3359375,0.6226196,0.5996094,0.4713745,0.17492676,1965235.0,1017.3135,1020.15356,-7.8007812,4.7695312,1.71875,-0.11834717,0.6320801,0.5267334,0.55584717
1958940,1018.0315,1019.28906,3.0273438,7.0234375,-5.0976562,0.6394043,0.61743164,0.4397583,0.12872314,1965250.0,1017.3008,1020.1384,-7.71875,4.9609375,1.453125,-0.11505127,0.63812256,0.5250244,0.55126953
1958955,1018.01953,1019.2986,3.296875,6.7890625,-5.40625,0.6511841,0.62677,0.41680908,0.09667969,1965270.0,1017.2991,1020.12744,-7.6835938,5.1914062,1.2617188,-0.111083984,0.64520264,0.5231323,0.5456543
1958975,1018.03613,1019.3557,3.5273438,6.0273438,-5.5195312,0.66522217,0.63549805,0.38720703,0.060424805,1965295.0,1017.27686,1020.1028,-7.6445312,5.3828125,0.80078125,-0.10662842,0.6525879,0.5210571,0.53967285
1958995,1018.01685,1019.3838,3.5664062,4.7617188,-5.7890625,0.67926025,0.6430664,0.3526001,0.026611328,1965310.0,1017.28467,1020.1362,-7.5351562,5.5,0.5703125,-0.101379395,0.6600952,0.5187988,0.5336914
1959020,1017.99854,1019.4263,3.5664062,2.4257812,-5.9765625,-0.69573975,-0.6522827,-0.30041504,0.015075684,1965330.0,1017.27783,1020.1304,-7.453125,5.5742188,0.37890625,-0.095703125,0.66729736,0.5166626,0.52783203
1959035,1018.02466,1019.45044,3.5273438,1.46875,-6.3632812,-0.7057495,-0.6582031,-0.2581787,0.04522705,1965350.0,1017.2783,1020.07153,-7.3359375,5.765625,0.11328125,-0.08996582,0.67388916,0.5150757,0.52197266
1959055,1018.0198,1019.46655,3.296875,0.81640625,-6.8203125,-0.7160034,-0.66326904,-0.20062256,0.084228516,1965375.0,1017.3198,1020.0769,-7.2304688,5.765625,-0.234375,-0.08325195,0.68066406,0.5142212,0.5151367
1959075,1018.0513,1019.50903,2.9921875,0.3203125,-7.359375,-0.72302246,-0.66552734,-0.14208984,0.118774414,1965390.0,1017.2866,1020.2649,-7.1484375,5.8046875,-0.30859375,-0.078063965,0.68566895,0.5137329,0.5097046
1959100,1018.0093,1019.59375,3.640625,-0.484375,-8.738281,-0.7279053,-0.66448975,-0.07763672,0.15014648,1965410.0,1017.28,1020.51196,-7.109375,5.765625,-0.42578125,-0.07171631,0.69207764,0.5126953,0.50305176
