timestamp_1,fPressureFront_1,fPressureSide_1,acceleration.x_1,acceleration.y_1,acceleration.z_1,quaternion.i_1,quaternion.j_1,quaternion.k_1,quaternion.real_1,timestamp_2,fPressureFront_2,fPressureSide_2,acceleration.x_2,acceleration.y_2,acceleration.z_2,quaternion.i_2,quaternion.j_2,quaternion.k_2,quaternion.real_2
32810,956.8174,956.4658,1.3789062,0.69140625,9.6875,0.0390625,-0.061340332,0.11853027,0.9902954,45460.0,955.42944,955.7615,-0.34375,0.91796875,9.582031,-0.036010742,0.092163086,0.95666504,0.27386475
32825,956.79126,956.4739,7.3515625,5.9765625,-3.21875,0.45599365,-0.6751709,-0.04058838,0.5784302,45470.0,955.42944,955.7615,-6.2421875,6.1679688,-2.03125,-0.45092773,0.6270752,0.6254883,0.11053467
32845,956.8208,956.49414,7.3515625,6.1679688,-3.2929688,0.45751953,-0.67510986,-0.039001465,0.5773926,45490.0,955.4243,955.75244,-5.859375,6.3203125,-1.9921875,-0.45111084,0.6272583,0.625,0.111450195
32865,956.8076,956.4531,7.46875,6.4375,-3.3320312,0.45739746,-0.67541504,-0.0390625,0.57714844,45510.0,955.4487,955.7556,-6.015625,6.0898438,-1.9921875,-0.4522705,0.62664795,0.6248779,0.11065674
32885,956.8252,956.49023,7.6992188,6.0507812,-3.2578125,0.45611572,-0.6758423,-0.040039062,0.5775757,45530.0,955.4282,955.74854,-6.28125,5.7851562,-1.9921875,-0.45355225,0.62609863,0.6246948,0.109680176
32905,956.8269,956.4546,7.7382812,5.2851562,-2.9882812,0.4555664,-0.6759033,-0.039916992,0.5780029,45550.0,955.41016,955.7534,-6.4726562,5.7070312,-2.1054688,-0.45404053,0.6264038,0.6239624,0.11047363
32925,956.8562,956.4358,7.5078125,5.3632812,-3.0273438,0.45672607,-0.67559814,-0.038146973,0.57751465,45570.0,955.4219,955.71387,-6.28125,6.3242188,-2.0703125,-0.45367432,0.62683105,0.6234131,0.11224365
32945,956.84644,956.43945,7.46875,5.9375,-3.1015625,0.45855713,-0.6751709,-0.036193848,0.5765991,45590.0,955.41943,955.7361,-5.9375,6.5117188,-2.0703125,-0.4539795,0.6257324,0.6243286,0.11248779
32965,956.80566,956.4612,7.3164062,6.3984375,-3.1015625,0.45928955,-0.67523193,-0.03552246,0.57611084,45610.0,955.44336,955.74756,-6.125,6.0507812,-1.8398438,-0.4550171,0.6236572,0.6259155,0.11077881
32985,956.85693,956.44727,7.625,6.1679688,-3.2578125,0.45861816,-0.6755371,-0.036132812,0.5761719,45635.0,955.4553,955.72266,-6.3203125,5.6679688,-1.7226562,-0.45593262,0.62249756,0.6265869,0.10961914
33005,956.8179,956.47144,7.65625,5.9375,-3.1796875,0.45843506,-0.67559814,-0.036071777,0.57629395,45650.0,955.45605,955.7385,-6.4375,5.9765625,-1.8789062,-0.45593262,0.6230469,0.6259155,0.1104126
33025,956.8369,956.47705,7.5507812,5.7460938,-3.1015625,0.45916748,-0.67541504,-0.03527832,0.57598877,45670.0,955.427,955.7185,-6.3203125,6.28125,-1.953125,-0.4553833,0.62420654,0.6246948,0.11254883
33045,956.8069,956.4592,7.46875,5.6328125,-3.1015625,0.46081543,-0.67510986,-0.033996582,0.57507324,45690.0,955.42017,955.7141,-6.1289062,6.4414062,-1.9921875,-0.45532227,0.6245117,0.6242676,0.113708496
33065,956.82104,956.46875,7.5117188,6.3203125,-3.1796875,0.46228027,-0.6749878,-0.032836914,0.5741577,45710.0,955.4651,955.7556,-6.2070312,5.859375,-2.03125,-0.45587158,0.62384033,0.6246948,0.11303711
33085,956.84814,956.4685,7.5859375,6.2070312,-3.21875,0.46203613,-0.67523193,-0.03289795,0.5739746,45730.0,955.44727,955.7605,-6.2070312,5.8242188,-1.9921875,-0.45666504,0.6229248,0.6251221,0.11212158
33105,956.8491,956.48486,7.7382812,5.7070312,-3.4101562,0.46099854,-0.6755371,-0.03363037,0.5744629,45750.0,955.48315,955.7363,-6.2070312,5.859375,-1.8007812,-0.45739746,0.62249756,0.62506104,0.11193848
33125,956.83374,956.459,7.6992188,5.5546875,-3.2578125,0.4607544,-0.6754761,-0.0335083,0.57470703,45770.0,955.4343,955.74536,-6.3984375,6.0507812,-1.7226562,-0.45770264,0.6225586,0.6246948,0.1126709
33145,956.84717,956.45166,7.546875,5.859375,-3.2929688,0.46124268,-0.67529297,-0.032836914,0.57458496,45790.0,955.4248,955.7051,-6.3242188,6.1289062,-1.953125,-0.45776367,0.6223755,0.6246948,0.113220215
33165,956.8318,956.468,7.4296875,6.015625,-3.21875,0.46203613,-0.67510986,-0.032043457,0.5742798,45810.0,955.438,955.72314,-6.1640625,5.9375,-1.9921875,-0.45794678,0.6220703,0.62493896,0.113220215
33185,956.8489,956.4834,7.5078125,6.1679688,-3.21875,0.46209717,-0.67510986,-0.031921387,0.5741577,45830.0,955.44116,955.73096,-6.125,5.8984375,-2.1054688,-0.45837402,0.62176514,0.62493896,0.11303711
33205,956.865,956.468,7.65625,5.9765625,-3.1796875,0.46173096,-0.67523193,-0.032226562,0.5743408,45855.0,955.4282,955.7195,-6.2460938,6.0507812,-1.9140625,-0.45874023,0.62176514,0.6246338,0.113342285
33225,956.8279,956.4839,7.7734375,5.6679688,-3.0664062,0.46118164,-0.67523193,-0.03253174,0.57470703,45870.0,955.41675,955.70874,-6.3632812,6.2070312,-1.7617188,-0.45898438,0.6217041,0.62438965,0.11376953
33245,956.8157,956.4746,7.625,5.59375,-3.1015625,0.46118164,-0.67523193,-0.032287598,0.57476807,45890.0,955.4343,955.71094,-6.28125,6.28125,-1.8398438,-0.45916748,0.621521,0.62438965,0.11407471
33265,956.8408,956.4678,7.5078125,5.7851562,-3.1015625,0.46185303,-0.6751709,-0.031433105,0.5743408,45910.0,955.42334,955.7197,-6.2460938,6.2070312,-1.8398438,-0.45965576,0.62109375,0.6244507,0.11407471
33285,956.84766,956.4265,7.3554688,5.9375,-3.1796875,0.46331787,-0.6751709,-0.030090332,0.57318115,45930.0,955.4409,955.68945,-6.2070312,5.859375,-2.03125,-0.46020508,0.62091064,0.6242676,0.1138916
33305,956.83276,956.449,7.4335938,6.2421875,-3.4492188,0.4640503,-0.6754761,-0.02947998,0.57232666,45950.0,955.46436,955.72144,-6.3242188,5.859375,-2.0703125,-0.46069336,0.62091064,0.62402344,0.11340332
33325,956.8623,956.44995,7.734375,5.59375,-3.484375,0.4638672,-0.6758423,-0.029785156,0.5720215,45970.0,955.4304,955.72534,-6.4023438,5.9375,-1.8398438,-0.46081543,0.6210327,0.6237793,0.11340332
