timestamp_1,fPressureFront_1,fPressureSide_1,acceleration.x_1,acceleration.y_1,acceleration.z_1,quaternion.i_1,quaternion.j_1,quaternion.k_1,quaternion.real_1,timestamp_2,fPressureFront_2,fPressureSide_2,acceleration.x_2,acceleration.y_2,acceleration.z_2,quaternion.i_2,quaternion.j_2,quaternion.k_2,quaternion.real_2
383410,1010.1135,1001.2395,5.109375,2.390625,-8.105469,-0.25701904,-0.91815186,-0.19995117,0.22583008,374035.0,1006.531,1005.4492,-2.6054688,7.6289062,5.6171875,0.434021,-0.043701172,-0.3602295,0.82458496
383415,1010.1526,1001.2395,5.0703125,2.5039062,-8.0234375,-0.25683594,-0.91833496,-0.2008667,0.2243042,374040.0,1006.541,1005.4492,-2.2226562,6.9375,6.2695312,0.42962646,-0.043273926,-0.36444092,0.82507324
383430,1010.1255,1000.8137,4.9023438,1.2890625,8.109375,-0.26733398,-0.068847656,-0.9571533,0.08770752,374050.0,1006.541,1005.46826,-7.1523438,-0.515625,6.6914062,-0.018188477,0.4119873,-0.010375977,0.9109497
383450,1010.10547,1000.67773,5.1328125,0.71484375,8.722656,-0.26672363,-0.068603516,-0.9573364,0.087646484,374070.0,1006.53784,1005.4807,-7.2578125,-0.5546875,6.3828125,-0.018066406,0.41149902,-0.010314941,0.91119385
383470,1010.1101,1000.73975,5.1328125,0.828125,8.644531,-0.26690674,-0.06939697,-0.95721436,0.087524414,374090.0,1006.5637,1005.44434,-7.21875,-0.48046875,6.4609375,-0.018066406,0.41101074,-0.010070801,0.91137695
383490,1010.11084,1001.23047,4.9804688,0.98046875,8.2578125,-0.26727295,-0.07019043,-0.95703125,0.08758545,374115.0,1006.5657,1005.4658,-7.1523438,-0.40234375,6.5390625,-0.018493652,0.41101074,-0.009033203,0.91137695
383515,1010.1094,1001.7688,4.9414062,1.0976562,8.21875,-0.26727295,-0.070251465,-0.95703125,0.087768555,374135.0,1006.56494,1005.4341,-7.1835938,-0.671875,6.5,-0.019226074,0.41119385,-0.0078125,0.9113159
383530,1010.1245,1001.72314,5.0195312,1.1367188,8.339844,-0.26678467,-0.06970215,-0.95721436,0.088012695,374150.0,1006.52563,1005.4524,-7.2578125,-0.82421875,6.5390625,-0.020568848,0.40985107,-0.0079956055,0.91186523
383550,1010.1233,1001.3655,4.9804688,0.98046875,8.453125,-0.26623535,-0.06945801,-0.9573364,0.088012695,374170.0,1006.58057,1005.4468,-7.21875,-0.78515625,6.5742188,-0.021484375,0.4081421,-0.0087890625,0.9126587
383570,1010.0742,1001.16406,4.9804688,0.9453125,8.453125,-0.2662964,-0.06970215,-0.95739746,0.08746338,374195.0,1006.57935,1005.46606,-7.1484375,-0.74609375,6.6914062,-0.02178955,0.4076538,-0.009399414,0.9128418
383590,1010.1211,1001.1455,4.8671875,1.0585938,8.21875,-0.26641846,-0.06982422,-0.95739746,0.08685303,374210.0,1006.56665,1005.42944,-7.1132812,-0.82421875,6.5742188,-0.022033691,0.40789795,-0.0087890625,0.9127197
