timestamp_1,fPressureFront_1,fPressureSide_1,acceleration.x_1,acceleration.y_1,acceleration.z_1,quaternion.i_1,quaternion.j_1,quaternion.k_1,quaternion.real_1,timestamp_2,fPressureFront_2,fPressureSide_2,acceleration.x_2,acceleration.y_2,acceleration.z_2,quaternion.i_2,quaternion.j_2,quaternion.k_2,quaternion.real_2
622780,1027.8171,1025.8032,3.734375,7.3515625,4.1953125,0.37573242,-0.36102295,-0.19262695,0.83148193,631110.0,1026.6843,1025.2361,-3.25,8.105469,3.0859375,0.28375244,0.5274658,0.5407715,0.5906372
622795,1027.862,1025.7571,7.7539062,3.828125,3.2382812,0.4683838,-0.3774414,0.27844238,0.7487793,631120.0,1026.6843,1025.3125,-3.9765625,8.527344,2.8164062,0.27246094,0.54852295,0.5220947,0.5935669
622810,1027.8655,1025.7515,7.9101562,4.25,3.5039062,0.461792,-0.3793335,0.28344727,0.75,631135.0,1026.6509,1025.3325,-2.484375,6.3359375,3.96875,0.15081787,0.3838501,0.75427246,0.51086426
622835,1027.8257,1025.7761,8.0234375,4.59375,3.6210938,0.4569702,-0.3812256,0.28302002,0.75213623,631160.0,1026.6108,1025.2771,-2.75,6.3046875,3.203125,0.1506958,0.39227295,0.7506714,0.50982666
622850,1027.8513,1025.7935,8.214844,4.671875,3.46875,0.4522705,-0.3859253,0.28198242,0.7529907,631175.0,1026.6387,1025.2698,-2.6757812,6.3046875,2.5507812,0.14813232,0.3972168,0.7493286,0.508728
622865,1027.8247,1025.7305,8.144531,4.7109375,3.046875,0.45062256,-0.3895874,0.28277588,0.75177,631195.0,1026.648,1025.2573,-3.0585938,6.375,2.7421875,0.14434814,0.39801025,0.7501221,0.5079956
622885,1027.8408,1025.748,8.253906,5.015625,2.7773438,0.44873047,-0.39440918,0.28570557,0.7492676,631215.0,1026.7471,1025.2395,-3.0976562,6.8789062,4.1210938,0.14569092,0.3951416,0.7498779,0.5101929
622905,1027.8201,1025.7947,8.2890625,5.015625,2.546875,0.44586182,-0.3994751,0.28948975,0.7468872,631235.0,1026.7942,1025.1511,-1.0273438,7.1445312,7.8398438,0.15423584,0.39379883,0.7453003,0.5154419
622925,1027.8235,1025.793,8.292969,3.5976562,2.3945312,0.44366455,-0.40393066,0.2942505,0.7439575,631255.0,1026.7517,1025.0759,0.0078125,7.984375,7.7578125,0.16052246,0.39691162,0.7393799,0.5195923
622945,1027.8318,1025.804,8.105469,3.5625,2.5117188,0.44274902,-0.4076538,0.29968262,0.7402954,631275.0,1026.7344,1025.1035,-0.18359375,8.261719,6.9570312,0.1585083,0.40197754,0.7364502,0.5205078
622965,1027.822,1025.8376,8.027344,3.2929688,3.0078125,0.442688,-0.4119873,0.30352783,0.7363281,631300.0,1026.7278,1025.3347,-2.1015625,6.5351562,4.6953125,0.15008545,0.40667725,0.7367554,0.5189209
622990,1027.8135,1025.8391,8.292969,2.9882812,2.703125,0.44354248,-0.4173584,0.3050537,0.7321167,631315.0,1026.7041,1025.3755,-3.2109375,5.5703125,3.4296875,0.14099121,0.41137695,0.73779297,0.5162964
623005,1027.7825,1025.8154,8.527344,3.0625,2.1640625,0.44458008,-0.42175293,0.30596924,0.72857666,631335.0,1026.5828,1025.385,-3.8632812,5.265625,2.2421875,0.13519287,0.4144287,0.7385864,0.5142212
623025,1027.8071,1025.821,8.792969,3.3710938,1.8984375,0.44543457,-0.4239502,0.3067627,0.7264404,631355.0,1026.6262,1025.3633,-4.0546875,5.1484375,1.59375,0.13293457,0.41418457,0.73986816,0.5132446
623045,1027.7996,1025.7461,8.9375,3.484375,1.8984375,0.44647217,-0.42486572,0.3079834,0.7247925,631375.0,1026.6221,1025.387,-3.0195312,5.2695312,2.1679688,0.13293457,0.4107666,0.74176025,0.5131836
623070,1027.8157,1025.8003,8.8671875,3.5976562,2.0117188,0.44763184,-0.42608643,0.3098755,0.7225342,631395.0,1026.6516,1025.31,-2.6367188,5.765625,2.8554688,0.13311768,0.4053955,0.7445679,0.51342773
623085,1027.8306,1025.7798,8.9765625,3.3320312,2.0117188,0.449646,-0.42767334,0.31311035,0.7189331,631415.0,1026.6829,1025.2671,-2.40625,6.1523438,3.546875,0.13305664,0.39801025,0.7484131,0.51361084
623105,1027.7588,1025.7883,9.1328125,3.40625,1.5507812,0.45214844,-0.42858887,0.31652832,0.71533203,631440.0,1026.7266,1025.2363,-2.2929688,6.375,5.15625,0.13427734,0.38946533,0.75250244,0.51379395
623125,1027.7668,1025.759,9.25,3.828125,0.82421875,0.453125,-0.42840576,0.31762695,0.71429443,631455.0,1026.7402,1025.1931,-2.140625,6.4179688,6.1523438,0.13800049,0.3793335,0.7562866,0.51483154
623145,1027.7715,1025.7854,8.9765625,3.8671875,1.359375,0.4527588,-0.42712402,0.31658936,0.7158203,631475.0,1026.7666,1025.1511,-1.4882812,6.6484375,7.1523438,0.14215088,0.3694458,0.7590332,0.51690674
623165,1027.7646,1025.7627,8.8671875,3.7148438,1.6289062,0.45251465,-0.4249878,0.3168335,0.71710205,631495.0,1026.7849,1025.0657,-1.1054688,6.9179688,7.796875,0.14379883,0.3605957,0.7616577,0.5187988
623185,1027.791,1025.76,8.75,3.5976562,2.0117188,0.45300293,-0.42230225,0.31933594,0.7172241,631515.0,1026.8237,1025.1252,-1.0273438,7.0703125,8.484375,0.1428833,0.35272217,0.7650757,0.5194092
623205,1027.8015,1025.7771,8.5234375,3.7929688,2.3554688,0.45385742,-0.4206543,0.32232666,0.7163696,631535.0,1026.8486,1025.1494,-1.3359375,6.8789062,9.105469,0.14129639,0.34625244,0.76885986,0.51867676
623225,1027.7805,1025.7751,8.714844,3.90625,2.3554688,0.45507812,-0.42053223,0.3241577,0.7147827,631555.0,1026.8318,1025.146,-1.4492188,6.6875,9.410156,0.14099121,0.3428955,0.7713623,0.5172119
623245,1027.7839,1025.7671,8.941406,4.1757812,2.3164062,0.4555664,-0.42144775,0.32336426,0.71435547,631580.0,1026.779,1025.1011,-1.71875,7.03125,8.644531,0.14202881,0.34191895,0.7728882,0.51538086
623265,1027.802,1025.7725,9.171875,3.7539062,2.28125,0.4557495,-0.42248535,0.3223877,0.7140503,631595.0,1026.7646,1025.1221,-1.7929688,7.1835938,8.183594,0.14300537,0.34173584,0.77404785,0.51342773
623285,1027.772,1025.7393,9.175781,3.5234375,2.203125,0.45654297,-0.4227295,0.32330322,0.71295166,631615.0,1026.773,1025.0945,-1.7539062,7.2226562,7.9140625,0.14355469,0.34155273,0.7748413,0.512146
623305,1027.7676,1025.738,8.558594,4.2890625,2.125,0.4570923,-0.42333984,0.32580566,0.71118164,631635.0,1026.7815,1025.0923,-1.7929688,7.4921875,7.8398438,0.14398193,0.34094238,0.77508545,0.51208496
623325,1027.7839,1025.729,8.675781,3.8671875,2.28125,0.45733643,-0.4248047,0.32843018,0.70892334,631655.0,1026.7686,1025.1013,-1.5273438,7.8359375,8.6015625,0.1453247,0.34020996,0.77453613,0.5130615
623345,1027.7764,1025.7488,8.671875,3.5625,2.2421875,0.45843506,-0.4265747,0.33239746,0.7052002,631675.0,1026.852,1025.0559,-1.1054688,8.066406,10.019531,0.15026855,0.34075928,0.7714844,0.5159302
623365,1027.7666,1025.7803,8.59375,3.2148438,1.9726562,0.46014404,-0.42822266,0.33770752,0.70062256,631695.0,1026.8875,1025.012,-0.4921875,8.449219,11.7421875,0.1618042,0.3460083,0.7637329,0.5204468
623385,1027.7563,1025.7749,8.832031,2.7578125,1.0546875,0.46166992,-0.42834473,0.3441162,0.69641113,631720.0,1026.8372,1024.8662,-0.18359375,10.441406,12.316406,0.18157959,0.35894775,0.7490845,0.5263672
623405,1027.7815,1025.7461,8.9375,2.3359375,0.90234375,0.46374512,-0.42626953,0.35113525,0.692749,631740.0,1026.791,1024.7153,-0.56640625,12.46875,12.050781,0.21002197,0.3770752,0.7247925,0.53704834
623425,1027.7495,1025.7622,8.5234375,2.640625,1.3984375,0.4663086,-0.42358398,0.3567505,0.68981934,631755.0,1026.741,1024.6206,-0.453125,14.503906,11.667969,0.24700928,0.3951416,0.68652344,0.5581665
623450,1027.752,1025.7444,8.371094,3.1796875,2.5117188,0.46881104,-0.42236328,0.359375,0.6875,631775.0,1026.6567,1024.5696,0.4296875,15.3828125,10.59375,0.28527832,0.40838623,0.6376343,0.5875244
623465,1027.7773,1025.7634,8.328125,3.5234375,2.0507812,0.47143555,-0.4229126,0.35882568,0.68566895,631800.0,1026.5991,1024.9609,1.4609375,13.277344,6.5703125,0.3204956,0.4199829,0.58203125,0.6182251
623485,1027.7595,1025.7317,8.25,3.828125,2.0507812,0.4725952,-0.42419434,0.3571167,0.6849365,631815.0,1026.6377,1025.1638,1.2695312,11.824219,4.8085938,0.350708,0.43292236,0.52038574,0.64715576
623505,1027.7646,1025.7322,8.066406,4.0585938,2.3945312,0.47338867,-0.42645264,0.3569336,0.68310547,631835.0,1026.6062,1025.198,1.0390625,10.402344,4.3125,0.36975098,0.44891357,0.45587158,0.6737671
623525,1027.7817,1025.7551,8.3671875,2.0664062,1.3984375,0.47479248,-0.42840576,0.35968018,0.67944336,631855.0,1026.553,1025.0955,0.2734375,8.5234375,3.8515625,0.37573242,0.4689331,0.39538574,0.69470215
623545,1027.7703,1025.782,8.675781,2.5273438,1.7070312,0.4776001,-0.42834473,0.36486816,0.67474365,631875.0,1026.565,1025.4253,-2.7148438,3.6171875,2.28125,0.37426758,0.4944458,0.33581543,0.7090454
623565,1027.7815,1025.7891,9.171875,2.5664062,2.3164062,0.4805298,-0.4284668,0.3692627,0.67022705,631895.0,1026.5151,1025.5464,-4.3242188,1.515625,1.4765625,0.3711548,0.5209961,0.27819824,0.71655273
623585,1027.7874,1025.813,9.8203125,2.375,2.546875,0.48468018,-0.42895508,0.37182617,0.6654663,631915.0,1026.5227,1025.5901,-5.8164062,0.01953125,0.7109375,0.36895752,0.5425415,0.22106934,0.7215576
623605,1027.7822,1025.7639,10.402344,2.9101562,1.9726562,0.49017334,-0.428833,0.37145996,0.66174316,631940.0,1026.5044,1025.6323,-7.5,-1.0117188,0.3671875,0.36938477,0.55267334,0.17224121,0.7269287
623625,1027.748,1025.7021,9.9765625,3.6367188,1.5898438,0.49438477,-0.4267578,0.3703003,0.6605835,631955.0,1026.5188,1025.6348,-7.65625,-0.70703125,0.40625,0.37139893,0.5532837,0.13256836,0.7337036
623645,1027.7378,1025.6973,8.90625,4.1757812,2.0507812,0.4985962,-0.42285156,0.37005615,0.6600342,631975.0,1026.5203,1025.5493,-7.3046875,-0.20703125,0.44140625,0.3729248,0.54907227,0.10308838,0.7408447
623665,1027.7205,1025.7302,7.8671875,4.7109375,1.9726562,0.5022583,-0.42059326,0.3703003,0.6586304,631995.0,1026.56,1025.3999,-7.0,0.25,0.7890625,0.3737793,0.545166,0.081848145,0.74591064
623685,1027.709,1025.7239,8.484375,3.2539062,0.9765625,0.50579834,-0.42059326,0.3703003,0.6558838,632020.0,1026.5503,1025.3271,-6.5429688,1.7070312,0.94140625,0.37475586,0.5432739,0.06542969,0.7484131
623705,1027.7141,1025.7739,8.941406,2.8710938,1.015625,0.5095825,-0.42041016,0.36993408,0.65319824,632035.0,1026.4854,1025.2964,-6.3945312,3.125,0.51953125,0.37628174,0.54241943,0.05303955,0.7492676
623725,1027.7139,1025.7583,9.363281,3.1015625,1.2070312,0.5140991,-0.4204712,0.36889648,0.65026855,632055.0,1026.4658,1025.2942,-6.234375,4.578125,0.05859375,0.3770752,0.5420532,0.045715332,0.74957275
623745,1027.7021,1025.7378,9.671875,3.2929688,1.015625,0.5183716,-0.42059326,0.3678589,0.64733887,632080.0,1026.415,1025.2942,-7.8046875,5.1171875,-1.1640625,0.37573242,0.5430298,0.03741455,0.75
623765,1027.7302,1025.6973,9.863281,3.2148438,0.9375,0.52246094,-0.41955566,0.36706543,0.6451416,632095.0,1026.3845,1025.2961,-8.691406,4.1953125,-1.2421875,0.37554932,0.54333496,0.029052734,0.7503052
623785,1027.7207,1025.7373,9.328125,4.0976562,1.2460938,0.5272827,-0.41766357,0.36444092,0.64398193,632115.0,1026.4592,1025.2798,-8.53125,3.890625,-0.20703125,0.37786865,0.5420532,0.014709473,0.75042725
623805,1027.6924,1025.7278,9.253906,4.328125,0.90234375,0.52978516,-0.4173584,0.3602295,0.64453125,632135.0,1026.5278,1025.199,-7.6914062,4.3867188,0.6328125,0.38183594,0.5404663,0.003479004,0.7496948
623825,1027.685,1025.7153,9.2890625,4.0976562,0.328125,0.5307617,-0.4180298,0.35479736,0.64624023,632155.0,1026.489,1025.1824,-6.5429688,6.3789062,0.82421875,0.38476562,0.5404663,0.0006713867,0.74823
623845,1027.6716,1025.6929,9.136719,3.5625,0.44140625,0.53167725,-0.4194336,0.34936523,0.647583,632175.0,1026.4976,1025.2227,-6.6601562,6.4570312,0.82421875,0.38580322,0.54119873,0.0045776367,0.74713135
