timestamp_1,fPressureFront_1,fPressureSide_1,acceleration.x_1,acceleration.y_1,acceleration.z_1,quaternion.i_1,quaternion.j_1,quaternion.k_1,quaternion.real_1,timestamp_2,fPressureFront_2,fPressureSide_2,acceleration.x_2,acceleration.y_2,acceleration.z_2,quaternion.i_2,quaternion.j_2,quaternion.k_2,quaternion.real_2
34600,993.96924,994.1658,-1.1875,0.95703125,9.082031,0.068481445,0.07330322,0.083862305,0.99139404,40240.0,995.2893,995.6675,-1.90625,1.578125,8.8359375,0.11077881,-0.044128418,-0.9519043,0.28222656
34610,993.96045,994.16724,2.1835938,3.4492188,9.078125,0.13195801,-0.12957764,-0.11578369,0.9758911,40250.0,995.3159,995.6538,-3.4414062,3.4140625,8.683594,0.22912598,-0.12677002,-0.92059326,0.28967285
34625,993.9883,994.14526,1.8398438,3.4492188,9.082031,0.13226318,-0.12774658,-0.11975098,0.975647,40265.0,995.3064,995.65186,-2.7890625,3.6445312,8.839844,0.22302246,-0.12854004,-0.9221802,0.28863525
34645,993.9536,994.15625,1.4921875,3.484375,9.308594,0.1315918,-0.12854004,-0.12432861,0.9750366,40285.0,995.2991,995.6614,-2.484375,3.4921875,8.949219,0.21838379,-0.1295166,-0.9237671,0.28674316
34665,993.94434,994.16016,1.9140625,3.0273438,9.1953125,0.13098145,-0.13220215,-0.13031006,0.97387695,40305.0,995.3345,995.6467,-2.484375,3.1835938,9.066406,0.21588135,-0.13067627,-0.9244385,0.2857666
34685,993.9407,994.1658,2.1835938,3.0664062,8.734375,0.13165283,-0.1348877,-0.13659668,0.9725342,40325.0,995.3137,995.66113,-2.75,3.1835938,8.6796875,0.21325684,-0.13317871,-0.9244995,0.28656006
34705,993.9558,994.1272,2.1054688,3.4101562,8.390625,0.13391113,-0.13513184,-0.14245605,0.9713135,40345.0,995.32544,995.64624,-2.484375,4.1796875,8.683594,0.20977783,-0.13549805,-0.9246216,0.28759766
34730,993.96216,994.12866,1.4179688,4.2148438,8.699219,0.13494873,-0.1340332,-0.1472168,0.9706421,40365.0,995.3159,995.6677,-2.2929688,4.3710938,8.6015625,0.20611572,-0.13568115,-0.92529297,0.28790283
34745,993.99634,994.12866,1.6484375,3.90625,9.0,0.1328125,-0.13415527,-0.15179443,0.97021484,40390.0,995.3286,995.64355,-2.4453125,4.21875,9.1015625,0.2029419,-0.13458252,-0.92645264,0.28704834
34765,993.9839,994.2012,1.9140625,3.7148438,9.003906,0.1305542,-0.13458252,-0.15625,0.9697876,40405.0,995.3386,995.64307,-2.4453125,4.1054688,9.222656,0.19958496,-0.13397217,-0.9277954,0.28533936
