timestamp_1,fPressureFront_1,fPressureSide_1,acceleration.x_1,acceleration.y_1,acceleration.z_1,quaternion.i_1,quaternion.j_1,quaternion.k_1,quaternion.real_1,timestamp_2,fPressureFront_2,fPressureSide_2,acceleration.x_2,acceleration.y_2,acceleration.z_2,quaternion.i_2,quaternion.j_2,quaternion.k_2,quaternion.real_2
470195,999.09155,1001.89575,2.1875,-5.265625,-7.6015625,-0.77960205,-0.54125977,0.06427002,0.3085327,471155.0,999.1465,998.59204,-5.9570312,2.1015625,7.8515625,0.32818604,-0.072021484,-0.9316406,0.13824463
470210,999.1135,1001.9219,4.09375,0.98828125,-8.328125,0.13684082,-0.963501,-0.024108887,0.22894287,471170.0,999.145,998.59326,-1.2460938,4.7460938,8.582031,0.23046875,0.12322998,0.20428467,0.9433594
470220,999.0974,1001.9219,4.0546875,0.98828125,-8.332031,0.13372803,-0.9649658,-0.022277832,0.22473145,471185.0,999.1592,998.5845,-1.2460938,4.7851562,8.542969,0.23120117,0.122924805,0.20568848,0.9429321
470245,999.12354,1001.90894,3.9414062,0.9140625,-8.4453125,0.13146973,-0.96606445,-0.0211792,0.22143555,471205.0,999.14746,998.57715,-1.2070312,4.8203125,8.542969,0.23205566,0.122558594,0.20684814,0.9425049
470265,999.09937,1001.9121,3.828125,0.76171875,-8.5625,0.12890625,-0.9672241,-0.020324707,0.2177124,471230.0,999.1394,998.56006,-1.1328125,4.8984375,8.472656,0.23297119,0.12200928,0.20800781,0.9421387
470285,999.1138,1001.91187,3.828125,0.60546875,-8.597656,0.12701416,-0.96813965,-0.019592285,0.21502686,471245.0,999.16675,998.5923,-1.0546875,4.9375,8.472656,0.23352051,0.121276855,0.20922852,0.94177246
470305,999.1384,1001.897,3.828125,0.5703125,-8.597656,0.12506104,-0.96899414,-0.018676758,0.21228027,471265.0,999.1699,998.60913,-1.0546875,4.9375,8.472656,0.23376465,0.12097168,0.21044922,0.9414673
470325,999.14746,1001.92993,3.75,0.53125,-8.59375,0.123291016,-0.9697876,-0.018066406,0.2097168,471285.0,999.15845,998.5603,-1.1679688,5.0117188,8.46875,0.23388672,0.12097168,0.21173096,0.9411621
470345,999.114,1001.9133,3.6367188,0.4140625,-8.714844,0.12158203,-0.9706421,-0.0178833,0.20672607,471305.0,999.1499,998.58105,-1.3242188,4.8984375,8.46875,0.23400879,0.120666504,0.21295166,0.94091797
470365,999.1221,1001.93286,3.5976562,0.37890625,-8.7890625,0.12072754,-0.97125244,-0.017822266,0.20440674,471325.0,999.1543,998.5547,-1.3242188,4.8984375,8.394531,0.2341919,0.11993408,0.21417236,0.9406738
470385,999.13257,1001.9199,3.6367188,0.37890625,-8.828125,0.11999512,-0.9718628,-0.01776123,0.20196533,471345.0,999.1306,998.5747,-1.1679688,4.9765625,8.503906,0.2341919,0.119018555,0.21539307,0.94055176
470405,999.1399,1001.88135,3.7109375,0.453125,-8.75,0.119628906,-0.9723511,-0.017944336,0.19970703,471365.0,999.1157,998.5486,-1.1679688,4.9375,8.582031,0.23431396,0.11828613,0.2164917,0.94036865
470425,999.1128,1001.9214,3.6367188,0.60546875,-8.7890625,0.1194458,-0.97283936,-0.018249512,0.1973877,471385.0,999.1753,998.55347,-1.2070312,5.0117188,8.621094,0.23461914,0.117614746,0.21740723,0.9401245
470445,999.0796,1001.89624,3.5976562,0.60546875,-8.828125,0.11920166,-0.97320557,-0.018371582,0.19573975,471405.0,999.1565,998.55054,-1.2460938,4.9765625,8.582031,0.23480225,0.117004395,0.21826172,0.9399414
470465,999.1106,1001.93384,3.5195312,0.60546875,-8.792969,0.119018555,-0.9735718,-0.018798828,0.19384766,471430.0,999.15186,998.5676,-1.2070312,4.9375,8.6953125,0.23480225,0.1159668,0.21911621,0.9398804
470485,999.1511,1001.8967,3.5195312,0.60546875,-8.871094,0.11895752,-0.973999,-0.01953125,0.1918335,471445.0,999.178,998.57935,-1.09375,4.859375,8.734375,0.23486328,0.114990234,0.2197876,0.93981934
470505,999.1245,1001.89844,3.5585938,0.68359375,-8.8671875,0.119018555,-0.97436523,-0.020202637,0.18988037,471465.0,999.1477,998.5679,-1.015625,4.8984375,8.8125,0.23510742,0.11437988,0.22045898,0.93969727
470520,999.1343,1001.9121,3.5585938,0.68359375,-8.8671875,0.119018555,-0.9746094,-0.020629883,0.18865967,471485.0,999.14233,998.5962,-0.9765625,4.9375,8.777344,0.23547363,0.11407471,0.2210083,0.93951416
470545,999.1079,1001.8972,3.5585938,0.68359375,-8.8671875,0.11895752,-0.9747925,-0.0211792,0.18743896,471505.0,999.1448,998.58813,-0.9765625,4.9765625,8.738281,0.23583984,0.113708496,0.22149658,0.93933105
470565,999.1267,1001.8943,3.5585938,0.72265625,-8.792969,0.11883545,-0.9750366,-0.021850586,0.18615723,471525.0,999.1516,998.5867,-0.9765625,4.9765625,8.738281,0.23608398,0.11340332,0.22216797,0.939209
470585,999.1553,1001.89185,3.4804688,0.76171875,-8.9765625,0.11853027,-0.97540283,-0.022521973,0.18450928,471545.0,999.13184,998.5659,-1.015625,5.0117188,8.816406,0.23657227,0.11364746,0.22271729,0.9389038
470600,999.1516,1001.91284,3.5976562,0.8359375,-8.980469,0.11810303,-0.975708,-0.022644043,0.1829834,471570.0,999.1677,998.55786,-1.3242188,5.0117188,8.855469,0.2376709,0.11444092,0.22296143,0.93847656
470620,999.1084,1001.90576,3.671875,1.0273438,-8.871094,0.11706543,-0.9761963,-0.022460938,0.18115234,471585.0,999.17285,998.57324,-1.3984375,4.6679688,9.234375,0.24157715,0.1161499,0.22155762,0.93756104
470645,999.10254,1001.9094,3.7890625,1.2578125,-8.6328125,0.11517334,-0.9768677,-0.022094727,0.17889404,471605.0,999.18604,998.53735,-1.4765625,3.7890625,10.003906,0.2562256,0.12060547,0.21307373,0.9350586
470665,999.1245,1001.8804,3.828125,1.5273438,-8.2109375,0.111083984,-0.97802734,-0.020568848,0.1751709,471625.0,999.2312,998.5117,-1.5898438,2.4101562,11.535156,0.29467773,0.13250732,0.19018555,0.927063
470680,999.0928,1001.88574,3.75,1.4882812,-8.2890625,0.10595703,-0.9795532,-0.017456055,0.17022705,471645.0,999.2566,998.4509,-1.78125,1.6796875,12.296875,0.36358643,0.16265869,0.15319824,0.9043579
470700,999.1206,1001.96265,3.7109375,1.3359375,-8.449219,0.09765625,-0.9819336,-0.01171875,0.16174316,471665.0,999.1145,998.3782,-3.390625,3.8242188,8.046875,0.45263672,0.21258545,0.10748291,0.8592529
470725,999.0996,1001.91797,3.5976562,0.875,-8.753906,0.0869751,-0.9847412,-0.0040283203,0.15063477,471685.0,999.03,998.3628,-3.9648438,6.2773438,4.484375,0.539917,0.2701416,0.06561279,0.7944946
470745,999.09033,1001.93994,3.4453125,-0.12109375,-9.515625,0.072265625,-0.9879761,0.006591797,0.13647461,471710.0,998.9802,998.37305,-4.15625,7.9257812,0.76953125,0.60913086,0.32385254,0.036010742,0.72302246
470760,999.09766,1001.9636,3.25,-0.6171875,-9.824219,0.059570312,-0.99017334,0.016113281,0.12536621,471725.0,998.91675,998.4404,-4.4648438,8.265625,-1.453125,0.66522217,0.37420654,0.0115356445,0.6459961
470780,999.09375,1001.93945,2.8320312,-0.92578125,-10.1328125,0.043945312,-0.9921875,0.028625488,0.11291504,471745.0,998.90063,998.49,-4.5390625,8.042969,-2.9492188,0.7055054,0.41955566,-0.0060424805,0.57110596
470800,999.095,1001.93286,2.484375,-1.3476562,-10.4375,0.027954102,-0.9935913,0.041931152,0.10107422,471770.0,998.8428,998.5967,-3.7734375,7.0039062,-5.5546875,0.73217773,0.4590454,-0.0115356445,0.50305176
470825,999.1045,1001.9717,2.0625,-2.0351562,-10.667969,0.00970459,-0.99432373,0.05706787,0.089538574,471790.0,998.8213,998.6101,-3.0078125,5.9726562,-6.359375,0.74853516,0.49279785,-0.0025024414,0.4437256
470840,999.08545,1001.9707,1.7578125,-2.4179688,-10.589844,-0.0037231445,-0.9942627,0.06744385,0.08270264,471805.0,998.8303,998.6384,-2.4726562,4.9765625,-7.578125,0.7581177,0.52178955,0.020751953,0.39056396
470860,999.1333,1001.96655,1.6054688,-3.03125,-10.3203125,-0.018737793,-0.99383545,0.07800293,0.07672119,471825.0,998.78955,998.69507,-2.0117188,3.4414062,-8.578125,0.7631836,0.5437622,0.053222656,0.34503174
470885,999.1421,1001.96704,1.3359375,-3.3789062,-10.09375,-0.032104492,-0.993103,0.08673096,0.07220459,471850.0,998.77295,998.6648,-1.015625,2.7929688,-9.886719,0.7671509,0.56170654,0.10046387,0.2930298
470910,999.16064,1002.0178,1.1835938,-3.8359375,-9.5546875,-0.04333496,-0.9921875,0.09442139,0.06903076,471865.0,998.7412,998.6675,-1.2460938,3.0585938,-10.265625,0.7701416,0.5665283,0.12713623,0.2640381
470920,999.16064,1002.0193,1.1054688,-3.875,-9.328125,-0.053527832,-0.99108887,0.101989746,0.06677246,471885.0,998.76855,998.6492,-1.515625,3.0585938,-10.417969,0.776062,0.5679321,0.15100098,0.22894287
470940,999.1433,1002.01953,1.1054688,-3.9140625,-9.1328125,-0.061828613,-0.98999023,0.1083374,0.06585693,471915.0,998.7683,998.615,-1.2851562,3.0976562,-9.5703125,0.78356934,0.56707764,0.15924072,0.19787598
470965,999.0869,1001.96606,1.1054688,-4.0273438,-8.8671875,-0.06842041,-0.9888916,0.11383057,0.066589355,471925.0,998.7683,998.6067,-0.9765625,3.671875,-9.6875,0.7909546,0.5663452,0.15563965,0.17156982
470985,999.13086,1001.9966,0.953125,-4.0664062,-8.2890625,-0.07446289,-0.9875488,0.12011719,0.06866455,471945.0,998.7717,998.6101,-0.94140625,4.2070312,-9.4609375,0.796875,0.5656128,0.14709473,0.15289307
471000,999.1438,1001.9729,1.03125,-3.9882812,-8.027344,-0.078430176,-0.98651123,0.12536621,0.070495605,471965.0,998.7649,998.58203,-0.59375,4.3242188,-9.1171875,0.80059814,0.5652466,0.13873291,0.14263916
471020,999.1565,1002.01685,1.1835938,-3.7617188,-7.71875,-0.08239746,-0.9852905,0.13098145,0.07232666,471985.0,998.78564,998.61084,-0.5546875,5.5117188,-10.613281,0.80114746,0.56640625,0.13171387,0.14160156
471045,999.16406,1001.9988,1.2226562,-3.953125,-7.5625,-0.085998535,-0.98431396,0.1350708,0.0736084,472005.0,998.781,998.594,-0.13671875,4.2070312,-9.6875,0.7993164,0.5680542,0.12701416,0.14923096
471065,999.157,1002.01953,1.2226562,-4.3359375,-7.8320312,-0.090026855,-0.98327637,0.13964844,0.07458496,472025.0,998.77954,998.6494,0.32421875,3.7890625,-9.808594,0.7960205,0.5708008,0.12207031,0.16015625
471080,999.1543,1001.9973,1.1445312,-4.4882812,-7.984375,-0.093322754,-0.98217773,0.14434814,0.07574463,472045.0,998.8303,998.6633,2.1640625,1.9882812,-8.660156,0.7918091,0.57543945,0.11566162,0.16882324
471100,999.1726,1002.03,1.1054688,-4.7578125,-8.105469,-0.097473145,-0.9807129,0.15045166,0.07757568,472065.0,998.823,998.65234,-0.05859375,2.7148438,-8.9609375,0.78796387,0.58013916,0.111450195,0.17364502
471120,999.1367,1002.01636,1.0703125,-5.0625,-8.140625,-0.10095215,-0.9794922,0.15515137,0.079833984,472085.0,998.8103,998.62866,-0.48046875,2.2539062,-8.964844,0.7861328,0.5819092,0.10913086,0.1772461
471145,999.16797,1002.02246,1.2226562,-5.1757812,-7.640625,-0.10394287,-0.9782715,0.15899658,0.08276367,472110.0,998.80054,998.64575,-1.6679688,3.0976562,-7.9335938,0.7852783,0.58306885,0.105163574,0.1796875
