timestamp_1,fPressureFront_1,fPressureSide_1,acceleration.x_1,acceleration.y_1,acceleration.z_1,quaternion.i_1,quaternion.j_1,quaternion.k_1,quaternion.real_1,timestamp_2,fPressureFront_2,fPressureSide_2,acceleration.x_2,acceleration.y_2,acceleration.z_2,quaternion.i_2,quaternion.j_2,quaternion.k_2,quaternion.real_2
1167355,994.69434,993.51855,-1.796875,6.5390625,7.5195312,0.044677734,0.3704834,0.86187744,0.34332275,1167520.0,995.6863,995.9829,3.2734375,6.3359375,4.1210938,0.23852539,-0.41375732,-0.5147705,0.7119751
1167365,994.7151,993.51855,-2.5898438,2.9296875,8.8125,0.0925293,0.1876831,0.3826294,0.89990234,1167525.0,995.6802,995.9822,3.2734375,4.6523438,7.2226562,0.079956055,-0.2984619,-0.690979,0.6535034
1167380,994.7285,993.52026,-2.6640625,2.9296875,8.855469,0.09259033,0.18780518,0.38250732,0.89990234,1167540.0,995.72,995.9905,7.734375,0.81640625,-6.1523438,0.22747803,-0.87091064,0.07171631,0.42962646
1167400,994.7285,993.4946,-2.6640625,3.1210938,8.738281,0.0927124,0.18786621,0.38250732,0.89990234,1167565.0,995.7151,995.95996,7.765625,0.81640625,-6.3046875,0.2276001,-0.87091064,0.07171631,0.42956543
1167420,994.6985,993.51294,-2.6640625,3.234375,8.734375,0.09259033,0.18780518,0.38275146,0.8998413,1167580.0,995.7119,995.97876,7.6601562,0.625,-6.1132812,0.2277832,-0.8710327,0.071777344,0.42919922
1167445,994.7219,993.49585,-2.7421875,3.1210938,8.964844,0.09234619,0.1876831,0.38311768,0.89971924,1167600.0,995.709,996.00806,7.65625,0.703125,-6.0742188,0.22790527,-0.87109375,0.07183838,0.42907715
1167460,994.7046,993.5122,-2.6640625,3.0820312,9.003906,0.09240723,0.18762207,0.38311768,0.89971924,1167620.0,995.73267,996.0012,7.7382812,0.703125,-6.1132812,0.22802734,-0.87109375,0.07183838,0.4290161
1167480,994.71045,993.51685,-2.6679688,3.1132812,9.0078125,0.09259033,0.1876831,0.3829956,0.89971924,1167640.0,995.7278,995.99097,7.65625,0.6640625,-6.1914062,0.22814941,-0.8711548,0.07196045,0.42877197
1167500,994.70557,993.49927,-2.6328125,3.1132812,8.96875,0.09283447,0.1876831,0.3828125,0.8997803,1167660.0,995.6936,996.0005,7.6953125,0.73828125,-6.1523438,0.22827148,-0.87127686,0.072143555,0.42840576
1167525,994.71265,993.5027,-2.6679688,3.1523438,8.859375,0.09307861,0.18774414,0.38256836,0.8998413,1167680.0,995.6968,995.9846,7.6953125,0.73828125,-6.1132812,0.22839355,-0.8713379,0.07220459,0.42822266
1167540,994.7239,993.5122,-2.6328125,3.0742188,8.785156,0.09313965,0.18792725,0.38238525,0.89990234,1167705.0,995.6924,995.9949,7.7382812,0.5859375,-6.1132812,0.22845459,-0.8713989,0.07220459,0.4281006
1167560,994.71436,993.4866,-2.6679688,3.0351562,8.824219,0.09320068,0.18792725,0.3821411,0.8999634,1167720.0,995.70996,995.98193,7.6953125,0.703125,-6.1132812,0.22827148,-0.8713989,0.07220459,0.42816162
1167580,994.7168,993.50854,-2.6679688,2.9960938,8.8984375,0.09320068,0.18762207,0.38189697,0.9001465,1167740.0,995.7261,996.01294,7.6992188,0.703125,-6.1914062,0.22814941,-0.8713989,0.07232666,0.42822266
1167605,994.70435,993.4895,-2.5546875,3.1914062,9.050781,0.09338379,0.18719482,0.38165283,0.9003296,1167760.0,995.71655,996.0032,7.6992188,0.703125,-6.1914062,0.22802734,-0.8713989,0.072509766,0.4282837
1167620,994.7363,993.47656,-2.5546875,3.1914062,8.96875,0.09350586,0.18707275,0.3815918,0.9003296,1167780.0,995.7256,995.9978,7.6210938,0.6640625,-6.1132812,0.22784424,-0.8713989,0.072631836,0.42834473
1167640,994.7224,993.53125,-2.6328125,3.1132812,8.933594,0.093566895,0.18695068,0.38146973,0.90045166,1167800.0,995.69946,996.00464,7.6953125,0.703125,-6.1523438,0.22772217,-0.8713989,0.0725708,0.4284668
1167660,994.7378,993.5161,-2.59375,3.0351562,8.824219,0.09375,0.18695068,0.38128662,0.90045166,1167820.0,995.68677,995.96216,7.765625,0.77734375,-6.34375,0.2277832,-0.87145996,0.07269287,0.4282837
1167685,994.72485,993.51245,-2.5546875,3.0351562,8.863281,0.093688965,0.18707275,0.38128662,0.90045166,1167845.0,995.7163,996.0115,7.65625,0.703125,-6.0742188,0.22784424,-0.87158203,0.07299805,0.42791748
1167700,994.7212,993.49976,-2.5546875,2.9609375,8.902344,0.09362793,0.18719482,0.3812256,0.90045166,1167860.0,995.7053,996.0117,7.7382812,0.73828125,-6.1132812,0.2277832,-0.87158203,0.07299805,0.42791748
1167720,994.73145,993.5112,-2.5546875,2.921875,8.96875,0.09362793,0.1873169,0.3809204,0.90057373,1167880.0,995.7322,995.98096,7.6601562,0.703125,-6.1523438,0.22772217,-0.871521,0.07293701,0.4281006
1167740,994.7124,993.51855,-2.59375,2.9960938,8.933594,0.093811035,0.1875,0.38049316,0.9006958,1167900.0,995.69214,995.9856,7.6953125,0.5859375,-6.1523438,0.22766113,-0.87158203,0.07305908,0.42803955
1167765,994.74976,993.51416,-2.6328125,3.1132812,8.824219,0.093688965,0.1876831,0.3803711,0.90075684,1167920.0,995.7053,995.99585,7.6992188,0.85546875,-6.1523438,0.22766113,-0.87158203,0.07312012,0.42791748
1167780,994.7085,993.50903,-2.7070312,3.1523438,8.824219,0.09350586,0.18780518,0.38031006,0.90075684,1167940.0,995.71094,996.001,7.7695312,0.77734375,-6.1914062,0.22790527,-0.871521,0.07312012,0.42791748
1167800,994.74243,993.51074,-2.7851562,3.1914062,8.863281,0.09313965,0.18792725,0.3803711,0.90075684,1167960.0,995.7202,996.01025,7.6953125,0.5859375,-6.1523438,0.22808838,-0.871521,0.07312012,0.42791748
1167820,994.7517,993.4834,-2.7460938,3.1523438,8.933594,0.09283447,0.18798828,0.3803711,0.90075684,1167985.0,995.71875,996.00195,7.65625,0.625,-6.0742188,0.22796631,-0.87145996,0.07299805,0.4281006
1167840,994.75024,993.5078,-2.6328125,3.1132812,9.125,0.0925293,0.18798828,0.3803711,0.90075684,1168000.0,995.688,995.9907,7.6992188,0.703125,-6.1914062,0.22784424,-0.8713989,0.07287598,0.42834473
1167860,994.72534,993.5,-2.6328125,3.1132812,9.0859375,0.09234619,0.18798828,0.3803711,0.9008179,1168020.0,995.7417,995.9724,7.7382812,0.703125,-6.2265625,0.2277832,-0.87145996,0.07305908,0.42822266
1167880,994.75073,993.5325,-2.6328125,3.1132812,9.0078125,0.092163086,0.18780518,0.38024902,0.9008789,1168045.0,995.6865,995.98145,7.6953125,0.77734375,-6.1523438,0.22784424,-0.87145996,0.07324219,0.42816162
1167900,994.7256,993.50366,-2.7070312,3.1523438,8.96875,0.092163086,0.1876831,0.38012695,0.901001,1168060.0,995.70605,995.96924,7.6992188,0.81640625,-6.1523438,0.22790527,-0.8713989,0.07330322,0.42822266
1167920,994.73584,993.4866,-2.6679688,3.2265625,8.8984375,0.09240723,0.1876831,0.38000488,0.901001,1168080.0,995.7307,995.9905,7.6992188,0.6640625,-6.1914062,0.22790527,-0.8713379,0.07324219,0.42834473
1167940,994.73364,993.51196,-2.5546875,3.1914062,8.933594,0.0925293,0.18743896,0.38006592,0.901062,1168100.0,995.7207,995.98145,7.6992188,0.625,-6.1914062,0.22796631,-0.8713989,0.07324219,0.42822266
1167960,994.75073,993.4783,-2.515625,3.0351562,9.046875,0.09259033,0.18737793,0.38012695,0.901001,1168120.0,995.72534,995.99927,7.65625,0.703125,-6.0742188,0.22802734,-0.8713989,0.07330322,0.4281006
1167980,994.7366,993.51074,-2.515625,2.9609375,9.011719,0.09289551,0.1876831,0.38000488,0.901001,1168140.0,995.72876,996.0051,7.7695312,0.703125,-6.1914062,0.22802734,-0.8713989,0.07318115,0.42822266
1168000,994.7373,993.50806,-2.59375,2.9609375,8.824219,0.09307861,0.18817139,0.37994385,0.9008789,1168160.0,995.71265,996.00903,7.6953125,0.5859375,-6.1523438,0.22796631,-0.87127686,0.07299805,0.42840576
1168020,994.7395,993.5088,-2.6328125,3.0351562,8.824219,0.09313965,0.1887207,0.37994385,0.90075684,1168185.0,995.7002,995.99,7.6953125,0.73828125,-6.1523438,0.22790527,-0.8711548,0.07287598,0.42877197
