timestamp_1,fPressureFront_1,fPressureSide_1,acceleration.x_1,acceleration.y_1,acceleration.z_1,quaternion.i_1,quaternion.j_1,quaternion.k_1,quaternion.real_1,timestamp_2,fPressureFront_2,fPressureSide_2,acceleration.x_2,acceleration.y_2,acceleration.z_2,quaternion.i_2,quaternion.j_2,quaternion.k_2,quaternion.real_2
39165,1022.78906,1019.5425,1.28125,0.0859375,9.714844,-0.003479004,-0.0592041,-0.018005371,0.9980469,39370.0,1020.47485,1020.82007,-1.4257812,0.55078125,9.535156,0.027526855,0.07507324,0.028564453,0.9963989
39175,1022.7644,1019.49194,0.5546875,-0.48828125,9.753906,-0.02355957,-0.03704834,-0.02722168,0.9986572,39380.0,1020.4658,1020.8147,-2.6132812,0.62890625,9.4140625,0.012939453,0.13104248,0.05633545,0.98968506
39185,1022.7588,1019.49194,0.66796875,-0.48828125,9.828125,-0.023620605,-0.0368042,-0.028320312,0.9986572,39395.0,1020.4492,1020.81445,-2.5351562,0.51171875,9.53125,0.012512207,0.1303711,0.057128906,0.9897461
39205,1022.81055,1019.5239,0.70703125,-0.41015625,9.984375,-0.02355957,-0.036621094,-0.029663086,0.9985962,39415.0,1020.4404,1020.8342,-2.34375,0.51171875,9.609375,0.013244629,0.13000488,0.057006836,0.9898071
39225,1022.79443,1019.4851,0.78515625,-0.21875,9.949219,-0.023010254,-0.03643799,-0.030578613,0.9985962,39435.0,1020.45166,1020.80493,-2.1171875,0.62890625,9.7578125,0.014404297,0.12988281,0.05645752,0.9898071
39245,1022.78,1019.51294,0.74609375,-0.10546875,9.832031,-0.022033691,-0.036315918,-0.030944824,0.9985962,39455.0,1020.4641,1020.82104,-2.2304688,0.6640625,9.609375,0.014526367,0.13006592,0.057006836,0.9897461
39265,1022.77905,1019.48584,0.74609375,-0.02734375,9.8671875,-0.021728516,-0.036132812,-0.031311035,0.9985962,39475.0,1020.4807,1020.80005,-2.3085938,0.58984375,9.6484375,0.014160156,0.13031006,0.0579834,0.98968506
39290,1022.77686,1019.5029,0.78515625,-0.296875,10.027344,-0.022338867,-0.036010742,-0.031982422,0.9985962,39495.0,1020.4331,1020.7942,-2.5351562,0.62890625,9.4921875,0.014038086,0.13024902,0.058410645,0.98968506
39305,1022.80884,1019.5266,0.66796875,0.01171875,9.9453125,-0.02319336,-0.0357666,-0.032714844,0.99853516,39515.0,1020.4138,1020.7954,-2.5351562,0.55078125,9.535156,0.014465332,0.12982178,0.057861328,0.9897461
39325,1022.7937,1019.5112,0.6328125,-0.296875,10.0546875,-0.02355957,-0.035888672,-0.032836914,0.99853516,39535.0,1020.46387,1020.78955,-2.5,0.51171875,9.53125,0.015625,0.12988281,0.05706787,0.9897461
