timestamp_1,fPressureFront_1,fPressureSide_1,acceleration.x_1,acceleration.y_1,acceleration.z_1,quaternion.i_1,quaternion.j_1,quaternion.k_1,quaternion.real_1,timestamp_2,fPressureFront_2,fPressureSide_2,acceleration.x_2,acceleration.y_2,acceleration.z_2,quaternion.i_2,quaternion.j_2,quaternion.k_2,quaternion.real_2
1023890,997.70166,997.6345,4.0507812,5.5976562,6.6992188,0.34820557,-0.23620605,0.041992188,0.90618896,1025785.0,996.1553,996.1809,-3.0976562,9.2890625,-2.9765625,0.5328369,0.6154785,0.3034668,0.4951172
1023895,997.70166,997.6345,4.5117188,5.2148438,6.921875,0.28588867,-0.2514038,0.019226074,0.9244995,1025800.0,996.1587,996.1787,-1.9101562,5.7929688,7.2890625,-0.11791992,0.3225708,0.93859863,0.033203125
1023910,997.6763,997.6504,1.4921875,3.8632812,8.589844,0.22485352,0.06011963,0.52111816,0.82110596,1025815.0,996.1631,996.1526,-2.0625,5.6796875,7.3984375,-0.12036133,0.32055664,0.93896484,0.03302002
1023920,997.6936,997.6592,1.3789062,4.0195312,8.5078125,0.22546387,0.059692383,0.5205078,0.8213501,1025835.0,996.1521,996.2051,-2.4101562,5.5664062,7.4804688,-0.12249756,0.31848145,0.9394531,0.03186035
1023935,997.71265,997.6592,1.3789062,4.09375,8.550781,0.22619629,0.0592041,0.5197754,0.8217163,1025855.0,996.1455,996.18384,-2.5625,5.4101562,7.6328125,-0.12261963,0.31799316,0.9395752,0.031433105
1023955,997.69385,997.6494,1.3398438,4.171875,8.511719,0.22680664,0.05834961,0.51904297,0.8220825,1025875.0,996.15234,996.1721,-2.3320312,5.4882812,7.59375,-0.12158203,0.31921387,0.93927,0.03253174
1023970,997.6887,997.655,1.4179688,4.09375,8.433594,0.22711182,0.0569458,0.5182495,0.82250977,1025900.0,996.13477,996.20044,-2.0625,5.8710938,7.4765625,-0.12164307,0.31976318,0.9390869,0.03326416
1023990,997.70166,997.61694,1.5703125,4.0195312,8.394531,0.22747803,0.05609131,0.51763916,0.822876,1025915.0,996.1267,996.1826,-2.1015625,5.6796875,7.6367188,-0.123046875,0.3196411,0.93896484,0.03289795
1024010,997.7085,997.67334,1.609375,3.9023438,8.390625,0.22808838,0.055847168,0.5170288,0.8231201,1025935.0,996.13794,996.176,-2.1796875,5.6796875,7.4765625,-0.1251831,0.31915283,0.9388428,0.031982422
1024035,997.70386,997.67896,1.53125,4.0195312,8.390625,0.22869873,0.055786133,0.5165405,0.8233032,1025955.0,996.13525,996.20166,-2.3710938,5.5664062,7.5546875,-0.12634277,0.31939697,0.93859863,0.031433105
1024050,997.7241,997.6279,1.53125,3.9804688,8.394531,0.22894287,0.055419922,0.5161133,0.8234863,1025975.0,996.13354,996.18335,-2.4101562,5.71875,7.25,-0.12634277,0.31958008,0.93859863,0.031677246
1024070,997.6941,997.67725,1.4414062,4.0859375,8.582031,0.22869873,0.055114746,0.5157471,0.8237915,1025995.0,996.1543,996.18726,-2.2929688,5.640625,7.2539062,-0.12634277,0.3190918,0.9387207,0.032043457
1024090,997.7256,997.6504,1.3632812,4.0859375,8.65625,0.22814941,0.054382324,0.5152588,0.8242798,1026015.0,996.14453,996.1328,-2.3320312,5.5273438,7.25,-0.12689209,0.31866455,0.93878174,0.032104492
1024110,997.7334,997.65796,1.4023438,3.96875,8.808594,0.22814941,0.053771973,0.51452637,0.8248291,1026035.0,996.12427,996.2051,-2.4101562,5.4492188,7.2539062,-0.1274414,0.31866455,0.9387207,0.031921387
1024130,997.6968,997.6958,1.3242188,4.125,8.765625,0.22869873,0.053466797,0.5135498,0.82525635,1026055.0,996.16504,996.18896,-2.3320312,5.6796875,7.2148438,-0.12774658,0.31921387,0.93847656,0.031982422
1024150,997.7068,997.62964,1.4023438,4.1992188,8.660156,0.22924805,0.05303955,0.51257324,0.82580566,1026075.0,996.16895,996.1736,-2.3320312,5.6796875,7.2929688,-0.1281128,0.31903076,0.93847656,0.032043457
1024170,997.7036,997.6411,1.4414062,4.2773438,8.582031,0.22943115,0.052490234,0.51153564,0.826355,1026095.0,996.16064,996.1814,-2.3710938,5.6796875,7.4414062,-0.12872314,0.31817627,0.9387207,0.032226562
1024190,997.71606,997.6289,1.4414062,4.3515625,8.503906,0.22961426,0.051635742,0.5106201,0.82696533,1026120.0,996.1433,996.18823,-2.4453125,5.4882812,7.4375,-0.12994385,0.31677246,0.9390259,0.032226562
1024210,997.7217,997.64526,1.4414062,4.390625,8.4609375,0.2296753,0.05090332,0.50982666,0.8274536,1026135.0,996.16455,996.1677,-2.5625,5.296875,7.5546875,-0.13104248,0.3163452,0.93896484,0.032348633
1024230,997.6814,997.6406,1.4804688,4.3515625,8.464844,0.22949219,0.05029297,0.5091553,0.8280029,1026155.0,996.16626,996.19775,-2.6015625,5.3359375,7.4765625,-0.13165283,0.3171997,0.93859863,0.032592773
1024250,997.69165,997.6399,1.4804688,4.3164062,8.578125,0.2296753,0.049987793,0.50860596,0.8283081,1026175.0,996.17944,996.1814,-2.5234375,5.4101562,7.4414062,-0.13214111,0.3182373,0.9381714,0.032592773
1024270,997.7136,997.6404,1.4804688,4.3515625,8.582031,0.22991943,0.049682617,0.5081787,0.8284912,1026195.0,996.13086,996.1638,-2.484375,5.5273438,7.2539062,-0.13293457,0.31817627,0.93811035,0.032348633
1024290,997.7197,997.63696,1.4023438,4.2382812,8.65625,0.22998047,0.04937744,0.5078125,0.82873535,1026215.0,996.2007,996.1758,-2.5625,5.4882812,7.25,-0.13391113,0.3170166,0.9383545,0.031982422
1024310,997.71704,997.65625,1.4023438,4.1992188,8.660156,0.23016357,0.049072266,0.5073242,0.8289795,1026235.0,996.17114,996.1565,-2.6015625,5.4101562,7.2109375,-0.13458252,0.31567383,0.9387207,0.03173828
