timestamp_1,fPressureFront_1,fPressureSide_1,acceleration.x_1,acceleration.y_1,acceleration.z_1,quaternion.i_1,quaternion.j_1,quaternion.k_1,quaternion.real_1,timestamp_2,fPressureFront_2,fPressureSide_2,acceleration.x_2,acceleration.y_2,acceleration.z_2,quaternion.i_2,quaternion.j_2,quaternion.k_2,quaternion.real_2
144810,839.04785,840.0759,5.3867188,-5.9335938,6.1289062,0.06011963,-0.4421997,0.72735596,0.52130127,127390.0,841.7092,839.4602,-6.0976562,-0.71875,7.7695312,0.31152344,0.11065674,-0.92303467,0.19665527
144830,839.03076,840.0664,5.4648438,-5.7421875,5.8632812,0.060546875,-0.4420166,0.7276001,0.5210571,127410.0,841.6946,839.40674,-6.0976562,-0.56640625,7.5820312,0.31170654,0.11071777,-0.92285156,0.1973877
144850,839.0718,840.0935,5.5039062,-5.8203125,5.8984375,0.060546875,-0.44189453,0.72766113,0.52111816,127425.0,841.72095,839.4463,-6.0976562,-0.796875,7.6601562,0.31140137,0.11126709,-0.9227905,0.19781494
144870,839.06274,840.0669,5.3476562,-5.6289062,6.0078125,0.060546875,-0.4418335,0.7276001,0.52124023,127445.0,841.75464,839.4265,-6.1367188,-0.7578125,7.8085938,0.31103516,0.111450195,-0.92285156,0.19805908
144890,839.0676,840.0525,5.3476562,-5.8203125,6.0859375,0.06060791,-0.44195557,0.7276001,0.5211792,127465.0,841.73486,839.44653,-6.0976562,-0.6796875,7.921875,0.31085205,0.111572266,-0.9227905,0.1984253
144910,839.0542,840.07837,5.3867188,-5.8984375,6.046875,0.06085205,-0.44189453,0.72772217,0.52093506,127485.0,841.71924,839.4138,-6.0585938,-0.796875,7.84375,0.31066895,0.111572266,-0.92285156,0.19848633
144930,839.0437,840.0923,5.3867188,-5.859375,5.9765625,0.061157227,-0.4418335,0.7279053,0.52075195,127505.0,841.6814,839.42065,-6.0976562,-0.7578125,7.6992188,0.31018066,0.11138916,-0.9230957,0.19830322
144950,839.0525,840.0864,5.5039062,-5.703125,5.7851562,0.061340332,-0.44171143,0.72802734,0.5206299,127525.0,841.68823,839.45605,-6.1757812,-0.71875,7.765625,0.30993652,0.111572266,-0.9230957,0.19836426
144970,839.0503,840.07495,5.4648438,-5.6289062,5.8242188,0.061157227,-0.44177246,0.7279663,0.52075195,127545.0,841.68286,839.4282,-6.1367188,-0.87109375,7.7695312,0.3100586,0.111816406,-0.92303467,0.1984253
144990,839.0354,840.09424,5.4257812,-5.6679688,5.9375,0.060791016,-0.4420166,0.7277832,0.520874,127565.0,841.729,839.4468,-6.0234375,-0.796875,7.7695312,0.31018066,0.111450195,-0.9230957,0.19812012
145010,839.0276,840.10254,5.4648438,-5.859375,5.9765625,0.060546875,-0.4421997,0.72766113,0.520813,127585.0,841.70996,839.47534,-6.0585938,-0.7578125,7.7304688,0.3100586,0.111206055,-0.9232178,0.19781494
145030,839.03174,840.1084,5.3476562,-5.9335938,6.1289062,0.06036377,-0.4423828,0.7276001,0.520813,127605.0,841.6958,839.4248,-6.0976562,-0.7578125,7.7265625,0.3100586,0.11102295,-0.92333984,0.19744873
145050,839.04565,840.0969,5.3125,-5.9335938,6.2460938,0.06048584,-0.44244385,0.72766113,0.5206909,127630.0,841.7068,839.4429,-6.0976562,-0.7578125,7.9609375,0.31030273,0.11102295,-0.9232788,0.19744873
145070,839.05615,840.0923,5.3125,-5.859375,6.2460938,0.06085205,-0.4423828,0.72784424,0.5204468,127645.0,841.708,839.4158,-6.0585938,-0.87109375,7.9648438,0.31066895,0.11114502,-0.92303467,0.19769287
145090,839.0554,840.07324,5.3476562,-5.703125,6.1289062,0.061401367,-0.44226074,0.7281494,0.52001953,127665.0,841.70703,839.4602,-6.0976562,-0.87109375,7.9257812,0.31079102,0.11090088,-0.92303467,0.1977539
145110,839.09033,840.0513,5.5390625,-5.5898438,5.9375,0.061828613,-0.44207764,0.72857666,0.51953125,127685.0,841.70996,839.46216,-6.1757812,-0.796875,7.84375,0.31072998,0.1104126,-0.9230957,0.19781494
145130,839.0381,840.0901,5.578125,-5.703125,5.9414062,0.061950684,-0.44189453,0.72888184,0.5192261,127705.0,841.699,839.42163,-6.0976562,-0.60546875,7.6953125,0.31066895,0.11022949,-0.9230957,0.19793701
145150,839.05273,840.0928,5.5390625,-5.7421875,5.9804688,0.062072754,-0.44171143,0.729187,0.51904297,127725.0,841.72363,839.4385,-6.0234375,-0.6796875,7.8828125,0.31079102,0.11053467,-0.92297363,0.19818115
145170,839.04785,840.0657,5.578125,-5.8203125,5.9765625,0.062316895,-0.44158936,0.7293701,0.5187378,127745.0,841.68164,839.4287,-6.0585938,-0.7578125,7.9648438,0.31097412,0.11065674,-0.92285156,0.19836426
145190,839.05347,840.05396,5.6171875,-5.6679688,5.7460938,0.0625,-0.44158936,0.7294922,0.5185547,127765.0,841.67554,839.42896,-6.0234375,-0.640625,7.9257812,0.31140137,0.11077881,-0.92266846,0.1986084
145210,839.03955,840.0676,5.6171875,-5.6679688,5.8632812,0.062438965,-0.4416504,0.7294922,0.51849365,127785.0,841.69434,839.4065,-6.0976562,-0.6796875,7.765625,0.31170654,0.11065674,-0.9225464,0.19873047
145230,839.0571,840.06445,5.5390625,-5.703125,5.9804688,0.06237793,-0.4416504,0.7295532,0.5184326,127805.0,841.70654,839.3938,-6.1757812,-0.60546875,7.7265625,0.31195068,0.11022949,-0.9225464,0.19873047
145250,839.0542,840.1045,5.5390625,-5.859375,6.0078125,0.062561035,-0.44158936,0.7295532,0.5184326,127825.0,841.70386,839.4321,-6.0976562,-0.52734375,7.65625,0.31243896,0.11047363,-0.92230225,0.19891357
145270,839.0686,840.0823,5.3867188,-5.6289062,5.8984375,0.062805176,-0.44152832,0.7295532,0.5185547,127850.0,841.70825,839.45996,-6.1757812,-0.91015625,7.8476562,0.31280518,0.11090088,-0.9220581,0.19915771
145290,839.05664,840.0891,5.3867188,-5.703125,6.046875,0.062683105,-0.44152832,0.7294922,0.5186157,127865.0,841.7007,839.4343,-6.1367188,-0.87109375,7.8085938,0.31298828,0.110839844,-0.92193604,0.19934082
145310,839.0901,840.07056,5.4257812,-5.78125,6.125,0.062683105,-0.4416504,0.7294922,0.51849365,127885.0,841.7368,839.4595,-6.1367188,-0.640625,7.7304688,0.31280518,0.11053467,-0.9220581,0.19940186
145330,839.0581,840.1028,5.4257812,-5.8984375,6.125,0.06298828,-0.44158936,0.7297363,0.51812744,127905.0,841.73193,839.4326,-6.1757812,-0.6796875,7.6992188,0.3123169,0.10998535,-0.92230225,0.19927979
145350,839.0737,840.0637,5.4648438,-5.8203125,5.9414062,0.06329346,-0.4413452,0.7300415,0.5178833,127925.0,841.70483,839.4348,-6.1367188,-0.796875,7.8476562,0.31195068,0.109375,-0.9225464,0.19903564
145370,839.04175,840.08374,5.4257812,-5.7421875,5.9414062,0.06329346,-0.44104004,0.7302246,0.51794434,127945.0,841.7439,839.45215,-6.0976562,-0.7578125,7.9609375,0.3118286,0.10900879,-0.9226074,0.19903564
145390,839.0122,840.0803,5.3867188,-5.703125,6.0117188,0.06304932,-0.44085693,0.7301636,0.5181885,127965.0,841.7285,839.46655,-6.1367188,-0.71875,7.8828125,0.31207275,0.10876465,-0.9225464,0.19915771
