timestamp_1,fPressureFront_1,fPressureSide_1,acceleration.x_1,acceleration.y_1,acceleration.z_1,quaternion.i_1,quaternion.j_1,quaternion.k_1,quaternion.real_1,timestamp_2,fPressureFront_2,fPressureSide_2,acceleration.x_2,acceleration.y_2,acceleration.z_2,quaternion.i_2,quaternion.j_2,quaternion.k_2,quaternion.real_2
180015,1012.9219,1013.59644,3.6640625,9.082031,1.53125,0.64715576,-0.008422852,0.2755127,0.7108154,179650.0,1011.04517,1013.60547,-6.796875,5.3476562,-4.9648438,-0.52667236,0.68634033,0.4840088,0.13183594
180020,1012.9219,1013.5901,3.4726562,8.921875,1.4570312,0.6508179,-0.013122559,0.27105713,0.70910645,179665.0,1011.0471,1013.6052,-5.8789062,7.1132812,-4.1992188,-0.52905273,0.65179443,0.5432739,0.010070801
180040,1012.9353,1013.5867,4.6601562,7.9726562,3.2539062,0.5755005,0.014831543,0.45996094,0.6760254,179680.0,1011.0293,1013.6111,-5.8398438,7.2226562,-4.3554688,-0.5317383,0.6513672,0.5411377,0.012084961
180055,1012.9707,1013.605,4.6601562,8.121094,3.21875,0.5762329,0.016357422,0.45898438,0.6760254,179700.0,1011.022,1013.59814,-5.9921875,7.2578125,-4.390625,-0.53411865,0.65075684,0.5395508,0.01373291
180075,1012.9519,1013.57837,4.5820312,8.355469,3.140625,0.57702637,0.018188477,0.45776367,0.67614746,179720.0,1011.0364,1013.6184,-6.0703125,7.3007812,-4.5820312,-0.53619385,0.6498413,0.5385132,0.014831543
180095,1012.969,1013.57495,4.5429688,8.394531,3.0273438,0.5778198,0.019958496,0.45654297,0.67626953,179740.0,1011.0613,1013.6162,-6.109375,7.2226562,-4.7382812,-0.5378418,0.64886475,0.53808594,0.015258789
180115,1012.93677,1013.57056,4.5039062,8.394531,3.0273438,0.57855225,0.021484375,0.45550537,0.67626953,179760.0,1011.0547,1013.6282,-6.109375,7.1523438,-4.6210938,-0.5392456,0.647583,0.538208,0.015258789
180135,1012.91895,1013.58936,4.5039062,8.433594,2.9882812,0.57940674,0.022949219,0.45458984,0.6760864,179785.0,1011.0469,1013.60815,-5.9921875,6.875,-4.3554688,-0.5404663,0.6463623,0.53845215,0.014526367
180155,1012.95215,1013.5742,4.5039062,8.46875,2.9101562,0.5805664,0.024353027,0.45373535,0.6756592,179800.0,1011.07227,1013.6101,-5.953125,6.765625,-4.1992188,-0.5418091,0.64538574,0.53826904,0.013000488
180175,1012.9695,1013.59814,4.5820312,8.46875,2.8359375,0.581604,0.02532959,0.4529419,0.67523193,179820.0,1011.0415,1013.66943,-5.9179688,6.6523438,-4.1992188,-0.54351807,0.6449585,0.5371094,0.01159668
