timestamp_1,fPressureFront_1,fPressureSide_1,acceleration.x_1,acceleration.y_1,acceleration.z_1,quaternion.i_1,quaternion.j_1,quaternion.k_1,quaternion.real_1,timestamp_2,fPressureFront_2,fPressureSide_2,acceleration.x_2,acceleration.y_2,acceleration.z_2,quaternion.i_2,quaternion.j_2,quaternion.k_2,quaternion.real_2
494910,1006.7134,1003.67944,3.7578125,0.26953125,-8.9609375,-0.59332275,-0.78131104,-0.12640381,0.14678955,495285.0,1003.6035,1005.4204,-6.6445312,5.6914062,4.3085938,0.5203247,0.06829834,-0.56640625,0.635437
494915,1006.68286,1003.67944,3.796875,0.42578125,-8.777344,-0.5936279,-0.779541,-0.13250732,0.14953613,495290.0,1003.61206,1005.4314,-6.7226562,5.6132812,4.2695312,0.5149536,0.0680542,-0.56536865,0.6407471
494930,1006.6836,1003.6692,4.5625,4.9453125,-6.6679688,-0.39801025,-0.831604,-0.37609863,0.09246826,495305.0,1003.60547,1005.4214,-7.4453125,4.3867188,4.7695312,0.45092773,0.29187012,-0.3779297,0.75408936
494950,1006.72314,1003.7068,4.5625,5.1757812,-6.9335938,-0.3977661,-0.83184814,-0.3748169,0.09667969,495325.0,1003.6179,1005.4695,-7.5273438,4.3476562,4.578125,0.4520874,0.29101562,-0.38189697,0.751709
494965,1006.6924,1003.70435,4.6367188,5.0976562,-7.0898438,-0.39788818,-0.8319702,-0.37365723,0.09942627,495340.0,1003.625,1005.4453,-7.5273438,4.3867188,4.5390625,0.45300293,0.28930664,-0.38653564,0.7494507
494980,1006.69556,1003.6931,4.5234375,5.1367188,-7.203125,-0.39788818,-0.8326416,-0.37127686,0.10253906,495360.0,1003.6018,1005.4346,-7.6445312,4.3867188,4.4609375,0.45355225,0.2880249,-0.390625,0.7474365
495000,1006.72437,1003.70435,4.6015625,5.0195312,-6.7421875,-0.39746094,-0.83428955,-0.3670044,0.10626221,495380.0,1003.58936,1005.4404,-7.7226562,4.3476562,4.3476562,0.4541626,0.2871704,-0.3945923,0.7453613
495015,1006.69604,1003.71704,4.8671875,4.7539062,-6.4804688,-0.39733887,-0.83569336,-0.362854,0.10974121,495400.0,1003.604,1005.4541,-7.9492188,4.15625,4.15625,0.45465088,0.28631592,-0.3984375,0.74334717
495035,1006.6963,1003.72217,4.828125,4.6015625,-6.8945312,-0.39770508,-0.8364258,-0.35980225,0.11279297,495420.0,1003.5901,1005.4324,-8.0625,4.15625,4.1171875,0.45483398,0.28497314,-0.40283203,0.74139404
495055,1006.70044,1003.7312,4.6757812,4.7539062,-7.3125,-0.39782715,-0.8378296,-0.35534668,0.11639404,495440.0,1003.6199,1005.46094,-8.0625,4.1210938,4.1953125,0.4547119,0.2831421,-0.40759277,0.739563
495080,1006.7095,1003.6885,4.828125,4.828125,-6.7460938,-0.3970337,-0.8401489,-0.34906006,0.121276855,495460.0,1003.6133,1005.4575,-7.984375,4.0429688,4.3867188,0.4550171,0.28118896,-0.41253662,0.7373657
495095,1006.7217,1003.7173,4.984375,4.3710938,-6.703125,-0.39642334,-0.842041,-0.34344482,0.12573242,495480.0,1003.59106,1005.4663,-7.7929688,4.1210938,4.3085938,0.45562744,0.27941895,-0.41729736,0.73498535
495115,1006.718,1003.71826,4.828125,4.4453125,-6.8945312,-0.3965454,-0.8430786,-0.33972168,0.12872314,495500.0,1003.59766,1005.4419,-7.7890625,4.0820312,4.3476562,0.45617676,0.27789307,-0.42175293,0.732666
495135,1006.7058,1003.71045,4.6367188,4.6015625,-7.6679688,-0.39678955,-0.8442993,-0.33544922,0.13128662,495520.0,1003.64014,1005.4839,-7.75,4.0820312,4.3476562,0.45629883,0.2763672,-0.4262085,0.7305908
495160,1006.73364,1003.7258,4.90625,4.3320312,-7.0859375,-0.39709473,-0.8460083,-0.3297119,0.13360596,495540.0,1003.6118,1005.4646,-7.6835938,3.9648438,4.4609375,0.45629883,0.27441406,-0.43103027,0.7285156
495175,1006.73267,1003.7317,5.0585938,4.3320312,-6.6640625,-0.39752197,-0.8475342,-0.32434082,0.1359253,495560.0,1003.6399,1005.4595,-7.4453125,4.0820312,4.4609375,0.4564209,0.27197266,-0.43634033,0.72613525
495195,1006.6853,1003.74536,4.8671875,4.0234375,-7.4726562,-0.39794922,-0.84869385,-0.31958008,0.1385498,495580.0,1003.5852,1005.50684,-7.4453125,4.0039062,4.5,0.45629883,0.2697754,-0.4414673,0.723938
495215,1006.7014,1003.71655,4.7929688,4.0625,-7.6992188,-0.39904785,-0.84991455,-0.31414795,0.14050293,495600.0,1003.57935,1005.4756,-7.484375,3.8125,4.6914062,0.45611572,0.26739502,-0.44628906,0.72198486
