timestamp_1,fPressureFront_1,fPressureSide_1,acceleration.x_1,acceleration.y_1,acceleration.z_1,quaternion.i_1,quaternion.j_1,quaternion.k_1,quaternion.real_1,timestamp_2,fPressureFront_2,fPressureSide_2,acceleration.x_2,acceleration.y_2,acceleration.z_2,quaternion.i_2,quaternion.j_2,quaternion.k_2,quaternion.real_2
1216840,991.34155,992.02246,-5.6289062,-8.207031,4.8125,-0.5422363,0.048950195,0.32440186,0.7735596,1217070.0,993.2949,993.28296,1.2890625,7.6679688,-6.9375,0.7545166,-0.49279785,-0.19006348,0.38952637
1216855,991.3096,992.0105,7.6640625,0.953125,-5.5664062,0.55462646,-0.69415283,0.23950195,0.39135742,1217080.0,993.3081,993.2898,-2.203125,9.40625,1.65625,-0.037963867,0.6359253,0.7576294,0.14196777
1216865,991.32935,992.0054,7.7851562,0.9921875,-5.6835938,0.5541382,-0.6945801,0.24066162,0.390625,1217095.0,993.2959,993.2683,-2.5078125,9.449219,1.65625,-0.038146973,0.6364136,0.7572632,0.14178467
1216885,991.3369,992.02026,8.0078125,0.953125,-5.875,0.55340576,-0.6951294,0.24139404,0.3902588,1217115.0,993.3406,993.334,-2.625,9.2890625,1.65625,-0.038024902,0.6366577,0.7570801,0.14154053
1216905,991.3357,991.98755,7.9726562,0.53125,-5.6445312,0.5527954,-0.6954956,0.24176025,0.39019775,1217135.0,993.292,993.31665,-2.546875,9.3671875,1.6953125,-0.037475586,0.637146,0.75671387,0.14141846
1216930,991.33545,992.0188,7.78125,0.6875,-5.5273438,0.5526123,-0.6954956,0.24133301,0.39074707,1217155.0,993.31494,993.31274,-2.3945312,9.5546875,1.7304688,-0.037109375,0.6375122,0.7564697,0.14141846
1216945,991.30396,991.9939,7.546875,0.80078125,-5.4140625,0.5527344,-0.6951294,0.24102783,0.39141846,1217175.0,993.3086,993.3142,-2.3945312,9.5546875,1.7304688,-0.036987305,0.63739014,0.75653076,0.14141846
1216965,991.3159,991.9961,7.359375,0.87890625,-5.4140625,0.5527344,-0.6949463,0.24133301,0.3914795,1217195.0,993.31714,993.27563,-2.3164062,9.410156,1.8085938,-0.037109375,0.63726807,0.75665283,0.14147949
1216985,991.32446,991.9973,7.3984375,0.76171875,-5.453125,0.5527344,-0.6949463,0.24188232,0.39117432,1217215.0,993.3076,993.301,-2.3554688,9.3671875,1.8867188,-0.03729248,0.6373291,0.75653076,0.1416626
1217010,991.3164,991.9741,7.703125,0.72265625,-5.6445312,0.5527954,-0.6949463,0.24230957,0.39093018,1217235.0,993.31396,993.2881,-2.3945312,9.292969,1.8476562,-0.037475586,0.63757324,0.75634766,0.1416626
1217025,991.31323,991.95166,7.78125,0.83984375,-5.6835938,0.55285645,-0.6947632,0.24249268,0.39093018,1217255.0,993.27637,993.3032,-2.3554688,9.25,1.7304688,-0.037719727,0.6380005,0.75598145,0.14160156
1217045,991.29004,991.9971,7.8125,0.72265625,-5.6445312,0.5527954,-0.69470215,0.24243164,0.39117432,1217275.0,993.29565,993.31274,-2.4335938,9.2109375,1.65625,-0.037719727,0.6386719,0.7554321,0.1416626
1217065,991.31006,991.9839,7.7460938,0.609375,-5.4921875,0.5529175,-0.6946411,0.24249268,0.39111328,1217295.0,993.2908,993.3098,-2.3164062,9.097656,1.65625,-0.03717041,0.6395874,0.75457764,0.14190674
1217090,991.3418,991.9663,7.5859375,0.72265625,-5.3359375,0.5532837,-0.694458,0.24255371,0.39086914,1217315.0,993.3025,993.3013,-2.1640625,9.2890625,1.65625,-0.036621094,0.6405029,0.75372314,0.14239502
1217105,991.3164,991.99,7.546875,0.9140625,-5.3007812,0.55352783,-0.69433594,0.24255371,0.39068604,1217335.0,993.30396,993.3345,-2.0507812,9.515625,1.6953125,-0.03668213,0.64086914,0.75341797,0.14251709
1217125,991.3198,991.9778,7.5859375,1.2617188,-5.375,0.553833,-0.69433594,0.24279785,0.39013672,1217360.0,993.2942,993.2905,-2.203125,9.3671875,1.65625,-0.037353516,0.64086914,0.753479,0.14208984
1217145,991.3115,992.0029,7.625,1.2617188,-5.4140625,0.5539551,-0.6945801,0.24334717,0.3892212,1217375.0,993.27905,993.3091,-2.2773438,9.2890625,1.65625,-0.037902832,0.64105225,0.75341797,0.14141846
1217170,991.28394,991.9846,7.9335938,0.953125,-5.5664062,0.55358887,-0.69506836,0.24468994,0.38806152,1217395.0,993.2937,993.3198,-2.2773438,9.40625,1.578125,-0.038085938,0.64160156,0.75305176,0.14093018
1217185,991.302,992.0039,7.7851562,0.953125,-5.5273438,0.55322266,-0.6953125,0.24572754,0.38739014,1217415.0,993.3386,993.31274,-2.1640625,9.7890625,1.578125,-0.038330078,0.64178467,0.75286865,0.14068604
1217205,991.3013,991.9883,7.8164062,0.9921875,-5.5273438,0.55285645,-0.6956787,0.24597168,0.387146,1217435.0,993.3291,993.28955,-2.125,9.75,1.65625,-0.03881836,0.6412964,0.75323486,0.1408081
1217225,991.3186,991.9907,7.8164062,0.83984375,-5.5664062,0.5527954,-0.6960449,0.24560547,0.3867798,1217455.0,993.32324,993.313,-2.203125,9.480469,1.6953125,-0.039367676,0.6407471,0.7536621,0.14117432
1217250,991.30225,991.9973,7.8554688,0.6875,-5.7226562,0.5526123,-0.69647217,0.24517822,0.3866577,1217475.0,993.28613,993.30493,-2.3164062,9.4765625,1.7304688,-0.03967285,0.6404419,0.7537842,0.14178467
1217265,991.2803,992.04297,7.7421875,0.609375,-5.6054688,0.5523071,-0.6966553,0.24517822,0.3866577,1217495.0,993.32446,993.27466,-2.2421875,9.4765625,1.8085938,-0.039978027,0.6402588,0.7537842,0.14239502
1217285,991.28955,991.98535,7.703125,0.609375,-5.6054688,0.5519409,-0.69677734,0.24536133,0.38684082,1217515.0,993.33716,993.2883,-2.3554688,9.519531,1.7304688,-0.040527344,0.64019775,0.75372314,0.1427002
1217305,991.31323,991.9917,7.6289062,0.72265625,-5.5664062,0.5515747,-0.6968994,0.2454834,0.38702393,1217535.0,993.3396,993.2937,-2.5078125,9.515625,1.7304688,-0.041137695,0.6400757,0.7537842,0.14282227
1217330,991.3286,991.97095,7.546875,0.80078125,-5.4921875,0.55114746,-0.69714355,0.2456665,0.387146,1217555.0,993.31885,993.32153,-2.5859375,9.449219,1.8085938,-0.0413208,0.6400757,0.75372314,0.14312744
1217345,991.27954,991.9702,7.5859375,0.72265625,-5.453125,0.5508423,-0.69744873,0.24578857,0.3869629,1217575.0,993.28735,993.31006,-2.546875,9.4453125,1.7695312,-0.041137695,0.6403198,0.753479,0.14349365
1217365,991.31714,991.9971,7.6679688,0.609375,-5.453125,0.5505371,-0.697876,0.24609375,0.3864746,1217595.0,993.30884,993.31323,-2.3554688,9.449219,1.6953125,-0.04058838,0.6407471,0.75305176,0.14385986
1217385,991.3147,991.9934,7.7070312,0.6484375,-5.5273438,0.55010986,-0.69836426,0.24621582,0.3861084,1217615.0,993.30054,993.302,-2.1640625,9.558594,1.65625,-0.040161133,0.6413574,0.75250244,0.144104
