timestamp_1,fPressureFront_1,fPressureSide_1,acceleration.x_1,acceleration.y_1,acceleration.z_1,quaternion.i_1,quaternion.j_1,quaternion.k_1,quaternion.real_1,timestamp_2,fPressureFront_2,fPressureSide_2,acceleration.x_2,acceleration.y_2,acceleration.z_2,quaternion.i_2,quaternion.j_2,quaternion.k_2,quaternion.real_2
376405,1010.1614,1012.22534,7.5078125,4.9804688,0.84375,-0.21044922,-0.6557617,-0.5583496,0.4625244,380560,1011.58276,1010.6511,-4.1757812,7.234375,1.8398438,0.18249512,0.6203613,0.501709,0.57458496
376410,1010.13403,1012.229,9.1171875,4.9414062,-0.53515625,-0.28582764,-0.6407471,-0.5662842,0.43249512,380575,1011.5574,1010.6079,-4.2148438,6.8203125,4.9414062,0.52264404,0.061035156,-0.3996582,0.75061035
376425,1010.1428,1012.2302,7.7773438,1.3398438,-7.625,-0.524292,-0.76086426,-0.25256348,0.28704834,380585,1011.5781,1010.5867,-4.3671875,6.8515625,4.9414062,0.52197266,0.062316895,-0.40039062,0.7505493
376435,1010.1428,1012.24414,7.6953125,1.1875,-7.5859375,-0.5279541,-0.7598877,-0.24938965,0.28564453,380605,1011.56226,1010.5515,-4.4804688,6.7421875,4.7109375,0.52142334,0.06304932,-0.40142822,0.7503052
376455,1010.1714,1012.2031,7.4335938,0.84375,-7.3945312,-0.5325928,-0.7581787,-0.2467041,0.28393555,380625,1011.58105,1010.46387,-4.5585938,6.5859375,4.671875,0.52142334,0.062194824,-0.40350342,0.7492676
376475,1010.1763,1012.1887,7.0117188,0.49609375,-7.234375,-0.5371094,-0.75653076,-0.24407959,0.28204346,380645,1011.5642,1010.4011,-4.40625,6.7851562,4.8632812,0.522583,0.059265137,-0.40704346,0.7468262
376495,1010.1636,1012.1975,6.8554688,0.421875,-7.125,-0.54156494,-0.755249,-0.24084473,0.27990723,380665,1011.553,1010.21094,-4.1757812,6.890625,4.8632812,0.5239868,0.05657959,-0.41052246,0.7441406
376515,1010.1499,1012.1863,6.6640625,0.421875,-7.046875,-0.5461426,-0.75439453,-0.23608398,0.2772827,380685,1011.5542,1010.22485,-4.1367188,7.2070312,4.9414062,0.5246582,0.055541992,-0.41363525,0.74194336
376535,1010.1477,1012.2073,6.5507812,0.4609375,-7.1640625,-0.5510864,-0.7536621,-0.22955322,0.27496338,380705,1011.5864,1010.06836,-4.3671875,6.890625,5.0195312,0.5250244,0.055419922,-0.41577148,0.74053955
376555,1010.1472,1012.19604,6.9335938,0.19140625,-8.121094,-0.55511475,-0.7527466,-0.22314453,0.27459717,380725,1011.60156,1010.01245,-4.5195312,6.6679688,5.0195312,0.5265503,0.05505371,-0.41784668,0.73828125
376575,1010.1533,1012.1863,6.78125,0.34375,-7.9335938,-0.5578003,-0.75146484,-0.21862793,0.2763672,380745,1011.5315,1009.895,-4.5585938,6.8203125,5.0195312,0.52874756,0.05480957,-0.4197998,0.73565674
376595,1010.1426,1012.2002,6.5117188,0.3046875,-7.7382812,-0.56030273,-0.74957275,-0.21557617,0.2788086,380765,1011.5747,1009.92334,-4.5585938,7.046875,4.8632812,0.5313721,0.055786133,-0.42181396,0.73254395
376615,1010.1653,1012.1653,6.3203125,0.3046875,-7.4335938,-0.56329346,-0.7473755,-0.21350098,0.2802124,380785,1011.5493,1010.05176,-4.7890625,7.0078125,4.4804688,0.5336304,0.058166504,-0.4234619,0.7297363
376635,1010.1362,1012.1697,6.0507812,0.0390625,-7.2382812,-0.5665283,-0.74560547,-0.21148682,0.2800293,380805,1011.5603,1009.88086,-4.828125,6.7851562,4.328125,0.536499,0.06097412,-0.42529297,0.7263794
