timestamp_1,fPressureFront_1,fPressureSide_1,acceleration.x_1,acceleration.y_1,acceleration.z_1,quaternion.i_1,quaternion.j_1,quaternion.k_1,quaternion.real_1,timestamp_2,fPressureFront_2,fPressureSide_2,acceleration.x_2,acceleration.y_2,acceleration.z_2,quaternion.i_2,quaternion.j_2,quaternion.k_2,quaternion.real_2
692125.0,1013.6655,1011.6819,-0.21875,10.3125,-0.07421875,0.45648193,0.5531006,0.5463867,0.4326172,696615,1009.3694,1013.2781,-2.5078125,2.265625,-9.550781,0.49066162,0.8586426,0.015625,0.14752197
692130.0,1013.67456,1011.6826,0.203125,9.703125,-0.6484375,0.47735596,0.54296875,0.5375366,0.434021,696630,1009.37646,1013.27,-5.3828125,7.4414062,-0.23828125,0.5604248,-0.4099121,-0.67749023,0.24279785
692150.0,1013.68774,1011.71875,3.2265625,8.441406,-1.6054688,0.021362305,-0.7541504,-0.59802246,0.27044678,696645,1009.3928,1013.2339,-5.3046875,7.4765625,-0.125,0.5604248,-0.40899658,-0.67755127,0.24414062
692175.0,1013.64526,1011.7053,3.4960938,8.167969,-1.71875,0.019897461,-0.7542114,-0.5985718,0.26922607,696665,1009.39746,1013.291,-5.34375,7.5859375,0.02734375,0.5606079,-0.40844727,-0.67736816,0.24493408
692190.0,1013.64624,1011.6721,3.4960938,8.285156,-1.71875,0.018859863,-0.7545166,-0.598999,0.2675171,696685,1009.39185,1013.26904,-5.34375,7.703125,-0.0859375,0.56103516,-0.40856934,-0.67663574,0.24584961
692210.0,1013.68066,1011.6831,3.6875,8.3984375,-1.9492188,0.018371582,-0.7546997,-0.5991211,0.2668457,696705,1009.3948,1013.2717,-5.4570312,7.8984375,-0.1640625,0.56134033,-0.4085083,-0.6760864,0.2468872
692230.0,1013.6643,1011.6753,3.6484375,8.5859375,-2.0273438,0.018310547,-0.75427246,-0.5991821,0.2677002,696725,1009.39185,1013.29297,-5.4570312,7.8984375,-0.1640625,0.56134033,-0.40808105,-0.6759033,0.24810791
692250.0,1013.6929,1011.6897,3.1523438,8.3203125,-1.6445312,0.017944336,-0.75335693,-0.6000366,0.26837158,696745,1009.3479,1013.3074,-5.5351562,7.8632812,-0.390625,0.5611572,-0.4074707,-0.6760254,0.24920654
692270.0,1013.6699,1011.6765,3.3046875,8.402344,-1.6796875,0.017333984,-0.7526245,-0.60113525,0.26800537,696765,1009.3782,1013.28955,-5.609375,7.859375,-0.31640625,0.56073,-0.40679932,-0.6763916,0.25006104
692290.0,1013.6824,1011.69824,3.34375,8.558594,-1.5273438,0.016113281,-0.75177,-0.60253906,0.2675171,696785,1009.3628,1013.2588,-5.4960938,7.859375,-0.27734375,0.5601196,-0.40631104,-0.67681885,0.25115967
692310.0,1013.6665,1011.68726,3.421875,8.7421875,-1.453125,0.014343262,-0.75024414,-0.6046753,0.26696777,696805,1009.3738,1013.2842,-5.4570312,7.8984375,-0.125,0.55944824,-0.4058838,-0.67718506,0.25238037
692330.0,1013.6858,1011.66943,3.4960938,8.589844,-1.1835938,0.012756348,-0.74816895,-0.6074829,0.26654053,696825,1009.3738,1013.30176,-5.5742188,7.9335938,-0.046875,0.55877686,-0.40527344,-0.67749023,0.25390625
692350.0,1013.6853,1011.69604,3.4960938,8.4765625,-1.03125,0.012268066,-0.746521,-0.60961914,0.2662964,696845,1009.37036,1013.2754,-5.5351562,7.8242188,0.18359375,0.55773926,-0.4048462,-0.6781006,0.25531006
692370.0,1013.6985,1011.6836,3.6132812,8.515625,-1.0664062,0.012817383,-0.74591064,-0.61016846,0.26678467,696865,1009.3994,1013.2588,-5.4179688,7.7460938,0.296875,0.55682373,-0.40490723,-0.6784668,0.2562256
692395.0,1013.6819,1011.6836,3.1132812,9.433594,-0.83984375,0.012939453,-0.7453613,-0.61047363,0.26757812,696885,1009.3828,1013.2727,-5.3828125,7.9335938,0.375,0.55615234,-0.4050293,-0.67858887,0.25726318
692410.0,1013.688,1011.6902,3.2265625,9.246094,-0.875,0.011108398,-0.7439575,-0.61242676,0.26715088,696905,1009.4026,1013.2654,-5.3046875,8.089844,0.44921875,0.55566406,-0.40447998,-0.67852783,0.25933838
692430.0,1013.68384,1011.6477,3.4570312,8.972656,-1.03125,0.009033203,-0.74261475,-0.6143799,0.26641846,696925,1009.39844,1013.2302,-5.4179688,8.011719,0.52734375,0.5553589,-0.40368652,-0.6782837,0.26184082
692450.0,1013.6636,1011.68994,3.6484375,8.667969,-1.1054688,0.007751465,-0.7418823,-0.61535645,0.26635742,696945,1009.395,1013.2883,-5.4179688,7.9726562,0.56640625,0.5549927,-0.40307617,-0.67822266,0.26361084
692470.0,1013.6575,1011.67065,3.5351562,9.050781,-1.2226562,0.0076293945,-0.7415161,-0.6152954,0.26739502,696965,1009.40967,1013.2798,-5.34375,7.9023438,0.56640625,0.5545654,-0.40289307,-0.67822266,0.26483154
