timestamp_1,fPressureFront_1,fPressureSide_1,acceleration.x_1,acceleration.y_1,acceleration.z_1,quaternion.i_1,quaternion.j_1,quaternion.k_1,quaternion.real_1,timestamp_2,fPressureFront_2,fPressureSide_2,acceleration.x_2,acceleration.y_2,acceleration.z_2,quaternion.i_2,quaternion.j_2,quaternion.k_2,quaternion.real_2
30490,1016.46826,1014.9387,-6.0898438,-5.8984375,2.5273438,-0.27923584,0.5180664,-0.19573975,0.7844238,64130.0,1014.0886,1015.27344,6.8554688,-7.5507812,-1.3007812,-0.7077637,-0.22845459,-0.28015137,0.6069336
30505,1016.45337,1014.91724,-6.0507812,-6.0859375,2.5664062,-0.27911377,0.5185547,-0.19537354,0.7842407,64140.0,1014.0718,1015.2927,7.0117188,-7.4726562,-1.3789062,-0.708374,-0.22851562,-0.2805786,0.6060791
30515,1016.44727,1014.91724,-6.2421875,-5.9765625,2.5273438,-0.27868652,0.5192261,-0.19561768,0.7838745,64150.0,1014.0713,1015.2666,7.046875,-7.3554688,-1.4179688,-0.7091675,-0.22808838,-0.2814331,0.60491943
30535,1016.4341,1014.9055,-6.3632812,-5.859375,2.3359375,-0.27856445,0.51953125,-0.19586182,0.7836914,64165.0,1014.0796,1015.2766,7.0859375,-7.3125,-1.3789062,-0.70983887,-0.22753906,-0.2822876,0.60388184
30555,1016.4612,1014.92676,-6.0859375,-5.9375,2.5273438,-0.27844238,0.5195923,-0.19580078,0.7836914,64185.0,1014.1145,1015.2617,7.0117188,-7.203125,-1.3007812,-0.71069336,-0.22698975,-0.28320312,0.6026001
30580,1016.4502,1014.8992,-6.2460938,-5.859375,2.6445312,-0.27801514,0.51989746,-0.19592285,0.78356934,64205.0,1014.07007,1015.29297,6.9726562,-7.2773438,-1.1484375,-0.71154785,-0.2267456,-0.28381348,0.6014404
30595,1016.4448,1014.948,-5.7851562,-6.0898438,2.6796875,-0.27722168,0.52093506,-0.19616699,0.7831421,64225.0,1014.07227,1015.29517,6.7421875,-7.1289062,-1.1484375,-0.71240234,-0.22686768,-0.2836914,0.60046387
30615,1016.45654,1014.9502,-6.4023438,-5.8984375,2.5273438,-0.27575684,0.52246094,-0.19598389,0.7826538,64245.0,1014.06323,1015.28784,6.7421875,-7.046875,-1.1484375,-0.713562,-0.22723389,-0.28271484,0.59936523
30635,1016.4453,1014.9253,-6.203125,-5.9375,2.5273438,-0.2746582,0.52368164,-0.19580078,0.7822876,64265.0,1014.0852,1015.25635,6.8554688,-7.0898438,-1.2265625,-0.7154541,-0.22753906,-0.28112793,0.5977783
30655,1016.40894,1014.92236,-6.4414062,-5.6679688,2.453125,-0.27319336,0.52471924,-0.19567871,0.7821045,64285.0,1014.0598,1015.29614,6.8945312,-7.0898438,-1.265625,-0.71765137,-0.22772217,-0.2793579,0.59588623
30675,1016.46826,1014.9109,-6.6289062,-5.515625,2.3359375,-0.27349854,0.52459717,-0.19482422,0.78234863,64305.0,1014.08496,1015.26196,6.9726562,-7.046875,-1.4179688,-0.7200928,-0.22747803,-0.27770996,0.59381104
30695,1016.4546,1014.9148,-6.1640625,-5.515625,2.5664062,-0.27478027,0.524292,-0.19372559,0.78234863,64325.0,1014.0906,1015.2571,6.8945312,-7.0078125,-1.3789062,-0.72283936,-0.2267456,-0.2767334,0.5911865
30720,1016.4407,1014.9568,-6.359375,-5.8242188,2.5664062,-0.27416992,0.52508545,-0.19390869,0.7819824,64345.0,1014.0598,1015.26953,6.8203125,-7.046875,-1.4179688,-0.7264404,-0.22558594,-0.2758789,0.5876465
30735,1016.4424,1014.89453,-6.2070312,-5.6679688,2.6054688,-0.2734375,0.52557373,-0.19476318,0.78167725,64365.0,1014.0867,1015.2749,6.7421875,-7.0859375,-1.3398438,-0.73065186,-0.2244873,-0.27478027,0.583313
30755,1016.42896,1014.916,-6.28125,-5.6328125,2.5273438,-0.2730713,0.5266113,-0.19494629,0.7810669,64390.0,1014.06934,1015.26953,6.703125,-7.2070312,-1.6484375,-0.7351074,-0.22351074,-0.27392578,0.5784912
30775,1016.4658,1014.9038,-6.28125,-5.7070312,2.453125,-0.2732544,0.527771,-0.19421387,0.7803955,64405.0,1014.1118,1015.2549,6.6289062,-7.3945312,-1.6484375,-0.7394409,-0.22265625,-0.27319336,0.5736084
30795,1016.46045,1014.91895,-6.125,-5.8984375,2.5664062,-0.2738037,0.52911377,-0.19354248,0.77948,64425.0,1014.0808,1015.24097,6.4726562,-7.2734375,-1.7226562,-0.743103,-0.22167969,-0.27166748,0.56988525
30815,1016.43335,1014.9404,-6.2460938,-5.8242188,2.453125,-0.27288818,0.5308838,-0.19403076,0.7785034,64450.0,1014.0503,1015.2556,6.6640625,-7.0898438,-2.03125,-0.74694824,-0.22070312,-0.26940918,0.56640625
30835,1016.4761,1014.9253,-6.3984375,-5.7851562,2.3359375,-0.27142334,0.53234863,-0.19500732,0.777771,64465.0,1014.073,1015.27295,6.7421875,-7.046875,-2.1445312,-0.7515869,-0.21954346,-0.2670288,0.5617676
30855,1016.46436,1014.8938,-6.3984375,-5.6679688,2.3359375,-0.2703247,0.5333252,-0.19561768,0.7772827,64485.0,1014.05347,1015.2388,6.703125,-7.1640625,-2.2617188,-0.7560425,-0.2185669,-0.2654419,0.55688477
30875,1016.4485,1014.9104,-6.5117188,-5.515625,2.1445312,-0.27056885,0.53338623,-0.19506836,0.77734375,64505.0,1014.08887,1015.2749,6.5117188,-7.390625,-2.296875,-0.7601929,-0.2177124,-0.26348877,0.55255127
30895,1016.4773,1014.9021,-6.4726562,-5.515625,2.1835938,-0.27191162,0.5331421,-0.19342041,0.7774048,64530.0,1014.07544,1015.2993,6.5898438,-7.125,-2.6445312,-0.76342773,-0.21697998,-0.2607422,0.5496826
30915,1016.447,1014.89844,-5.8984375,-5.9765625,2.3359375,-0.2722168,0.5338745,-0.19262695,0.7770386,64545.0,1014.0654,1015.2666,6.5507812,-7.0898438,-2.8359375,-0.7668457,-0.21624756,-0.2584839,0.54626465
30940,1016.4651,1014.95703,-6.5078125,-5.7851562,2.1445312,-0.2713623,0.5343628,-0.19317627,0.77685547,64565.0,1014.0759,1015.2905,6.5117188,-7.203125,-2.8359375,-0.7701416,-0.21588135,-0.25756836,0.5421753
30955,1016.4658,1014.9324,-6.4023438,-5.5546875,2.1835938,-0.2713623,0.5344238,-0.19317627,0.77679443,64585.0,1014.08936,1015.2981,6.359375,-7.2070312,-2.8710938,-0.7734375,-0.2156372,-0.2562256,0.538208
30975,1016.4331,1014.9287,-6.5078125,-5.59375,2.1835938,-0.2722168,0.5344238,-0.19189453,0.77685547,64610.0,1014.0786,1015.2737,6.4726562,-7.203125,-3.1015625,-0.77630615,-0.21551514,-0.25421143,0.5350952
30995,1016.4592,1014.9309,-6.4375,-5.6328125,2.2226562,-0.27355957,0.5344238,-0.1906128,0.77667236,64625.0,1014.0503,1015.29736,6.4375,-6.96875,-3.21875,-0.77923584,-0.21496582,-0.2524414,0.53186035
31015,1016.48486,1014.92017,-6.3984375,-5.9375,2.3359375,-0.27319336,0.5352783,-0.1907959,0.77612305,64645.0,1014.09644,1015.2871,6.359375,-7.046875,-3.21875,-0.7819824,-0.21392822,-0.2514038,0.52874756
31035,1016.4563,1014.9258,-6.359375,-5.859375,2.2617188,-0.27246094,0.5362549,-0.19165039,0.77557373,64665.0,1014.08936,1015.2761,6.28125,-6.9726562,-3.2929688,-0.7850342,-0.21258545,-0.25042725,0.5251465
31055,1016.4658,1014.9092,-6.3203125,-5.7460938,2.296875,-0.27197266,0.5373535,-0.1920166,0.77490234,64685.0,1014.0891,1015.28345,6.2070312,-7.1640625,-3.3710938,-0.788208,-0.21081543,-0.24969482,0.5214844
31080,1016.43555,1014.8965,-6.4726562,-5.5546875,2.1835938,-0.272583,0.538147,-0.19116211,0.774292,64710.0,1014.0928,1015.25806,6.3203125,-7.0898438,-3.5234375,-0.79119873,-0.20874023,-0.24932861,0.5180054
31095,1016.45605,1014.9263,-6.2851562,-5.7851562,2.2617188,-0.27374268,0.53900146,-0.18945312,0.7737427,64725.0,1014.09595,1015.2449,6.3203125,-7.0859375,-3.6015625,-0.7938843,-0.2064209,-0.25006104,0.5144043
31115,1016.4778,1014.9519,-6.4726562,-5.7460938,2.2617188,-0.274292,0.539978,-0.18804932,0.77319336,64745.0,1014.0864,1015.2534,6.28125,-6.9335938,-3.640625,-0.79663086,-0.20410156,-0.25177002,0.5102539
31135,1016.45166,1014.91675,-6.4023438,-5.8984375,2.1835938,-0.27386475,0.54034424,-0.18792725,0.7731323,64765.0,1014.07837,1015.2671,6.0898438,-6.8945312,-3.5625,-0.7999878,-0.20129395,-0.25408936,0.50494385
31155,1016.4348,1014.9475,-6.625,-5.4414062,2.0703125,-0.2738037,0.5401001,-0.18774414,0.7733154,64785.0,1014.0774,1015.27856,6.0898438,-6.8554688,-3.5234375,-0.8031616,-0.19854736,-0.25610352,0.49993896
31175,1016.44434,1014.947,-6.2070312,-5.7851562,2.2226562,-0.27416992,0.5404053,-0.18695068,0.7732544,64805.0,1014.1094,1015.2854,6.28125,-6.8242188,-3.640625,-0.8063965,-0.19525146,-0.2590332,0.49450684
31195,1016.4514,1014.9321,-6.3242188,-5.9375,2.3359375,-0.2732544,0.54125977,-0.18713379,0.7728882,64825.0,1014.0635,1015.28296,6.1679688,-6.890625,-3.6757812,-0.80944824,-0.19207764,-0.2626953,0.48883057
31220,1016.4536,1014.9238,-6.359375,-5.6328125,2.3359375,-0.27191162,0.54260254,-0.18811035,0.77215576,64845.0,1014.0647,1015.2793,6.2421875,-6.7421875,-4.0234375,-0.81256104,-0.18890381,-0.26672363,0.48254395
31235,1016.4497,1014.91016,-6.4726562,-5.6679688,2.2226562,-0.2709961,0.54437256,-0.18835449,0.7711792,64865.0,1014.0652,1015.2783,6.3984375,-6.7070312,-4.2539062,-0.8154297,-0.18591309,-0.27148438,0.47625732
31255,1016.4629,1014.9243,-6.4375,-5.6679688,2.2226562,-0.2703247,0.5463257,-0.18780518,0.77020264,64885.0,1014.0947,1015.2781,6.4726562,-7.046875,-4.40625,-0.8179321,-0.18249512,-0.2781372,0.4694214
31275,1016.46045,1014.9453,-6.4375,-5.7070312,2.296875,-0.26916504,0.5482788,-0.18762207,0.7692261,64905.0,1014.1008,1015.2561,6.6289062,-6.5507812,-4.671875,-0.8195801,-0.17736816,-0.28656006,0.46343994
31295,1016.4697,1014.8838,-6.2421875,-5.4765625,2.5273438,-0.26696777,0.5509033,-0.18865967,0.7678833,64925.0,1014.09937,1015.2749,6.2070312,-6.28125,-4.2148438,-0.82196045,-0.17102051,-0.2979126,0.45422363
31320,1016.4304,1014.91797,-6.1640625,-5.515625,2.5664062,-0.26361084,0.5546875,-0.1907959,0.7657471,64950.0,1014.0759,1015.2302,6.0507812,-6.1640625,-4.3671875,-0.8250122,-0.16595459,-0.30737305,0.4442749
31335,1016.4314,1014.9043,-6.3242188,-5.3632812,2.4140625,-0.25958252,0.5598755,-0.1940918,0.76257324,64965.0,1014.084,1015.2446,6.0898438,-6.3242188,-4.5976562,-0.82940674,-0.16149902,-0.31506348,0.4321289
31355,1016.4475,1014.9048,-6.4375,-5.25,2.296875,-0.25604248,0.5656738,-0.19702148,0.758667,64985.0,1014.074,1015.2822,5.8984375,-6.703125,-5.1328125,-0.8341675,-0.15942383,-0.3178711,0.4215088
31375,1016.4734,1014.9309,-6.5117188,-5.171875,2.03125,-0.25299072,0.57244873,-0.19909668,0.75408936,65005.0,1014.0652,1015.2512,6.9296875,-5.8242188,-6.2421875,-0.83929443,-0.15924072,-0.3178711,0.41131592
31395,1016.41406,1014.9143,-6.46875,-5.2851562,1.953125,-0.2506714,0.5797119,-0.20013428,0.74902344,65025.0,1014.07227,1015.2622,6.8945312,-5.515625,-6.3203125,-0.84313965,-0.159729,-0.31774902,0.40325928
31415,1016.42725,1014.9221,-6.5507812,-5.171875,1.8398438,-0.24884033,0.5875244,-0.20062256,0.7434082,65045.0,1014.052,1015.2466,7.2070312,-5.2851562,-6.4375,-0.8463745,-0.15942383,-0.31860352,0.39587402
31435,1016.43994,1014.9138,-6.5507812,-5.3632812,1.53125,-0.24761963,0.59521484,-0.2010498,0.73760986,65065.0,1014.0403,1015.2456,7.8515625,-4.9804688,-6.6289062,-0.8484497,-0.15686035,-0.32403564,0.3880005
31455,1016.43335,1014.91895,-6.703125,-5.515625,1.3789062,-0.24664307,0.60321045,-0.2019043,0.7310791,65085.0,1014.07983,1015.2676,7.3125,-5.2851562,-5.515625,-0.8491821,-0.15234375,-0.33398438,0.37957764
31475,1016.42944,1014.9155,-6.5859375,-5.5546875,1.4179688,-0.24597168,0.61083984,-0.20269775,0.7247925,65105.0,1014.0664,1015.2322,6.9726562,-5.09375,-5.25,-0.8493042,-0.14886475,-0.3423462,0.37335205
31495,1016.43604,1014.91724,-6.46875,-5.5546875,1.3398438,-0.24487305,0.61901855,-0.20355225,0.7178955,65130.0,1014.08716,1015.25464,7.046875,-4.8632812,-5.6679688,-0.8496094,-0.14544678,-0.35009766,0.36663818
31515,1016.42944,1014.93066,-6.203125,-5.859375,0.7265625,-0.24377441,0.62823486,-0.20404053,0.710083,65145.0,1014.042,1015.2661,7.4335938,-5.0546875,-5.59375,-0.8497925,-0.1416626,-0.35906982,0.35906982
31535,1016.4153,1014.896,-6.125,-5.9375,0.69140625,-0.24212646,0.63848877,-0.20648193,0.7007446,65165.0,1014.0481,1015.249,6.8554688,-4.9414062,-4.671875,-0.84954834,-0.13964844,-0.36688232,0.352417
31555,1016.3987,1014.91284,-6.5078125,-5.6328125,0.57421875,-0.24005127,0.6502075,-0.21087646,0.68933105,65185.0,1014.0586,1015.25415,6.890625,-4.9414062,-4.671875,-0.8496094,-0.13970947,-0.3704834,0.34838867
31580,1016.416,1014.9231,-7.4335938,-5.4414062,-0.61328125,-0.23925781,0.6619873,-0.21374512,0.67736816,65205.0,1014.06714,1015.24536,7.65625,-5.515625,-5.3242188,-0.84906006,-0.14129639,-0.37164307,0.34783936
31595,1016.3799,1014.92896,-7.5117188,-5.6328125,-1.0351562,-0.2388916,0.6716919,-0.21459961,0.66760254,65225.0,1014.052,1015.2461,8.1171875,-5.1328125,-6.015625,-0.84643555,-0.14129639,-0.37384033,0.35180664
31615,1016.38965,1014.896,-7.203125,-5.7070312,-1.1484375,-0.23852539,0.6779785,-0.21496582,0.6612549,65245.0,1014.05347,1015.26587,8.15625,-4.9414062,-5.7460938,-0.8414917,-0.13806152,-0.38067627,0.35766602
31635,1016.4004,1014.87354,-6.9726562,-5.7851562,-1.4179688,-0.23809814,0.6831665,-0.21539307,0.6558838,65265.0,1014.073,1015.2622,7.390625,-4.9023438,-4.7890625,-0.8364868,-0.1348877,-0.38812256,0.36260986
31655,1016.39844,1014.9133,-6.7460938,-5.6328125,-1.2265625,-0.23791504,0.6878662,-0.2164917,0.6506958,65285.0,1014.0637,1015.25635,7.046875,-4.75,-4.0234375,-0.8321533,-0.13421631,-0.39208984,0.3684082
31675,1016.37915,1014.9158,-7.125,-5.4414062,-1.4179688,-0.23840332,0.6915283,-0.21704102,0.6463623,65305.0,1014.0691,1015.2742,6.890625,-4.7890625,-3.6757812,-0.8297119,-0.13641357,-0.39019775,0.37512207
31695,1016.4092,1014.92456,-7.1679688,-5.3632812,-1.3398438,-0.23986816,0.6940918,-0.21575928,0.64349365,65325.0,1014.0603,1015.2495,7.9296875,-6.78125,-3.7929688,-0.8265381,-0.1427002,-0.38391113,0.38616943
31715,1016.3972,1014.9126,-7.0117188,-5.6328125,-1.4570312,-0.24023438,0.6960449,-0.2142334,0.64178467,65345.0,1014.0957,1015.2849,7.6992188,-7.6992188,-3.640625,-0.8199463,-0.1539917,-0.37347412,0.4055786
31735,1016.39404,1014.927,-6.9296875,-5.6679688,-1.7226562,-0.2390747,0.69744873,-0.21472168,0.64056396,65365.0,1014.0581,1015.2986,7.3554688,-8.011719,-3.8320312,-0.80810547,-0.17211914,-0.35528564,0.43719482
31755,1016.4087,1014.9187,-7.1640625,-5.4023438,-1.8007812,-0.23858643,0.69818115,-0.21600342,0.63952637,65390.0,1014.072,1015.282,7.3554688,-7.890625,-3.5234375,-0.79125977,-0.19787598,-0.33087158,0.4746704
31775,1016.38745,1014.90405,-7.0117188,-5.1328125,-1.5703125,-0.23950195,0.6984863,-0.21588135,0.638916,65410.0,1014.0862,1015.24536,6.28125,-9.691406,-1.1484375,-0.76989746,-0.2321167,-0.30389404,0.5109253
31795,1016.3782,1014.90137,-7.234375,-5.2109375,-1.7617188,-0.24121094,0.69799805,-0.21356201,0.63952637,65425.0,1014.0657,1015.30005,3.140625,-11.191406,0.0,-0.7380371,-0.2835083,-0.2616577,0.55352783
31815,1016.3699,1014.90674,-6.78125,-5.2851562,-1.9140625,-0.24285889,0.69659424,-0.21130371,0.6411743,65445.0,1014.10205,1015.2534,1.9140625,-10.7265625,-0.11328125,-0.6949463,-0.34820557,-0.19769287,0.59729004
31835,1016.3877,1014.93115,-6.8242188,-4.7109375,-1.9921875,-0.24560547,0.694458,-0.20935059,0.6430664,65470.0,1014.0913,1015.2256,-0.7265625,-9.2265625,-2.1445312,-0.6407471,-0.41479492,-0.11102295,0.6364746
31855,1016.3906,1014.9236,-7.1679688,-4.4453125,-1.6835938,-0.25024414,0.69158936,-0.20654297,0.6452637,65485.0,1014.07446,1015.2212,1.6835938,-10.6484375,-3.3710938,-0.5704956,-0.47772217,0.002380371,0.6680298
31875,1016.3584,1014.9231,-6.1679688,-4.75,-0.8828125,-0.2548828,0.6878052,-0.20526123,0.6479492,65510.0,1014.04785,1015.2351,5.7460938,-9.4609375,-5.3242188,-0.5048218,-0.5217285,0.091430664,0.6816406
31895,1016.4048,1014.92285,-6.203125,-4.5585938,-1.0742188,-0.2584839,0.68359375,-0.20574951,0.6508179,65525.0,1014.0979,1015.25684,6.359375,-6.6679688,-4.1367188,-0.43725586,-0.5593872,0.16296387,0.6850586
31915,1016.40454,1014.90137,-6.46875,-4.40625,-1.3007812,-0.2635498,0.6783447,-0.20507812,0.65448,65550.0,1014.0703,1015.22,9.578125,-7.546875,-4.6367188,-0.37835693,-0.5838623,0.21282959,0.68603516
31935,1016.39966,1014.9197,-5.9023438,-5.2109375,-0.61328125,-0.26849365,0.6732178,-0.20489502,0.6577759,65565.0,1014.0615,1015.29126,9.1953125,-7.3554688,-3.1796875,-0.32452393,-0.5964966,0.2423706,0.6929321
31955,1016.40283,1014.92065,-6.2460938,-5.2851562,-0.49609375,-0.2727661,0.66882324,-0.20715332,0.65979004,65590.0,1014.0886,1015.2593,7.0507812,-6.0898438,-0.23046875,-0.28759766,-0.60040283,0.25421143,0.7015381
31975,1016.4248,1014.9231,-6.96875,-5.2109375,-0.57421875,-0.27789307,0.66503906,-0.20922852,0.66082764,65605.0,1014.0923,1015.2261,6.359375,-6.2070312,1.9140625,-0.253479,-0.6029663,0.26800537,0.7073364
31995,1016.4165,1014.91724,-7.2070312,-5.3242188,-0.69140625,-0.28375244,0.6609497,-0.20892334,0.66259766,65625.0,1014.08057,1015.2446,7.546875,-4.7890625,1.3789062,-0.22869873,-0.6045532,0.28430176,0.7081299
32015,1016.4199,1014.92944,-5.59375,-6.2460938,-0.26953125,-0.28912354,0.65649414,-0.20843506,0.6647949,65645.0,1014.1262,1015.2063,7.203125,-4.2539062,1.7226562,-0.21258545,-0.6072998,0.2970581,0.7055664
32035,1016.3872,1014.896,-5.6679688,-6.3632812,-0.4609375,-0.2923584,0.6532593,-0.21008301,0.66607666,65665.0,1014.09546,1015.24365,7.0507812,-5.25,2.03125,-0.20202637,-0.6107178,0.30725098,0.70129395
32055,1016.39624,1014.9282,-5.8984375,-6.203125,-0.53515625,-0.2958374,0.6506958,-0.21240234,0.6663208,65685.0,1014.07007,1015.2488,6.9726562,-6.28125,1.953125,-0.19311523,-0.6125488,0.3196411,0.6966553
32080,1016.4214,1014.94116,-6.4375,-6.7460938,-0.61328125,-0.30047607,0.6489258,-0.21313477,0.66571045,65705.0,1014.125,1015.2505,7.546875,-5.8242188,1.6484375,-0.18591309,-0.61413574,0.33203125,0.69140625
