timestamp_1,fPressureFront_1,fPressureSide_1,acceleration.x_1,acceleration.y_1,acceleration.z_1,quaternion.i_1,quaternion.j_1,quaternion.k_1,quaternion.real_1,timestamp_2,fPressureFront_2,fPressureSide_2,acceleration.x_2,acceleration.y_2,acceleration.z_2,quaternion.i_2,quaternion.j_2,quaternion.k_2,quaternion.real_2
1446655,997.87305,998.6201,6.0195312,1.2617188,-5.8398438,-0.3106079,-0.9163208,-0.15838623,0.19696045,1446940.0,994.4341,996.885,-9.636719,1.6289062,2.9257812,-0.45965576,0.3842163,0.69299316,0.40100098
1446665,997.87305,998.5459,2.03125,2.4492188,-11.234375,-0.41503906,-0.8862915,-0.17858887,0.101501465,1446950.0,994.4092,996.8728,-9.675781,2.125,2.390625,-0.4239502,0.42279053,0.6732178,0.434021
1446675,997.8291,998.45386,5.0273438,5.015625,-6.7734375,-0.46539307,-0.7949829,-0.3741455,0.10668945,1446960.0,994.4048,996.8843,-8.0,4.1523438,4.1953125,0.07739258,0.5413208,0.29821777,0.78234863
1446695,997.87866,998.4165,4.9492188,5.2070312,-6.6289062,-0.4658203,-0.79522705,-0.37268066,0.10803223,1446980.0,994.4126,996.87305,-8.121094,4.3046875,3.7773438,0.07800293,0.5423584,0.29718018,0.7819214
1446715,997.8889,998.27637,5.1796875,4.9375,-6.65625,-0.46643066,-0.79541016,-0.37109375,0.109802246,1447000.0,994.437,996.92456,-8.1171875,4.34375,3.8125,0.07800293,0.5427246,0.29681396,0.78186035
1446735,997.8723,998.1953,4.9101562,5.0507812,-6.7734375,-0.46697998,-0.7954712,-0.36993408,0.110839844,1447020.0,994.4231,996.89355,-7.921875,4.34375,3.8515625,0.07739258,0.5427246,0.2965088,0.78204346
1446755,997.9346,998.0144,4.9101562,4.9375,-6.8945312,-0.46777344,-0.7955322,-0.36871338,0.11114502,1447040.0,994.4153,996.86743,-7.8867188,4.34375,4.1210938,0.07684326,0.54296875,0.29577637,0.7821655
1446775,997.9678,997.93994,5.1015625,4.9375,-6.8125,-0.46868896,-0.7956543,-0.36730957,0.11102295,1447060.0,994.396,996.8789,-7.8164062,4.3046875,4.1601562,0.07672119,0.54382324,0.2946167,0.78204346
1446795,997.96045,997.8345,5.0625,4.9765625,-6.6953125,-0.4696045,-0.79577637,-0.36590576,0.110839844,1447080.0,994.4509,996.88403,-7.8476562,4.2265625,3.96875,0.0770874,0.54473877,0.29345703,0.7817993
1446815,997.8994,997.8269,4.9101562,4.7460938,-6.625,-0.4708252,-0.7956543,-0.3649292,0.11022949,1447100.0,994.45215,996.8745,-7.8476562,4.1914062,3.6992188,0.07757568,0.5452881,0.29223633,0.7817993
1446835,997.8887,997.7163,4.8359375,4.7460938,-6.7773438,-0.47216797,-0.79522705,-0.36437988,0.10913086,1447125.0,994.43896,996.88354,-7.734375,4.34375,3.546875,0.07763672,0.54522705,0.29125977,0.78222656
1446855,997.7544,997.6687,4.9101562,4.6289062,-6.8945312,-0.47369385,-0.79455566,-0.36437988,0.10723877,1447140.0,994.4397,996.90063,-7.65625,4.265625,3.7773438,0.07702637,0.54467773,0.29034424,0.78302
1446875,997.63306,997.6199,5.1015625,5.015625,-7.1992188,-0.47540283,-0.7938843,-0.36444092,0.10449219,1447160.0,994.41113,996.90186,-7.6601562,4.2265625,3.96875,0.076416016,0.5440674,0.2892456,0.78393555
1446895,997.574,997.5112,4.9882812,5.2070312,-7.0078125,-0.47747803,-0.79333496,-0.36413574,0.100097656,1447180.0,994.42017,996.91187,-7.7382812,4.2265625,4.0429688,0.07598877,0.54351807,0.28778076,0.7848511
