timestamp_1,fPressureFront_1,fPressureSide_1,acceleration.x_1,acceleration.y_1,acceleration.z_1,quaternion.i_1,quaternion.j_1,quaternion.k_1,quaternion.real_1,timestamp_2,fPressureFront_2,fPressureSide_2,acceleration.x_2,acceleration.y_2,acceleration.z_2,quaternion.i_2,quaternion.j_2,quaternion.k_2,quaternion.real_2
540835,1012.54126,1011.34937,2.1875,5.0507812,8.308594,0.0041503906,-0.3057251,-0.78082275,0.54486084,545250.0,1012.2185,1011.4595,-1.6484375,5.9609375,6.2382812,0.15093994,-0.3447876,-0.9227905,0.082336426
540840,1012.55884,1011.34937,3.2226562,2.7890625,8.6484375,0.023132324,-0.31652832,-0.70422363,0.63513184,545255.0,1012.2185,1011.4595,-1.6875,5.6523438,7.3828125,0.19348145,-0.25476074,-0.91900635,0.23040771
540855,1012.5586,1011.344,1.0390625,6.0820312,7.609375,0.3168335,-0.059509277,0.024719238,0.94628906,545265.0,1012.2102,1011.4595,-2.3007812,8.027344,4.171875,0.5363159,-0.0435791,-0.33813477,0.7720947
540870,1012.55005,1011.37866,1.0390625,6.0078125,7.6484375,0.3168335,-0.06060791,0.023986816,0.946228,545285.0,1012.2246,1011.44653,-2.6445312,7.8359375,4.2070312,0.53308105,-0.04284668,-0.33728027,0.7747803
540885,1012.55054,1011.33984,1.1171875,5.8164062,7.4609375,0.3170166,-0.062194824,0.022766113,0.94610596,545305.0,1012.21094,1011.437,-2.53125,7.8007812,4.4375,0.53118896,-0.043273926,-0.33746338,0.77593994
540905,1012.5613,1011.34595,1.3085938,5.7382812,7.3046875,0.31829834,-0.062561035,0.021728516,0.9456787,545325.0,1012.2368,1011.47144,-2.2226562,8.140625,4.515625,0.53027344,-0.044128418,-0.33795166,0.77630615
540925,1012.5354,1011.3694,1.34375,5.890625,7.3085938,0.31951904,-0.062194824,0.020690918,0.9453125,545350.0,1012.24023,1011.4668,-2.1875,7.9921875,4.171875,0.5284424,-0.043518066,-0.33685303,0.7780762
540950,1012.5183,1011.3574,1.0390625,5.96875,7.4648438,0.31921387,-0.062194824,0.01940918,0.9454346,545365.0,1012.24194,1011.4348,-2.5703125,7.4140625,4.3242188,0.52679443,-0.04260254,-0.33587646,0.77960205
540965,1012.54175,1011.34717,1.0390625,5.890625,7.4257812,0.3189087,-0.062805176,0.018188477,0.94555664,545385.0,1012.2405,1011.4509,-2.6835938,7.7578125,4.6289062,0.52490234,-0.04321289,-0.33581543,0.7809448
540985,1012.522,1011.34155,0.88671875,5.96875,7.4257812,0.31933594,-0.06335449,0.01739502,0.94537354,545405.0,1012.2136,1011.4487,-2.4140625,7.953125,4.6289062,0.52233887,-0.04437256,-0.3352661,0.7828369
