timestamp_1,fPressureFront_1,fPressureSide_1,acceleration.x_1,acceleration.y_1,acceleration.z_1,quaternion.i_1,quaternion.j_1,quaternion.k_1,quaternion.real_1,timestamp_2,fPressureFront_2,fPressureSide_2,acceleration.x_2,acceleration.y_2,acceleration.z_2,quaternion.i_2,quaternion.j_2,quaternion.k_2,quaternion.real_2
701755,1011.6792,1011.4822,2.34375,9.433594,0.34375,0.352417,-0.6036377,-0.51220703,0.49908447,701805.0,1011.105,1013.197,-3.0390625,1.8320312,-8.605469,0.44439697,0.87390137,-0.009338379,0.19671631
701765,1011.70605,1011.4822,2.4960938,9.316406,0.57421875,0.34509277,-0.6020508,-0.51434326,0.5038452,701815.0,1011.09937,1013.1892,-0.3984375,5.3710938,8.28125,0.26556396,-0.107177734,-0.40686035,0.86743164
701770,1011.70605,1011.4863,-1.609375,2.6445312,9.6484375,-0.046325684,0.13665771,0.9579468,0.24810791,701840.0,1011.1438,1013.1775,-0.4765625,5.2578125,8.207031,0.2654419,-0.10668945,-0.40655518,0.8676758
701790,1011.7261,1011.49194,-1.3789062,2.4921875,9.417969,-0.046142578,0.1359253,0.9580078,0.24816895,701855.0,1011.1355,1013.2578,-0.4765625,5.3710938,8.1328125,0.26568604,-0.10675049,-0.40618896,0.86779785
701805,1011.6814,1011.4939,-1.2265625,2.3398438,9.230469,-0.04559326,0.13562012,0.9581299,0.24810791,701875.0,1011.12134,1013.228,-0.3984375,5.3320312,8.136719,0.26586914,-0.10681152,-0.4058838,0.8678589
701825,1011.6853,1011.50903,-1.34375,2.4140625,9.296875,-0.045654297,0.13568115,0.9581299,0.24798584,701895.0,1011.1802,1013.2449,-0.28515625,5.3710938,8.175781,0.26593018,-0.10650635,-0.40582275,0.8679199
701845,1011.68945,1011.46875,-1.5351562,2.453125,9.6796875,-0.045898438,0.13531494,0.95825195,0.24780273,701915.0,1011.1289,1013.21387,-0.24609375,5.4101562,8.3203125,0.2654419,-0.105895996,-0.40563965,0.86816406
701865,1011.7036,1011.4734,-1.3789062,2.453125,9.613281,-0.04559326,0.13464355,0.958313,0.24786377,701935.0,1011.1355,1013.2334,-0.24609375,5.3710938,8.285156,0.2649536,-0.105163574,-0.40545654,0.8685303
701885,1011.7556,1011.4763,-1.1875,2.3398438,9.265625,-0.045043945,0.13421631,0.958313,0.24810791,701955.0,1011.16064,1013.22314,-0.3984375,5.21875,8.171875,0.2649536,-0.10473633,-0.40515137,0.8687134
701905,1011.6858,1011.49536,-1.1132812,2.2617188,9.109375,-0.045166016,0.13439941,0.958313,0.24810791,701975.0,1011.1333,1013.2158,-0.32421875,5.3320312,8.015625,0.26550293,-0.10510254,-0.40496826,0.8685913
701925,1011.72046,1011.46533,-1.4570312,2.4140625,9.722656,-0.045837402,0.13415527,0.958374,0.24780273,701995.0,1011.13574,1013.20264,-0.28515625,5.5234375,8.0546875,0.26574707,-0.105041504,-0.40496826,0.8685303
701945,1011.70825,1011.4802,-1.4570312,2.3007812,9.796875,-0.045776367,0.13372803,0.9584961,0.24761963,702015.0,1011.1504,1013.21924,-0.32421875,5.5234375,8.09375,0.26513672,-0.10430908,-0.40478516,0.8688965
701965,1011.6907,1011.51294,-1.1875,2.2226562,9.453125,-0.04510498,0.13360596,0.9584961,0.2477417,702035.0,1011.14404,1013.23584,-0.359375,5.3320312,8.097656,0.26470947,-0.104003906,-0.40460205,0.8691406
701990,1011.70483,1011.499,-1.2265625,2.3007812,9.496094,-0.044799805,0.13378906,0.9585571,0.24761963,702055.0,1011.13086,1013.23413,-0.3984375,5.1796875,8.1328125,0.2649536,-0.10461426,-0.40460205,0.86901855
702005,1011.7256,1011.4773,-1.34375,2.3007812,9.722656,-0.045166016,0.13336182,0.9585571,0.24761963,702075.0,1011.1089,1013.22314,-0.359375,5.3710938,8.0546875,0.26513672,-0.105285645,-0.40441895,0.8689575
